locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIIJDGEM_00001	gene	441				
NIIJDGEM_00001	CDS	441				hypothetical protein
NIIJDGEM_00002	gene	1737				
NIIJDGEM_00002	CDS	1737			COG1132	putative ABC transporter ATP-binding protein
NIIJDGEM_00003	gene	1860				
NIIJDGEM_00003	CDS	1860			COG1132	putative ABC transporter ATP-binding protein
NIIJDGEM_00004	gene	1443				
NIIJDGEM_00004	CDS	1443		3.1.6.-		Ulvan-active sulfatase
NIIJDGEM_00005	gene	1368	mepA_1			
NIIJDGEM_00005	CDS	1368	mepA_1		COG0534	Multidrug export protein MepA
NIIJDGEM_00006	gene	231				
NIIJDGEM_00006	CDS	231				hypothetical protein
NIIJDGEM_00007	gene	612				
NIIJDGEM_00007	CDS	612				hypothetical protein
NIIJDGEM_00008	gene	1287				
NIIJDGEM_00008	CDS	1287				hypothetical protein
NIIJDGEM_00009	gene	531				
NIIJDGEM_00009	CDS	531				hypothetical protein
NIIJDGEM_00010	gene	603				
NIIJDGEM_00010	CDS	603				hypothetical protein
NIIJDGEM_00011	gene	2121	rapA			
NIIJDGEM_00011	CDS	2121	rapA	3.6.4.-		RNA polymerase-associated protein RapA
NIIJDGEM_00012	gene	1062	rihB			
NIIJDGEM_00012	CDS	1062	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
NIIJDGEM_00013	gene	690				
NIIJDGEM_00013	CDS	690				hypothetical protein
NIIJDGEM_00014	gene	1269	gltP_1			
NIIJDGEM_00014	CDS	1269	gltP_1		COG1301	Proton/glutamate-aspartate symporter
NIIJDGEM_00015	gene	570				
NIIJDGEM_00015	CDS	570				hypothetical protein
NIIJDGEM_00016	gene	468				
NIIJDGEM_00016	CDS	468				hypothetical protein
NIIJDGEM_00017	gene	672	agrB			
NIIJDGEM_00017	CDS	672	agrB	3.4.-.-		Accessory gene regulator protein B
NIIJDGEM_00018	gene	132				
NIIJDGEM_00018	CDS	132				hypothetical protein
NIIJDGEM_00019	gene	1698				
NIIJDGEM_00019	CDS	1698				hypothetical protein
NIIJDGEM_00020	gene	1128				
NIIJDGEM_00020	CDS	1128				hypothetical protein
NIIJDGEM_00021	gene	762				
NIIJDGEM_00021	CDS	762				hypothetical protein
NIIJDGEM_00022	gene	459				
NIIJDGEM_00022	CDS	459				hypothetical protein
NIIJDGEM_00023	gene	1269				
NIIJDGEM_00023	CDS	1269			COG1055	putative transporter
NIIJDGEM_00024	gene	1815	ohyA_1			
NIIJDGEM_00024	CDS	1815	ohyA_1	4.2.1.53		Oleate hydratase
NIIJDGEM_00025	gene	918	nanA_1			
NIIJDGEM_00025	CDS	918	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
NIIJDGEM_00026	gene	687	nanE			
NIIJDGEM_00026	CDS	687	nanE	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
NIIJDGEM_00027	gene	261				
NIIJDGEM_00027	CDS	261				hypothetical protein
NIIJDGEM_00028	gene	456	tabA			
NIIJDGEM_00028	CDS	456	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
NIIJDGEM_00029	gene	882	bglK			
