locus_tag	ftype	length_bp	gene	EC_number	COG	product
PFEFJHND_00001	gene	89				
PFEFJHND_00001	tRNA	89				tRNA-Ser(cga)
PFEFJHND_00002	gene	654				
PFEFJHND_00002	CDS	654		2.4.2.-	COG2071	Putative glutamine amidotransferase
PFEFJHND_00003	gene	75				
PFEFJHND_00003	tRNA	75				tRNA-Gly(tcc)
PFEFJHND_00004	gene	77				
PFEFJHND_00004	tRNA	77				tRNA-Arg(tct)
PFEFJHND_00005	gene	77				
PFEFJHND_00005	tRNA	77				tRNA-His(gtg)
PFEFJHND_00006	gene	75				
PFEFJHND_00006	tRNA	75				tRNA-Gln(ttg)
PFEFJHND_00007	gene	76				
PFEFJHND_00007	tRNA	76				tRNA-Lys(ttt)
PFEFJHND_00008	gene	660				
PFEFJHND_00008	CDS	660				hypothetical protein
PFEFJHND_00009	gene	1071	leuB			
PFEFJHND_00009	CDS	1071	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
PFEFJHND_00010	gene	486	DmdB			
PFEFJHND_00010	CDS	486	DmdB	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
PFEFJHND_00011	gene	1260	dmdA			
PFEFJHND_00011	CDS	1260	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
PFEFJHND_00012	gene	1668	leuA			
PFEFJHND_00012	CDS	1668	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
PFEFJHND_00013	gene	1146				
PFEFJHND_00013	CDS	1146				hypothetical protein
PFEFJHND_00014	gene	1959				
PFEFJHND_00014	CDS	1959				hypothetical protein
PFEFJHND_00015	gene	3045				
PFEFJHND_00015	CDS	3045				hypothetical protein
PFEFJHND_00016	gene	459				
PFEFJHND_00016	CDS	459				hypothetical protein
PFEFJHND_00017	gene	411	def			
PFEFJHND_00017	CDS	411	def	3.5.1.88	COG0242	Peptide deformylase
PFEFJHND_00018	gene	573				
PFEFJHND_00018	CDS	573				hypothetical protein
PFEFJHND_00019	gene	408				
PFEFJHND_00019	CDS	408				hypothetical protein
PFEFJHND_00020	gene	210	rsxB_1			
PFEFJHND_00020	CDS	210	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PFEFJHND_00021	gene	576				
PFEFJHND_00021	CDS	576				hypothetical protein
PFEFJHND_00022	gene	657				
PFEFJHND_00022	CDS	657				hypothetical protein
PFEFJHND_00023	gene	324	trxA_1			
PFEFJHND_00023	CDS	324	trxA_1		COG0526	Thioredoxin
PFEFJHND_00024	gene	930	trxB_1			
PFEFJHND_00024	CDS	930	trxB_1	1.8.1.9	COG0492	Thioredoxin reductase
PFEFJHND_00025	gene	198				
PFEFJHND_00025	CDS	198				hypothetical protein
PFEFJHND_00026	gene	1998				
PFEFJHND_00026	CDS	1998				hypothetical protein
PFEFJHND_00027	gene	546				
PFEFJHND_00027	CDS	546				hypothetical protein
PFEFJHND_00028	gene	729				
PFEFJHND_00028	CDS	729				hypothetical protein
PFEFJHND_00029	gene	879				
PFEFJHND_00029	CDS	879				hypothetical protein
PFEFJHND_00030	gene	141				
PFEFJHND_00030	CDS	141				hypothetical protein
PFEFJHND_00031	gene	876				
PFEFJHND_00031	CDS	876				hypothetical protein
PFEFJHND_00032	gene	714				
PFEFJHND_00032	CDS	714				hypothetical protein
PFEFJHND_00033	gene	780				
PFEFJHND_00033	CDS	780				hypothetical protein
PFEFJHND_00034	gene	660				
PFEFJHND_00034	CDS	660				hypothetical protein
PFEFJHND_00035	gene	354				
PFEFJHND_00035	CDS	354				hypothetical protein
PFEFJHND_00036	gene	360				
PFEFJHND_00036	CDS	360				hypothetical protein
PFEFJHND_00037	gene	513				
PFEFJHND_00037	CDS	513				hypothetical protein
PFEFJHND_00038	gene	351				
PFEFJHND_00038	CDS	351				hypothetical protein
PFEFJHND_00039	gene	750				
PFEFJHND_00039	CDS	750				hypothetical protein
PFEFJHND_00040	gene	6210				
PFEFJHND_00040	CDS	6210				hypothetical protein
PFEFJHND_00041	gene	351				
PFEFJHND_00041	CDS	351				hypothetical protein
PFEFJHND_00042	gene	288				
PFEFJHND_00042	CDS	288				hypothetical protein
PFEFJHND_00043	gene	264				
PFEFJHND_00043	CDS	264				hypothetical protein
PFEFJHND_00044	gene	441				
PFEFJHND_00044	CDS	441				hypothetical protein
PFEFJHND_00045	gene	315				
PFEFJHND_00045	CDS	315				hypothetical protein
PFEFJHND_00046	gene	459				
PFEFJHND_00046	CDS	459				hypothetical protein
PFEFJHND_00047	gene	870				
PFEFJHND_00047	CDS	870				hypothetical protein
PFEFJHND_00048	gene	138				
PFEFJHND_00048	CDS	138				hypothetical protein
PFEFJHND_00049	gene	600				
PFEFJHND_00049	CDS	600				hypothetical protein
PFEFJHND_00050	gene	552				
PFEFJHND_00050	CDS	552				hypothetical protein
PFEFJHND_00051	gene	1482				
PFEFJHND_00051	CDS	1482				hypothetical protein
PFEFJHND_00052	gene	960				
PFEFJHND_00052	CDS	960				hypothetical protein
PFEFJHND_00053	gene	3258				
