locus_tag	ftype	length_bp	gene	EC_number	COG	product
OCNCDAMD_00001	gene	213				
OCNCDAMD_00001	CDS	213				hypothetical protein
OCNCDAMD_00002	gene	240				
OCNCDAMD_00002	CDS	240				hypothetical protein
OCNCDAMD_00003	gene	528				
OCNCDAMD_00003	CDS	528				hypothetical protein
OCNCDAMD_00004	gene	1098				
OCNCDAMD_00004	CDS	1098				hypothetical protein
OCNCDAMD_00005	gene	891				
OCNCDAMD_00005	CDS	891				hypothetical protein
OCNCDAMD_00006	gene	459				
OCNCDAMD_00006	CDS	459				hypothetical protein
OCNCDAMD_00007	gene	276				
OCNCDAMD_00007	CDS	276				hypothetical protein
OCNCDAMD_00008	gene	480				
OCNCDAMD_00008	CDS	480				hypothetical protein
OCNCDAMD_00009	gene	321				
OCNCDAMD_00009	CDS	321				hypothetical protein
OCNCDAMD_00010	gene	180				
OCNCDAMD_00010	CDS	180				hypothetical protein
OCNCDAMD_00011	gene	225				
OCNCDAMD_00011	CDS	225				hypothetical protein
OCNCDAMD_00012	gene	648				
OCNCDAMD_00012	CDS	648				hypothetical protein
OCNCDAMD_00013	gene	639				
OCNCDAMD_00013	CDS	639				hypothetical protein
OCNCDAMD_00014	gene	1263				
OCNCDAMD_00014	CDS	1263				hypothetical protein
OCNCDAMD_00015	gene	498				
OCNCDAMD_00015	CDS	498				hypothetical protein
OCNCDAMD_00016	gene	480				
OCNCDAMD_00016	CDS	480				hypothetical protein
OCNCDAMD_00017	gene	1089				
OCNCDAMD_00017	CDS	1089				hypothetical protein
OCNCDAMD_00018	gene	180				
OCNCDAMD_00018	CDS	180				hypothetical protein
OCNCDAMD_00019	gene	288				
OCNCDAMD_00019	CDS	288				hypothetical protein
OCNCDAMD_00020	gene	726				
OCNCDAMD_00020	CDS	726				hypothetical protein
OCNCDAMD_00021	gene	585				
OCNCDAMD_00021	CDS	585				hypothetical protein
OCNCDAMD_00022	gene	237				
OCNCDAMD_00022	CDS	237				hypothetical protein
OCNCDAMD_00023	gene	942				
OCNCDAMD_00023	CDS	942				hypothetical protein
OCNCDAMD_00024	gene	291				
OCNCDAMD_00024	CDS	291				hypothetical protein
OCNCDAMD_00025	gene	210				
OCNCDAMD_00025	CDS	210				hypothetical protein
OCNCDAMD_00026	gene	1023				
OCNCDAMD_00026	CDS	1023				hypothetical protein
OCNCDAMD_00027	gene	537				
OCNCDAMD_00027	CDS	537				hypothetical protein
OCNCDAMD_00028	gene	216				
OCNCDAMD_00028	CDS	216				hypothetical protein
OCNCDAMD_00029	gene	813				
OCNCDAMD_00029	CDS	813				hypothetical protein
OCNCDAMD_00030	gene	762				
OCNCDAMD_00030	CDS	762				hypothetical protein
OCNCDAMD_00031	gene	900				
OCNCDAMD_00031	CDS	900				hypothetical protein
OCNCDAMD_00032	gene	591				
OCNCDAMD_00032	CDS	591				hypothetical protein
OCNCDAMD_00033	gene	669				
OCNCDAMD_00033	CDS	669				hypothetical protein
OCNCDAMD_00034	gene	591				
OCNCDAMD_00034	CDS	591				hypothetical protein
OCNCDAMD_00035	gene	1905				
OCNCDAMD_00035	CDS	1905				hypothetical protein
OCNCDAMD_00036	gene	873				
OCNCDAMD_00036	CDS	873				hypothetical protein
OCNCDAMD_00037	gene	672				
OCNCDAMD_00037	CDS	672				hypothetical protein
OCNCDAMD_00038	gene	351				
OCNCDAMD_00038	CDS	351				hypothetical protein
OCNCDAMD_00039	gene	306				
OCNCDAMD_00039	CDS	306				hypothetical protein
OCNCDAMD_00040	gene	420				
OCNCDAMD_00040	CDS	420				hypothetical protein
OCNCDAMD_00041	gene	519				
OCNCDAMD_00041	CDS	519				hypothetical protein
OCNCDAMD_00042	gene	192				
OCNCDAMD_00042	CDS	192				hypothetical protein
OCNCDAMD_00043	gene	294				
OCNCDAMD_00043	CDS	294				hypothetical protein
OCNCDAMD_00044	gene	504				
OCNCDAMD_00044	CDS	504				hypothetical protein
OCNCDAMD_00045	gene	705	moaA			
OCNCDAMD_00045	CDS	705	moaA			GTP 3',8-cyclase
OCNCDAMD_00046	gene	903				
OCNCDAMD_00046	CDS	903				hypothetical protein
OCNCDAMD_00047	gene	474	mutS_1			
OCNCDAMD_00047	CDS	474	mutS_1			DNA mismatch repair protein MutS
OCNCDAMD_00048	gene	447				
OCNCDAMD_00048	CDS	447				hypothetical protein
OCNCDAMD_00049	gene	507				
OCNCDAMD_00049	CDS	507				hypothetical protein
OCNCDAMD_00050	gene	591				
OCNCDAMD_00050	CDS	591				hypothetical protein
OCNCDAMD_00051	gene	366				
OCNCDAMD_00051	CDS	366				hypothetical protein
OCNCDAMD_00052	gene	657				
OCNCDAMD_00052	CDS	657				hypothetical protein
OCNCDAMD_00053	gene	309				
OCNCDAMD_00053	CDS	309				hypothetical protein
OCNCDAMD_00054	gene	411				
OCNCDAMD_00054	CDS	411				hypothetical protein
OCNCDAMD_00055	gene	324				
OCNCDAMD_00055	CDS	324				hypothetical protein
OCNCDAMD_00056	gene	657				
OCNCDAMD_00056	CDS	657				hypothetical protein
OCNCDAMD_00057	gene	531				
OCNCDAMD_00057	CDS	531				hypothetical protein
OCNCDAMD_00058	gene	399	rnhA_1			
OCNCDAMD_00058	CDS	399	rnhA_1	3.1.26.4	COG3341	Ribonuclease H
OCNCDAMD_00059	gene	204				
OCNCDAMD_00059	CDS	204				hypothetical protein
OCNCDAMD_00060	gene	2064				
OCNCDAMD_00060	CDS	2064				hypothetical protein
OCNCDAMD_00061	gene	141				
OCNCDAMD_00061	CDS	141				hypothetical protein
OCNCDAMD_00062	gene	1395				
OCNCDAMD_00062	CDS	1395				hypothetical protein
OCNCDAMD_00063	gene	138				
OCNCDAMD_00063	CDS	138				hypothetical protein
OCNCDAMD_00064	gene	1170				
OCNCDAMD_00064	CDS	1170				Outer membrane protein 41
OCNCDAMD_00065	gene	462				
OCNCDAMD_00065	CDS	462				hypothetical protein
OCNCDAMD_00066	gene	945				
OCNCDAMD_00066	CDS	945				hypothetical protein
OCNCDAMD_00067	gene	85				
OCNCDAMD_00067	tRNA	85				tRNA-Leu(caa)
OCNCDAMD_00068	gene	1824	uvrC			
OCNCDAMD_00068	CDS	1824	uvrC		COG0322	UvrABC system protein C
OCNCDAMD_00069	gene	909				
OCNCDAMD_00069	CDS	909				hypothetical protein
OCNCDAMD_00070	gene	1671				
OCNCDAMD_00070	CDS	1671				hypothetical protein
OCNCDAMD_00071	gene	849				
OCNCDAMD_00071	CDS	849				hypothetical protein
OCNCDAMD_00072	gene	729				
OCNCDAMD_00072	CDS	729				hypothetical protein
OCNCDAMD_00073	gene	534				
OCNCDAMD_00073	CDS	534		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
OCNCDAMD_00074	gene	696				
OCNCDAMD_00074	CDS	696				hypothetical protein
OCNCDAMD_00075	gene	1947	frdA			
OCNCDAMD_00075	CDS	1947	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
OCNCDAMD_00076	gene	744	frdB			
OCNCDAMD_00076	CDS	744	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
OCNCDAMD_00077	gene	540				
OCNCDAMD_00077	CDS	540				hypothetical protein
OCNCDAMD_00078	gene	210				
OCNCDAMD_00078	CDS	210				hypothetical protein
OCNCDAMD_00079	gene	336				
OCNCDAMD_00079	CDS	336				hypothetical protein
OCNCDAMD_00080	gene	795				
OCNCDAMD_00080	CDS	795				hypothetical protein
OCNCDAMD_00081	gene	1350				
OCNCDAMD_00081	CDS	1350				hypothetical protein
OCNCDAMD_00082	gene	981	pfkA			
OCNCDAMD_00082	CDS	981	pfkA	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 1
OCNCDAMD_00083	gene	1002	ydjH			
OCNCDAMD_00083	CDS	1002	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
OCNCDAMD_00084	gene	900				
OCNCDAMD_00084	CDS	900				hypothetical protein
OCNCDAMD_00085	gene	2046	dsbD_1			
OCNCDAMD_00085	CDS	2046	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
OCNCDAMD_00086	gene	906	cysM			
OCNCDAMD_00086	CDS	906	cysM	2.5.1.47	COG0031	Cysteine synthase B
OCNCDAMD_00087	gene	1419				
OCNCDAMD_00087	CDS	1419		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
OCNCDAMD_00088	gene	165				
OCNCDAMD_00088	CDS	165				hypothetical protein
OCNCDAMD_00089	gene	76				
OCNCDAMD_00089	tRNA	76				tRNA-Met(cat)
OCNCDAMD_00090	gene	1782				
OCNCDAMD_00090	CDS	1782		1.18.-.-	COG0247	EtfAB:quinone oxidoreductase
OCNCDAMD_00091	gene	336				
OCNCDAMD_00091	CDS	336				hypothetical protein
OCNCDAMD_00092	gene	1008	thi4			
OCNCDAMD_00092	CDS	1008	thi4	2.4.2.59		Thiamine thiazole synthase
OCNCDAMD_00093	gene	1092	sdhE			
OCNCDAMD_00093	CDS	1092	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
OCNCDAMD_00094	gene	699				
OCNCDAMD_00094	CDS	699				hypothetical protein
OCNCDAMD_00095	gene	480				
OCNCDAMD_00095	CDS	480				IS1595 family transposase ISSsu9
OCNCDAMD_00096	gene	693	yihX			
OCNCDAMD_00096	CDS	693	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
OCNCDAMD_00097	gene	894	thyA			
OCNCDAMD_00097	CDS	894	thyA	2.1.1.45	COG0207	Thymidylate synthase
OCNCDAMD_00098	gene	783	lpxH			
OCNCDAMD_00098	CDS	783	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
OCNCDAMD_00099	gene	1140	resA_1			
OCNCDAMD_00099	CDS	1140	resA_1			Thiol-disulfide oxidoreductase ResA
OCNCDAMD_00100	gene	699				
OCNCDAMD_00100	CDS	699				hypothetical protein
OCNCDAMD_00101	gene	1134	zraR_1			
OCNCDAMD_00101	CDS	1134	zraR_1		COG2204	Transcriptional regulatory protein ZraR
OCNCDAMD_00102	gene	651	gph_1			
OCNCDAMD_00102	CDS	651	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
OCNCDAMD_00103	gene	1440	mleN			
OCNCDAMD_00103	CDS	1440	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
OCNCDAMD_00104	gene	216				
OCNCDAMD_00104	CDS	216				hypothetical protein
OCNCDAMD_00105	gene	1563	cydA			
OCNCDAMD_00105	CDS	1563	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
OCNCDAMD_00106	gene	1143	cydB			
OCNCDAMD_00106	CDS	1143	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
OCNCDAMD_00107	gene	861	fabI			
OCNCDAMD_00107	CDS	861	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
OCNCDAMD_00108	gene	88				
OCNCDAMD_00108	tRNA	88				tRNA-Ser(tga)
OCNCDAMD_00109	gene	261	hupB			
OCNCDAMD_00109	CDS	261	hupB		COG0776	DNA-binding protein HU-beta
OCNCDAMD_00110	gene	1197	aspC			
OCNCDAMD_00110	CDS	1197	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
OCNCDAMD_00111	gene	1464				
OCNCDAMD_00111	CDS	1464			COG2067	Putative outer membrane protein
OCNCDAMD_00112	gene	73				
OCNCDAMD_00112	tRNA	73				tRNA-Arg(cct)
OCNCDAMD_00113	gene	1200	sdaA			
OCNCDAMD_00113	CDS	1200	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
OCNCDAMD_00114	gene	273				
OCNCDAMD_00114	CDS	273				hypothetical protein
OCNCDAMD_00115	gene	1533				
OCNCDAMD_00115	CDS	1533				hypothetical protein
OCNCDAMD_00116	gene	246				
OCNCDAMD_00116	CDS	246				hypothetical protein
OCNCDAMD_00117	gene	792				
OCNCDAMD_00117	CDS	792				hypothetical protein
OCNCDAMD_00118	gene	1248				
OCNCDAMD_00118	CDS	1248				hypothetical protein
OCNCDAMD_00119	gene	633				
OCNCDAMD_00119	CDS	633				hypothetical protein
OCNCDAMD_00120	gene	444				
OCNCDAMD_00120	CDS	444				hypothetical protein
OCNCDAMD_00121	gene	240				
OCNCDAMD_00121	CDS	240				hypothetical protein
OCNCDAMD_00122	gene	438				
OCNCDAMD_00122	CDS	438				hypothetical protein
OCNCDAMD_00123	gene	1134				
OCNCDAMD_00123	CDS	1134				hypothetical protein
OCNCDAMD_00124	gene	369				
OCNCDAMD_00124	CDS	369				hypothetical protein
OCNCDAMD_00125	gene	453				
OCNCDAMD_00125	CDS	453				hypothetical protein
OCNCDAMD_00126	gene	1323				
OCNCDAMD_00126	CDS	1323				hypothetical protein
OCNCDAMD_00127	gene	636				
OCNCDAMD_00127	CDS	636				hypothetical protein
OCNCDAMD_00128	gene	579				
OCNCDAMD_00128	CDS	579				hypothetical protein
OCNCDAMD_00129	gene	705				
OCNCDAMD_00129	CDS	705				hypothetical protein
OCNCDAMD_00130	gene	1239	clpP_1			
OCNCDAMD_00130	CDS	1239	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
OCNCDAMD_00131	gene	1050				
OCNCDAMD_00131	CDS	1050				hypothetical protein
OCNCDAMD_00132	gene	348				
OCNCDAMD_00132	CDS	348				hypothetical protein
OCNCDAMD_00133	gene	1353				
OCNCDAMD_00133	CDS	1353				hypothetical protein
OCNCDAMD_00134	gene	420				
OCNCDAMD_00134	CDS	420				hypothetical protein
OCNCDAMD_00135	gene	492				
OCNCDAMD_00135	CDS	492				hypothetical protein
OCNCDAMD_00136	gene	765				
OCNCDAMD_00136	CDS	765				hypothetical protein
OCNCDAMD_00137	gene	783				
OCNCDAMD_00137	CDS	783				hypothetical protein
OCNCDAMD_00138	gene	984				
OCNCDAMD_00138	CDS	984				hypothetical protein
OCNCDAMD_00139	gene	357				
OCNCDAMD_00139	CDS	357				hypothetical protein
OCNCDAMD_00140	gene	186				
OCNCDAMD_00140	CDS	186				hypothetical protein
OCNCDAMD_00141	gene	3843				
OCNCDAMD_00141	CDS	3843				hypothetical protein
OCNCDAMD_00142	gene	978				
OCNCDAMD_00142	CDS	978				hypothetical protein
OCNCDAMD_00143	gene	1311				
OCNCDAMD_00143	CDS	1311				hypothetical protein
OCNCDAMD_00144	gene	1203				
OCNCDAMD_00144	CDS	1203				hypothetical protein
OCNCDAMD_00145	gene	891				
OCNCDAMD_00145	CDS	891				hypothetical protein
OCNCDAMD_00146	gene	1689				
OCNCDAMD_00146	CDS	1689				hypothetical protein
OCNCDAMD_00147	gene	2268				
OCNCDAMD_00147	CDS	2268				hypothetical protein
OCNCDAMD_00148	gene	1311				
OCNCDAMD_00148	CDS	1311				hypothetical protein
OCNCDAMD_00149	gene	765	yusV			
OCNCDAMD_00149	CDS	765	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
OCNCDAMD_00150	gene	981	hmuU_1			
OCNCDAMD_00150	CDS	981	hmuU_1		COG0609	Hemin transport system permease protein HmuU
OCNCDAMD_00151	gene	1140				
OCNCDAMD_00151	CDS	1140				hypothetical protein
OCNCDAMD_00152	gene	2058	btuB_1			
