locus_tag	ftype	length_bp	gene	EC_number	COG	product
HPAIOICP_00001	gene	739				
HPAIOICP_00001	rRNA	739				16S ribosomal RNA (partial)
HPAIOICP_00002	gene	744				
HPAIOICP_00002	CDS	744		5.2.1.8	COG0760	Putative peptidyl-prolyl cis-trans isomerase
HPAIOICP_00003	gene	76				
HPAIOICP_00003	tRNA	76				tRNA-Phe(gaa)
HPAIOICP_00004	gene	112				
HPAIOICP_00004	rRNA	112				5S ribosomal RNA
HPAIOICP_00005	gene	2898				
HPAIOICP_00005	rRNA	2898				23S ribosomal RNA
HPAIOICP_00006	gene	1509				
HPAIOICP_00006	rRNA	1509				16S ribosomal RNA
HPAIOICP_00007	gene	159				
HPAIOICP_00007	CDS	159				hypothetical protein
HPAIOICP_00008	gene	204	dltA_1			
HPAIOICP_00008	CDS	204	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
HPAIOICP_00009	gene	111				
HPAIOICP_00009	CDS	111				hypothetical protein
HPAIOICP_00010	gene	76				
HPAIOICP_00010	tRNA	76				tRNA-Phe(gaa)
HPAIOICP_00011	gene	112				
HPAIOICP_00011	rRNA	112				5S ribosomal RNA
HPAIOICP_00012	gene	2898				
HPAIOICP_00012	rRNA	2898				23S ribosomal RNA
HPAIOICP_00013	gene	1509				
HPAIOICP_00013	rRNA	1509				16S ribosomal RNA
HPAIOICP_00014	gene	1443				
HPAIOICP_00014	CDS	1443				hypothetical protein
HPAIOICP_00015	gene	1026				
HPAIOICP_00015	CDS	1026				IS6 family transposase ISCbo1
HPAIOICP_00016	gene	555				
HPAIOICP_00016	CDS	555				hypothetical protein
HPAIOICP_00017	gene	750				
HPAIOICP_00017	CDS	750				hypothetical protein
HPAIOICP_00018	gene	76				
HPAIOICP_00018	tRNA	76				tRNA-Lys(ttt)
HPAIOICP_00019	gene	112				
HPAIOICP_00019	rRNA	112				5S ribosomal RNA
HPAIOICP_00020	gene	2898				
HPAIOICP_00020	rRNA	2898				23S ribosomal RNA
HPAIOICP_00021	gene	1509				
HPAIOICP_00021	rRNA	1509				16S ribosomal RNA
HPAIOICP_00022	gene	597	tmung			
HPAIOICP_00022	CDS	597	tmung	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
HPAIOICP_00023	gene	76				
HPAIOICP_00023	tRNA	76				tRNA-Lys(ttt)
HPAIOICP_00024	gene	112				
HPAIOICP_00024	rRNA	112				5S ribosomal RNA
HPAIOICP_00025	gene	2898				
HPAIOICP_00025	rRNA	2898				23S ribosomal RNA
HPAIOICP_00026	gene	1509				
HPAIOICP_00026	rRNA	1509				16S ribosomal RNA
HPAIOICP_00027	gene	945				
HPAIOICP_00027	CDS	945				hypothetical protein
HPAIOICP_00028	gene	1110				
HPAIOICP_00028	CDS	1110				hypothetical protein
HPAIOICP_00029	gene	705				
HPAIOICP_00029	CDS	705				hypothetical protein
HPAIOICP_00030	gene	162				
HPAIOICP_00030	CDS	162				hypothetical protein
HPAIOICP_00031	gene	789	napF_1			
HPAIOICP_00031	CDS	789	napF_1			Ferredoxin-type protein NapF
HPAIOICP_00032	gene	717				
HPAIOICP_00032	CDS	717				hypothetical protein
HPAIOICP_00033	gene	486	nudC_1			
HPAIOICP_00033	CDS	486	nudC_1	3.6.1.22	COG2816	NADH pyrophosphatase
HPAIOICP_00034	gene	693	sfsA			
HPAIOICP_00034	CDS	693	sfsA		COG1489	Sugar fermentation stimulation protein A
HPAIOICP_00035	gene	261				
HPAIOICP_00035	CDS	261				hypothetical protein
HPAIOICP_00036	gene	264				
HPAIOICP_00036	CDS	264				hypothetical protein
HPAIOICP_00037	gene	597	recR			
HPAIOICP_00037	CDS	597	recR		COG0353	Recombination protein RecR
HPAIOICP_00038	gene	342				
HPAIOICP_00038	CDS	342			COG0718	Nucleoid-associated protein
HPAIOICP_00039	gene	1638				
HPAIOICP_00039	CDS	1638				hypothetical protein
HPAIOICP_00040	gene	90				
HPAIOICP_00040	tRNA	90				tRNA-Ser(gga)
HPAIOICP_00041	gene	447	tadA			
HPAIOICP_00041	CDS	447	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
HPAIOICP_00042	gene	1185	megL			
HPAIOICP_00042	CDS	1185	megL	4.4.1.11	COG0626	L-methionine gamma-lyase
HPAIOICP_00043	gene	1563	tyrR			
HPAIOICP_00043	CDS	1563	tyrR			Transcriptional regulatory protein TyrR
HPAIOICP_00044	gene	77				
HPAIOICP_00044	tRNA	77				tRNA-Arg(cct)
HPAIOICP_00045	gene	321				
HPAIOICP_00045	CDS	321				hypothetical protein
HPAIOICP_00046	gene	1599	ubiB			
HPAIOICP_00046	CDS	1599	ubiB	2.7.-.-		protein kinase UbiB
HPAIOICP_00047	gene	888	psd			
HPAIOICP_00047	CDS	888	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
HPAIOICP_00048	gene	77				
HPAIOICP_00048	tRNA	77				tRNA-Arg(acg)
HPAIOICP_00049	gene	91				
HPAIOICP_00049	tRNA	91				tRNA-Ser(gct)
HPAIOICP_00050	gene	91				
HPAIOICP_00050	tRNA	91				tRNA-Ser(tga)
HPAIOICP_00051	gene	91				
HPAIOICP_00051	tRNA	91				tRNA-Ser(gct)
HPAIOICP_00052	gene	91				
HPAIOICP_00052	tRNA	91				tRNA-Ser(tga)
HPAIOICP_00053	gene	1281	serS_1			
HPAIOICP_00053	CDS	1281	serS_1	6.1.1.11		Serine--tRNA ligase
HPAIOICP_00054	gene	354				
HPAIOICP_00054	CDS	354				hypothetical protein
HPAIOICP_00055	gene	1398	lhgD_1			
HPAIOICP_00055	CDS	1398	lhgD_1	1.1.5.-		L-2-hydroxyglutarate dehydrogenase
HPAIOICP_00056	gene	777				
HPAIOICP_00056	CDS	777				hypothetical protein
HPAIOICP_00057	gene	2682				
HPAIOICP_00057	CDS	2682				hypothetical protein
HPAIOICP_00058	gene	1164	ndhI			
HPAIOICP_00058	CDS	1164	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
HPAIOICP_00059	gene	522	niaR			
HPAIOICP_00059	CDS	522	niaR		COG1827	putative transcription repressor NiaR
HPAIOICP_00060	gene	423				
HPAIOICP_00060	CDS	423				hypothetical protein
HPAIOICP_00061	gene	76				
HPAIOICP_00061	tRNA	76				tRNA-Ala(tgc)
HPAIOICP_00062	gene	77				
HPAIOICP_00062	tRNA	77				tRNA-Met(cat)
HPAIOICP_00063	gene	112				
HPAIOICP_00063	rRNA	112				5S ribosomal RNA
HPAIOICP_00064	gene	2898				
HPAIOICP_00064	rRNA	2898				23S ribosomal RNA
HPAIOICP_00065	gene	1509				
HPAIOICP_00065	rRNA	1509				16S ribosomal RNA
HPAIOICP_00066	gene	2511	gyrA_1			
HPAIOICP_00066	CDS	2511	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
HPAIOICP_00067	gene	1914	gyrB			
HPAIOICP_00067	CDS	1914	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
