locus_tag	ftype	length_bp	gene	EC_number	COG	product
CCJDHMFG_00001	gene	363				
CCJDHMFG_00001	CDS	363				hypothetical protein
CCJDHMFG_00002	gene	612				
CCJDHMFG_00002	CDS	612				hypothetical protein
CCJDHMFG_00003	gene	558				
CCJDHMFG_00003	CDS	558				hypothetical protein
CCJDHMFG_00004	gene	1221	pepT_1			
CCJDHMFG_00004	CDS	1221	pepT_1	3.4.11.4	COG2195	Peptidase T
CCJDHMFG_00005	gene	1644	dppE_1			
CCJDHMFG_00005	CDS	1644	dppE_1		COG4166	Dipeptide-binding protein DppE
CCJDHMFG_00006	gene	954	yclQ			
CCJDHMFG_00006	CDS	954	yclQ		COG4607	Petrobactin-binding protein YclQ
CCJDHMFG_00007	gene	756	yclP			
CCJDHMFG_00007	CDS	756	yclP	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
CCJDHMFG_00008	gene	966	yclO			
CCJDHMFG_00008	CDS	966	yclO		COG4605	Petrobactin import system permease protein YclO
CCJDHMFG_00009	gene	948	yclN			
CCJDHMFG_00009	CDS	948	yclN		COG4606	Petrobactin import system permease protein YclN
CCJDHMFG_00010	gene	453	yueI			
CCJDHMFG_00010	CDS	453	yueI		COG5506	putative protein YueI
CCJDHMFG_00011	gene	2271	gshAB			
CCJDHMFG_00011	CDS	2271	gshAB		COG1181	Glutathione biosynthesis bifunctional protein GshAB
CCJDHMFG_00012	gene	501	sttH			
CCJDHMFG_00012	CDS	501	sttH	3.5.2.19		Streptothricin hydrolase
CCJDHMFG_00013	gene	897				
CCJDHMFG_00013	CDS	897				hypothetical protein
CCJDHMFG_00014	gene	399				
CCJDHMFG_00014	CDS	399				hypothetical protein
CCJDHMFG_00015	gene	486				
CCJDHMFG_00015	CDS	486				hypothetical protein
CCJDHMFG_00016	gene	1329	ftsY			
CCJDHMFG_00016	CDS	1329	ftsY			Signal recognition particle receptor FtsY
CCJDHMFG_00017	gene	828	yidA_1			
CCJDHMFG_00017	CDS	828	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
CCJDHMFG_00018	gene	3579	smc			
CCJDHMFG_00018	CDS	3579	smc		COG1196	Chromosome partition protein Smc
CCJDHMFG_00019	gene	732	rnc			
CCJDHMFG_00019	CDS	732	rnc	3.1.26.3	COG0571	Ribonuclease 3
CCJDHMFG_00020	gene	1779				
CCJDHMFG_00020	CDS	1779				hypothetical protein
CCJDHMFG_00021	gene	924				
CCJDHMFG_00021	CDS	924				hypothetical protein
CCJDHMFG_00022	gene	963	gsiC			
CCJDHMFG_00022	CDS	963	gsiC		COG0601	Glutathione transport system permease protein GsiC
CCJDHMFG_00023	gene	945	oppF_1			
CCJDHMFG_00023	CDS	945	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
CCJDHMFG_00024	gene	1041	oppD_1			
CCJDHMFG_00024	CDS	1041	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
CCJDHMFG_00025	gene	240	acpP			
CCJDHMFG_00025	CDS	240	acpP		COG0236	Acyl carrier protein
CCJDHMFG_00026	gene	1002	plsX			
CCJDHMFG_00026	CDS	1002	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
CCJDHMFG_00027	gene	2037	recG			
CCJDHMFG_00027	CDS	2037	recG	3.6.4.12		ATP-dependent DNA helicase RecG
CCJDHMFG_00028	gene	1677				
CCJDHMFG_00028	CDS	1677				putative protein
CCJDHMFG_00029	gene	363				
CCJDHMFG_00029	CDS	363				putative protein
CCJDHMFG_00030	gene	720	agrA_1			
CCJDHMFG_00030	CDS	720	agrA_1		COG3279	Accessory gene regulator protein A
CCJDHMFG_00031	gene	1326				
CCJDHMFG_00031	CDS	1326				hypothetical protein
CCJDHMFG_00032	gene	1233	yhaP_1			
CCJDHMFG_00032	CDS	1233	yhaP_1		COG1668	putative protein YhaP
CCJDHMFG_00033	gene	891	btuD_1			
CCJDHMFG_00033	CDS	891	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CCJDHMFG_00034	gene	189	rpmB			
CCJDHMFG_00034	CDS	189	rpmB			50S ribosomal protein L28
CCJDHMFG_00035	gene	645	thiN			
CCJDHMFG_00035	CDS	645	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
CCJDHMFG_00036	gene	654	rpe			
CCJDHMFG_00036	CDS	654	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
CCJDHMFG_00037	gene	894	rsgA			
CCJDHMFG_00037	CDS	894	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
CCJDHMFG_00038	gene	2157	pknD			
CCJDHMFG_00038	CDS	2157	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
CCJDHMFG_00039	gene	750				
CCJDHMFG_00039	CDS	750		3.1.3.16		Putative protein phosphatase 2C-type
CCJDHMFG_00040	gene	1380	rsmB			
CCJDHMFG_00040	CDS	1380	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
CCJDHMFG_00041	gene	942	fmt			
CCJDHMFG_00041	CDS	942	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
CCJDHMFG_00042	gene	495	def1			
CCJDHMFG_00042	CDS	495	def1	3.5.1.88	COG0242	Peptide deformylase 1
CCJDHMFG_00043	gene	2433	priA			
CCJDHMFG_00043	CDS	2433	priA	3.6.4.-	COG1198	Primosomal protein N'
CCJDHMFG_00044	gene	303	rpoZ			
CCJDHMFG_00044	CDS	303	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
CCJDHMFG_00045	gene	615	gmk_1			
CCJDHMFG_00045	CDS	615	gmk_1	2.7.4.8	COG0194	Guanylate kinase
CCJDHMFG_00046	gene	1482				
CCJDHMFG_00046	CDS	1482				hypothetical protein
CCJDHMFG_00047	gene	288				
CCJDHMFG_00047	CDS	288				hypothetical protein
CCJDHMFG_00048	gene	885				
CCJDHMFG_00048	CDS	885				hypothetical protein
CCJDHMFG_00049	gene	219				
CCJDHMFG_00049	CDS	219				hypothetical protein
CCJDHMFG_00050	gene	471				
CCJDHMFG_00050	CDS	471				hypothetical protein
CCJDHMFG_00051	gene	654	eda			
CCJDHMFG_00051	CDS	654	eda		COG0800	Putative KHG/KDPG aldolase
CCJDHMFG_00052	gene	1074	uxuA			
CCJDHMFG_00052	CDS	1074	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
CCJDHMFG_00053	gene	453	manX_1			
CCJDHMFG_00053	CDS	453	manX_1	2.7.1.191		PTS system mannose-specific EIIAB component
CCJDHMFG_00054	gene	507	sorB_1			
CCJDHMFG_00054	CDS	507	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
CCJDHMFG_00055	gene	873	manZ_1			
CCJDHMFG_00055	CDS	873	manZ_1		COG3716	PTS system mannose-specific EIID component
CCJDHMFG_00056	gene	837	sorA_1			
CCJDHMFG_00056	CDS	837	sorA_1		COG3715	PTS system sorbose-specific EIIC component
CCJDHMFG_00057	gene	1107	hcxA_1			
CCJDHMFG_00057	CDS	1107	hcxA_1	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
CCJDHMFG_00058	gene	1002	ghrB_1			
CCJDHMFG_00058	CDS	1002	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
CCJDHMFG_00059	gene	936				
CCJDHMFG_00059	CDS	936		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
CCJDHMFG_00060	gene	888	hexR			
CCJDHMFG_00060	CDS	888	hexR		COG1737	HTH-type transcriptional regulator HexR
CCJDHMFG_00061	gene	1785	lmrA			
CCJDHMFG_00061	CDS	1785	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
CCJDHMFG_00062	gene	600				
CCJDHMFG_00062	CDS	600				hypothetical protein
CCJDHMFG_00063	gene	579	pgsA			
CCJDHMFG_00063	CDS	579	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
CCJDHMFG_00064	gene	213				
CCJDHMFG_00064	CDS	213				hypothetical protein
CCJDHMFG_00065	gene	867				
CCJDHMFG_00065	CDS	867				hypothetical protein
CCJDHMFG_00066	gene	1305				
CCJDHMFG_00066	CDS	1305				hypothetical protein
CCJDHMFG_00067	gene	1269				
CCJDHMFG_00067	CDS	1269				hypothetical protein
CCJDHMFG_00068	gene	450	mscL			
CCJDHMFG_00068	CDS	450	mscL		COG1970	Large-conductance mechanosensitive channel
CCJDHMFG_00069	gene	714				
CCJDHMFG_00069	CDS	714				hypothetical protein
CCJDHMFG_00070	gene	711				
CCJDHMFG_00070	CDS	711				hypothetical protein
CCJDHMFG_00071	gene	714	treR			
CCJDHMFG_00071	CDS	714	treR		COG2188	HTH-type transcriptional regulator TreR
CCJDHMFG_00072	gene	177				
CCJDHMFG_00072	CDS	177				hypothetical protein
CCJDHMFG_00073	gene	2712	trePP			
CCJDHMFG_00073	CDS	2712	trePP	2.4.1.216	COG1554	Trehalose 6-phosphate phosphorylase
CCJDHMFG_00074	gene	651	yvdM			
CCJDHMFG_00074	CDS	651	yvdM	5.4.2.6	COG0637	Beta-phosphoglucomutase
CCJDHMFG_00075	gene	126				
CCJDHMFG_00075	CDS	126				hypothetical protein
CCJDHMFG_00076	gene	972	prs			
CCJDHMFG_00076	CDS	972	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
CCJDHMFG_00077	gene	519	msrB			
CCJDHMFG_00077	CDS	519	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
CCJDHMFG_00078	gene	555	maf			
CCJDHMFG_00078	CDS	555	maf	3.6.1.9	COG0424	dTTP/UTP pyrophosphatase
CCJDHMFG_00079	gene	2133	mutL			
CCJDHMFG_00079	CDS	2133	mutL			DNA mismatch repair protein MutL
CCJDHMFG_00080	gene	2577	mutS			
CCJDHMFG_00080	CDS	2577	mutS		COG0249	DNA mismatch repair protein MutS
CCJDHMFG_00081	gene	372	ymcA			
CCJDHMFG_00081	CDS	372	ymcA		COG4550	putative protein YmcA
CCJDHMFG_00082	gene	798	ymdB			
CCJDHMFG_00082	CDS	798	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
CCJDHMFG_00083	gene	1557	rny			
CCJDHMFG_00083	CDS	1557	rny	3.1.-.-	COG1418	Ribonuclease Y
CCJDHMFG_00084	gene	1047	recA			
CCJDHMFG_00084	CDS	1047	recA		COG0468	Protein RecA
CCJDHMFG_00085	gene	1245	cinA			
CCJDHMFG_00085	CDS	1245	cinA		COG1058	Putative competence-damage inducible protein
CCJDHMFG_00086	gene	1206				
CCJDHMFG_00086	CDS	1206				hypothetical protein
CCJDHMFG_00087	gene	126				
CCJDHMFG_00087	CDS	126				hypothetical protein
CCJDHMFG_00088	gene	264				
CCJDHMFG_00088	CDS	264				hypothetical protein
CCJDHMFG_00089	gene	2130	lagD_1			
CCJDHMFG_00089	CDS	2130	lagD_1	3.4.22.-		Lactococcin-G-processing and transport ATP-binding protein LagD
CCJDHMFG_00090	gene	702				
CCJDHMFG_00090	CDS	702				hypothetical protein
CCJDHMFG_00091	gene	2985				
CCJDHMFG_00091	CDS	2985				hypothetical protein
CCJDHMFG_00092	gene	198				
CCJDHMFG_00092	CDS	198				hypothetical protein
CCJDHMFG_00093	gene	210				
CCJDHMFG_00093	CDS	210				hypothetical protein
CCJDHMFG_00094	gene	504				
CCJDHMFG_00094	CDS	504				hypothetical protein
CCJDHMFG_00095	gene	354				
CCJDHMFG_00095	CDS	354				hypothetical protein
CCJDHMFG_00096	gene	222				
CCJDHMFG_00096	CDS	222				hypothetical protein
CCJDHMFG_00097	gene	621				
CCJDHMFG_00097	CDS	621				hypothetical protein
CCJDHMFG_00098	gene	426	ywnA			
CCJDHMFG_00098	CDS	426	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
CCJDHMFG_00099	gene	384	yccF			
CCJDHMFG_00099	CDS	384	yccF		COG3304	Inner membrane protein YccF
CCJDHMFG_00100	gene	792				
CCJDHMFG_00100	CDS	792				hypothetical protein
CCJDHMFG_00101	gene	1137	dapE_1			
CCJDHMFG_00101	CDS	1137	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
CCJDHMFG_00102	gene	885	rsiV			
CCJDHMFG_00102	CDS	885	rsiV			Anti-sigma-V factor RsiV
CCJDHMFG_00103	gene	498	sigV			
CCJDHMFG_00103	CDS	498	sigV		COG1595	RNA polymerase sigma factor SigV
CCJDHMFG_00104	gene	1482				
CCJDHMFG_00104	CDS	1482				hypothetical protein
CCJDHMFG_00105	gene	486				
CCJDHMFG_00105	CDS	486				hypothetical protein
CCJDHMFG_00106	gene	1074				
CCJDHMFG_00106	CDS	1074				hypothetical protein
CCJDHMFG_00107	gene	759				
CCJDHMFG_00107	CDS	759				hypothetical protein
CCJDHMFG_00108	gene	801				
CCJDHMFG_00108	CDS	801				hypothetical protein
CCJDHMFG_00109	gene	735				
CCJDHMFG_00109	CDS	735				hypothetical protein
CCJDHMFG_00110	gene	390				
CCJDHMFG_00110	CDS	390				hypothetical protein
CCJDHMFG_00111	gene	4860				
CCJDHMFG_00111	CDS	4860				hypothetical protein
CCJDHMFG_00112	gene	1014	aes			
CCJDHMFG_00112	CDS	1014	aes	3.1.1.-		Acetyl esterase
CCJDHMFG_00113	gene	546	rutB			
CCJDHMFG_00113	CDS	546	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
CCJDHMFG_00114	gene	684	lrgB			
CCJDHMFG_00114	CDS	684	lrgB		COG1346	Antiholin-like protein LrgB
CCJDHMFG_00115	gene	420	lrgA			
CCJDHMFG_00115	CDS	420	lrgA		COG1380	Antiholin-like protein LrgA
CCJDHMFG_00116	gene	729	lytR			
CCJDHMFG_00116	CDS	729	lytR		COG3279	Sensory transduction protein LytR
CCJDHMFG_00117	gene	1770	ypdA			
CCJDHMFG_00117	CDS	1770	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
CCJDHMFG_00118	gene	819	metQ_1			
CCJDHMFG_00118	CDS	819	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
CCJDHMFG_00119	gene	672	metI			
CCJDHMFG_00119	CDS	672	metI		COG2011	D-methionine transport system permease protein MetI
CCJDHMFG_00120	gene	723	metN_1			
CCJDHMFG_00120	CDS	723	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
CCJDHMFG_00121	gene	399				
CCJDHMFG_00121	CDS	399				hypothetical protein
CCJDHMFG_00122	gene	270	rpsN2			
CCJDHMFG_00122	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
CCJDHMFG_00123	gene	150	rpmGA_1			
CCJDHMFG_00123	CDS	150	rpmGA_1			50S ribosomal protein L33 1
CCJDHMFG_00124	gene	975	yjiA			
CCJDHMFG_00124	CDS	975	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
CCJDHMFG_00125	gene	123				
CCJDHMFG_00125	CDS	123				hypothetical protein
CCJDHMFG_00126	gene	1536				
CCJDHMFG_00126	CDS	1536				hypothetical protein
CCJDHMFG_00127	gene	975	dus			
CCJDHMFG_00127	CDS	975	dus	1.3.1.-		putative tRNA-dihydrouridine synthase
CCJDHMFG_00128	gene	771	yadH			
CCJDHMFG_00128	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
CCJDHMFG_00129	gene	936	yadG			
CCJDHMFG_00129	CDS	936	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
CCJDHMFG_00130	gene	420				
CCJDHMFG_00130	CDS	420				hypothetical protein
CCJDHMFG_00131	gene	492				
CCJDHMFG_00131	CDS	492		2.7.1.-		putative phosphotransferase enzyme IIB component
CCJDHMFG_00132	gene	816	agaC_1			
CCJDHMFG_00132	CDS	816	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
CCJDHMFG_00133	gene	828	manZ_2			
CCJDHMFG_00133	CDS	828	manZ_2		COG3716	PTS system mannose-specific EIID component
CCJDHMFG_00134	gene	2520	dgaR_1			
CCJDHMFG_00134	CDS	2520	dgaR_1			Transcriptional regulatory protein DagR
CCJDHMFG_00135	gene	1467	bglH_1			
CCJDHMFG_00135	CDS	1467	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
CCJDHMFG_00136	gene	1404	bglF_1			
CCJDHMFG_00136	CDS	1404	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
CCJDHMFG_00137	gene	999	rhaS_1			
CCJDHMFG_00137	CDS	999	rhaS_1			HTH-type transcriptional activator RhaS
CCJDHMFG_00138	gene	402				
CCJDHMFG_00138	CDS	402				hypothetical protein
CCJDHMFG_00139	gene	1911				
CCJDHMFG_00139	CDS	1911				hypothetical protein
CCJDHMFG_00140	gene	3462				
CCJDHMFG_00140	CDS	3462				hypothetical protein
CCJDHMFG_00141	gene	2430				
CCJDHMFG_00141	CDS	2430				hypothetical protein
CCJDHMFG_00142	gene	1269	aplIM			
CCJDHMFG_00142	CDS	1269	aplIM	2.1.1.37	COG0270	Modification methylase AplI
CCJDHMFG_00143	gene	168				
CCJDHMFG_00143	CDS	168				hypothetical protein
CCJDHMFG_00144	gene	393	rpsI			
CCJDHMFG_00144	CDS	393	rpsI		COG0103	30S ribosomal protein S9
CCJDHMFG_00145	gene	546				
CCJDHMFG_00145	CDS	546				hypothetical protein
CCJDHMFG_00146	gene	468	dps			
CCJDHMFG_00146	CDS	468	dps	1.16.-.-	COG0783	DNA protection during starvation protein
CCJDHMFG_00147	gene	720				
CCJDHMFG_00147	CDS	720				hypothetical protein
CCJDHMFG_00148	gene	1521	xylB			
CCJDHMFG_00148	CDS	1521	xylB	2.7.1.17	COG1070	Xylulose kinase
CCJDHMFG_00149	gene	693	comC			
CCJDHMFG_00149	CDS	693	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
CCJDHMFG_00150	gene	3654	rpoC			
CCJDHMFG_00150	CDS	3654	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
CCJDHMFG_00151	gene	3615	rpoB			
CCJDHMFG_00151	CDS	3615	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
CCJDHMFG_00152	gene	138				
CCJDHMFG_00152	CDS	138				hypothetical protein
