locus_tag	ftype	length_bp	gene	EC_number	COG	product
ADNOIGGM_00001	gene	1332	dnaA			
ADNOIGGM_00001	CDS	1332	dnaA			Chromosomal replication initiator protein DnaA
ADNOIGGM_00002	gene	1110	dnaN			
ADNOIGGM_00002	CDS	1110	dnaN		COG0592	Beta sliding clamp
ADNOIGGM_00003	gene	216				
ADNOIGGM_00003	CDS	216				hypothetical protein
ADNOIGGM_00004	gene	1089	recF			
ADNOIGGM_00004	CDS	1089	recF		COG1195	DNA replication and repair protein RecF
ADNOIGGM_00005	gene	1932	gyrB			
ADNOIGGM_00005	CDS	1932	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
ADNOIGGM_00006	gene	2469	gyrA			
ADNOIGGM_00006	CDS	2469	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
ADNOIGGM_00007	gene	366				
ADNOIGGM_00007	CDS	366				hypothetical protein
ADNOIGGM_00008	gene	1287	serS			
ADNOIGGM_00008	CDS	1287	serS	6.1.1.11	COG0172	Serine--tRNA ligase
ADNOIGGM_00009	gene	507				
ADNOIGGM_00009	CDS	507				hypothetical protein
ADNOIGGM_00010	gene	453	tadA_1			
ADNOIGGM_00010	CDS	453	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
ADNOIGGM_00011	gene	1803	ruvB_1			
ADNOIGGM_00011	CDS	1803	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
ADNOIGGM_00012	gene	591	recR			
ADNOIGGM_00012	CDS	591	recR		COG0353	Recombination protein RecR
ADNOIGGM_00013	gene	621	tmk_1			
ADNOIGGM_00013	CDS	621	tmk_1	2.7.4.9	COG0125	Thymidylate kinase
ADNOIGGM_00014	gene	945				
ADNOIGGM_00014	CDS	945				hypothetical protein
ADNOIGGM_00015	gene	843				
ADNOIGGM_00015	CDS	843				hypothetical protein
ADNOIGGM_00016	gene	738	yfiC			
ADNOIGGM_00016	CDS	738	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
ADNOIGGM_00017	gene	849	rsmI			
ADNOIGGM_00017	CDS	849	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
ADNOIGGM_00018	gene	1344	pdaC			
ADNOIGGM_00018	CDS	1344	pdaC	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC
ADNOIGGM_00019	gene	1962	metG			
ADNOIGGM_00019	CDS	1962	metG	6.1.1.10		Methionine--tRNA ligase
ADNOIGGM_00020	gene	1086				
ADNOIGGM_00020	CDS	1086				hypothetical protein
ADNOIGGM_00021	gene	780				
ADNOIGGM_00021	CDS	780				hypothetical protein
ADNOIGGM_00022	gene	537				
ADNOIGGM_00022	CDS	537				hypothetical protein
ADNOIGGM_00023	gene	642				
ADNOIGGM_00023	CDS	642			COG0325	Pyridoxal phosphate homeostasis protein
ADNOIGGM_00024	gene	438	slyA_1			
ADNOIGGM_00024	CDS	438	slyA_1			Transcriptional regulator SlyA
ADNOIGGM_00025	gene	4230				
ADNOIGGM_00025	CDS	4230				hypothetical protein
ADNOIGGM_00026	gene	402				
ADNOIGGM_00026	CDS	402				hypothetical protein
ADNOIGGM_00027	gene	114				
ADNOIGGM_00027	CDS	114				hypothetical protein
ADNOIGGM_00028	gene	1026				
ADNOIGGM_00028	CDS	1026				hypothetical protein
ADNOIGGM_00029	gene	537	rnmV			
ADNOIGGM_00029	CDS	537	rnmV	3.1.26.8	COG1658	Ribonuclease M5
ADNOIGGM_00030	gene	819	rsmA			
ADNOIGGM_00030	CDS	819	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
ADNOIGGM_00031	gene	738	yabG			
ADNOIGGM_00031	CDS	738	yabG	3.4.-.-		Sporulation-specific protease YabG
ADNOIGGM_00032	gene	858	ispE			
ADNOIGGM_00032	CDS	858	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
ADNOIGGM_00033	gene	1380	glmU_1			
ADNOIGGM_00033	CDS	1380	glmU_1			Bifunctional protein GlmU
ADNOIGGM_00034	gene	957	prs			
ADNOIGGM_00034	CDS	957	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
ADNOIGGM_00035	gene	1554				
