locus_tag	ftype	length_bp	gene	EC_number	COG	product
GFCNNLLB_00001	gene	1356	pqqE			
GFCNNLLB_00001	CDS	1356	pqqE	1.21.98.4		PqqA peptide cyclase
GFCNNLLB_00002	gene	714				
GFCNNLLB_00002	CDS	714				hypothetical protein
GFCNNLLB_00003	gene	1179	purH			
GFCNNLLB_00003	CDS	1179	purH	3.5.4.10		Bifunctional purine biosynthesis protein PurH
GFCNNLLB_00004	gene	579	mntP_1			
GFCNNLLB_00004	CDS	579	mntP_1		COG1971	putative manganese efflux pump MntP
GFCNNLLB_00005	gene	582				
GFCNNLLB_00005	CDS	582				hypothetical protein
GFCNNLLB_00006	gene	843				
GFCNNLLB_00006	CDS	843				hypothetical protein
GFCNNLLB_00007	gene	1116	adh1			
GFCNNLLB_00007	CDS	1116	adh1	1.1.1.192	COG1454	Long-chain-alcohol dehydrogenase 1
GFCNNLLB_00008	gene	1323	eno_1			
GFCNNLLB_00008	CDS	1323	eno_1	4.2.1.11	COG0148	Enolase
GFCNNLLB_00009	gene	243	secG			
GFCNNLLB_00009	CDS	243	secG		COG1314	putative protein-export membrane protein SecG
GFCNNLLB_00010	gene	2157	rnr			
GFCNNLLB_00010	CDS	2157	rnr	3.1.13.1	COG0557	Ribonuclease R
GFCNNLLB_00011	gene	465	smpB			
GFCNNLLB_00011	CDS	465	smpB		COG0691	SsrA-binding protein
GFCNNLLB_00012	gene	234				
GFCNNLLB_00012	CDS	234				hypothetical protein
GFCNNLLB_00013	gene	1755				
GFCNNLLB_00013	CDS	1755				hypothetical protein
GFCNNLLB_00014	gene	7365				
GFCNNLLB_00014	CDS	7365				hypothetical protein
GFCNNLLB_00015	gene	132				
GFCNNLLB_00015	CDS	132				hypothetical protein
GFCNNLLB_00016	gene	349	ssrA			
GFCNNLLB_00016	tmRNA	349	ssrA			transfer-messenger RNA, SsrA
GFCNNLLB_00017	gene	1092	apbE_1			
GFCNNLLB_00017	CDS	1092	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
GFCNNLLB_00018	gene	1752	rsxG			
GFCNNLLB_00018	CDS	1752	rsxG	7.-.-.-		Ion-translocating oxidoreductase complex subunit G
GFCNNLLB_00019	gene	435				
GFCNNLLB_00019	CDS	435				hypothetical protein
GFCNNLLB_00020	gene	849				
GFCNNLLB_00020	CDS	849				hypothetical protein
GFCNNLLB_00021	gene	3828				
GFCNNLLB_00021	CDS	3828				hypothetical protein
GFCNNLLB_00022	gene	684	srrA_1			
GFCNNLLB_00022	CDS	684	srrA_1		COG0745	Transcriptional regulatory protein SrrA
GFCNNLLB_00023	gene	1506	sasA_1			
GFCNNLLB_00023	CDS	1506	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
GFCNNLLB_00024	gene	606	hisH			
GFCNNLLB_00024	CDS	606	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
GFCNNLLB_00025	gene	762	hisF_1			
GFCNNLLB_00025	CDS	762	hisF_1	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
GFCNNLLB_00026	gene	669	ung			
GFCNNLLB_00026	CDS	669	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
