locus_tag	ftype	length_bp	gene	EC_number	COG	product
MMFNHPEI_00001	gene	747				
MMFNHPEI_00001	CDS	747				hypothetical protein
MMFNHPEI_00002	gene	798				
MMFNHPEI_00002	CDS	798				hypothetical protein
MMFNHPEI_00003	gene	1755	ifcA_1			
MMFNHPEI_00003	CDS	1755	ifcA_1	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
MMFNHPEI_00004	gene	3843				
MMFNHPEI_00004	CDS	3843				hypothetical protein
MMFNHPEI_00005	gene	996	mazG			
MMFNHPEI_00005	CDS	996	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
MMFNHPEI_00006	gene	465				
MMFNHPEI_00006	CDS	465				hypothetical protein
MMFNHPEI_00007	gene	900				
MMFNHPEI_00007	CDS	900				hypothetical protein
MMFNHPEI_00008	gene	1662	hcp			
MMFNHPEI_00008	CDS	1662	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
MMFNHPEI_00009	gene	675				
MMFNHPEI_00009	CDS	675				hypothetical protein
MMFNHPEI_00010	gene	645	rutB_1			
MMFNHPEI_00010	CDS	645	rutB_1	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
MMFNHPEI_00011	gene	858	rlmB_1			
MMFNHPEI_00011	CDS	858	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
MMFNHPEI_00012	gene	342				
MMFNHPEI_00012	CDS	342				hypothetical protein
MMFNHPEI_00013	gene	285				
MMFNHPEI_00013	CDS	285				hypothetical protein
MMFNHPEI_00014	gene	1812	mdtD_1			
MMFNHPEI_00014	CDS	1812	mdtD_1			Putative multidrug resistance protein MdtD
MMFNHPEI_00015	gene	858				
MMFNHPEI_00015	CDS	858				hypothetical protein
MMFNHPEI_00016	gene	432				
MMFNHPEI_00016	CDS	432				hypothetical protein
MMFNHPEI_00017	gene	1371	rclA_1			
MMFNHPEI_00017	CDS	1371	rclA_1		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MMFNHPEI_00018	gene	423	glpE_1			
MMFNHPEI_00018	CDS	423	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
MMFNHPEI_00019	gene	1371	rclA_2			
MMFNHPEI_00019	CDS	1371	rclA_2		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MMFNHPEI_00020	gene	384	glpE_2			
MMFNHPEI_00020	CDS	384	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
MMFNHPEI_00021	gene	150				
MMFNHPEI_00021	CDS	150				hypothetical protein
MMFNHPEI_00022	gene	711	aqpZ			
MMFNHPEI_00022	CDS	711	aqpZ		COG0580	Aquaporin Z
MMFNHPEI_00023	gene	897				
MMFNHPEI_00023	CDS	897				hypothetical protein
MMFNHPEI_00024	gene	948				
MMFNHPEI_00024	CDS	948				hypothetical protein
MMFNHPEI_00025	gene	996				
MMFNHPEI_00025	CDS	996				hypothetical protein
MMFNHPEI_00026	gene	1317				
MMFNHPEI_00026	CDS	1317				hypothetical protein
MMFNHPEI_00027	gene	1029				
MMFNHPEI_00027	CDS	1029				hypothetical protein
MMFNHPEI_00028	gene	507				
MMFNHPEI_00028	CDS	507				hypothetical protein
