locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFKGJLAG_00001	gene	690	degU			
DFKGJLAG_00001	CDS	690	degU		COG2197	Transcriptional regulatory protein DegU
DFKGJLAG_00002	gene	1260	hutI_1			
DFKGJLAG_00002	CDS	1260	hutI_1	3.5.2.7	COG1228	Imidazolonepropionase
DFKGJLAG_00003	gene	897				
DFKGJLAG_00003	CDS	897		2.1.2.5	COG3643	Glutamate formimidoyltransferase
DFKGJLAG_00004	gene	2013	hutU			
DFKGJLAG_00004	CDS	2013	hutU	4.2.1.49		Urocanate hydratase
DFKGJLAG_00005	gene	1530	hutH			
DFKGJLAG_00005	CDS	1530	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
DFKGJLAG_00006	gene	1008	ccpA			
DFKGJLAG_00006	CDS	1008	ccpA		COG1609	Catabolite control protein A
DFKGJLAG_00007	gene	5382				
DFKGJLAG_00007	CDS	5382				hypothetical protein
DFKGJLAG_00008	gene	441				
DFKGJLAG_00008	CDS	441				hypothetical protein
DFKGJLAG_00009	gene	885	dagK_1			
DFKGJLAG_00009	CDS	885	dagK_1	2.7.1.107		Diacylglycerol kinase
DFKGJLAG_00010	gene	453				
DFKGJLAG_00010	CDS	453				hypothetical protein
DFKGJLAG_00011	gene	390				
DFKGJLAG_00011	CDS	390				hypothetical protein
DFKGJLAG_00012	gene	201				
DFKGJLAG_00012	CDS	201				hypothetical protein
DFKGJLAG_00013	gene	1749	yheI			
DFKGJLAG_00013	CDS	1749	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
DFKGJLAG_00014	gene	2001	yheH			
DFKGJLAG_00014	CDS	2001	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
DFKGJLAG_00015	gene	801	hisK			
DFKGJLAG_00015	CDS	801	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
DFKGJLAG_00016	gene	162				
DFKGJLAG_00016	CDS	162				hypothetical protein
DFKGJLAG_00017	gene	1743	ftsH_1			
DFKGJLAG_00017	CDS	1743	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
DFKGJLAG_00018	gene	273				
DFKGJLAG_00018	CDS	273				hypothetical protein
DFKGJLAG_00019	gene	621				
DFKGJLAG_00019	CDS	621				hypothetical protein
DFKGJLAG_00020	gene	900	rluD_1			
DFKGJLAG_00020	CDS	900	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
DFKGJLAG_00021	gene	807	nadK			
DFKGJLAG_00021	CDS	807	nadK	2.7.1.23		NAD kinase
DFKGJLAG_00022	gene	1797	pepF1_1			
DFKGJLAG_00022	CDS	1797	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
DFKGJLAG_00023	gene	1428	pbpA			
DFKGJLAG_00023	CDS	1428	pbpA		COG0768	Penicillin-binding protein A
DFKGJLAG_00024	gene	1239	mrdB_1			
DFKGJLAG_00024	CDS	1239	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
DFKGJLAG_00025	gene	429	fhaB			
DFKGJLAG_00025	CDS	429	fhaB		COG1716	FHA domain-containing protein FhaB
DFKGJLAG_00026	gene	450				
DFKGJLAG_00026	CDS	450				hypothetical protein
DFKGJLAG_00027	gene	612	recX			
DFKGJLAG_00027	CDS	612	recX			Regulatory protein RecX
DFKGJLAG_00028	gene	240				
DFKGJLAG_00028	CDS	240				hypothetical protein
DFKGJLAG_00029	gene	348				
DFKGJLAG_00029	CDS	348				hypothetical protein
DFKGJLAG_00030	gene	1509				
DFKGJLAG_00030	CDS	1509				hypothetical protein
DFKGJLAG_00031	gene	1401	rcsC_1			
DFKGJLAG_00031	CDS	1401	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DFKGJLAG_00032	gene	693	phoP			
DFKGJLAG_00032	CDS	693	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
DFKGJLAG_00033	gene	882				
DFKGJLAG_00033	CDS	882				hypothetical protein
DFKGJLAG_00034	gene	1737				
DFKGJLAG_00034	CDS	1737		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
DFKGJLAG_00035	gene	912	bglK			
DFKGJLAG_00035	CDS	912	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
DFKGJLAG_00036	gene	1242	nagZ			
