locus_tag	ftype	length_bp	gene	EC_number	COG	product
LBDDMPJK_00001	gene	1528				
LBDDMPJK_00001	rRNA	1528				16S ribosomal RNA
LBDDMPJK_00002	gene	1233	bdhA			
LBDDMPJK_00002	CDS	1233	bdhA	1.1.1.-	COG1979	NADH-dependent butanol dehydrogenase A
LBDDMPJK_00003	gene	939	arnC_1			
LBDDMPJK_00003	CDS	939	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
LBDDMPJK_00004	gene	1026				
LBDDMPJK_00004	CDS	1026				hypothetical protein
LBDDMPJK_00005	gene	3237	mupB			
LBDDMPJK_00005	CDS	3237	mupB			mupirocin-resistant isoleucine--tRNA ligase MupB
LBDDMPJK_00006	gene	840	sacY			
LBDDMPJK_00006	CDS	840	sacY		COG3711	Levansucrase and sucrase synthesis operon antiterminator
LBDDMPJK_00007	gene	2163	glcB			
LBDDMPJK_00007	CDS	2163	glcB		COG2190	PTS system glucoside-specific EIICBA component
LBDDMPJK_00008	gene	921				
LBDDMPJK_00008	CDS	921				hypothetical protein
LBDDMPJK_00009	gene	219				
LBDDMPJK_00009	CDS	219				hypothetical protein
LBDDMPJK_00010	gene	939				
LBDDMPJK_00010	CDS	939				hypothetical protein
LBDDMPJK_00011	gene	429				
LBDDMPJK_00011	CDS	429				hypothetical protein
LBDDMPJK_00012	gene	1524	dinB			
LBDDMPJK_00012	CDS	1524	dinB	2.7.7.7		DNA polymerase IV
LBDDMPJK_00013	gene	2472	glgP			
LBDDMPJK_00013	CDS	2472	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
LBDDMPJK_00014	gene	891				
LBDDMPJK_00014	CDS	891				hypothetical protein
LBDDMPJK_00015	gene	828				
LBDDMPJK_00015	CDS	828				hypothetical protein
LBDDMPJK_00016	gene	843	cpsB_1			
LBDDMPJK_00016	CDS	843	cpsB_1	3.1.3.48	COG4464	Tyrosine-protein phosphatase CpsB
LBDDMPJK_00017	gene	6138				
LBDDMPJK_00017	CDS	6138				hypothetical protein
LBDDMPJK_00018	gene	246				
LBDDMPJK_00018	CDS	246				hypothetical protein
LBDDMPJK_00019	gene	1083	murG_1			
