locus_tag	ftype	length_bp	gene	EC_number	COG	product
FPMJAHEA_00001	gene	1074	hrcA			
FPMJAHEA_00001	CDS	1074	hrcA		COG1420	Heat-inducible transcription repressor HrcA
FPMJAHEA_00002	gene	618	grpE			
FPMJAHEA_00002	CDS	618	grpE			Protein GrpE
FPMJAHEA_00003	gene	1827	dnaK_1			
FPMJAHEA_00003	CDS	1827	dnaK_1		COG0443	Chaperone protein DnaK
FPMJAHEA_00004	gene	1173	dnaJ_1			
FPMJAHEA_00004	CDS	1173	dnaJ_1		COG0484	Chaperone protein DnaJ
FPMJAHEA_00005	gene	330				
FPMJAHEA_00005	CDS	330				hypothetical protein
FPMJAHEA_00006	gene	357				
FPMJAHEA_00006	CDS	357				hypothetical protein
FPMJAHEA_00007	gene	1173				
FPMJAHEA_00007	CDS	1173				hypothetical protein
FPMJAHEA_00008	gene	1419	patA			
FPMJAHEA_00008	CDS	1419	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
FPMJAHEA_00009	gene	570				
FPMJAHEA_00009	CDS	570				hypothetical protein
FPMJAHEA_00010	gene	819	vanYB_1			
FPMJAHEA_00010	CDS	819	vanYB_1	3.4.17.-	COG1876	D-alanyl-D-alanine carboxypeptidase
FPMJAHEA_00011	gene	450				
FPMJAHEA_00011	CDS	450				hypothetical protein
FPMJAHEA_00012	gene	1017	spoVAD			
FPMJAHEA_00012	CDS	1017	spoVAD			Stage V sporulation protein AD
FPMJAHEA_00013	gene	357				
FPMJAHEA_00013	CDS	357				hypothetical protein
FPMJAHEA_00014	gene	252				
FPMJAHEA_00014	CDS	252				hypothetical protein
FPMJAHEA_00015	gene	261	rpsT			
FPMJAHEA_00015	CDS	261	rpsT		COG0268	30S ribosomal protein S20
FPMJAHEA_00016	gene	786	gpr			
FPMJAHEA_00016	CDS	786	gpr	3.4.24.78		Germination protease
FPMJAHEA_00017	gene	1128				
FPMJAHEA_00017	CDS	1128				hypothetical protein
FPMJAHEA_00018	gene	549				
FPMJAHEA_00018	CDS	549				hypothetical protein
FPMJAHEA_00019	gene	1389	asnS			
