locus_tag	ftype	length_bp	gene	EC_number	COG	product
EFFLAMMD_00001	gene	711				
EFFLAMMD_00001	CDS	711			COG3039	IS5 family transposase ISCwa2
EFFLAMMD_00002	gene	369				
EFFLAMMD_00002	CDS	369				hypothetical protein
EFFLAMMD_00003	gene	357				
EFFLAMMD_00003	CDS	357				hypothetical protein
EFFLAMMD_00004	gene	312				
EFFLAMMD_00004	CDS	312				hypothetical protein
EFFLAMMD_00005	gene	324				
EFFLAMMD_00005	CDS	324				hypothetical protein
EFFLAMMD_00006	gene	393				
EFFLAMMD_00006	CDS	393				hypothetical protein
EFFLAMMD_00007	gene	561				
EFFLAMMD_00007	CDS	561				hypothetical protein
EFFLAMMD_00008	gene	1236	xerC_1			
EFFLAMMD_00008	CDS	1236	xerC_1			Tyrosine recombinase XerC
EFFLAMMD_00009	gene	1074				
EFFLAMMD_00009	CDS	1074				hypothetical protein
EFFLAMMD_00010	gene	159				
EFFLAMMD_00010	CDS	159				hypothetical protein
EFFLAMMD_00011	gene	108				
EFFLAMMD_00011	CDS	108				hypothetical protein
EFFLAMMD_00012	gene	1284	oah1			
EFFLAMMD_00012	CDS	1284	oah1	2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase 1
EFFLAMMD_00013	gene	1017	metXA			
EFFLAMMD_00013	CDS	1017	metXA	2.3.1.31	COG2021	Homoserine O-acetyltransferase
EFFLAMMD_00014	gene	1203	hom			
EFFLAMMD_00014	CDS	1203	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
EFFLAMMD_00015	gene	546				
EFFLAMMD_00015	CDS	546				hypothetical protein
EFFLAMMD_00016	gene	1644				
EFFLAMMD_00016	CDS	1644				hypothetical protein
EFFLAMMD_00017	gene	837	rsxB_1			
EFFLAMMD_00017	CDS	837	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
EFFLAMMD_00018	gene	636				
EFFLAMMD_00018	CDS	636		1.12.7.2		Iron hydrogenase 1
EFFLAMMD_00019	gene	1038				
EFFLAMMD_00019	CDS	1038		1.8.-.-	COG0502	[FeFe] hydrogenase maturase subunit HydE
EFFLAMMD_00020	gene	1419	bioB			
EFFLAMMD_00020	CDS	1419	bioB	2.8.1.6		Biotin synthase
EFFLAMMD_00021	gene	1185	der_1			
EFFLAMMD_00021	CDS	1185	der_1			GTPase Der
EFFLAMMD_00022	gene	978	preA			
EFFLAMMD_00022	CDS	978	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
EFFLAMMD_00023	gene	75				
EFFLAMMD_00023	tRNA	75				tRNA-Met(cat)
EFFLAMMD_00024	gene	267	rpmE2			
EFFLAMMD_00024	CDS	267	rpmE2		COG0254	50S ribosomal protein L31 type B
EFFLAMMD_00025	gene	366				
EFFLAMMD_00025	CDS	366				hypothetical protein
EFFLAMMD_00026	gene	1104				
EFFLAMMD_00026	CDS	1104				hypothetical protein
EFFLAMMD_00027	gene	672	fkpA			
EFFLAMMD_00027	CDS	672	fkpA	5.2.1.8	COG0545	putative FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
EFFLAMMD_00028	gene	1371	nhaA			
EFFLAMMD_00028	CDS	1371	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
EFFLAMMD_00029	gene	1050				
EFFLAMMD_00029	CDS	1050		3.5.3.24	COG0010	N(1)-aminopropylagmatine ureohydrolase
EFFLAMMD_00030	gene	996	pdxB_1			
EFFLAMMD_00030	CDS	996	pdxB_1	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
EFFLAMMD_00031	gene	1071	pyrD			
EFFLAMMD_00031	CDS	1071	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
EFFLAMMD_00032	gene	1254	pncC			
EFFLAMMD_00032	CDS	1254	pncC	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
EFFLAMMD_00033	gene	2106				
EFFLAMMD_00033	CDS	2106				hypothetical protein
EFFLAMMD_00034	gene	234	rpmB			
EFFLAMMD_00034	CDS	234	rpmB		COG0227	50S ribosomal protein L28
EFFLAMMD_00035	gene	183	rpmG			
EFFLAMMD_00035	CDS	183	rpmG		COG0267	50S ribosomal protein L33
EFFLAMMD_00036	gene	159				
