locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNFAOOGE_00001	gene	315				
GNFAOOGE_00001	CDS	315				hypothetical protein
GNFAOOGE_00002	gene	375				
GNFAOOGE_00002	CDS	375				hypothetical protein
GNFAOOGE_00003	gene	408				
GNFAOOGE_00003	CDS	408				hypothetical protein
GNFAOOGE_00004	gene	531				
GNFAOOGE_00004	CDS	531				hypothetical protein
GNFAOOGE_00005	gene	684				
GNFAOOGE_00005	CDS	684				hypothetical protein
GNFAOOGE_00006	gene	948				
GNFAOOGE_00006	CDS	948				hypothetical protein
GNFAOOGE_00007	gene	207				
GNFAOOGE_00007	CDS	207				hypothetical protein
GNFAOOGE_00008	gene	1185	rodA_1			
GNFAOOGE_00008	CDS	1185	rodA_1	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
GNFAOOGE_00009	gene	657				
GNFAOOGE_00009	CDS	657				hypothetical protein
GNFAOOGE_00010	gene	1110				
GNFAOOGE_00010	CDS	1110				hypothetical protein
GNFAOOGE_00011	gene	348				
GNFAOOGE_00011	CDS	348				hypothetical protein
GNFAOOGE_00012	gene	1947	yxdM_1			
GNFAOOGE_00012	CDS	1947	yxdM_1			ABC transporter permease protein YxdM
GNFAOOGE_00013	gene	771	yxdL_1			
GNFAOOGE_00013	CDS	771	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
GNFAOOGE_00014	gene	192				
GNFAOOGE_00014	CDS	192				hypothetical protein
GNFAOOGE_00015	gene	273	hup_1			
GNFAOOGE_00015	CDS	273	hup_1			DNA-binding protein HU
GNFAOOGE_00016	gene	903				
GNFAOOGE_00016	CDS	903				hypothetical protein
GNFAOOGE_00017	gene	423				
GNFAOOGE_00017	CDS	423				hypothetical protein
GNFAOOGE_00018	gene	3045	swrC_1			
GNFAOOGE_00018	CDS	3045	swrC_1		COG0841	Swarming motility protein SwrC
GNFAOOGE_00019	gene	285				
GNFAOOGE_00019	CDS	285				hypothetical protein
GNFAOOGE_00020	gene	198				
GNFAOOGE_00020	CDS	198				hypothetical protein
GNFAOOGE_00021	gene	921				
GNFAOOGE_00021	CDS	921				hypothetical protein
GNFAOOGE_00022	gene	891	pstC_1			
GNFAOOGE_00022	CDS	891	pstC_1		COG0573	Phosphate transport system permease protein PstC
GNFAOOGE_00023	gene	915	pstS1			
GNFAOOGE_00023	CDS	915	pstS1		COG0226	Phosphate-binding protein PstS 1
GNFAOOGE_00024	gene	258				
GNFAOOGE_00024	CDS	258				hypothetical protein
GNFAOOGE_00025	gene	723	feoB_1			
GNFAOOGE_00025	CDS	723	feoB_1		COG0370	Fe(2+) transporter FeoB
GNFAOOGE_00026	gene	1401	feoB_2			
GNFAOOGE_00026	CDS	1401	feoB_2		COG0370	Fe(2+) transporter FeoB
GNFAOOGE_00027	gene	1167	gerAC_1			
GNFAOOGE_00027	CDS	1167	gerAC_1			Spore germination protein A3
GNFAOOGE_00028	gene	1125	yndE_1			
GNFAOOGE_00028	CDS	1125	yndE_1			Spore germination protein YndE
GNFAOOGE_00029	gene	1479	gerBA_1			
GNFAOOGE_00029	CDS	1479	gerBA_1			Spore germination protein B1
GNFAOOGE_00030	gene	1473	yodF_1			
GNFAOOGE_00030	CDS	1473	yodF_1		COG0591	putative symporter YodF
GNFAOOGE_00031	gene	198				
GNFAOOGE_00031	CDS	198				hypothetical protein
GNFAOOGE_00032	gene	1176				
GNFAOOGE_00032	CDS	1176		3.5.1.47		N-acetyldiaminopimelate deacetylase
GNFAOOGE_00033	gene	711				
GNFAOOGE_00033	CDS	711				hypothetical protein
GNFAOOGE_00034	gene	1416	rocC_1			
GNFAOOGE_00034	CDS	1416	rocC_1		COG0833	Amino-acid permease RocC
GNFAOOGE_00035	gene	1014	qoxA			
GNFAOOGE_00035	CDS	1014	qoxA	1.10.3.-	COG1622	Quinol oxidase subunit 2
GNFAOOGE_00036	gene	1935	qoxB			
GNFAOOGE_00036	CDS	1935	qoxB	1.10.3.-		Quinol oxidase subunit 1
GNFAOOGE_00037	gene	603	qoxC			
GNFAOOGE_00037	CDS	603	qoxC	1.10.3.-		Quinol oxidase subunit 3
GNFAOOGE_00038	gene	312	qoxD			
GNFAOOGE_00038	CDS	312	qoxD	1.10.3.-		Quinol oxidase subunit 4
GNFAOOGE_00039	gene	1935				
GNFAOOGE_00039	CDS	1935				hypothetical protein
GNFAOOGE_00040	gene	240				
GNFAOOGE_00040	CDS	240				hypothetical protein
GNFAOOGE_00041	gene	438				
GNFAOOGE_00041	CDS	438				hypothetical protein
GNFAOOGE_00042	gene	429				
GNFAOOGE_00042	CDS	429				hypothetical protein
GNFAOOGE_00043	gene	201				
GNFAOOGE_00043	CDS	201				hypothetical protein
GNFAOOGE_00044	gene	1293	pbuO_1			
GNFAOOGE_00044	CDS	1293	pbuO_1		COG2252	Guanine/hypoxanthine permease PbuO
GNFAOOGE_00045	gene	1392	yifK_1			
GNFAOOGE_00045	CDS	1392	yifK_1		COG1113	putative transport protein YifK
GNFAOOGE_00046	gene	1548				
GNFAOOGE_00046	CDS	1548				hypothetical protein
GNFAOOGE_00047	gene	1716				
GNFAOOGE_00047	CDS	1716				hypothetical protein
GNFAOOGE_00048	gene	1302	brnQ_1			
GNFAOOGE_00048	CDS	1302	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
GNFAOOGE_00049	gene	159				
GNFAOOGE_00049	CDS	159				hypothetical protein
GNFAOOGE_00050	gene	1386	dtpT_1			
GNFAOOGE_00050	CDS	1386	dtpT_1		COG3104	Di-/tripeptide transporter
GNFAOOGE_00051	gene	1101				
GNFAOOGE_00051	CDS	1101				hypothetical protein
GNFAOOGE_00052	gene	633	srtA			
GNFAOOGE_00052	CDS	633	srtA	3.4.22.-		Sortase A
GNFAOOGE_00053	gene	474				
GNFAOOGE_00053	CDS	474				hypothetical protein
GNFAOOGE_00054	gene	228				
GNFAOOGE_00054	CDS	228				hypothetical protein
GNFAOOGE_00055	gene	1254				
GNFAOOGE_00055	CDS	1254				hypothetical protein
GNFAOOGE_00056	gene	963				
GNFAOOGE_00056	CDS	963				hypothetical protein
GNFAOOGE_00057	gene	813	uppP_1			
GNFAOOGE_00057	CDS	813	uppP_1	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
GNFAOOGE_00058	gene	1152				
GNFAOOGE_00058	CDS	1152				hypothetical protein
GNFAOOGE_00059	gene	1320				
GNFAOOGE_00059	CDS	1320		1.1.2.-	COG0277	L-gulono-1,4-lactone dehydrogenase
GNFAOOGE_00060	gene	1173				
GNFAOOGE_00060	CDS	1173				hypothetical protein
GNFAOOGE_00061	gene	1002	sph			
GNFAOOGE_00061	CDS	1002	sph	3.1.4.12		Sphingomyelinase C
GNFAOOGE_00062	gene	852	plc			
GNFAOOGE_00062	CDS	852	plc	3.1.4.3		Phospholipase C
GNFAOOGE_00063	gene	345				
GNFAOOGE_00063	CDS	345				hypothetical protein
GNFAOOGE_00064	gene	1053	gutB			
GNFAOOGE_00064	CDS	1053	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
GNFAOOGE_00065	gene	1155	yfcJ_1			
GNFAOOGE_00065	CDS	1155	yfcJ_1			putative MFS-type transporter YfcJ
GNFAOOGE_00066	gene	330				
GNFAOOGE_00066	CDS	330				hypothetical protein
GNFAOOGE_00067	gene	342				
GNFAOOGE_00067	CDS	342				hypothetical protein
