locus_tag	ftype	length_bp	gene	EC_number	COG	product
EOFOHBAL_00001	gene	348				
EOFOHBAL_00001	CDS	348				hypothetical protein
EOFOHBAL_00002	gene	492				
EOFOHBAL_00002	CDS	492				hypothetical protein
EOFOHBAL_00003	gene	468				
EOFOHBAL_00003	CDS	468				hypothetical protein
EOFOHBAL_00004	gene	741	cbf2			
EOFOHBAL_00004	CDS	741	cbf2	5.2.1.8	COG0760	Putative peptidyl-prolyl cis-trans isomerase Cbf2
EOFOHBAL_00005	gene	1290	mtnB_1			
EOFOHBAL_00005	CDS	1290	mtnB_1	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
EOFOHBAL_00006	gene	276				
EOFOHBAL_00006	CDS	276				hypothetical protein
EOFOHBAL_00007	gene	888	fda			
EOFOHBAL_00007	CDS	888	fda	4.1.2.13		Fructose-bisphosphate aldolase class 1
EOFOHBAL_00008	gene	1359	rclA			
EOFOHBAL_00008	CDS	1359	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
EOFOHBAL_00009	gene	1350	resA			
EOFOHBAL_00009	CDS	1350	resA			Thiol-disulfide oxidoreductase ResA
EOFOHBAL_00010	gene	1395	atpD_1			
EOFOHBAL_00010	CDS	1395	atpD_1	7.1.2.2	COG0055	ATP synthase subunit beta
EOFOHBAL_00011	gene	876	atpG_1			
EOFOHBAL_00011	CDS	876	atpG_1		COG0224	ATP synthase gamma chain
EOFOHBAL_00012	gene	1515	atpA_1			
EOFOHBAL_00012	CDS	1515	atpA_1	7.1.2.2	COG0056	ATP synthase subunit alpha
EOFOHBAL_00013	gene	540	atpH			
EOFOHBAL_00013	CDS	540	atpH			ATP synthase subunit delta, sodium ion specific
EOFOHBAL_00014	gene	519	atpF_1			
EOFOHBAL_00014	CDS	519	atpF_1			ATP synthase subunit b, sodium ion specific
EOFOHBAL_00015	gene	222	atpE_1			
EOFOHBAL_00015	CDS	222	atpE_1			ATP synthase subunit c
EOFOHBAL_00016	gene	729	atpB_1			
EOFOHBAL_00016	CDS	729	atpB_1		COG0356	ATP synthase subunit a
EOFOHBAL_00017	gene	930				
EOFOHBAL_00017	CDS	930				hypothetical protein
EOFOHBAL_00018	gene	1635	nfdA_1			
EOFOHBAL_00018	CDS	1635	nfdA_1	3.5.1.91		N-substituted formamide deformylase
EOFOHBAL_00019	gene	1698				
EOFOHBAL_00019	CDS	1698				hypothetical protein
EOFOHBAL_00020	gene	654	glmS_1			
EOFOHBAL_00020	CDS	654	glmS_1	5.4.99.1		Glutamate mutase sigma subunit
EOFOHBAL_00021	gene	924				
EOFOHBAL_00021	CDS	924				hypothetical protein
EOFOHBAL_00022	gene	747	cysA_1			
EOFOHBAL_00022	CDS	747	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
EOFOHBAL_00023	gene	882	cmpR_1			
EOFOHBAL_00023	CDS	882	cmpR_1			HTH-type transcriptional activator CmpR
EOFOHBAL_00024	gene	1008				
EOFOHBAL_00024	CDS	1008				hypothetical protein
EOFOHBAL_00025	gene	3204	carB_1			
EOFOHBAL_00025	CDS	3204	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
EOFOHBAL_00026	gene	1170	carA_1			
EOFOHBAL_00026	CDS	1170	carA_1	6.3.5.5		Carbamoyl-phosphate synthase small chain
EOFOHBAL_00027	gene	1227				
EOFOHBAL_00027	CDS	1227				hypothetical protein
EOFOHBAL_00028	gene	1149	fucO			
EOFOHBAL_00028	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
EOFOHBAL_00029	gene	570				
EOFOHBAL_00029	CDS	570				hypothetical protein
EOFOHBAL_00030	gene	177				
EOFOHBAL_00030	CDS	177				hypothetical protein
EOFOHBAL_00031	gene	141				
EOFOHBAL_00031	CDS	141				hypothetical protein
EOFOHBAL_00032	gene	1266				
EOFOHBAL_00032	CDS	1266				hypothetical protein
EOFOHBAL_00033	gene	1035				
EOFOHBAL_00033	CDS	1035				hypothetical protein
EOFOHBAL_00034	gene	1143	dxr			
EOFOHBAL_00034	CDS	1143	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
EOFOHBAL_00035	gene	810				
EOFOHBAL_00035	CDS	810				hypothetical protein
EOFOHBAL_00036	gene	717	uppS			
EOFOHBAL_00036	CDS	717	uppS	2.5.1.31		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EOFOHBAL_00037	gene	552	frr			
EOFOHBAL_00037	CDS	552	frr		COG0233	Ribosome-recycling factor
EOFOHBAL_00038	gene	696	pyrH			
EOFOHBAL_00038	CDS	696	pyrH	2.7.4.22	COG0528	Uridylate kinase
EOFOHBAL_00039	gene	1596	clcA			
EOFOHBAL_00039	CDS	1596	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
EOFOHBAL_00040	gene	678	yohK			
EOFOHBAL_00040	CDS	678	yohK		COG1346	Inner membrane protein YohK
EOFOHBAL_00041	gene	360	lrgA			
EOFOHBAL_00041	CDS	360	lrgA		COG1380	Antiholin-like protein LrgA
EOFOHBAL_00042	gene	1014	aroF_1			
EOFOHBAL_00042	CDS	1014	aroF_1	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
EOFOHBAL_00043	gene	1056	aroB			
EOFOHBAL_00043	CDS	1056	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
EOFOHBAL_00044	gene	831	aroE_1			
EOFOHBAL_00044	CDS	831	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
EOFOHBAL_00045	gene	984	fldH_1			
EOFOHBAL_00045	CDS	984	fldH_1	1.1.1.-		Phenyllactate dehydrogenase
EOFOHBAL_00046	gene	792	ybhA			
EOFOHBAL_00046	CDS	792	ybhA	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
EOFOHBAL_00047	gene	831	pdaA			
EOFOHBAL_00047	CDS	831	pdaA	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
EOFOHBAL_00048	gene	603				
EOFOHBAL_00048	CDS	603				hypothetical protein
EOFOHBAL_00049	gene	1071				
EOFOHBAL_00049	CDS	1071				hypothetical protein
EOFOHBAL_00050	gene	633	maa_1			
EOFOHBAL_00050	CDS	633	maa_1	2.3.1.79	COG0110	Maltose O-acetyltransferase
EOFOHBAL_00051	gene	858	fba_1			
EOFOHBAL_00051	CDS	858	fba_1	4.1.2.13		Fructose-bisphosphate aldolase
EOFOHBAL_00052	gene	972	glcK_1			
EOFOHBAL_00052	CDS	972	glcK_1	2.7.1.2	COG1940	Glucokinase
EOFOHBAL_00053	gene	1185	nagC_1			
EOFOHBAL_00053	CDS	1185	nagC_1		COG1940	N-acetylglucosamine repressor
EOFOHBAL_00054	gene	1239				
EOFOHBAL_00054	CDS	1239		5.1.3.11	COG2942	Cellobiose 2-epimerase
EOFOHBAL_00055	gene	1386	araA_1			
EOFOHBAL_00055	CDS	1386	araA_1	5.3.1.4		L-arabinose isomerase
EOFOHBAL_00056	gene	1302				
EOFOHBAL_00056	CDS	1302				hypothetical protein
EOFOHBAL_00057	gene	873	sugB_1			
EOFOHBAL_00057	CDS	873	sugB_1		COG0395	Trehalose transport system permease protein SugB
EOFOHBAL_00058	gene	906	ugpA_1			
EOFOHBAL_00058	CDS	906	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
EOFOHBAL_00059	gene	279				
EOFOHBAL_00059	CDS	279				hypothetical protein
EOFOHBAL_00060	gene	300				
EOFOHBAL_00060	CDS	300				hypothetical protein
EOFOHBAL_00061	gene	1344	mdtK_1			
EOFOHBAL_00061	CDS	1344	mdtK_1			Multidrug resistance protein MdtK
EOFOHBAL_00062	gene	1194				
EOFOHBAL_00062	CDS	1194				hypothetical protein
EOFOHBAL_00063	gene	1023	pucA			
EOFOHBAL_00063	CDS	1023	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
EOFOHBAL_00064	gene	1050	ddh			
EOFOHBAL_00064	CDS	1050	ddh	1.4.1.16		Meso-diaminopimelate D-dehydrogenase
EOFOHBAL_00065	gene	366				
EOFOHBAL_00065	CDS	366				hypothetical protein
EOFOHBAL_00066	gene	681	lolD_1			
EOFOHBAL_00066	CDS	681	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EOFOHBAL_00067	gene	2679				
EOFOHBAL_00067	CDS	2679				hypothetical protein
EOFOHBAL_00068	gene	1260	sasA_1			
EOFOHBAL_00068	CDS	1260	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EOFOHBAL_00069	gene	666	regX3_1			
EOFOHBAL_00069	CDS	666	regX3_1		COG0745	Sensory transduction protein regX3
EOFOHBAL_00070	gene	891				
EOFOHBAL_00070	CDS	891				hypothetical protein
EOFOHBAL_00071	gene	1359	mepA_1			
EOFOHBAL_00071	CDS	1359	mepA_1		COG0534	Multidrug export protein MepA
EOFOHBAL_00072	gene	438	slyA_1			
EOFOHBAL_00072	CDS	438	slyA_1			Transcriptional regulator SlyA
