locus_tag	ftype	length_bp	gene	EC_number	COG	product
GBJDJOBC_00001	gene	417	ybeY			
GBJDJOBC_00001	CDS	417	ybeY	3.1.-.-		Endoribonuclease YbeY
GBJDJOBC_00002	gene	1233				
GBJDJOBC_00002	CDS	1233				hypothetical protein
GBJDJOBC_00003	gene	705				
GBJDJOBC_00003	CDS	705				hypothetical protein
GBJDJOBC_00004	gene	411				
GBJDJOBC_00004	CDS	411				hypothetical protein
GBJDJOBC_00005	gene	342				
GBJDJOBC_00005	CDS	342				hypothetical protein
GBJDJOBC_00006	gene	312				
GBJDJOBC_00006	CDS	312				hypothetical protein
GBJDJOBC_00007	gene	1257				
GBJDJOBC_00007	CDS	1257				hypothetical protein
GBJDJOBC_00008	gene	942				
GBJDJOBC_00008	CDS	942				hypothetical protein
GBJDJOBC_00009	gene	273				
GBJDJOBC_00009	CDS	273				hypothetical protein
GBJDJOBC_00010	gene	222	tatA_1			
GBJDJOBC_00010	CDS	222	tatA_1			Sec-independent protein translocase protein TatA
GBJDJOBC_00011	gene	789	tatC_1			
GBJDJOBC_00011	CDS	789	tatC_1			Sec-independent protein translocase protein TatC
GBJDJOBC_00012	gene	1551				
GBJDJOBC_00012	CDS	1551				hypothetical protein
GBJDJOBC_00013	gene	1023	ruvB_1			
GBJDJOBC_00013	CDS	1023	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
GBJDJOBC_00014	gene	1446				
GBJDJOBC_00014	CDS	1446				hypothetical protein
GBJDJOBC_00015	gene	1356				
GBJDJOBC_00015	CDS	1356				hypothetical protein
GBJDJOBC_00016	gene	2139	dpp7_1			
GBJDJOBC_00016	CDS	2139	dpp7_1	3.4.14.-		Dipeptidyl-peptidase 7
GBJDJOBC_00017	gene	864				
GBJDJOBC_00017	CDS	864				hypothetical protein
GBJDJOBC_00018	gene	1935	deaD			
GBJDJOBC_00018	CDS	1935	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
GBJDJOBC_00019	gene	1059				
GBJDJOBC_00019	CDS	1059				hypothetical protein
GBJDJOBC_00020	gene	918	scrK			
GBJDJOBC_00020	CDS	918	scrK	2.7.1.4	COG0524	Fructokinase
GBJDJOBC_00021	gene	606	kdsD			
GBJDJOBC_00021	CDS	606	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
GBJDJOBC_00022	gene	540				
GBJDJOBC_00022	CDS	540		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
GBJDJOBC_00023	gene	1236				
GBJDJOBC_00023	CDS	1236		3.4.24.-	COG0612	putative zinc protease
GBJDJOBC_00024	gene	2226				
GBJDJOBC_00024	CDS	2226		3.2.1.21	COG1472	Beta-glucosidase BoGH3A
GBJDJOBC_00025	gene	345				
GBJDJOBC_00025	CDS	345				hypothetical protein
GBJDJOBC_00026	gene	561				
GBJDJOBC_00026	CDS	561				hypothetical protein
GBJDJOBC_00027	gene	1524				
GBJDJOBC_00027	CDS	1524				hypothetical protein
GBJDJOBC_00028	gene	1770				
GBJDJOBC_00028	CDS	1770				hypothetical protein
GBJDJOBC_00029	gene	2193				
GBJDJOBC_00029	CDS	2193				hypothetical protein
GBJDJOBC_00030	gene	3576				
GBJDJOBC_00030	CDS	3576				hypothetical protein
GBJDJOBC_00031	gene	663				
GBJDJOBC_00031	CDS	663				putative protein
GBJDJOBC_00032	gene	939				
GBJDJOBC_00032	CDS	939				hypothetical protein
GBJDJOBC_00033	gene	1428				
GBJDJOBC_00033	CDS	1428				hypothetical protein
GBJDJOBC_00034	gene	753	dapB			
GBJDJOBC_00034	CDS	753	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
GBJDJOBC_00035	gene	1269				
GBJDJOBC_00035	CDS	1269				hypothetical protein
GBJDJOBC_00036	gene	516				
GBJDJOBC_00036	CDS	516				hypothetical protein
GBJDJOBC_00037	gene	2166				
GBJDJOBC_00037	CDS	2166				hypothetical protein
GBJDJOBC_00038	gene	2937	bepA_1			
GBJDJOBC_00038	CDS	2937	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
GBJDJOBC_00039	gene	1470				
GBJDJOBC_00039	CDS	1470				hypothetical protein
GBJDJOBC_00040	gene	1173				
GBJDJOBC_00040	CDS	1173				hypothetical protein
GBJDJOBC_00041	gene	1347				
GBJDJOBC_00041	CDS	1347				hypothetical protein
GBJDJOBC_00042	gene	291				
GBJDJOBC_00042	CDS	291				hypothetical protein
GBJDJOBC_00043	gene	552				
GBJDJOBC_00043	CDS	552				hypothetical protein
GBJDJOBC_00044	gene	696				
GBJDJOBC_00044	CDS	696				hypothetical protein
GBJDJOBC_00045	gene	3072	chonabc_1			
GBJDJOBC_00045	CDS	3072	chonabc_1	4.2.2.21		Chondroitin sulfate ABC exolyase
GBJDJOBC_00046	gene	159				
GBJDJOBC_00046	CDS	159				hypothetical protein
GBJDJOBC_00047	gene	936	dusC			
GBJDJOBC_00047	CDS	936	dusC	1.3.1.-		tRNA-dihydrouridine(16) synthase
GBJDJOBC_00048	gene	918	gpmI_1			
GBJDJOBC_00048	CDS	918	gpmI_1	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
GBJDJOBC_00049	gene	1776				
GBJDJOBC_00049	CDS	1776				hypothetical protein
GBJDJOBC_00050	gene	3045				
GBJDJOBC_00050	CDS	3045				TonB-dependent receptor P3
GBJDJOBC_00051	gene	1494				
GBJDJOBC_00051	CDS	1494				SusD-like protein P2
GBJDJOBC_00052	gene	5124				
GBJDJOBC_00052	CDS	5124				hypothetical protein
GBJDJOBC_00053	gene	831				
GBJDJOBC_00053	CDS	831				hypothetical protein
GBJDJOBC_00054	gene	663	lpxL_1			
GBJDJOBC_00054	CDS	663	lpxL_1	2.3.1.241		Lipid A biosynthesis lauroyltransferase
GBJDJOBC_00055	gene	1125				
GBJDJOBC_00055	CDS	1125				hypothetical protein
GBJDJOBC_00056	gene	3039	chonabc_2			
GBJDJOBC_00056	CDS	3039	chonabc_2	4.2.2.21		Chondroitin sulfate ABC exolyase
GBJDJOBC_00057	gene	1833				
GBJDJOBC_00057	CDS	1833				hypothetical protein
GBJDJOBC_00058	gene	1536				
GBJDJOBC_00058	CDS	1536		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
GBJDJOBC_00059	gene	4041	rcsC_1			
GBJDJOBC_00059	CDS	4041	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GBJDJOBC_00060	gene	642				
GBJDJOBC_00060	CDS	642				hypothetical protein
GBJDJOBC_00061	gene	195				
GBJDJOBC_00061	CDS	195				hypothetical protein
GBJDJOBC_00062	gene	936	xerC_1			
GBJDJOBC_00062	CDS	936	xerC_1			Tyrosine recombinase XerC
GBJDJOBC_00063	gene	771	lpxA_1			
GBJDJOBC_00063	CDS	771	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
GBJDJOBC_00064	gene	1365	cusC_1			
GBJDJOBC_00064	CDS	1365	cusC_1		COG1538	Cation efflux system protein CusC
GBJDJOBC_00065	gene	3204	bepE_1			
GBJDJOBC_00065	CDS	3204	bepE_1			Efflux pump membrane transporter BepE
GBJDJOBC_00066	gene	1161	mdtE_1			
GBJDJOBC_00066	CDS	1161	mdtE_1			Multidrug resistance protein MdtE
GBJDJOBC_00067	gene	96				
GBJDJOBC_00067	CDS	96				hypothetical protein
GBJDJOBC_00068	gene	1905				
GBJDJOBC_00068	CDS	1905				hypothetical protein
GBJDJOBC_00069	gene	876				
GBJDJOBC_00069	CDS	876				hypothetical protein
GBJDJOBC_00070	gene	405	paaI			
GBJDJOBC_00070	CDS	405	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
GBJDJOBC_00071	gene	1434				
GBJDJOBC_00071	CDS	1434				hypothetical protein
GBJDJOBC_00072	gene	1548				
GBJDJOBC_00072	CDS	1548		3.1.6.-	COG3119	Endo-4-O-sulfatase
GBJDJOBC_00073	gene	1476	cysS			
GBJDJOBC_00073	CDS	1476	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
GBJDJOBC_00074	gene	816	yidA			
GBJDJOBC_00074	CDS	816	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
GBJDJOBC_00075	gene	4308				
GBJDJOBC_00075	CDS	4308				hypothetical protein
GBJDJOBC_00076	gene	3048				
GBJDJOBC_00076	CDS	3048				hypothetical protein
GBJDJOBC_00077	gene	1062	mnmA_1			
GBJDJOBC_00077	CDS	1062	mnmA_1	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
GBJDJOBC_00078	gene	1512				
GBJDJOBC_00078	CDS	1512				hypothetical protein
GBJDJOBC_00079	gene	1014	pfp_1			
GBJDJOBC_00079	CDS	1014	pfp_1	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
GBJDJOBC_00080	gene	897	rnc			
GBJDJOBC_00080	CDS	897	rnc	3.1.26.3		Ribonuclease 3
GBJDJOBC_00081	gene	1263	fabF			
GBJDJOBC_00081	CDS	1263	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
GBJDJOBC_00082	gene	237	acpP_1			
GBJDJOBC_00082	CDS	237	acpP_1		COG0236	Acyl carrier protein
GBJDJOBC_00083	gene	573	purN			
GBJDJOBC_00083	CDS	573	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
GBJDJOBC_00084	gene	1029				
GBJDJOBC_00084	CDS	1029				hypothetical protein
GBJDJOBC_00085	gene	1044	pdxB_1			
GBJDJOBC_00085	CDS	1044	pdxB_1	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
GBJDJOBC_00086	gene	606				
GBJDJOBC_00086	CDS	606				hypothetical protein
GBJDJOBC_00087	gene	1038				
GBJDJOBC_00087	CDS	1038				hypothetical protein
GBJDJOBC_00088	gene	930	lpxL_2			
GBJDJOBC_00088	CDS	930	lpxL_2	2.3.1.241		Lipid A biosynthesis lauroyltransferase
GBJDJOBC_00089	gene	1131	mshA_1			
GBJDJOBC_00089	CDS	1131	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GBJDJOBC_00090	gene	216				
GBJDJOBC_00090	CDS	216				hypothetical protein
GBJDJOBC_00091	gene	222				
GBJDJOBC_00091	CDS	222				hypothetical protein
GBJDJOBC_00092	gene	417				
GBJDJOBC_00092	CDS	417				hypothetical protein
GBJDJOBC_00093	gene	1332				
GBJDJOBC_00093	CDS	1332				hypothetical protein
GBJDJOBC_00094	gene	258				
GBJDJOBC_00094	CDS	258				hypothetical protein
GBJDJOBC_00095	gene	234				
GBJDJOBC_00095	CDS	234				hypothetical protein
GBJDJOBC_00096	gene	246				
GBJDJOBC_00096	CDS	246				hypothetical protein
GBJDJOBC_00097	gene	309				
GBJDJOBC_00097	CDS	309				hypothetical protein
GBJDJOBC_00098	gene	246				
GBJDJOBC_00098	CDS	246				hypothetical protein
GBJDJOBC_00099	gene	528				
GBJDJOBC_00099	CDS	528				hypothetical protein
GBJDJOBC_00100	gene	504				
GBJDJOBC_00100	CDS	504				hypothetical protein
GBJDJOBC_00101	gene	903	dnaG_1			
GBJDJOBC_00101	CDS	903	dnaG_1	2.7.7.-		DNA primase
GBJDJOBC_00102	gene	576				
GBJDJOBC_00102	CDS	576				hypothetical protein
GBJDJOBC_00103	gene	987				
GBJDJOBC_00103	CDS	987				hypothetical protein
GBJDJOBC_00104	gene	1353				
GBJDJOBC_00104	CDS	1353				hypothetical protein
GBJDJOBC_00105	gene	279				
GBJDJOBC_00105	CDS	279				hypothetical protein
GBJDJOBC_00106	gene	624				
GBJDJOBC_00106	CDS	624				hypothetical protein
GBJDJOBC_00107	gene	1005				
GBJDJOBC_00107	CDS	1005				hypothetical protein
GBJDJOBC_00108	gene	630				
GBJDJOBC_00108	CDS	630				hypothetical protein
GBJDJOBC_00109	gene	381				
GBJDJOBC_00109	CDS	381				hypothetical protein
GBJDJOBC_00110	gene	459				
GBJDJOBC_00110	CDS	459				hypothetical protein
GBJDJOBC_00111	gene	1812	ltrA_1			
GBJDJOBC_00111	CDS	1812	ltrA_1		COG3344	Group II intron-encoded protein LtrA
GBJDJOBC_00112	gene	1992				
GBJDJOBC_00112	CDS	1992				hypothetical protein
GBJDJOBC_00113	gene	1677				
GBJDJOBC_00113	CDS	1677				hypothetical protein
GBJDJOBC_00114	gene	246				
GBJDJOBC_00114	CDS	246				hypothetical protein
GBJDJOBC_00115	gene	333				
GBJDJOBC_00115	CDS	333				hypothetical protein
GBJDJOBC_00116	gene	318				
GBJDJOBC_00116	CDS	318				hypothetical protein
GBJDJOBC_00117	gene	729				
GBJDJOBC_00117	CDS	729				hypothetical protein
GBJDJOBC_00118	gene	342				
GBJDJOBC_00118	CDS	342				hypothetical protein
GBJDJOBC_00119	gene	441				
GBJDJOBC_00119	CDS	441				hypothetical protein
GBJDJOBC_00120	gene	762				
GBJDJOBC_00120	CDS	762				hypothetical protein
GBJDJOBC_00121	gene	429				
GBJDJOBC_00121	CDS	429				hypothetical protein
GBJDJOBC_00122	gene	1248				
GBJDJOBC_00122	CDS	1248				hypothetical protein
GBJDJOBC_00123	gene	2019				
GBJDJOBC_00123	CDS	2019				hypothetical protein
GBJDJOBC_00124	gene	3255				
GBJDJOBC_00124	CDS	3255				hypothetical protein
GBJDJOBC_00125	gene	1131				
GBJDJOBC_00125	CDS	1131			COG1373	putative protein
GBJDJOBC_00126	gene	606				
GBJDJOBC_00126	CDS	606				hypothetical protein
GBJDJOBC_00127	gene	423				
GBJDJOBC_00127	CDS	423				hypothetical protein
GBJDJOBC_00128	gene	1323	zraR_1			
GBJDJOBC_00128	CDS	1323	zraR_1		COG2204	Transcriptional regulatory protein ZraR
GBJDJOBC_00129	gene	2319	rcsC_2			
GBJDJOBC_00129	CDS	2319	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GBJDJOBC_00130	gene	1926	tet(Q)			
GBJDJOBC_00130	CDS	1926	tet(Q)			tetracycline resistance ribosomal protection protein Tet(Q)
GBJDJOBC_00131	gene	5817				
