locus_tag	ftype	length_bp	gene	EC_number	COG	product
NFANNAND_00001	gene	207				
NFANNAND_00001	CDS	207				hypothetical protein
NFANNAND_00002	gene	303				
NFANNAND_00002	CDS	303				hypothetical protein
NFANNAND_00003	gene	285				
NFANNAND_00003	CDS	285				hypothetical protein
NFANNAND_00004	gene	570				
NFANNAND_00004	CDS	570				IS3 family transposase ISStrsp1
NFANNAND_00005	gene	795				
NFANNAND_00005	CDS	795				IS3 family transposase ISStrsp1
NFANNAND_00006	gene	435				
NFANNAND_00006	CDS	435				hypothetical protein
NFANNAND_00007	gene	354				
NFANNAND_00007	CDS	354				hypothetical protein
NFANNAND_00008	gene	1422				
NFANNAND_00008	rRNA	1422				16S ribosomal RNA
NFANNAND_00009	gene	366				
NFANNAND_00009	CDS	366				hypothetical protein
NFANNAND_00010	gene	876	ytrB_1			
NFANNAND_00010	CDS	876	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
NFANNAND_00011	gene	684				
NFANNAND_00011	CDS	684				hypothetical protein
NFANNAND_00012	gene	708				
NFANNAND_00012	CDS	708				hypothetical protein
NFANNAND_00013	gene	1329	rssB_1			
NFANNAND_00013	CDS	1329	rssB_1			Regulator of RpoS
NFANNAND_00014	gene	1701				
NFANNAND_00014	CDS	1701				hypothetical protein
NFANNAND_00015	gene	351				
NFANNAND_00015	CDS	351			COG0718	Nucleoid-associated protein
NFANNAND_00016	gene	597	recR			
NFANNAND_00016	CDS	597	recR		COG0353	Recombination protein RecR
NFANNAND_00017	gene	1521				
NFANNAND_00017	CDS	1521				hypothetical protein
NFANNAND_00018	gene	705				
NFANNAND_00018	CDS	705				hypothetical protein
NFANNAND_00019	gene	4455				
NFANNAND_00019	CDS	4455				hypothetical protein
NFANNAND_00020	gene	3090				
NFANNAND_00020	CDS	3090				hypothetical protein
NFANNAND_00021	gene	1992	tkt			
NFANNAND_00021	CDS	1992	tkt	2.2.1.1		Transketolase
NFANNAND_00022	gene	1086				
NFANNAND_00022	CDS	1086				hypothetical protein
NFANNAND_00023	gene	1389				
NFANNAND_00023	CDS	1389				hypothetical protein
NFANNAND_00024	gene	1362				
NFANNAND_00024	CDS	1362				hypothetical protein
NFANNAND_00025	gene	1212	adhE_1			
NFANNAND_00025	CDS	1212	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
NFANNAND_00026	gene	699	lolD_1			
NFANNAND_00026	CDS	699	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NFANNAND_00027	gene	2229				
NFANNAND_00027	CDS	2229				hypothetical protein
NFANNAND_00028	gene	114				
NFANNAND_00028	CDS	114				hypothetical protein
NFANNAND_00029	gene	1182	prs			
NFANNAND_00029	CDS	1182	prs			Putative ribose-phosphate pyrophosphokinase
NFANNAND_00030	gene	999	dnaA_1			
NFANNAND_00030	CDS	999	dnaA_1			Chromosomal replication initiator protein DnaA
NFANNAND_00031	gene	1128				
NFANNAND_00031	CDS	1128				hypothetical protein
NFANNAND_00032	gene	1380	murC			
NFANNAND_00032	CDS	1380	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
NFANNAND_00033	gene	1275	glgC_1			
NFANNAND_00033	CDS	1275	glgC_1	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
NFANNAND_00034	gene	1116	glgC_2			
NFANNAND_00034	CDS	1116	glgC_2	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
NFANNAND_00035	gene	837	rhaR_1			
NFANNAND_00035	CDS	837	rhaR_1			HTH-type transcriptional activator RhaR
NFANNAND_00036	gene	666	bcrA_1			
NFANNAND_00036	CDS	666	bcrA_1			Bacitracin transport ATP-binding protein BcrA
NFANNAND_00037	gene	561	pth			
NFANNAND_00037	CDS	561	pth	3.1.1.29		Peptidyl-tRNA hydrolase
NFANNAND_00038	gene	3582	mfd			
NFANNAND_00038	CDS	3582	mfd	3.6.4.-		Transcription-repair-coupling factor
NFANNAND_00039	gene	978				
NFANNAND_00039	CDS	978		4.1.3.39		4-hydroxy-2-oxovalerate aldolase
NFANNAND_00040	gene	1026	ilvE			
NFANNAND_00040	CDS	1026	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
