locus_tag	ftype	length_bp	gene	EC_number	COG	product
BKIAOKHO_00001	gene	3024	susC_1			
BKIAOKHO_00001	CDS	3024	susC_1			TonB-dependent receptor SusC
BKIAOKHO_00002	gene	1494				
BKIAOKHO_00002	CDS	1494				hypothetical protein
BKIAOKHO_00003	gene	282				
BKIAOKHO_00003	CDS	282				hypothetical protein
BKIAOKHO_00004	gene	321				
BKIAOKHO_00004	CDS	321				hypothetical protein
BKIAOKHO_00005	gene	1221				
BKIAOKHO_00005	CDS	1221				hypothetical protein
BKIAOKHO_00006	gene	2985				
BKIAOKHO_00006	CDS	2985				TonB-dependent receptor P3
BKIAOKHO_00007	gene	1647				
BKIAOKHO_00007	CDS	1647				hypothetical protein
BKIAOKHO_00008	gene	609				
BKIAOKHO_00008	CDS	609				hypothetical protein
BKIAOKHO_00009	gene	192				
BKIAOKHO_00009	CDS	192				hypothetical protein
BKIAOKHO_00010	gene	2934	susC_2			
BKIAOKHO_00010	CDS	2934	susC_2			TonB-dependent receptor SusC
BKIAOKHO_00011	gene	1461				
BKIAOKHO_00011	CDS	1461				hypothetical protein
BKIAOKHO_00012	gene	531				
BKIAOKHO_00012	CDS	531				hypothetical protein
BKIAOKHO_00013	gene	609				
BKIAOKHO_00013	CDS	609				hypothetical protein
BKIAOKHO_00014	gene	192				
BKIAOKHO_00014	CDS	192				hypothetical protein
BKIAOKHO_00015	gene	132				
BKIAOKHO_00015	CDS	132				hypothetical protein
BKIAOKHO_00016	gene	2976				
BKIAOKHO_00016	CDS	2976				TonB-dependent receptor P26
BKIAOKHO_00017	gene	1635				
BKIAOKHO_00017	CDS	1635				hypothetical protein
BKIAOKHO_00018	gene	171				
BKIAOKHO_00018	CDS	171				hypothetical protein
BKIAOKHO_00019	gene	525				
BKIAOKHO_00019	CDS	525				hypothetical protein
BKIAOKHO_00020	gene	1257	hflX			
BKIAOKHO_00020	CDS	1257	hflX		COG2262	GTPase HflX
BKIAOKHO_00021	gene	1992				
BKIAOKHO_00021	CDS	1992				hypothetical protein
BKIAOKHO_00022	gene	1641	fumB			
BKIAOKHO_00022	CDS	1641	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
BKIAOKHO_00023	gene	636				
BKIAOKHO_00023	CDS	636				hypothetical protein
BKIAOKHO_00024	gene	495				
BKIAOKHO_00024	CDS	495				hypothetical protein
BKIAOKHO_00025	gene	1641	yhdG			
BKIAOKHO_00025	CDS	1641	yhdG		COG0531	putative amino acid permease YhdG
BKIAOKHO_00026	gene	1326				
BKIAOKHO_00026	CDS	1326				hypothetical protein
BKIAOKHO_00027	gene	3033	bepE_1			
BKIAOKHO_00027	CDS	3033	bepE_1			Efflux pump membrane transporter BepE
BKIAOKHO_00028	gene	1083	mdtA_1			
BKIAOKHO_00028	CDS	1083	mdtA_1			Multidrug resistance protein MdtA
BKIAOKHO_00029	gene	810	rsgA			
BKIAOKHO_00029	CDS	810	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
BKIAOKHO_00030	gene	603	frr			
BKIAOKHO_00030	CDS	603	frr			Ribosome-recycling factor
BKIAOKHO_00031	gene	711	pyrH			
BKIAOKHO_00031	CDS	711	pyrH	2.7.4.22	COG0528	Uridylate kinase
BKIAOKHO_00032	gene	516				
BKIAOKHO_00032	CDS	516				hypothetical protein
BKIAOKHO_00033	gene	939				
BKIAOKHO_00033	CDS	939				hypothetical protein
BKIAOKHO_00034	gene	2523	pacS			
BKIAOKHO_00034	CDS	2523	pacS	7.2.2.8		putative copper-transporting ATPase PacS
BKIAOKHO_00035	gene	1374	dinF			
BKIAOKHO_00035	CDS	1374	dinF		COG0534	DNA damage-inducible protein F
BKIAOKHO_00036	gene	723				
BKIAOKHO_00036	CDS	723				hypothetical protein
BKIAOKHO_00037	gene	4056	rcsC_1			
BKIAOKHO_00037	CDS	4056	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BKIAOKHO_00038	gene	1671				
BKIAOKHO_00038	CDS	1671				hypothetical protein
BKIAOKHO_00039	gene	3051	susC_3			
BKIAOKHO_00039	CDS	3051	susC_3			TonB-dependent receptor SusC
BKIAOKHO_00040	gene	1662				
BKIAOKHO_00040	CDS	1662				SusD-like protein P2
BKIAOKHO_00041	gene	1608				
BKIAOKHO_00041	CDS	1608				hypothetical protein
BKIAOKHO_00042	gene	2442				
BKIAOKHO_00042	CDS	2442		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
BKIAOKHO_00043	gene	774	birA			
BKIAOKHO_00043	CDS	774	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
BKIAOKHO_00044	gene	357	yjbR			
BKIAOKHO_00044	CDS	357	yjbR		COG2315	putative protein YjbR
BKIAOKHO_00045	gene	366				
BKIAOKHO_00045	CDS	366				hypothetical protein
BKIAOKHO_00046	gene	1773				
BKIAOKHO_00046	CDS	1773				hypothetical protein
BKIAOKHO_00047	gene	234				
BKIAOKHO_00047	CDS	234				hypothetical protein
BKIAOKHO_00048	gene	441	tadA_1			
BKIAOKHO_00048	CDS	441	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
BKIAOKHO_00049	gene	300				
BKIAOKHO_00049	CDS	300				hypothetical protein
BKIAOKHO_00050	gene	708				
BKIAOKHO_00050	CDS	708				hypothetical protein
BKIAOKHO_00051	gene	687	psd			
BKIAOKHO_00051	CDS	687	psd	4.1.1.65		Phosphatidylserine decarboxylase proenzyme
BKIAOKHO_00052	gene	3798	dnaE			
BKIAOKHO_00052	CDS	3798	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
BKIAOKHO_00053	gene	315	trxA			
BKIAOKHO_00053	CDS	315	trxA			Thioredoxin 1
BKIAOKHO_00054	gene	333				
BKIAOKHO_00054	CDS	333				hypothetical protein
BKIAOKHO_00055	gene	219				
BKIAOKHO_00055	CDS	219				hypothetical protein
BKIAOKHO_00056	gene	426	tsaE			
BKIAOKHO_00056	CDS	426	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
BKIAOKHO_00057	gene	813	znuB			
BKIAOKHO_00057	CDS	813	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
BKIAOKHO_00058	gene	453				
BKIAOKHO_00058	CDS	453				hypothetical protein
BKIAOKHO_00059	gene	1317	aroA			
BKIAOKHO_00059	CDS	1317	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
BKIAOKHO_00060	gene	390				
BKIAOKHO_00060	CDS	390				hypothetical protein
BKIAOKHO_00061	gene	609				
BKIAOKHO_00061	CDS	609				hypothetical protein
BKIAOKHO_00062	gene	972	menF			
BKIAOKHO_00062	CDS	972	menF	5.4.4.2		Isochorismate synthase MenF
BKIAOKHO_00063	gene	1599	aspT_1			
BKIAOKHO_00063	CDS	1599	aspT_1			Aspartate/alanine antiporter
BKIAOKHO_00064	gene	3273	tri1_1			
BKIAOKHO_00064	CDS	3273	tri1_1	3.4.21.-	COG0793	Tricorn protease 
BKIAOKHO_00065	gene	780	djlA			
BKIAOKHO_00065	CDS	780	djlA			Co-chaperone protein DjlA
BKIAOKHO_00066	gene	666				
BKIAOKHO_00066	CDS	666				hypothetical protein
BKIAOKHO_00067	gene	483				
BKIAOKHO_00067	CDS	483				hypothetical protein
BKIAOKHO_00068	gene	1671				
BKIAOKHO_00068	CDS	1671				hypothetical protein
BKIAOKHO_00069	gene	903	rhaS_1			
BKIAOKHO_00069	CDS	903	rhaS_1			HTH-type transcriptional activator RhaS
BKIAOKHO_00070	gene	75				
BKIAOKHO_00070	tRNA	75				tRNA-Pro(ggg)
BKIAOKHO_00071	gene	1293				
BKIAOKHO_00071	CDS	1293				hypothetical protein
BKIAOKHO_00072	gene	795				
BKIAOKHO_00072	CDS	795				hypothetical protein
BKIAOKHO_00073	gene	324				
BKIAOKHO_00073	CDS	324				hypothetical protein
BKIAOKHO_00074	gene	1005				
BKIAOKHO_00074	CDS	1005				hypothetical protein
BKIAOKHO_00075	gene	96				
BKIAOKHO_00075	CDS	96				hypothetical protein
BKIAOKHO_00076	gene	654				
BKIAOKHO_00076	CDS	654				hypothetical protein
BKIAOKHO_00077	gene	231				
BKIAOKHO_00077	CDS	231				hypothetical protein
BKIAOKHO_00078	gene	111				
BKIAOKHO_00078	CDS	111				hypothetical protein
BKIAOKHO_00079	gene	774				
BKIAOKHO_00079	CDS	774				hypothetical protein
BKIAOKHO_00080	gene	531				
BKIAOKHO_00080	CDS	531				hypothetical protein
BKIAOKHO_00081	gene	1062	aroB_1			
BKIAOKHO_00081	CDS	1062	aroB_1	4.2.3.4		3-dehydroquinate synthase
BKIAOKHO_00082	gene	414				
BKIAOKHO_00082	CDS	414				hypothetical protein
BKIAOKHO_00083	gene	2904				
BKIAOKHO_00083	CDS	2904				hypothetical protein
BKIAOKHO_00084	gene	1440	clsA			
BKIAOKHO_00084	CDS	1440	clsA	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
BKIAOKHO_00085	gene	534	rsmD			
BKIAOKHO_00085	CDS	534	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
BKIAOKHO_00086	gene	780				
BKIAOKHO_00086	CDS	780				hypothetical protein
BKIAOKHO_00087	gene	687				
BKIAOKHO_00087	CDS	687				hypothetical protein
BKIAOKHO_00088	gene	1419	recD2_1			
BKIAOKHO_00088	CDS	1419	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
BKIAOKHO_00089	gene	810				
BKIAOKHO_00089	CDS	810				hypothetical protein
BKIAOKHO_00090	gene	2619	alaS			
BKIAOKHO_00090	CDS	2619	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
BKIAOKHO_00091	gene	969				
BKIAOKHO_00091	CDS	969				hypothetical protein
BKIAOKHO_00092	gene	390				
BKIAOKHO_00092	CDS	390				hypothetical protein
BKIAOKHO_00093	gene	2259	spoT			
BKIAOKHO_00093	CDS	2259	spoT	3.1.7.2	COG0317	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
BKIAOKHO_00094	gene	1317				
BKIAOKHO_00094	CDS	1317				hypothetical protein
BKIAOKHO_00095	gene	780				
BKIAOKHO_00095	CDS	780				hypothetical protein
BKIAOKHO_00096	gene	885	parB			
BKIAOKHO_00096	CDS	885	parB		COG1475	putative chromosome-partitioning protein ParB
BKIAOKHO_00097	gene	771	soj_1			
BKIAOKHO_00097	CDS	771	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
BKIAOKHO_00098	gene	489				
BKIAOKHO_00098	CDS	489				hypothetical protein
BKIAOKHO_00099	gene	1437				
BKIAOKHO_00099	CDS	1437				hypothetical protein
BKIAOKHO_00100	gene	765	surE			
BKIAOKHO_00100	CDS	765	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
BKIAOKHO_00101	gene	1146	lpxB			
BKIAOKHO_00101	CDS	1146	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
BKIAOKHO_00102	gene	750				
BKIAOKHO_00102	CDS	750				hypothetical protein
BKIAOKHO_00103	gene	843				
BKIAOKHO_00103	CDS	843				hypothetical protein
BKIAOKHO_00104	gene	1974	ftsH_1			
BKIAOKHO_00104	CDS	1974	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
BKIAOKHO_00105	gene	360	rsfS			
BKIAOKHO_00105	CDS	360	rsfS			Ribosomal silencing factor RsfS
BKIAOKHO_00106	gene	72				
BKIAOKHO_00106	tRNA	72				tRNA-Gln(ctg)
BKIAOKHO_00107	gene	1179	purH_1			
BKIAOKHO_00107	CDS	1179	purH_1	3.5.4.10		Bifunctional purine biosynthesis protein PurH
BKIAOKHO_00108	gene	1854				
BKIAOKHO_00108	CDS	1854				hypothetical protein
BKIAOKHO_00109	gene	1347				
BKIAOKHO_00109	CDS	1347			COG2239	Magnesium transporter MgtE
BKIAOKHO_00110	gene	795	rsmA			
BKIAOKHO_00110	CDS	795	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
BKIAOKHO_00111	gene	987				
BKIAOKHO_00111	CDS	987				hypothetical protein
BKIAOKHO_00112	gene	1458	pepD_1			
BKIAOKHO_00112	CDS	1458	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
BKIAOKHO_00113	gene	96				
BKIAOKHO_00113	CDS	96				hypothetical protein
BKIAOKHO_00114	gene	5898				
BKIAOKHO_00114	CDS	5898				hypothetical protein
BKIAOKHO_00115	gene	1074				
BKIAOKHO_00115	CDS	1074				hypothetical protein
BKIAOKHO_00116	gene	1104				
BKIAOKHO_00116	CDS	1104		3.6.-.-	COG1703	putative GTPase
BKIAOKHO_00117	gene	567				
BKIAOKHO_00117	CDS	567				hypothetical protein
BKIAOKHO_00118	gene	912				
BKIAOKHO_00118	CDS	912				hypothetical protein
BKIAOKHO_00119	gene	1290				
BKIAOKHO_00119	CDS	1290				IS1380 family transposase IS612B
BKIAOKHO_00120	gene	831				
BKIAOKHO_00120	CDS	831				hypothetical protein
BKIAOKHO_00121	gene	1014				
BKIAOKHO_00121	CDS	1014				hypothetical protein
BKIAOKHO_00122	gene	1278	ybdG_1			
BKIAOKHO_00122	CDS	1278	ybdG_1		COG0668	Miniconductance mechanosensitive channel YbdG
BKIAOKHO_00123	gene	426				
BKIAOKHO_00123	CDS	426				hypothetical protein
BKIAOKHO_00124	gene	1182				
BKIAOKHO_00124	CDS	1182				hypothetical protein
BKIAOKHO_00125	gene	2700				
BKIAOKHO_00125	CDS	2700				hypothetical protein
BKIAOKHO_00126	gene	2784	rcsC_2			
BKIAOKHO_00126	CDS	2784	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
BKIAOKHO_00127	gene	1440	ndhB			
BKIAOKHO_00127	CDS	1440	ndhB	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
BKIAOKHO_00128	gene	1485	ndhD1			
BKIAOKHO_00128	CDS	1485	ndhD1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
BKIAOKHO_00129	gene	1914	nuoL			
BKIAOKHO_00129	CDS	1914	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
