locus_tag	ftype	length_bp	gene	EC_number	COG	product
DJBPANLN_00001	gene	1503	dnaA			
DJBPANLN_00001	CDS	1503	dnaA		COG0593	Chromosomal replication initiator protein DnaA
DJBPANLN_00002	gene	1125	dnaN_1			
DJBPANLN_00002	CDS	1125	dnaN_1		COG0592	Beta sliding clamp
DJBPANLN_00003	gene	1239	recF			
DJBPANLN_00003	CDS	1239	recF		COG1195	DNA replication and repair protein RecF
DJBPANLN_00004	gene	471				
DJBPANLN_00004	CDS	471				hypothetical protein
DJBPANLN_00005	gene	2139	gyrB_1			
DJBPANLN_00005	CDS	2139	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
DJBPANLN_00006	gene	2652	gyrA_1			
DJBPANLN_00006	CDS	2652	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
DJBPANLN_00007	gene	567				
DJBPANLN_00007	CDS	567				hypothetical protein
DJBPANLN_00008	gene	714				
DJBPANLN_00008	CDS	714				hypothetical protein
DJBPANLN_00009	gene	1587				
DJBPANLN_00009	CDS	1587				hypothetical protein
DJBPANLN_00010	gene	1347	gdh			
DJBPANLN_00010	CDS	1347	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
DJBPANLN_00011	gene	435	lrpC			
DJBPANLN_00011	CDS	435	lrpC		COG1522	HTH-type transcriptional regulator LrpC
DJBPANLN_00012	gene	1335	aruH			
DJBPANLN_00012	CDS	1335	aruH	2.6.1.84	COG0436	Arginine--pyruvate transaminase AruH
DJBPANLN_00013	gene	663				
DJBPANLN_00013	CDS	663				hypothetical protein
DJBPANLN_00014	gene	216				
DJBPANLN_00014	CDS	216				hypothetical protein
DJBPANLN_00015	gene	849				
DJBPANLN_00015	CDS	849				hypothetical protein
DJBPANLN_00016	gene	74				
DJBPANLN_00016	tRNA	74				tRNA-Ala(tgc)
DJBPANLN_00017	gene	75				
DJBPANLN_00017	tRNA	75				tRNA-Ile(gat)
DJBPANLN_00018	gene	405				
DJBPANLN_00018	CDS	405				hypothetical protein
DJBPANLN_00019	gene	1011				
DJBPANLN_00019	CDS	1011			COG2826	IS30 family transposase ISBlo4
DJBPANLN_00020	gene	762				
DJBPANLN_00020	CDS	762				IS21 family transposase ISBlo2
DJBPANLN_00021	gene	1467				
DJBPANLN_00021	CDS	1467				hypothetical protein
DJBPANLN_00022	gene	255				
DJBPANLN_00022	CDS	255			COG2826	IS30 family transposase ISBlo4
DJBPANLN_00023	gene	1152				
DJBPANLN_00023	CDS	1152				hypothetical protein
DJBPANLN_00024	gene	807				
DJBPANLN_00024	CDS	807				hypothetical protein
DJBPANLN_00025	gene	366				
DJBPANLN_00025	CDS	366		2.7.1.12	COG3265	Gluconokinase
DJBPANLN_00026	gene	1314				
DJBPANLN_00026	CDS	1314				hypothetical protein
DJBPANLN_00027	gene	480	dps			
DJBPANLN_00027	CDS	480	dps	1.16.-.-	COG0783	DNA protection during starvation protein
DJBPANLN_00028	gene	1344				
DJBPANLN_00028	CDS	1344				hypothetical protein
DJBPANLN_00029	gene	684	mtcA2			
DJBPANLN_00029	CDS	684	mtcA2	4.2.1.1	COG0288	Carbonic anhydrase 2
DJBPANLN_00030	gene	564	ahpC			
DJBPANLN_00030	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
DJBPANLN_00031	gene	1917				
DJBPANLN_00031	CDS	1917		1.18.1.2		Ferredoxin--NADP reductase
DJBPANLN_00032	gene	1287	yhjX			
DJBPANLN_00032	CDS	1287	yhjX			putative MFS-type transporter YhjX
DJBPANLN_00033	gene	303				
DJBPANLN_00033	CDS	303				hypothetical protein
DJBPANLN_00034	gene	999	purR_1			
DJBPANLN_00034	CDS	999	purR_1		COG1609	HTH-type transcriptional repressor PurR
DJBPANLN_00035	gene	1656				
