locus_tag	ftype	length_bp	gene	EC_number	COG	product
HAOBHDNC_00001	gene	5853				
HAOBHDNC_00001	CDS	5853				hypothetical protein
HAOBHDNC_00002	gene	1293				
HAOBHDNC_00002	CDS	1293				hypothetical protein
HAOBHDNC_00003	gene	213	cspA			
HAOBHDNC_00003	CDS	213	cspA		COG1278	Cold shock-like protein CspA
HAOBHDNC_00004	gene	135				
HAOBHDNC_00004	CDS	135				hypothetical protein
HAOBHDNC_00005	gene	1368	mepA_1			
HAOBHDNC_00005	CDS	1368	mepA_1			Multidrug export protein MepA
HAOBHDNC_00006	gene	906				
HAOBHDNC_00006	CDS	906				hypothetical protein
HAOBHDNC_00007	gene	1347				
HAOBHDNC_00007	CDS	1347				hypothetical protein
HAOBHDNC_00008	gene	1200	iolG_1			
HAOBHDNC_00008	CDS	1200	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HAOBHDNC_00009	gene	888				
HAOBHDNC_00009	CDS	888				hypothetical protein
HAOBHDNC_00010	gene	2079	rssB_1			
HAOBHDNC_00010	CDS	2079	rssB_1			Regulator of RpoS
HAOBHDNC_00011	gene	3237	rep			
HAOBHDNC_00011	CDS	3237	rep	3.6.4.12		ATP-dependent DNA helicase Rep
HAOBHDNC_00012	gene	510				
HAOBHDNC_00012	CDS	510				hypothetical protein
HAOBHDNC_00013	gene	441				
HAOBHDNC_00013	CDS	441				hypothetical protein
HAOBHDNC_00014	gene	807	allR			
HAOBHDNC_00014	CDS	807	allR		COG1414	HTH-type transcriptional repressor AllR
HAOBHDNC_00015	gene	450	rpiB_1			
HAOBHDNC_00015	CDS	450	rpiB_1	5.3.1.6	COG0698	Ribose-5-P isomerase B
HAOBHDNC_00016	gene	1005	dhaK			
HAOBHDNC_00016	CDS	1005	dhaK	2.7.1.121	COG2376	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
HAOBHDNC_00017	gene	645	dhaL_1			
HAOBHDNC_00017	CDS	645	dhaL_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
HAOBHDNC_00018	gene	1413	fucI_1			
HAOBHDNC_00018	CDS	1413	fucI_1	5.3.1.25		L-fucose isomerase
HAOBHDNC_00019	gene	3441				
HAOBHDNC_00019	CDS	3441				hypothetical protein
HAOBHDNC_00020	gene	705				
HAOBHDNC_00020	CDS	705			COG1136	putative ABC transporter ATP-binding protein
HAOBHDNC_00021	gene	492				
HAOBHDNC_00021	CDS	492				hypothetical protein
HAOBHDNC_00022	gene	1209				
HAOBHDNC_00022	CDS	1209		1.12.7.2		Iron hydrogenase 1
HAOBHDNC_00023	gene	765	tcyC			
HAOBHDNC_00023	CDS	765	tcyC	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyC
HAOBHDNC_00024	gene	642	yecS			
HAOBHDNC_00024	CDS	642	yecS		COG0765	L-cystine transport system permease protein YecS
HAOBHDNC_00025	gene	882	tcyA			
HAOBHDNC_00025	CDS	882	tcyA		COG0834	L-cystine-binding protein TcyA
HAOBHDNC_00026	gene	1152	prs_1			
HAOBHDNC_00026	CDS	1152	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
HAOBHDNC_00027	gene	891	melD_1			
HAOBHDNC_00027	CDS	891	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
HAOBHDNC_00028	gene	834	ycjP_1			
HAOBHDNC_00028	CDS	834	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
HAOBHDNC_00029	gene	1383				
HAOBHDNC_00029	CDS	1383				hypothetical protein
HAOBHDNC_00030	gene	876				
HAOBHDNC_00030	CDS	876				hypothetical protein
HAOBHDNC_00031	gene	1134	iolG_2			
HAOBHDNC_00031	CDS	1134	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HAOBHDNC_00032	gene	1131	iolG_3			
HAOBHDNC_00032	CDS	1131	iolG_3	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HAOBHDNC_00033	gene	1221	iolG_4			
HAOBHDNC_00033	CDS	1221	iolG_4	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HAOBHDNC_00034	gene	855	hpdA			
HAOBHDNC_00034	CDS	855	hpdA	1.97.1.-	COG1180	4-hydroxyphenylacetate decarboxylase activating enzyme
HAOBHDNC_00035	gene	2214	cutC_1			
HAOBHDNC_00035	CDS	2214	cutC_1	4.3.99.4		Choline trimethylamine-lyase
HAOBHDNC_00036	gene	1746				
HAOBHDNC_00036	CDS	1746				hypothetical protein
HAOBHDNC_00037	gene	1566	cheB_1			
HAOBHDNC_00037	CDS	1566	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
HAOBHDNC_00038	gene	1668				
HAOBHDNC_00038	CDS	1668				hypothetical protein
HAOBHDNC_00039	gene	1674				
HAOBHDNC_00039	CDS	1674				hypothetical protein
HAOBHDNC_00040	gene	495	ogt			
HAOBHDNC_00040	CDS	495	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
HAOBHDNC_00041	gene	717				
HAOBHDNC_00041	CDS	717				hypothetical protein
HAOBHDNC_00042	gene	525				
HAOBHDNC_00042	CDS	525		2.3.1.-	COG1670	Acetyltransferase
HAOBHDNC_00043	gene	966				
HAOBHDNC_00043	CDS	966		1.1.1.384		dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
HAOBHDNC_00044	gene	468				
HAOBHDNC_00044	CDS	468				hypothetical protein
HAOBHDNC_00045	gene	1173				
HAOBHDNC_00045	CDS	1173		1.1.1.38		NAD-dependent malic enzyme
HAOBHDNC_00046	gene	1113	yjmC_1			
HAOBHDNC_00046	CDS	1113	yjmC_1	1.1.1.-	COG2055	putative oxidoreductase YjmC
