locus_tag	ftype	length_bp	gene	EC_number	COG	product
JAAFIHOB_00001	gene	390	hyfR			
JAAFIHOB_00001	CDS	390	hyfR		COG3604	DNA-binding transcriptional activator HyfR
JAAFIHOB_00002	gene	2172				
JAAFIHOB_00002	CDS	2172				hypothetical protein
JAAFIHOB_00003	gene	435				
JAAFIHOB_00003	CDS	435				hypothetical protein
JAAFIHOB_00004	gene	1758				
JAAFIHOB_00004	CDS	1758				hypothetical protein
JAAFIHOB_00005	gene	888				
JAAFIHOB_00005	CDS	888				hypothetical protein
JAAFIHOB_00006	gene	1755				
JAAFIHOB_00006	CDS	1755				hypothetical protein
JAAFIHOB_00007	gene	861				
JAAFIHOB_00007	CDS	861				hypothetical protein
JAAFIHOB_00008	gene	3657				
JAAFIHOB_00008	CDS	3657				hypothetical protein
JAAFIHOB_00009	gene	552				
JAAFIHOB_00009	CDS	552				hypothetical protein
JAAFIHOB_00010	gene	1197				
JAAFIHOB_00010	CDS	1197				hypothetical protein
JAAFIHOB_00011	gene	882	per1			
JAAFIHOB_00011	CDS	882	per1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
JAAFIHOB_00012	gene	1413				
JAAFIHOB_00012	CDS	1413				hypothetical protein
JAAFIHOB_00013	gene	528				
JAAFIHOB_00013	CDS	528				hypothetical protein
JAAFIHOB_00014	gene	675				
JAAFIHOB_00014	CDS	675				hypothetical protein
JAAFIHOB_00015	gene	102				
JAAFIHOB_00015	CDS	102				hypothetical protein
JAAFIHOB_00016	gene	981	cbh_1			
JAAFIHOB_00016	CDS	981	cbh_1	3.5.1.24		Choloylglycine hydrolase
JAAFIHOB_00017	gene	465				
JAAFIHOB_00017	CDS	465		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
JAAFIHOB_00018	gene	477				
JAAFIHOB_00018	CDS	477				hypothetical protein
JAAFIHOB_00019	gene	1839				
JAAFIHOB_00019	CDS	1839				hypothetical protein
JAAFIHOB_00020	gene	984				
JAAFIHOB_00020	CDS	984				hypothetical protein
JAAFIHOB_00021	gene	1374				
JAAFIHOB_00021	CDS	1374				hypothetical protein
JAAFIHOB_00022	gene	1506	trkH_1			
JAAFIHOB_00022	CDS	1506	trkH_1		COG0168	Trk system potassium uptake protein TrkH
