locus_tag	ftype	length_bp	gene	EC_number	COG	product
LBKPEIHI_00001	gene	210				
LBKPEIHI_00001	CDS	210				hypothetical protein
LBKPEIHI_00002	gene	183				
LBKPEIHI_00002	CDS	183				hypothetical protein
LBKPEIHI_00003	gene	192				
LBKPEIHI_00003	CDS	192				hypothetical protein
LBKPEIHI_00004	gene	327				
LBKPEIHI_00004	CDS	327				hypothetical protein
LBKPEIHI_00005	gene	255				
LBKPEIHI_00005	CDS	255				hypothetical protein
LBKPEIHI_00006	gene	219				
LBKPEIHI_00006	CDS	219				hypothetical protein
LBKPEIHI_00007	gene	351				
LBKPEIHI_00007	CDS	351				hypothetical protein
LBKPEIHI_00008	gene	423				
LBKPEIHI_00008	CDS	423				hypothetical protein
LBKPEIHI_00009	gene	312				
LBKPEIHI_00009	CDS	312				hypothetical protein
LBKPEIHI_00010	gene	603				
LBKPEIHI_00010	CDS	603				hypothetical protein
LBKPEIHI_00011	gene	213				
LBKPEIHI_00011	CDS	213				hypothetical protein
LBKPEIHI_00012	gene	108				
LBKPEIHI_00012	CDS	108				hypothetical protein
LBKPEIHI_00013	gene	378	yabJ_1			
LBKPEIHI_00013	CDS	378	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
LBKPEIHI_00014	gene	630	gluP_1			
LBKPEIHI_00014	CDS	630	gluP_1	3.4.21.105	COG0705	Rhomboid protease GluP
LBKPEIHI_00015	gene	726	atoS_1			
LBKPEIHI_00015	CDS	726	atoS_1	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
LBKPEIHI_00016	gene	414	hit_1			
LBKPEIHI_00016	CDS	414	hit_1		COG0537	Protein hit
LBKPEIHI_00017	gene	549				
LBKPEIHI_00017	CDS	549				hypothetical protein
LBKPEIHI_00018	gene	1065	murG_1			
LBKPEIHI_00018	CDS	1065	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LBKPEIHI_00019	gene	186				
LBKPEIHI_00019	CDS	186				hypothetical protein
LBKPEIHI_00020	gene	1158				
LBKPEIHI_00020	CDS	1158				IS630 family transposase ISCARN21
LBKPEIHI_00021	gene	189				
LBKPEIHI_00021	CDS	189				hypothetical protein
LBKPEIHI_00022	gene	714	ypdB_1			
LBKPEIHI_00022	CDS	714	ypdB_1		COG3279	Transcriptional regulatory protein YpdB
LBKPEIHI_00023	gene	1293				
LBKPEIHI_00023	CDS	1293				hypothetical protein
LBKPEIHI_00024	gene	1293				
LBKPEIHI_00024	CDS	1293				hypothetical protein
LBKPEIHI_00025	gene	762	yxdL_1			
LBKPEIHI_00025	CDS	762	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
LBKPEIHI_00026	gene	669				
LBKPEIHI_00026	CDS	669				hypothetical protein
LBKPEIHI_00027	gene	426				
LBKPEIHI_00027	CDS	426				hypothetical protein
LBKPEIHI_00028	gene	1041				
LBKPEIHI_00028	CDS	1041				hypothetical protein
LBKPEIHI_00029	gene	465				
LBKPEIHI_00029	CDS	465				hypothetical protein
LBKPEIHI_00030	gene	291				
LBKPEIHI_00030	CDS	291				hypothetical protein
LBKPEIHI_00031	gene	765				
LBKPEIHI_00031	CDS	765				hypothetical protein
LBKPEIHI_00032	gene	204				
LBKPEIHI_00032	CDS	204				hypothetical protein
LBKPEIHI_00033	gene	459				
LBKPEIHI_00033	CDS	459				hypothetical protein
LBKPEIHI_00034	gene	675				
LBKPEIHI_00034	CDS	675				hypothetical protein
LBKPEIHI_00035	gene	138				
LBKPEIHI_00035	CDS	138				hypothetical protein
LBKPEIHI_00036	gene	333				
LBKPEIHI_00036	CDS	333				hypothetical protein
LBKPEIHI_00037	gene	99				
LBKPEIHI_00037	CDS	99				hypothetical protein
LBKPEIHI_00038	gene	237				
LBKPEIHI_00038	CDS	237				hypothetical protein
LBKPEIHI_00039	gene	639				
LBKPEIHI_00039	CDS	639				hypothetical protein
LBKPEIHI_00040	gene	345				
LBKPEIHI_00040	CDS	345				hypothetical protein
LBKPEIHI_00041	gene	1221				
LBKPEIHI_00041	CDS	1221				hypothetical protein
LBKPEIHI_00042	gene	222				
LBKPEIHI_00042	CDS	222				hypothetical protein
LBKPEIHI_00043	gene	369				
LBKPEIHI_00043	CDS	369				hypothetical protein
LBKPEIHI_00044	gene	1047				
LBKPEIHI_00044	CDS	1047				hypothetical protein
LBKPEIHI_00045	gene	741	soj_1			
LBKPEIHI_00045	CDS	741	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
LBKPEIHI_00046	gene	606				
LBKPEIHI_00046	CDS	606				hypothetical protein
LBKPEIHI_00047	gene	213				
LBKPEIHI_00047	CDS	213				hypothetical protein
LBKPEIHI_00048	gene	360				
LBKPEIHI_00048	CDS	360				hypothetical protein
LBKPEIHI_00049	gene	186				
LBKPEIHI_00049	CDS	186				hypothetical protein
LBKPEIHI_00050	gene	807	srtB_1			
LBKPEIHI_00050	CDS	807	srtB_1	3.4.22.-	COG4509	Sortase B
LBKPEIHI_00051	gene	741				
LBKPEIHI_00051	CDS	741				hypothetical protein
LBKPEIHI_00052	gene	1896				
LBKPEIHI_00052	CDS	1896				hypothetical protein
LBKPEIHI_00053	gene	873				
LBKPEIHI_00053	CDS	873				hypothetical protein
