locus_tag	ftype	length_bp	gene	EC_number	COG	product
DJGAFPHM_00001	gene	1404	dnaA			
DJGAFPHM_00001	CDS	1404	dnaA		COG0593	Chromosomal replication initiator protein DnaA
DJGAFPHM_00002	gene	1101	dnaN			
DJGAFPHM_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
DJGAFPHM_00003	gene	1104	recF			
DJGAFPHM_00003	CDS	1104	recF		COG1195	DNA replication and repair protein RecF
DJGAFPHM_00004	gene	2409	gyrB			
DJGAFPHM_00004	CDS	2409	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
DJGAFPHM_00005	gene	813	yidA			
DJGAFPHM_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
DJGAFPHM_00006	gene	1254	tolB_1			
DJGAFPHM_00006	CDS	1254	tolB_1			Tol-Pal system protein TolB
DJGAFPHM_00007	gene	375				
DJGAFPHM_00007	CDS	375				hypothetical protein
DJGAFPHM_00008	gene	417	ibpA			
DJGAFPHM_00008	CDS	417	ibpA		COG0071	Small heat shock protein IbpA
DJGAFPHM_00009	gene	909	eamA_1			
DJGAFPHM_00009	CDS	909	eamA_1		COG0697	putative amino-acid metabolite efflux pump
DJGAFPHM_00010	gene	1251	avtA			
DJGAFPHM_00010	CDS	1251	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
DJGAFPHM_00011	gene	975	tkrA			
DJGAFPHM_00011	CDS	975	tkrA	1.1.1.79		Glyoxylate/hydroxypyruvate reductase B
DJGAFPHM_00012	gene	1284	ttuB_1			
DJGAFPHM_00012	CDS	1284	ttuB_1			Putative tartrate transporter
DJGAFPHM_00013	gene	954	kdgK_1			
DJGAFPHM_00013	CDS	954	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
DJGAFPHM_00014	gene	750				
DJGAFPHM_00014	CDS	750				hypothetical protein
DJGAFPHM_00015	gene	1023	kdgR_1			
DJGAFPHM_00015	CDS	1023	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
DJGAFPHM_00016	gene	660	yiaD			
DJGAFPHM_00016	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
DJGAFPHM_00017	gene	561	tag			
DJGAFPHM_00017	CDS	561	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
DJGAFPHM_00018	gene	1989	lip-1			
DJGAFPHM_00018	CDS	1989	lip-1	3.1.1.3		Lipase 1
DJGAFPHM_00019	gene	660				
DJGAFPHM_00019	CDS	660				hypothetical protein
DJGAFPHM_00020	gene	543	dnaT			
DJGAFPHM_00020	CDS	543	dnaT			Primosomal protein 1
DJGAFPHM_00021	gene	741	dnaC			
