locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCBAOALL_00001	gene	1476	dnaA			
LCBAOALL_00001	CDS	1476	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LCBAOALL_00002	gene	1125	dnaN			
LCBAOALL_00002	CDS	1125	dnaN		COG0592	Beta sliding clamp
LCBAOALL_00003	gene	1260	recF			
LCBAOALL_00003	CDS	1260	recF		COG1195	DNA replication and repair protein RecF
LCBAOALL_00004	gene	486				
LCBAOALL_00004	CDS	486				hypothetical protein
LCBAOALL_00005	gene	2100	gyrB_1			
LCBAOALL_00005	CDS	2100	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
LCBAOALL_00006	gene	2715	gyrA_1			
LCBAOALL_00006	CDS	2715	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
LCBAOALL_00007	gene	537				
LCBAOALL_00007	CDS	537				putative protein
LCBAOALL_00008	gene	1347	gdh			
LCBAOALL_00008	CDS	1347	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
LCBAOALL_00009	gene	504	mscL			
LCBAOALL_00009	CDS	504	mscL		COG1970	Large-conductance mechanosensitive channel
LCBAOALL_00010	gene	74				
LCBAOALL_00010	tRNA	74				tRNA-Ala(ggc)
LCBAOALL_00011	gene	74				
LCBAOALL_00011	tRNA	74				tRNA-Ala(tgc)
LCBAOALL_00012	gene	75				
LCBAOALL_00012	tRNA	75				tRNA-Ile(gat)
LCBAOALL_00013	gene	723				
LCBAOALL_00013	CDS	723				hypothetical protein
LCBAOALL_00014	gene	984				
LCBAOALL_00014	CDS	984		1.1.1.-		L-2-hydroxyisocaproate dehydrogenase
LCBAOALL_00015	gene	1323				
LCBAOALL_00015	CDS	1323				hypothetical protein
LCBAOALL_00016	gene	696	mtcA2			
LCBAOALL_00016	CDS	696	mtcA2	4.2.1.1	COG0288	Carbonic anhydrase 2
LCBAOALL_00017	gene	147				
LCBAOALL_00017	CDS	147				hypothetical protein
LCBAOALL_00018	gene	930				
LCBAOALL_00018	CDS	930				hypothetical protein
LCBAOALL_00019	gene	2757	ppc			
LCBAOALL_00019	CDS	2757	ppc	4.1.1.31		Phosphoenolpyruvate carboxylase
LCBAOALL_00020	gene	1842				
LCBAOALL_00020	CDS	1842				hypothetical protein
LCBAOALL_00021	gene	1629	opuE			
LCBAOALL_00021	CDS	1629	opuE		COG0591	Osmoregulated proline transporter OpuE
LCBAOALL_00022	gene	1101	trpS2			
LCBAOALL_00022	CDS	1101	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
LCBAOALL_00023	gene	381				
LCBAOALL_00023	CDS	381				hypothetical protein
LCBAOALL_00024	gene	363				
LCBAOALL_00024	CDS	363				hypothetical protein
LCBAOALL_00025	gene	2445	malP			
LCBAOALL_00025	CDS	2445	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
LCBAOALL_00026	gene	222				
LCBAOALL_00026	CDS	222				hypothetical protein
LCBAOALL_00027	gene	795	aarA			
LCBAOALL_00027	CDS	795	aarA	3.4.21.105	COG0705	Rhomboid protease AarA
LCBAOALL_00028	gene	1416				
LCBAOALL_00028	CDS	1416				hypothetical protein
LCBAOALL_00029	gene	489	crgA			
LCBAOALL_00029	CDS	489	crgA			Cell division protein CrgA
LCBAOALL_00030	gene	804				
LCBAOALL_00030	CDS	804				hypothetical protein
LCBAOALL_00031	gene	1092				
LCBAOALL_00031	CDS	1092				hypothetical protein
LCBAOALL_00032	gene	645	trpG			
LCBAOALL_00032	CDS	645	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
LCBAOALL_00033	gene	2091	pknB			
LCBAOALL_00033	CDS	2091	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
LCBAOALL_00034	gene	945	pknA			
LCBAOALL_00034	CDS	945	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
LCBAOALL_00035	gene	1467	pbpA			
LCBAOALL_00035	CDS	1467	pbpA		COG0768	Penicillin-binding protein A
LCBAOALL_00036	gene	1551	rodA			
LCBAOALL_00036	CDS	1551	rodA		COG0772	putative FtsW-like protein
LCBAOALL_00037	gene	1605				
LCBAOALL_00037	CDS	1605				hypothetical protein
LCBAOALL_00038	gene	516	fhaB			
LCBAOALL_00038	CDS	516	fhaB		COG1716	FHA domain-containing protein FhaB
LCBAOALL_00039	gene	708				
LCBAOALL_00039	CDS	708				hypothetical protein
LCBAOALL_00040	gene	2403	dap4			
LCBAOALL_00040	CDS	2403	dap4	3.4.14.5		Dipeptidyl aminopeptidase 4
LCBAOALL_00041	gene	1278				
LCBAOALL_00041	CDS	1278				hypothetical protein
LCBAOALL_00042	gene	408	desR			
LCBAOALL_00042	CDS	408	desR		COG2197	Transcriptional regulatory protein DesR
