locus_tag	ftype	length_bp	gene	EC_number	COG	product
CJHPIJDK_00001	gene	480				
CJHPIJDK_00001	CDS	480				hypothetical protein
CJHPIJDK_00002	gene	354	rsfS			
CJHPIJDK_00002	CDS	354	rsfS		COG0799	Ribosomal silencing factor RsfS
CJHPIJDK_00003	gene	573	rny_1			
CJHPIJDK_00003	CDS	573	rny_1	3.1.-.-		Ribonuclease Y
CJHPIJDK_00004	gene	606	nadD			
CJHPIJDK_00004	CDS	606	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
CJHPIJDK_00005	gene	291				
CJHPIJDK_00005	CDS	291			COG1534	RNA-binding protein
CJHPIJDK_00006	gene	1308	obg			
CJHPIJDK_00006	CDS	1308	obg	3.6.5.-	COG0536	GTPase Obg
CJHPIJDK_00007	gene	282	rpmA			
CJHPIJDK_00007	CDS	282	rpmA			50S ribosomal protein L27
CJHPIJDK_00008	gene	327				
CJHPIJDK_00008	CDS	327				hypothetical protein
CJHPIJDK_00009	gene	309	rplU			
CJHPIJDK_00009	CDS	309	rplU		COG0261	50S ribosomal protein L21
CJHPIJDK_00010	gene	1134	rng			
CJHPIJDK_00010	CDS	1134	rng	3.1.26.-	COG1530	Ribonuclease G
CJHPIJDK_00011	gene	1197	fabV			
CJHPIJDK_00011	CDS	1197	fabV	1.3.1.9	COG3007	Enoyl-[acyl-carrier-protein] reductase [NADH]
CJHPIJDK_00012	gene	1908	rcsC_1			
CJHPIJDK_00012	CDS	1908	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CJHPIJDK_00013	gene	642				
CJHPIJDK_00013	CDS	642				hypothetical protein
CJHPIJDK_00014	gene	1416				
CJHPIJDK_00014	CDS	1416				hypothetical protein
CJHPIJDK_00015	gene	498				
CJHPIJDK_00015	CDS	498				hypothetical protein
CJHPIJDK_00016	gene	3915	rcsC_2			
CJHPIJDK_00016	CDS	3915	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
CJHPIJDK_00017	gene	462	pgdS			
CJHPIJDK_00017	CDS	462	pgdS	3.4.19.-	COG0791	Gamma-DL-glutamyl hydrolase
CJHPIJDK_00018	gene	2043				
CJHPIJDK_00018	CDS	2043				hypothetical protein
CJHPIJDK_00019	gene	993				
CJHPIJDK_00019	CDS	993				hypothetical protein
CJHPIJDK_00020	gene	933				
CJHPIJDK_00020	CDS	933				hypothetical protein
CJHPIJDK_00021	gene	1485				
CJHPIJDK_00021	CDS	1485				hypothetical protein
CJHPIJDK_00022	gene	2289	leuC_1			
CJHPIJDK_00022	CDS	2289	leuC_1	4.2.1.33		3-isopropylmalate dehydratase large subunit
CJHPIJDK_00023	gene	531				
CJHPIJDK_00023	CDS	531				hypothetical protein
CJHPIJDK_00024	gene	783	thiD			
CJHPIJDK_00024	CDS	783	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
CJHPIJDK_00025	gene	570	thiE_1			
CJHPIJDK_00025	CDS	570	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
CJHPIJDK_00026	gene	816	thiM			
CJHPIJDK_00026	CDS	816	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
CJHPIJDK_00027	gene	3666				
CJHPIJDK_00027	CDS	3666				hypothetical protein
CJHPIJDK_00028	gene	177				
CJHPIJDK_00028	CDS	177				hypothetical protein
CJHPIJDK_00029	gene	495				
CJHPIJDK_00029	CDS	495				hypothetical protein
CJHPIJDK_00030	gene	264				
CJHPIJDK_00030	CDS	264				hypothetical protein
CJHPIJDK_00031	gene	2439				
CJHPIJDK_00031	CDS	2439				hypothetical protein
CJHPIJDK_00032	gene	675				
CJHPIJDK_00032	CDS	675			COG1136	putative ABC transporter ATP-binding protein
CJHPIJDK_00033	gene	1245	sasA_1			
CJHPIJDK_00033	CDS	1245	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
CJHPIJDK_00034	gene	405	sphR			
CJHPIJDK_00034	CDS	405	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
CJHPIJDK_00035	gene	189				
CJHPIJDK_00035	CDS	189				hypothetical protein
CJHPIJDK_00036	gene	366				
CJHPIJDK_00036	CDS	366				hypothetical protein
CJHPIJDK_00037	gene	264				
CJHPIJDK_00037	CDS	264				hypothetical protein
CJHPIJDK_00038	gene	867				
CJHPIJDK_00038	CDS	867				hypothetical protein
CJHPIJDK_00039	gene	483				
CJHPIJDK_00039	CDS	483				hypothetical protein
CJHPIJDK_00040	gene	624	dapH			
CJHPIJDK_00040	CDS	624	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
CJHPIJDK_00041	gene	891	hcaR			
CJHPIJDK_00041	CDS	891	hcaR			Hca operon transcriptional activator HcaR
CJHPIJDK_00042	gene	1167	adh2_1			
CJHPIJDK_00042	CDS	1167	adh2_1	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
CJHPIJDK_00043	gene	1191				
CJHPIJDK_00043	CDS	1191				hypothetical protein
CJHPIJDK_00044	gene	441				
CJHPIJDK_00044	CDS	441				hypothetical protein
CJHPIJDK_00045	gene	789				
CJHPIJDK_00045	CDS	789				hypothetical protein
CJHPIJDK_00046	gene	888	hdfR_1			
CJHPIJDK_00046	CDS	888	hdfR_1			HTH-type transcriptional regulator HdfR
CJHPIJDK_00047	gene	483				
CJHPIJDK_00047	CDS	483				hypothetical protein
CJHPIJDK_00048	gene	507				
CJHPIJDK_00048	CDS	507				hypothetical protein
CJHPIJDK_00049	gene	867				
CJHPIJDK_00049	CDS	867				hypothetical protein
CJHPIJDK_00050	gene	258				
CJHPIJDK_00050	CDS	258				hypothetical protein
CJHPIJDK_00051	gene	2265	uvrA_1			
CJHPIJDK_00051	CDS	2265	uvrA_1		COG0178	UvrABC system protein A
CJHPIJDK_00052	gene	312				
CJHPIJDK_00052	CDS	312				hypothetical protein
CJHPIJDK_00053	gene	747				
CJHPIJDK_00053	CDS	747				hypothetical protein
CJHPIJDK_00054	gene	534				
CJHPIJDK_00054	CDS	534				hypothetical protein
CJHPIJDK_00055	gene	786				
CJHPIJDK_00055	CDS	786				hypothetical protein
CJHPIJDK_00056	gene	258				
CJHPIJDK_00056	CDS	258				hypothetical protein
CJHPIJDK_00057	gene	711				
CJHPIJDK_00057	CDS	711				hypothetical protein
CJHPIJDK_00058	gene	657				
CJHPIJDK_00058	CDS	657				hypothetical protein
CJHPIJDK_00059	gene	441				
CJHPIJDK_00059	CDS	441				hypothetical protein
CJHPIJDK_00060	gene	558	slmA			
CJHPIJDK_00060	CDS	558	slmA			Nucleoid occlusion factor SlmA
CJHPIJDK_00061	gene	471				
CJHPIJDK_00061	CDS	471				hypothetical protein
CJHPIJDK_00062	gene	771				
CJHPIJDK_00062	CDS	771				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
CJHPIJDK_00063	gene	2412	leuS_1			
CJHPIJDK_00063	CDS	2412	leuS_1	6.1.1.4		Leucine--tRNA ligase
CJHPIJDK_00064	gene	1500				
CJHPIJDK_00064	CDS	1500				hypothetical protein
CJHPIJDK_00065	gene	369	gloA			
CJHPIJDK_00065	CDS	369	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
CJHPIJDK_00066	gene	1380	apeA			
CJHPIJDK_00066	CDS	1380	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
CJHPIJDK_00067	gene	351	mgsR			
CJHPIJDK_00067	CDS	351	mgsR		COG1393	Regulatory protein MgsR
CJHPIJDK_00068	gene	1152	dacF_1			
CJHPIJDK_00068	CDS	1152	dacF_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
CJHPIJDK_00069	gene	1047				
CJHPIJDK_00069	CDS	1047				hypothetical protein
CJHPIJDK_00070	gene	1692				
CJHPIJDK_00070	CDS	1692				hypothetical protein
CJHPIJDK_00071	gene	552				
CJHPIJDK_00071	CDS	552				hypothetical protein
CJHPIJDK_00072	gene	1383				
CJHPIJDK_00072	CDS	1383				hypothetical protein
CJHPIJDK_00073	gene	1341				
CJHPIJDK_00073	CDS	1341		2.8.3.-	COG0427	Butyryl-CoA:acetate CoA-transferase
CJHPIJDK_00074	gene	945	ldh_1			
CJHPIJDK_00074	CDS	945	ldh_1	1.1.1.27	COG0039	L-lactate dehydrogenase
CJHPIJDK_00075	gene	366				
CJHPIJDK_00075	CDS	366				hypothetical protein
CJHPIJDK_00076	gene	696				
CJHPIJDK_00076	CDS	696				hypothetical protein
CJHPIJDK_00077	gene	1278	sleL_1			
CJHPIJDK_00077	CDS	1278	sleL_1	3.2.1.-		Cortical fragment-lytic enzyme
CJHPIJDK_00078	gene	264				
CJHPIJDK_00078	CDS	264				hypothetical protein
CJHPIJDK_00079	gene	417	yjdF			
CJHPIJDK_00079	CDS	417	yjdF			putative protein YjdF
CJHPIJDK_00080	gene	1071				
CJHPIJDK_00080	CDS	1071		1.-.-.-		NADH oxidase
CJHPIJDK_00081	gene	990	yxeI			
CJHPIJDK_00081	CDS	990	yxeI		COG3049	putative protein YxeI
CJHPIJDK_00082	gene	1938				
CJHPIJDK_00082	CDS	1938				hypothetical protein
CJHPIJDK_00083	gene	2586				
CJHPIJDK_00083	CDS	2586				hypothetical protein
CJHPIJDK_00084	gene	147				
CJHPIJDK_00084	CDS	147				hypothetical protein
CJHPIJDK_00085	gene	1551				
CJHPIJDK_00085	CDS	1551				hypothetical protein
CJHPIJDK_00086	gene	672				
CJHPIJDK_00086	CDS	672				hypothetical protein
CJHPIJDK_00087	gene	3351	rcsC_3			
CJHPIJDK_00087	CDS	3351	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
CJHPIJDK_00088	gene	1278	msmE			
CJHPIJDK_00088	CDS	1278	msmE		COG1653	Multiple sugar-binding protein
CJHPIJDK_00089	gene	774				
CJHPIJDK_00089	CDS	774				hypothetical protein
CJHPIJDK_00090	gene	2088				
CJHPIJDK_00090	CDS	2088				hypothetical protein
CJHPIJDK_00091	gene	396				
CJHPIJDK_00091	CDS	396				hypothetical protein
	repeat_region	289				
CJHPIJDK_00092	gene	321				
CJHPIJDK_00092	CDS	321				hypothetical protein
CJHPIJDK_00093	gene	1179	lysN			
CJHPIJDK_00093	CDS	1179	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
CJHPIJDK_00094	gene	1017				
CJHPIJDK_00094	CDS	1017				hypothetical protein
CJHPIJDK_00095	gene	789				
CJHPIJDK_00095	CDS	789				hypothetical protein
CJHPIJDK_00096	gene	663	hxpB_1			
CJHPIJDK_00096	CDS	663	hxpB_1	3.1.3.68	COG0637	Hexitol phosphatase B
CJHPIJDK_00097	gene	846				
CJHPIJDK_00097	CDS	846				hypothetical protein
CJHPIJDK_00098	gene	909				
CJHPIJDK_00098	CDS	909				hypothetical protein
CJHPIJDK_00099	gene	1038	carE_1			
CJHPIJDK_00099	CDS	1038	carE_1	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
CJHPIJDK_00100	gene	783	carD_1			
CJHPIJDK_00100	CDS	783	carD_1	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
CJHPIJDK_00101	gene	1152	bcd_1			
CJHPIJDK_00101	CDS	1152	bcd_1	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
CJHPIJDK_00102	gene	840	hbd			
CJHPIJDK_00102	CDS	840	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
CJHPIJDK_00103	gene	777	crt_1			
CJHPIJDK_00103	CDS	777	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
CJHPIJDK_00104	gene	1182	thlA			
CJHPIJDK_00104	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
CJHPIJDK_00105	gene	423				
CJHPIJDK_00105	CDS	423				hypothetical protein
CJHPIJDK_00106	gene	447				
CJHPIJDK_00106	CDS	447				hypothetical protein
CJHPIJDK_00107	gene	498	ilvH_1			
CJHPIJDK_00107	CDS	498	ilvH_1	2.2.1.6	COG0440	Acetolactate synthase small subunit
CJHPIJDK_00108	gene	1740	ilvI			
CJHPIJDK_00108	CDS	1740	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
CJHPIJDK_00109	gene	576	scpB			
CJHPIJDK_00109	CDS	576	scpB			Segregation and condensation protein B
CJHPIJDK_00110	gene	771	scpA			
CJHPIJDK_00110	CDS	771	scpA		COG1354	Segregation and condensation protein A
CJHPIJDK_00111	gene	870	ypbG			
CJHPIJDK_00111	CDS	870	ypbG		COG1408	putative protein YpbG
CJHPIJDK_00112	gene	354	srlB_1			
CJHPIJDK_00112	CDS	354	srlB_1		COG3731	PTS system glucitol/sorbitol-specific EIIA component
CJHPIJDK_00113	gene	1014	srlE_1			
CJHPIJDK_00113	CDS	1014	srlE_1	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
CJHPIJDK_00114	gene	555	srlA_1			
CJHPIJDK_00114	CDS	555	srlA_1		COG3730	PTS system glucitol/sorbitol-specific EIIC component
CJHPIJDK_00115	gene	456				
CJHPIJDK_00115	CDS	456				hypothetical protein
CJHPIJDK_00116	gene	1941	licR_1			
CJHPIJDK_00116	CDS	1941	licR_1		COG1762	putative licABCH operon regulator
CJHPIJDK_00117	gene	816	fabG2_1			
CJHPIJDK_00117	CDS	816	fabG2_1	1.-.-.-		putative oxidoreductase
CJHPIJDK_00118	gene	1185	dacF_2			
CJHPIJDK_00118	CDS	1185	dacF_2	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
CJHPIJDK_00119	gene	453	ndx1			
CJHPIJDK_00119	CDS	453	ndx1	3.6.1.61	COG0494	Diadenosine hexaphosphate hydrolase
CJHPIJDK_00120	gene	1335	pbpA			
CJHPIJDK_00120	CDS	1335	pbpA		COG0768	Penicillin-binding protein A
CJHPIJDK_00121	gene	1416	mrdB			
CJHPIJDK_00121	CDS	1416	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
CJHPIJDK_00122	gene	2376				
CJHPIJDK_00122	CDS	2376				hypothetical protein
CJHPIJDK_00123	gene	387				
CJHPIJDK_00123	CDS	387				hypothetical protein
CJHPIJDK_00124	gene	999	ruvB			
CJHPIJDK_00124	CDS	999	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
CJHPIJDK_00125	gene	597	ruvA			
CJHPIJDK_00125	CDS	597	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
CJHPIJDK_00126	gene	933				
CJHPIJDK_00126	CDS	933				hypothetical protein
CJHPIJDK_00127	gene	378				
CJHPIJDK_00127	CDS	378				hypothetical protein
CJHPIJDK_00128	gene	681	yohK			
CJHPIJDK_00128	CDS	681	yohK		COG1346	Inner membrane protein YohK
CJHPIJDK_00129	gene	723	ycdX			
CJHPIJDK_00129	CDS	723	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
CJHPIJDK_00130	gene	1821				
CJHPIJDK_00130	CDS	1821				hypothetical protein
CJHPIJDK_00131	gene	72				
CJHPIJDK_00131	tRNA	72				tRNA-Glu(ctc)
CJHPIJDK_00132	gene	264				
CJHPIJDK_00132	CDS	264				hypothetical protein
CJHPIJDK_00133	gene	564	yedK			
CJHPIJDK_00133	CDS	564	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
CJHPIJDK_00134	gene	345				
CJHPIJDK_00134	CDS	345				hypothetical protein
CJHPIJDK_00135	gene	1284				
CJHPIJDK_00135	CDS	1284		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
CJHPIJDK_00136	gene	795	potA_1			
CJHPIJDK_00136	CDS	795	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
CJHPIJDK_00137	gene	915				
CJHPIJDK_00137	CDS	915				hypothetical protein
CJHPIJDK_00138	gene	1017				
CJHPIJDK_00138	CDS	1017				hypothetical protein
CJHPIJDK_00139	gene	999				
CJHPIJDK_00139	CDS	999				hypothetical protein
CJHPIJDK_00140	gene	2088	pnp			
CJHPIJDK_00140	CDS	2088	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
CJHPIJDK_00141	gene	267	rpsO			
CJHPIJDK_00141	CDS	267	rpsO		COG0184	30S ribosomal protein S15
CJHPIJDK_00142	gene	795	proC			
CJHPIJDK_00142	CDS	795	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
CJHPIJDK_00143	gene	918	rluD			
CJHPIJDK_00143	CDS	918	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
CJHPIJDK_00144	gene	495	lspA			
CJHPIJDK_00144	CDS	495	lspA	3.4.23.36		Lipoprotein signal peptidase
CJHPIJDK_00145	gene	1095	aroB			
CJHPIJDK_00145	CDS	1095	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
CJHPIJDK_00146	gene	588	divIVA			
CJHPIJDK_00146	CDS	588	divIVA		COG3599	Septum site-determining protein DivIVA
CJHPIJDK_00147	gene	753				
CJHPIJDK_00147	CDS	753				hypothetical protein
CJHPIJDK_00148	gene	531	sepF			
CJHPIJDK_00148	CDS	531	sepF		COG1799	Cell division protein SepF
CJHPIJDK_00149	gene	693				
CJHPIJDK_00149	CDS	693			COG0325	Pyridoxal phosphate homeostasis protein
CJHPIJDK_00150	gene	1365				
CJHPIJDK_00150	CDS	1365				hypothetical protein
CJHPIJDK_00151	gene	942				
CJHPIJDK_00151	CDS	942				hypothetical protein
CJHPIJDK_00152	gene	978				
CJHPIJDK_00152	CDS	978				hypothetical protein
CJHPIJDK_00153	gene	396	mgsA_1			
CJHPIJDK_00153	CDS	396	mgsA_1	4.2.3.3	COG1803	Methylglyoxal synthase
CJHPIJDK_00154	gene	1116	ftsW_1			
CJHPIJDK_00154	CDS	1116	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
CJHPIJDK_00155	gene	267	minE			
CJHPIJDK_00155	CDS	267	minE		COG0851	Cell division topological specificity factor
CJHPIJDK_00156	gene	786	minD			
CJHPIJDK_00156	CDS	786	minD		COG2894	Septum site-determining protein MinD
CJHPIJDK_00157	gene	735	minC			
CJHPIJDK_00157	CDS	735	minC		COG0850	Septum site-determining protein MinC
CJHPIJDK_00158	gene	2916	mrdA			
CJHPIJDK_00158	CDS	2916	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
CJHPIJDK_00159	gene	519				
CJHPIJDK_00159	CDS	519				hypothetical protein
CJHPIJDK_00160	gene	867				
CJHPIJDK_00160	CDS	867				hypothetical protein
CJHPIJDK_00161	gene	978	mreBH			
CJHPIJDK_00161	CDS	978	mreBH		COG1077	Cell shape-determining protein MreBH
CJHPIJDK_00162	gene	699				
CJHPIJDK_00162	CDS	699				hypothetical protein
CJHPIJDK_00163	gene	1284				
CJHPIJDK_00163	CDS	1284				hypothetical protein
CJHPIJDK_00164	gene	963	miaA			
CJHPIJDK_00164	CDS	963	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
CJHPIJDK_00165	gene	381	cdd			
CJHPIJDK_00165	CDS	381	cdd	3.5.4.5	COG0295	Cytidine deaminase
CJHPIJDK_00166	gene	1863	mutL			
CJHPIJDK_00166	CDS	1863	mutL		COG0323	DNA mismatch repair protein MutL
CJHPIJDK_00167	gene	2619	mutS			
CJHPIJDK_00167	CDS	2619	mutS		COG0249	DNA mismatch repair protein MutS
CJHPIJDK_00168	gene	1413	miaB			
CJHPIJDK_00168	CDS	1413	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
CJHPIJDK_00169	gene	1104	glf			
CJHPIJDK_00169	CDS	1104	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
CJHPIJDK_00170	gene	1635				
CJHPIJDK_00170	CDS	1635				hypothetical protein
CJHPIJDK_00171	gene	1926	apu			
CJHPIJDK_00171	CDS	1926	apu			Amylopullulanase
CJHPIJDK_00172	gene	2454	malP_1			
CJHPIJDK_00172	CDS	2454	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
CJHPIJDK_00173	gene	1452	glgA			
CJHPIJDK_00173	CDS	1452	glgA	2.4.1.21	COG0297	Glycogen synthase
CJHPIJDK_00174	gene	1134	glgD			
CJHPIJDK_00174	CDS	1134	glgD		COG0448	Glycogen biosynthesis protein GlgD
CJHPIJDK_00175	gene	1185	glgC			
CJHPIJDK_00175	CDS	1185	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
CJHPIJDK_00176	gene	2301	glgB			
CJHPIJDK_00176	CDS	2301	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
CJHPIJDK_00177	gene	1218	tdcB			
CJHPIJDK_00177	CDS	1218	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
CJHPIJDK_00178	gene	933	ftsY			
CJHPIJDK_00178	CDS	933	ftsY		COG0552	Signal recognition particle receptor FtsY
CJHPIJDK_00179	gene	3561	smc_1			
CJHPIJDK_00179	CDS	3561	smc_1		COG1196	Chromosome partition protein Smc
CJHPIJDK_00180	gene	696	rnc			
CJHPIJDK_00180	CDS	696	rnc	3.1.26.3	COG0571	Ribonuclease 3
CJHPIJDK_00181	gene	1011	plsX			
CJHPIJDK_00181	CDS	1011	plsX	2.3.1.274		Phosphate acyltransferase
CJHPIJDK_00182	gene	180	rpmF			
CJHPIJDK_00182	CDS	180	rpmF			50S ribosomal protein L32
CJHPIJDK_00183	gene	519				
CJHPIJDK_00183	CDS	519				hypothetical protein
CJHPIJDK_00184	gene	1194	ackA			
CJHPIJDK_00184	CDS	1194	ackA	2.7.2.1	COG0282	Acetate kinase
CJHPIJDK_00185	gene	1005	pta			
CJHPIJDK_00185	CDS	1005	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
CJHPIJDK_00186	gene	1215	tmcAL			
CJHPIJDK_00186	CDS	1215	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
CJHPIJDK_00187	gene	909	ylbJ			
CJHPIJDK_00187	CDS	909	ylbJ		COG3314	Sporulation integral membrane protein YlbJ
CJHPIJDK_00188	gene	606				
CJHPIJDK_00188	CDS	606				hypothetical protein
CJHPIJDK_00189	gene	498	coaD			
CJHPIJDK_00189	CDS	498	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
CJHPIJDK_00190	gene	564	rsmD			
CJHPIJDK_00190	CDS	564	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
CJHPIJDK_00191	gene	225				
CJHPIJDK_00191	CDS	225				hypothetical protein
CJHPIJDK_00192	gene	273	acyP			
CJHPIJDK_00192	CDS	273	acyP	3.6.1.7	COG1254	Acylphosphatase
CJHPIJDK_00193	gene	2031	recG			
CJHPIJDK_00193	CDS	2031	recG	3.6.4.12		ATP-dependent DNA helicase RecG
CJHPIJDK_00194	gene	1641				
CJHPIJDK_00194	CDS	1641				putative protein
CJHPIJDK_00195	gene	357				
CJHPIJDK_00195	CDS	357				putative protein
CJHPIJDK_00196	gene	186	rpmB			
CJHPIJDK_00196	CDS	186	rpmB		COG0227	50S ribosomal protein L28
CJHPIJDK_00197	gene	378				
CJHPIJDK_00197	CDS	378				hypothetical protein
CJHPIJDK_00198	gene	921				
CJHPIJDK_00198	CDS	921				hypothetical protein
CJHPIJDK_00199	gene	312				
CJHPIJDK_00199	CDS	312				hypothetical protein
CJHPIJDK_00200	gene	1434	pyk			
CJHPIJDK_00200	CDS	1434	pyk	2.7.1.40		Pyruvate kinase
CJHPIJDK_00201	gene	885				
