locus_tag	ftype	length_bp	gene	EC_number	COG	product
IPIFBIFB_00001	gene	1416	dnaA_1			
IPIFBIFB_00001	CDS	1416	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
IPIFBIFB_00002	gene	1113	dnaN			
IPIFBIFB_00002	CDS	1113	dnaN			Beta sliding clamp
IPIFBIFB_00003	gene	216				
IPIFBIFB_00003	CDS	216				hypothetical protein
IPIFBIFB_00004	gene	1107	recF			
IPIFBIFB_00004	CDS	1107	recF		COG1195	DNA replication and repair protein RecF
IPIFBIFB_00005	gene	1938	gyrB_1			
IPIFBIFB_00005	CDS	1938	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
IPIFBIFB_00006	gene	2625	gyrA_1			
IPIFBIFB_00006	CDS	2625	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
IPIFBIFB_00007	gene	1092				
IPIFBIFB_00007	CDS	1092				hypothetical protein
IPIFBIFB_00008	gene	729				
IPIFBIFB_00008	CDS	729				hypothetical protein
IPIFBIFB_00009	gene	1614	btuD_1			
IPIFBIFB_00009	CDS	1614	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IPIFBIFB_00010	gene	444				
IPIFBIFB_00010	CDS	444			COG3279	putative HTH-type transcriptional regulator
IPIFBIFB_00011	gene	459				
IPIFBIFB_00011	CDS	459				hypothetical protein
IPIFBIFB_00012	gene	2868	xyl3A			
IPIFBIFB_00012	CDS	2868	xyl3A	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
IPIFBIFB_00013	gene	867				
IPIFBIFB_00013	CDS	867				hypothetical protein
IPIFBIFB_00014	gene	828	panB			
IPIFBIFB_00014	CDS	828	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
IPIFBIFB_00015	gene	846	panC			
IPIFBIFB_00015	CDS	846	panC	6.3.2.1	COG0414	Pantothenate synthetase
IPIFBIFB_00016	gene	393	panD			
IPIFBIFB_00016	CDS	393	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
IPIFBIFB_00017	gene	1092				
IPIFBIFB_00017	CDS	1092				hypothetical protein
IPIFBIFB_00018	gene	846	ttdA_1			
IPIFBIFB_00018	CDS	846	ttdA_1	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
IPIFBIFB_00019	gene	552	fumB			
IPIFBIFB_00019	CDS	552	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
IPIFBIFB_00020	gene	1062	iolU			
IPIFBIFB_00020	CDS	1062	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
IPIFBIFB_00021	gene	89				
IPIFBIFB_00021	tRNA	89				tRNA-Ser(gct)
IPIFBIFB_00022	gene	1529				
IPIFBIFB_00022	rRNA	1529				16S ribosomal RNA
IPIFBIFB_00023	gene	101				
IPIFBIFB_00023	rRNA	101				5S ribosomal RNA
IPIFBIFB_00024	gene	2912				
IPIFBIFB_00024	rRNA	2912				23S ribosomal RNA
IPIFBIFB_00025	gene	75				
IPIFBIFB_00025	tRNA	75				tRNA-Asn(gtt)
IPIFBIFB_00026	gene	72				
IPIFBIFB_00026	tRNA	72				tRNA-Glu(ttc)
IPIFBIFB_00027	gene	72				
IPIFBIFB_00027	tRNA	72				tRNA-Cys(gca)
IPIFBIFB_00028	gene	2148				
IPIFBIFB_00028	CDS	2148				hypothetical protein
IPIFBIFB_00029	gene	309				
IPIFBIFB_00029	CDS	309				hypothetical protein
IPIFBIFB_00030	gene	1050				
IPIFBIFB_00030	CDS	1050			COG2826	IS30 family transposase ISSag9
IPIFBIFB_00031	gene	957	mobA_1			
IPIFBIFB_00031	CDS	957	mobA_1			Mobilization protein A
IPIFBIFB_00032	gene	318				
IPIFBIFB_00032	CDS	318				hypothetical protein
IPIFBIFB_00033	gene	219				
IPIFBIFB_00033	CDS	219				hypothetical protein
IPIFBIFB_00034	gene	1359				
IPIFBIFB_00034	CDS	1359				hypothetical protein
IPIFBIFB_00035	gene	486	dnaG_1			
IPIFBIFB_00035	CDS	486	dnaG_1	2.7.7.-		DNA primase
IPIFBIFB_00036	gene	1122				
IPIFBIFB_00036	CDS	1122				hypothetical protein
IPIFBIFB_00037	gene	840				
IPIFBIFB_00037	CDS	840				hypothetical protein
IPIFBIFB_00038	gene	429				
IPIFBIFB_00038	CDS	429				hypothetical protein
IPIFBIFB_00039	gene	1317				
IPIFBIFB_00039	CDS	1317				hypothetical protein
IPIFBIFB_00040	gene	723	ypdB_1			
IPIFBIFB_00040	CDS	723	ypdB_1		COG3279	Transcriptional regulatory protein YpdB
IPIFBIFB_00041	gene	360				
IPIFBIFB_00041	CDS	360				hypothetical protein
IPIFBIFB_00042	gene	2064				
IPIFBIFB_00042	CDS	2064				hypothetical protein
IPIFBIFB_00043	gene	225				
IPIFBIFB_00043	CDS	225				hypothetical protein
IPIFBIFB_00044	gene	399				
IPIFBIFB_00044	CDS	399				hypothetical protein
IPIFBIFB_00045	gene	1374				
IPIFBIFB_00045	CDS	1374				hypothetical protein
IPIFBIFB_00046	gene	2052	yjcS			
IPIFBIFB_00046	CDS	2052	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
IPIFBIFB_00047	gene	678				
IPIFBIFB_00047	CDS	678				hypothetical protein
IPIFBIFB_00048	gene	2196				
IPIFBIFB_00048	CDS	2196				hypothetical protein
IPIFBIFB_00049	gene	71				
IPIFBIFB_00049	tRNA	71				tRNA-Cys(gca)
IPIFBIFB_00050	gene	822	axeA1			
IPIFBIFB_00050	CDS	822	axeA1	3.1.1.72	COG0657	Acetylxylan esterase
IPIFBIFB_00051	gene	1227	tyrS			
IPIFBIFB_00051	CDS	1227	tyrS	6.1.1.1		Tyrosine--tRNA ligase
IPIFBIFB_00052	gene	414				
IPIFBIFB_00052	CDS	414				hypothetical protein
IPIFBIFB_00053	gene	489	sigR			
IPIFBIFB_00053	CDS	489	sigR		COG1595	ECF RNA polymerase sigma factor SigR
IPIFBIFB_00054	gene	1431				
IPIFBIFB_00054	CDS	1431				hypothetical protein
IPIFBIFB_00055	gene	831	ywpJ			
IPIFBIFB_00055	CDS	831	ywpJ	3.1.3.-	COG0561	Phosphatase YwpJ
IPIFBIFB_00056	gene	840				
IPIFBIFB_00056	CDS	840				hypothetical protein
IPIFBIFB_00057	gene	558				
IPIFBIFB_00057	CDS	558				hypothetical protein
IPIFBIFB_00058	gene	996	bioB_1			
IPIFBIFB_00058	CDS	996	bioB_1	2.8.1.6		Biotin synthase
IPIFBIFB_00059	gene	684	bioD1			
IPIFBIFB_00059	CDS	684	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
