locus_tag	ftype	length_bp	gene	EC_number	COG	product
NHHLBMPF_00001	gene	288				
NHHLBMPF_00001	CDS	288				hypothetical protein
NHHLBMPF_00002	gene	1668	malL_1			
NHHLBMPF_00002	CDS	1668	malL_1	3.2.1.10	COG0366	Oligo-1,6-glucosidase
NHHLBMPF_00003	gene	831	melC_1			
NHHLBMPF_00003	CDS	831	melC_1		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
NHHLBMPF_00004	gene	855	melD_1			
NHHLBMPF_00004	CDS	855	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
NHHLBMPF_00005	gene	1221	msmE_1			
NHHLBMPF_00005	CDS	1221	msmE_1		COG1653	Multiple sugar-binding protein
NHHLBMPF_00006	gene	1011	degA_1			
NHHLBMPF_00006	CDS	1011	degA_1		COG1609	HTH-type transcriptional regulator DegA
NHHLBMPF_00007	gene	687				
NHHLBMPF_00007	CDS	687				hypothetical protein
NHHLBMPF_00008	gene	1164				
NHHLBMPF_00008	CDS	1164				hypothetical protein
NHHLBMPF_00009	gene	1329				
NHHLBMPF_00009	CDS	1329				hypothetical protein
NHHLBMPF_00010	gene	690				
NHHLBMPF_00010	CDS	690				hypothetical protein
NHHLBMPF_00011	gene	714				
NHHLBMPF_00011	CDS	714				hypothetical protein
NHHLBMPF_00012	gene	939	aptB_1			
NHHLBMPF_00012	CDS	939	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
NHHLBMPF_00013	gene	840	aptA_1			
NHHLBMPF_00013	CDS	840	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
NHHLBMPF_00014	gene	654	tal			
NHHLBMPF_00014	CDS	654	tal	2.2.1.2	COG0176	Transaldolase
NHHLBMPF_00015	gene	1107	degA_2			
NHHLBMPF_00015	CDS	1107	degA_2		COG1609	HTH-type transcriptional regulator DegA
NHHLBMPF_00016	gene	600	recR			
NHHLBMPF_00016	CDS	600	recR		COG0353	Recombination protein RecR
NHHLBMPF_00017	gene	357				
NHHLBMPF_00017	CDS	357			COG0718	Nucleoid-associated protein
NHHLBMPF_00018	gene	1635	ruvB_1			
NHHLBMPF_00018	CDS	1635	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
NHHLBMPF_00019	gene	1080	pfkA2			
NHHLBMPF_00019	CDS	1080	pfkA2	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase 2
NHHLBMPF_00020	gene	468				
NHHLBMPF_00020	CDS	468				hypothetical protein
NHHLBMPF_00021	gene	615				
NHHLBMPF_00021	CDS	615				hypothetical protein
NHHLBMPF_00022	gene	858	yitJ			
NHHLBMPF_00022	CDS	858	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
NHHLBMPF_00023	gene	498	tadA			
NHHLBMPF_00023	CDS	498	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
NHHLBMPF_00024	gene	89				
NHHLBMPF_00024	tRNA	89				tRNA-Ser(cga)
NHHLBMPF_00025	gene	696	queE_1			
