locus_tag	ftype	length_bp	gene	EC_number	COG	product
COAOFGAP_00001	gene	1416				
COAOFGAP_00001	CDS	1416				hypothetical protein
COAOFGAP_00002	gene	2061				
COAOFGAP_00002	CDS	2061				hypothetical protein
COAOFGAP_00003	gene	375				
COAOFGAP_00003	CDS	375				hypothetical protein
COAOFGAP_00004	gene	594	bioY_1			
COAOFGAP_00004	CDS	594	bioY_1		COG1268	Biotin transporter BioY
COAOFGAP_00005	gene	993	bioB			
COAOFGAP_00005	CDS	993	bioB	2.8.1.6		Biotin synthase
COAOFGAP_00006	gene	699	bioD1			
COAOFGAP_00006	CDS	699	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
COAOFGAP_00007	gene	1191	bioA			
COAOFGAP_00007	CDS	1191	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COAOFGAP_00008	gene	2268	bglB_1			
COAOFGAP_00008	CDS	2268	bglB_1	3.2.1.21	COG1472	Thermostable beta-glucosidase B
COAOFGAP_00009	gene	768	rhaR_1			
COAOFGAP_00009	CDS	768	rhaR_1			HTH-type transcriptional activator RhaR
COAOFGAP_00010	gene	621				
COAOFGAP_00010	CDS	621				hypothetical protein
COAOFGAP_00011	gene	660	yxeN			
COAOFGAP_00011	CDS	660	yxeN			putative amino-acid permease protein YxeN
COAOFGAP_00012	gene	678	glnP			
COAOFGAP_00012	CDS	678	glnP		COG0765	putative glutamine ABC transporter permease protein GlnP
COAOFGAP_00013	gene	756	artM_1			
COAOFGAP_00013	CDS	756	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
COAOFGAP_00014	gene	987	mltF_1			
COAOFGAP_00014	CDS	987	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
COAOFGAP_00015	gene	822				
COAOFGAP_00015	CDS	822				hypothetical protein
COAOFGAP_00016	gene	1746				
COAOFGAP_00016	CDS	1746				hypothetical protein
COAOFGAP_00017	gene	8985	srfAA			
COAOFGAP_00017	CDS	8985	srfAA		COG0318	Surfactin synthase subunit 1
COAOFGAP_00018	gene	303				
COAOFGAP_00018	CDS	303				hypothetical protein
COAOFGAP_00019	gene	408				
COAOFGAP_00019	CDS	408				hypothetical protein
COAOFGAP_00020	gene	687	sfp_1			
COAOFGAP_00020	CDS	687	sfp_1	2.7.8.7	COG2091	4'-phosphopantetheinyl transferase Sfp
COAOFGAP_00021	gene	177				
COAOFGAP_00021	CDS	177				hypothetical protein
COAOFGAP_00022	gene	324				
COAOFGAP_00022	CDS	324				hypothetical protein
COAOFGAP_00023	gene	204				
COAOFGAP_00023	CDS	204				hypothetical protein
COAOFGAP_00024	gene	1176	cheB_1			
COAOFGAP_00024	CDS	1176	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
COAOFGAP_00025	gene	1803				
COAOFGAP_00025	CDS	1803				hypothetical protein
COAOFGAP_00026	gene	1347				
COAOFGAP_00026	CDS	1347				hypothetical protein
COAOFGAP_00027	gene	882	ngcF_1			
COAOFGAP_00027	CDS	882	ngcF_1		COG1175	Diacetylchitobiose uptake system permease protein NgcF
COAOFGAP_00028	gene	828	ngcG_1			
COAOFGAP_00028	CDS	828	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
COAOFGAP_00029	gene	1440				
COAOFGAP_00029	CDS	1440				hypothetical protein
COAOFGAP_00030	gene	2328				
COAOFGAP_00030	CDS	2328				hypothetical protein
COAOFGAP_00031	gene	1872				
COAOFGAP_00031	CDS	1872				hypothetical protein
COAOFGAP_00032	gene	708				
COAOFGAP_00032	CDS	708				hypothetical protein
COAOFGAP_00033	gene	1209	rng			
COAOFGAP_00033	CDS	1209	rng	3.1.26.-	COG1530	Ribonuclease G
COAOFGAP_00034	gene	306	rplU			
COAOFGAP_00034	CDS	306	rplU		COG0261	50S ribosomal protein L21
COAOFGAP_00035	gene	321				
COAOFGAP_00035	CDS	321				hypothetical protein
COAOFGAP_00036	gene	288	rpmA			
COAOFGAP_00036	CDS	288	rpmA			50S ribosomal protein L27
COAOFGAP_00037	gene	1296	obg			
COAOFGAP_00037	CDS	1296	obg	3.6.5.-	COG0536	GTPase Obg
COAOFGAP_00038	gene	300	yhbY			
COAOFGAP_00038	CDS	300	yhbY		COG1534	RNA-binding protein YhbY
COAOFGAP_00039	gene	636	nadD			
COAOFGAP_00039	CDS	636	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
COAOFGAP_00040	gene	612				
COAOFGAP_00040	CDS	612				hypothetical protein
COAOFGAP_00041	gene	360	rsfS			
COAOFGAP_00041	CDS	360	rsfS		COG0799	Ribosomal silencing factor RsfS
COAOFGAP_00042	gene	621	lexA_1			
COAOFGAP_00042	CDS	621	lexA_1	3.4.21.88	COG1974	LexA repressor
COAOFGAP_00043	gene	1482				
COAOFGAP_00043	CDS	1482				hypothetical protein
COAOFGAP_00044	gene	702	yggS			
COAOFGAP_00044	CDS	702	yggS		COG0325	Pyridoxal phosphate homeostasis protein
COAOFGAP_00045	gene	663	sepF			
COAOFGAP_00045	CDS	663	sepF			Cell division protein SepF
COAOFGAP_00046	gene	753				
COAOFGAP_00046	CDS	753				hypothetical protein
COAOFGAP_00047	gene	1092	aroB			
COAOFGAP_00047	CDS	1092	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
COAOFGAP_00048	gene	522	lspA			
COAOFGAP_00048	CDS	522	lspA	3.4.23.36		Lipoprotein signal peptidase
COAOFGAP_00049	gene	915	rluD_1			
COAOFGAP_00049	CDS	915	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
COAOFGAP_00050	gene	636	cmk_1			
COAOFGAP_00050	CDS	636	cmk_1	2.7.4.25		Cytidylate kinase
COAOFGAP_00051	gene	1452				
COAOFGAP_00051	CDS	1452				hypothetical protein
COAOFGAP_00052	gene	447	dtd			
COAOFGAP_00052	CDS	447	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
COAOFGAP_00053	gene	1551				
COAOFGAP_00053	CDS	1551				hypothetical protein
COAOFGAP_00054	gene	1080	xerS			
COAOFGAP_00054	CDS	1080	xerS		COG0582	Tyrosine recombinase XerS
COAOFGAP_00055	gene	258				
