locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOKPLKPN_00001	gene	1218				
AOKPLKPN_00001	CDS	1218				hypothetical protein
AOKPLKPN_00002	gene	249				
AOKPLKPN_00002	CDS	249				hypothetical protein
AOKPLKPN_00003	gene	207				
AOKPLKPN_00003	CDS	207				hypothetical protein
AOKPLKPN_00004	gene	1068	intQ			
AOKPLKPN_00004	CDS	1068	intQ		COG0582	Putative defective protein IntQ
AOKPLKPN_00005	gene	2148	yhgF			
AOKPLKPN_00005	CDS	2148	yhgF		COG2183	Protein YhgF
AOKPLKPN_00006	gene	345	mgsR			
AOKPLKPN_00006	CDS	345	mgsR		COG1393	Regulatory protein MgsR
AOKPLKPN_00007	gene	438				
AOKPLKPN_00007	CDS	438				hypothetical protein
AOKPLKPN_00008	gene	420				
AOKPLKPN_00008	CDS	420				hypothetical protein
AOKPLKPN_00009	gene	939	lnrL_1			
AOKPLKPN_00009	CDS	939	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
AOKPLKPN_00010	gene	1122				
AOKPLKPN_00010	CDS	1122				hypothetical protein
AOKPLKPN_00011	gene	1155				
AOKPLKPN_00011	CDS	1155				hypothetical protein
AOKPLKPN_00012	gene	930				
AOKPLKPN_00012	CDS	930				hypothetical protein
AOKPLKPN_00013	gene	981				
AOKPLKPN_00013	CDS	981				hypothetical protein
AOKPLKPN_00014	gene	2169				
AOKPLKPN_00014	CDS	2169				hypothetical protein
AOKPLKPN_00015	gene	1242	pfp			
AOKPLKPN_00015	CDS	1242	pfp	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
AOKPLKPN_00016	gene	3519				
AOKPLKPN_00016	CDS	3519		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
AOKPLKPN_00017	gene	867	ybbH_1			
AOKPLKPN_00017	CDS	867	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
AOKPLKPN_00018	gene	762	potA_1			
AOKPLKPN_00018	CDS	762	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
AOKPLKPN_00019	gene	1629				
AOKPLKPN_00019	CDS	1629				hypothetical protein
AOKPLKPN_00020	gene	987				
AOKPLKPN_00020	CDS	987				hypothetical protein
AOKPLKPN_00021	gene	1110	phnW			
AOKPLKPN_00021	CDS	1110	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
AOKPLKPN_00022	gene	783	phnX			
AOKPLKPN_00022	CDS	783	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
AOKPLKPN_00023	gene	369				
AOKPLKPN_00023	CDS	369				hypothetical protein
AOKPLKPN_00024	gene	861				
AOKPLKPN_00024	CDS	861				hypothetical protein
AOKPLKPN_00025	gene	441				
AOKPLKPN_00025	CDS	441				hypothetical protein
AOKPLKPN_00026	gene	252				
AOKPLKPN_00026	CDS	252				hypothetical protein
AOKPLKPN_00027	gene	723				
AOKPLKPN_00027	CDS	723				hypothetical protein
AOKPLKPN_00028	gene	693	sigE			
AOKPLKPN_00028	CDS	693	sigE		COG1191	RNA polymerase sigma-E factor
AOKPLKPN_00029	gene	780	sigG			
AOKPLKPN_00029	CDS	780	sigG		COG1191	RNA polymerase sigma-G factor
AOKPLKPN_00030	gene	252	ylmC			
AOKPLKPN_00030	CDS	252	ylmC		COG1873	putative sporulation protein YlmC
AOKPLKPN_00031	gene	444	sepF			
AOKPLKPN_00031	CDS	444	sepF			Cell division protein SepF
AOKPLKPN_00032	gene	753				
AOKPLKPN_00032	CDS	753				hypothetical protein
AOKPLKPN_00033	gene	429				
AOKPLKPN_00033	CDS	429				hypothetical protein
AOKPLKPN_00034	gene	2805	ileS			
AOKPLKPN_00034	CDS	2805	ileS	6.1.1.5		Isoleucine--tRNA ligase
AOKPLKPN_00035	gene	897				
AOKPLKPN_00035	CDS	897				hypothetical protein
AOKPLKPN_00036	gene	1221	dacF_1			
AOKPLKPN_00036	CDS	1221	dacF_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
AOKPLKPN_00037	gene	207				
AOKPLKPN_00037	CDS	207				hypothetical protein
AOKPLKPN_00038	gene	657	gph_1			
AOKPLKPN_00038	CDS	657	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
AOKPLKPN_00039	gene	495				
AOKPLKPN_00039	CDS	495				hypothetical protein
AOKPLKPN_00040	gene	936	manA			
AOKPLKPN_00040	CDS	936	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
AOKPLKPN_00041	gene	1083				
AOKPLKPN_00041	CDS	1083				hypothetical protein
AOKPLKPN_00042	gene	1179				
AOKPLKPN_00042	CDS	1179		1.1.1.38		NAD-dependent malic enzyme
AOKPLKPN_00043	gene	546				
AOKPLKPN_00043	CDS	546				hypothetical protein
AOKPLKPN_00044	gene	1620	groL			
AOKPLKPN_00044	CDS	1620	groL		COG0459	60 kDa chaperonin
AOKPLKPN_00045	gene	261	groS			
AOKPLKPN_00045	CDS	261	groS		COG0234	10 kDa chaperonin
AOKPLKPN_00046	gene	372				
AOKPLKPN_00046	CDS	372				hypothetical protein
AOKPLKPN_00047	gene	195				
AOKPLKPN_00047	CDS	195				hypothetical protein
AOKPLKPN_00048	gene	372	gloA			
AOKPLKPN_00048	CDS	372	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
AOKPLKPN_00049	gene	324				
AOKPLKPN_00049	CDS	324				hypothetical protein
AOKPLKPN_00050	gene	1128				
AOKPLKPN_00050	CDS	1128				hypothetical protein
AOKPLKPN_00051	gene	663				
AOKPLKPN_00051	CDS	663				hypothetical protein
AOKPLKPN_00052	gene	738	yeeN			
AOKPLKPN_00052	CDS	738	yeeN		COG0217	putative transcriptional regulatory protein YeeN
AOKPLKPN_00053	gene	1170	baiN			
AOKPLKPN_00053	CDS	1170	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
AOKPLKPN_00054	gene	1578	dadA			
AOKPLKPN_00054	CDS	1578	dadA	1.4.99.-		D-amino acid dehydrogenase
AOKPLKPN_00055	gene	1404	ktrB_1			
AOKPLKPN_00055	CDS	1404	ktrB_1		COG0168	Ktr system potassium uptake protein B
AOKPLKPN_00056	gene	669	ktrA_1			
AOKPLKPN_00056	CDS	669	ktrA_1		COG0569	Ktr system potassium uptake protein A
AOKPLKPN_00057	gene	504				
AOKPLKPN_00057	CDS	504		3.1.4.-		Putative metallophosphoesterase MG207 
AOKPLKPN_00058	gene	705				
AOKPLKPN_00058	CDS	705			COG1136	putative ABC transporter ATP-binding protein
AOKPLKPN_00059	gene	3054				
AOKPLKPN_00059	CDS	3054				hypothetical protein
AOKPLKPN_00060	gene	675	ydbD_1			
AOKPLKPN_00060	CDS	675	ydbD_1	1.11.1.6	COG3546	putative manganese catalase
AOKPLKPN_00061	gene	1152				
AOKPLKPN_00061	CDS	1152				hypothetical protein
AOKPLKPN_00062	gene	873	livH			
AOKPLKPN_00062	CDS	873	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
AOKPLKPN_00063	gene	948				
AOKPLKPN_00063	CDS	948				hypothetical protein
AOKPLKPN_00064	gene	765	lptB			
AOKPLKPN_00064	CDS	765	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AOKPLKPN_00065	gene	702	livF			
AOKPLKPN_00065	CDS	702	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
AOKPLKPN_00066	gene	504				
AOKPLKPN_00066	CDS	504				hypothetical protein
AOKPLKPN_00067	gene	1461				
AOKPLKPN_00067	CDS	1461				hypothetical protein
AOKPLKPN_00068	gene	1524	nnr			
AOKPLKPN_00068	CDS	1524	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
AOKPLKPN_00069	gene	759	rl5			
AOKPLKPN_00069	CDS	759	rl5	1.10.3.-		Polyphenol oxidase
AOKPLKPN_00070	gene	396				
AOKPLKPN_00070	CDS	396				hypothetical protein
AOKPLKPN_00071	gene	1644	rqcH			
AOKPLKPN_00071	CDS	1644	rqcH			Rqc2 RqcH
AOKPLKPN_00072	gene	573	gmk			
AOKPLKPN_00072	CDS	573	gmk	2.7.4.8	COG0194	Guanylate kinase
AOKPLKPN_00073	gene	1281	hisS			
AOKPLKPN_00073	CDS	1281	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
AOKPLKPN_00074	gene	1767	aspS			
AOKPLKPN_00074	CDS	1767	aspS	6.1.1.12		Aspartate--tRNA ligase
AOKPLKPN_00075	gene	1083				
AOKPLKPN_00075	CDS	1083		3.4.-.-		putative peptidase
AOKPLKPN_00076	gene	135				
AOKPLKPN_00076	CDS	135				hypothetical protein
AOKPLKPN_00077	gene	1311	murC			
AOKPLKPN_00077	CDS	1311	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
AOKPLKPN_00078	gene	303				
AOKPLKPN_00078	CDS	303				hypothetical protein
AOKPLKPN_00079	gene	483				
AOKPLKPN_00079	CDS	483				hypothetical protein
AOKPLKPN_00080	gene	1008	ccpA_1			
AOKPLKPN_00080	CDS	1008	ccpA_1		COG1609	Catabolite control protein A
AOKPLKPN_00081	gene	1530	clcA			
AOKPLKPN_00081	CDS	1530	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
AOKPLKPN_00082	gene	1227	tyrS			
AOKPLKPN_00082	CDS	1227	tyrS	6.1.1.1		Tyrosine--tRNA ligase
AOKPLKPN_00083	gene	633	tig_1			
AOKPLKPN_00083	CDS	633	tig_1	5.2.1.8		Trigger factor
AOKPLKPN_00084	gene	837	truB			
AOKPLKPN_00084	CDS	837	truB	5.4.99.25		tRNA pseudouridine synthase B
AOKPLKPN_00085	gene	936	ribF			
AOKPLKPN_00085	CDS	936	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
AOKPLKPN_00086	gene	276				
AOKPLKPN_00086	CDS	276				hypothetical protein
AOKPLKPN_00087	gene	453	ppx1			
AOKPLKPN_00087	CDS	453	ppx1	3.6.1.11	COG0248	Exopolyphosphatase 1
AOKPLKPN_00088	gene	705	natA			
AOKPLKPN_00088	CDS	705	natA	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
AOKPLKPN_00089	gene	1575				
