locus_tag	ftype	length_bp	gene	EC_number	COG	product
BJMIGEFF_00001	gene	838				
BJMIGEFF_00001	rRNA	838				23S ribosomal RNA (partial)
BJMIGEFF_00002	gene	76				
BJMIGEFF_00002	tRNA	76				tRNA-Ala(tgc)
BJMIGEFF_00003	gene	77				
BJMIGEFF_00003	tRNA	77				tRNA-Ile(gat)
BJMIGEFF_00004	gene	1538				
BJMIGEFF_00004	rRNA	1538				16S ribosomal RNA
BJMIGEFF_00005	gene	567	gmhB			
BJMIGEFF_00005	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
BJMIGEFF_00006	gene	1032	metN_1			
BJMIGEFF_00006	CDS	1032	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
BJMIGEFF_00007	gene	654	metI			
BJMIGEFF_00007	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
BJMIGEFF_00008	gene	816	metQ_1			
BJMIGEFF_00008	CDS	816	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
BJMIGEFF_00009	gene	405	rcsF			
BJMIGEFF_00009	CDS	405	rcsF			Outer membrane lipoprotein RcsF
BJMIGEFF_00010	gene	708	trmO			
BJMIGEFF_00010	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
BJMIGEFF_00011	gene	1719	proS			
BJMIGEFF_00011	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
BJMIGEFF_00012	gene	699	nlpE			
BJMIGEFF_00012	CDS	699	nlpE		COG3015	Lipoprotein NlpE
BJMIGEFF_00013	gene	417	arfB			
BJMIGEFF_00013	CDS	417	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
BJMIGEFF_00014	gene	546	yaeQ			
BJMIGEFF_00014	CDS	546	yaeQ		COG4681	putative protein YaeQ
BJMIGEFF_00015	gene	201				
BJMIGEFF_00015	CDS	201				hypothetical protein
BJMIGEFF_00016	gene	261	rof			
