locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAMGLGJA_00001	gene	2463	thrA			
BAMGLGJA_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
BAMGLGJA_00002	gene	933	thrB			
BAMGLGJA_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
BAMGLGJA_00003	gene	1287	thrC			
BAMGLGJA_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
BAMGLGJA_00004	gene	297				
BAMGLGJA_00004	CDS	297				hypothetical protein
BAMGLGJA_00005	gene	777	yaaA			
BAMGLGJA_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
BAMGLGJA_00006	gene	369	alsT_1			
BAMGLGJA_00006	CDS	369	alsT_1		COG1115	Amino-acid carrier protein AlsT
BAMGLGJA_00007	gene	1041	alsT_2			
BAMGLGJA_00007	CDS	1041	alsT_2		COG1115	Amino-acid carrier protein AlsT
BAMGLGJA_00008	gene	954	talB			
BAMGLGJA_00008	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
BAMGLGJA_00009	gene	588	mog			
BAMGLGJA_00009	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
BAMGLGJA_00010	gene	567	satP			
BAMGLGJA_00010	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
BAMGLGJA_00011	gene	714				
BAMGLGJA_00011	CDS	714				hypothetical protein
BAMGLGJA_00012	gene	405				
BAMGLGJA_00012	CDS	405				hypothetical protein
BAMGLGJA_00013	gene	1917	dnaK_1			
BAMGLGJA_00013	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
BAMGLGJA_00014	gene	1131	dnaJ			
BAMGLGJA_00014	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
BAMGLGJA_00015	gene	210				
BAMGLGJA_00015	CDS	210				hypothetical protein
BAMGLGJA_00016	gene	1167	nhaA			
BAMGLGJA_00016	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
BAMGLGJA_00017	gene	900	nhaR			
BAMGLGJA_00017	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
BAMGLGJA_00018	gene	294				
BAMGLGJA_00018	CDS	294			COG1662	IS1 family transposase IS1X2
BAMGLGJA_00019	gene	264	rpsT			
BAMGLGJA_00019	CDS	264	rpsT		COG0268	30S ribosomal protein S20
BAMGLGJA_00020	gene	942	ribF			
BAMGLGJA_00020	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
BAMGLGJA_00021	gene	2817	ileS			
BAMGLGJA_00021	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
BAMGLGJA_00022	gene	495	lspA			
BAMGLGJA_00022	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
BAMGLGJA_00023	gene	177				
BAMGLGJA_00023	CDS	177				hypothetical protein
BAMGLGJA_00024	gene	450	fkpB_1			
BAMGLGJA_00024	CDS	450	fkpB_1	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
BAMGLGJA_00025	gene	450	fkpB_2			
BAMGLGJA_00025	CDS	450	fkpB_2	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
BAMGLGJA_00026	gene	951	ispH			
BAMGLGJA_00026	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
BAMGLGJA_00027	gene	915	rihC			
BAMGLGJA_00027	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
BAMGLGJA_00028	gene	822	dapB			
BAMGLGJA_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
BAMGLGJA_00029	gene	1149	carA			
BAMGLGJA_00029	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
BAMGLGJA_00030	gene	3222	carB			
BAMGLGJA_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
BAMGLGJA_00031	gene	396				
BAMGLGJA_00031	CDS	396				hypothetical protein
BAMGLGJA_00032	gene	591	yrdA_1			
BAMGLGJA_00032	CDS	591	yrdA_1		COG0663	Protein YrdA
BAMGLGJA_00033	gene	786	caiD			
BAMGLGJA_00033	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
BAMGLGJA_00034	gene	1554	caiC			
BAMGLGJA_00034	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
BAMGLGJA_00035	gene	1218	caiB			
BAMGLGJA_00035	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
BAMGLGJA_00036	gene	1143	caiA			
BAMGLGJA_00036	CDS	1143	caiA	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
BAMGLGJA_00037	gene	1515	caiT			
BAMGLGJA_00037	CDS	1515	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
BAMGLGJA_00038	gene	771	fixA_1			
BAMGLGJA_00038	CDS	771	fixA_1		COG2086	Protein FixA
BAMGLGJA_00039	gene	792	fixB_1			
BAMGLGJA_00039	CDS	792	fixB_1		COG2025	Protein FixB
BAMGLGJA_00040	gene	1287	thi4			
BAMGLGJA_00040	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
BAMGLGJA_00041	gene	288	fixX_1			
BAMGLGJA_00041	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
BAMGLGJA_00042	gene	1395	ygcS_1			
BAMGLGJA_00042	CDS	1395	ygcS_1			Inner membrane metabolite transport protein YgcS
BAMGLGJA_00043	gene	531	kefF			
BAMGLGJA_00043	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
BAMGLGJA_00044	gene	1863	kefC_1			
BAMGLGJA_00044	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
BAMGLGJA_00045	gene	480				
BAMGLGJA_00045	CDS	480				IS1595 family transposase ISSsu9
BAMGLGJA_00046	gene	843	apaH			
BAMGLGJA_00046	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
BAMGLGJA_00047	gene	378	apaG			
BAMGLGJA_00047	CDS	378	apaG		COG2967	Protein ApaG
BAMGLGJA_00048	gene	822	rsmA			
BAMGLGJA_00048	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
BAMGLGJA_00049	gene	990	pdxA			
BAMGLGJA_00049	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
BAMGLGJA_00050	gene	1287	surA			
BAMGLGJA_00050	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
BAMGLGJA_00051	gene	2355	lptD			
BAMGLGJA_00051	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
BAMGLGJA_00052	gene	816	djlA			
BAMGLGJA_00052	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
BAMGLGJA_00053	gene	630	rluA			
BAMGLGJA_00053	CDS	630	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
BAMGLGJA_00054	gene	2907	rapA			
