locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFBKIDNH_00001	gene	249				
CFBKIDNH_00001	CDS	249				hypothetical protein
CFBKIDNH_00002	gene	2850	rcsC_1			
CFBKIDNH_00002	CDS	2850	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CFBKIDNH_00003	gene	177				
CFBKIDNH_00003	CDS	177				hypothetical protein
CFBKIDNH_00004	gene	348				
CFBKIDNH_00004	CDS	348				hypothetical protein
CFBKIDNH_00005	gene	282				
CFBKIDNH_00005	CDS	282				hypothetical protein
CFBKIDNH_00006	gene	1326	mepA_1			
CFBKIDNH_00006	CDS	1326	mepA_1			Multidrug export protein MepA
CFBKIDNH_00007	gene	753				
CFBKIDNH_00007	CDS	753				hypothetical protein
CFBKIDNH_00008	gene	189				
CFBKIDNH_00008	CDS	189				hypothetical protein
CFBKIDNH_00009	gene	351				
CFBKIDNH_00009	CDS	351				hypothetical protein
CFBKIDNH_00010	gene	606				
CFBKIDNH_00010	CDS	606				hypothetical protein
CFBKIDNH_00011	gene	1308				
CFBKIDNH_00011	CDS	1308				hypothetical protein
CFBKIDNH_00012	gene	642				
CFBKIDNH_00012	CDS	642				hypothetical protein
CFBKIDNH_00013	gene	312				
CFBKIDNH_00013	CDS	312				hypothetical protein
CFBKIDNH_00014	gene	1338	mepA_2			
CFBKIDNH_00014	CDS	1338	mepA_2			Multidrug export protein MepA
CFBKIDNH_00015	gene	1080				
CFBKIDNH_00015	CDS	1080				hypothetical protein
CFBKIDNH_00016	gene	1188	garK			
CFBKIDNH_00016	CDS	1188	garK	2.7.1.165	COG1929	Glycerate 2-kinase
CFBKIDNH_00017	gene	489				
CFBKIDNH_00017	CDS	489				hypothetical protein
CFBKIDNH_00018	gene	1407				
CFBKIDNH_00018	CDS	1407				hypothetical protein
CFBKIDNH_00019	gene	705	yfnB			
CFBKIDNH_00019	CDS	705	yfnB	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
CFBKIDNH_00020	gene	1350				
CFBKIDNH_00020	CDS	1350				hypothetical protein
CFBKIDNH_00021	gene	429				
CFBKIDNH_00021	CDS	429				hypothetical protein
CFBKIDNH_00022	gene	510				
CFBKIDNH_00022	CDS	510				hypothetical protein
CFBKIDNH_00023	gene	963	iolS_1			
CFBKIDNH_00023	CDS	963	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
CFBKIDNH_00024	gene	864	pstS2			
CFBKIDNH_00024	CDS	864	pstS2		COG0226	Phosphate-binding protein PstS 2
CFBKIDNH_00025	gene	858	pstC			
CFBKIDNH_00025	CDS	858	pstC		COG0573	Phosphate transport system permease protein PstC
CFBKIDNH_00026	gene	906	pstA			
CFBKIDNH_00026	CDS	906	pstA		COG0581	Phosphate transport system permease protein PstA
CFBKIDNH_00027	gene	759	pstB3			
CFBKIDNH_00027	CDS	759	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
CFBKIDNH_00028	gene	657	phoU			
CFBKIDNH_00028	CDS	657	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
CFBKIDNH_00029	gene	1671	phoR			
CFBKIDNH_00029	CDS	1671	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
CFBKIDNH_00030	gene	861	rlmL_1			
CFBKIDNH_00030	CDS	861	rlmL_1	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
CFBKIDNH_00031	gene	1290				
CFBKIDNH_00031	CDS	1290			COG1167	Putative aminotransferase/MSMEI_6121
CFBKIDNH_00032	gene	1407				
CFBKIDNH_00032	CDS	1407				hypothetical protein
CFBKIDNH_00033	gene	1035	ddl			
CFBKIDNH_00033	CDS	1035	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
CFBKIDNH_00034	gene	1371	murF			
CFBKIDNH_00034	CDS	1371	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CFBKIDNH_00035	gene	621				
CFBKIDNH_00035	CDS	621				hypothetical protein
CFBKIDNH_00036	gene	1158	wecH			
CFBKIDNH_00036	CDS	1158	wecH	2.3.1.-		O-acetyltransferase WecH
CFBKIDNH_00037	gene	267				
CFBKIDNH_00037	CDS	267				hypothetical protein
CFBKIDNH_00038	gene	2259	leuC_1			
CFBKIDNH_00038	CDS	2259	leuC_1	4.2.1.33		3-isopropylmalate dehydratase large subunit
CFBKIDNH_00039	gene	711	rluD_1			
CFBKIDNH_00039	CDS	711	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
CFBKIDNH_00040	gene	1122				
CFBKIDNH_00040	CDS	1122				hypothetical protein
CFBKIDNH_00041	gene	1473				
CFBKIDNH_00041	CDS	1473				hypothetical protein
CFBKIDNH_00042	gene	1188	aspC			
CFBKIDNH_00042	CDS	1188	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
