locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIJIFBEC_00001	gene	1965	gyrB			
PIJIFBEC_00001	CDS	1965	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
PIJIFBEC_00002	gene	2778	gyrA			
PIJIFBEC_00002	CDS	2778	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
PIJIFBEC_00003	gene	1722	yeeO			
PIJIFBEC_00003	CDS	1722	yeeO		COG0534	putative FMN/FAD exporter YeeO
PIJIFBEC_00004	gene	504				
PIJIFBEC_00004	CDS	504			COG1259	putative protein
PIJIFBEC_00005	gene	77				
PIJIFBEC_00005	tRNA	77				tRNA-Ile(gat)
PIJIFBEC_00006	gene	76				
PIJIFBEC_00006	tRNA	76				tRNA-Ala(tgc)
PIJIFBEC_00007	gene	888				
PIJIFBEC_00007	CDS	888				hypothetical protein
PIJIFBEC_00008	gene	810				
PIJIFBEC_00008	CDS	810				hypothetical protein
PIJIFBEC_00009	gene	558	dnaJ_1			
PIJIFBEC_00009	CDS	558	dnaJ_1			Chaperone protein DnaJ
PIJIFBEC_00010	gene	1812	typA			
PIJIFBEC_00010	CDS	1812	typA		COG1217	GTP-binding protein TypA/BipA
PIJIFBEC_00011	gene	1320	prsA			
PIJIFBEC_00011	CDS	1320	prsA	5.2.1.8		Foldase protein PrsA
PIJIFBEC_00012	gene	837	ylmA			
PIJIFBEC_00012	CDS	837	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
PIJIFBEC_00013	gene	91				
PIJIFBEC_00013	tRNA	91				tRNA-Ser(gga)
PIJIFBEC_00014	gene	93				
PIJIFBEC_00014	tRNA	93				tRNA-Ser(cga)
PIJIFBEC_00015	gene	93				
PIJIFBEC_00015	CDS	93				hypothetical protein
PIJIFBEC_00016	gene	1776	kdpA			
PIJIFBEC_00016	CDS	1776	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
PIJIFBEC_00017	gene	2079	kdpB			
PIJIFBEC_00017	CDS	2079	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
PIJIFBEC_00018	gene	603	kdpC			
PIJIFBEC_00018	CDS	603	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
PIJIFBEC_00019	gene	525				
PIJIFBEC_00019	CDS	525				hypothetical protein
PIJIFBEC_00020	gene	294	rpsF			
PIJIFBEC_00020	CDS	294	rpsF		COG0360	30S ribosomal protein S6
PIJIFBEC_00021	gene	471	ssb			
PIJIFBEC_00021	CDS	471	ssb		COG0629	Single-stranded DNA-binding protein
PIJIFBEC_00022	gene	261				
PIJIFBEC_00022	CDS	261				hypothetical protein
PIJIFBEC_00023	gene	543	rplI			
PIJIFBEC_00023	CDS	543	rplI		COG0359	50S ribosomal protein L9
PIJIFBEC_00024	gene	1413	dnaC			
PIJIFBEC_00024	CDS	1413	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
PIJIFBEC_00025	gene	1284				
PIJIFBEC_00025	CDS	1284				hypothetical protein
PIJIFBEC_00026	gene	2289	smc_1			
PIJIFBEC_00026	CDS	2289	smc_1			Chromosome partition protein Smc
PIJIFBEC_00027	gene	1317	purA			
PIJIFBEC_00027	CDS	1317	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
PIJIFBEC_00028	gene	1290	purD			
PIJIFBEC_00028	CDS	1290	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
PIJIFBEC_00029	gene	1293	hemW_1			
PIJIFBEC_00029	CDS	1293	hemW_1		COG0635	Heme chaperone HemW
PIJIFBEC_00030	gene	1854				
PIJIFBEC_00030	CDS	1854				hypothetical protein
PIJIFBEC_00031	gene	6510				
PIJIFBEC_00031	CDS	6510				hypothetical protein
PIJIFBEC_00032	gene	267				
PIJIFBEC_00032	CDS	267				hypothetical protein
PIJIFBEC_00033	gene	633				
PIJIFBEC_00033	CDS	633				hypothetical protein
PIJIFBEC_00034	gene	375				
PIJIFBEC_00034	CDS	375				hypothetical protein
PIJIFBEC_00035	gene	585				
PIJIFBEC_00035	CDS	585				hypothetical protein
PIJIFBEC_00036	gene	1710				
PIJIFBEC_00036	CDS	1710				hypothetical protein
PIJIFBEC_00037	gene	1059	pilT_1			
PIJIFBEC_00037	CDS	1059	pilT_1		COG2805	Twitching mobility protein
PIJIFBEC_00038	gene	1212	epsF_1			
PIJIFBEC_00038	CDS	1212	epsF_1		COG1459	Type II secretion system protein F
PIJIFBEC_00039	gene	411				
PIJIFBEC_00039	CDS	411				hypothetical protein
PIJIFBEC_00040	gene	447				
PIJIFBEC_00040	CDS	447				hypothetical protein
PIJIFBEC_00041	gene	867	comC			
PIJIFBEC_00041	CDS	867	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
PIJIFBEC_00042	gene	1026				
PIJIFBEC_00042	CDS	1026				hypothetical protein
PIJIFBEC_00043	gene	642				
PIJIFBEC_00043	CDS	642				hypothetical protein
PIJIFBEC_00044	gene	549				
PIJIFBEC_00044	CDS	549				hypothetical protein
PIJIFBEC_00045	gene	2700	mltF_1			
PIJIFBEC_00045	CDS	2700	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
PIJIFBEC_00046	gene	76				
PIJIFBEC_00046	tRNA	76				tRNA-Phe(gaa)
PIJIFBEC_00047	gene	159	tatA_1			
PIJIFBEC_00047	CDS	159	tatA_1			Sec-independent protein translocase protein TatA
PIJIFBEC_00048	gene	621				
PIJIFBEC_00048	CDS	621				hypothetical protein
PIJIFBEC_00049	gene	471	purE			
PIJIFBEC_00049	CDS	471	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
PIJIFBEC_00050	gene	2184				
PIJIFBEC_00050	CDS	2184				hypothetical protein
PIJIFBEC_00051	gene	594				
PIJIFBEC_00051	CDS	594				hypothetical protein
PIJIFBEC_00052	gene	984				
PIJIFBEC_00052	CDS	984				hypothetical protein
PIJIFBEC_00053	gene	1242	paaK_1			
PIJIFBEC_00053	CDS	1242	paaK_1	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
PIJIFBEC_00054	gene	648				
PIJIFBEC_00054	CDS	648				hypothetical protein
PIJIFBEC_00055	gene	1545	opuE			
PIJIFBEC_00055	CDS	1545	opuE		COG0591	Osmoregulated proline transporter OpuE
PIJIFBEC_00056	gene	1452				
PIJIFBEC_00056	CDS	1452				hypothetical protein
PIJIFBEC_00057	gene	1002				
PIJIFBEC_00057	CDS	1002				hypothetical protein
PIJIFBEC_00058	gene	1659				
PIJIFBEC_00058	CDS	1659				hypothetical protein
PIJIFBEC_00059	gene	705				
PIJIFBEC_00059	CDS	705				hypothetical protein
PIJIFBEC_00060	gene	474	nsrR			
PIJIFBEC_00060	CDS	474	nsrR			HTH-type transcriptional repressor NsrR
PIJIFBEC_00061	gene	1347	mntH_1			
PIJIFBEC_00061	CDS	1347	mntH_1		COG1914	Divalent metal cation transporter MntH
PIJIFBEC_00062	gene	1353				
PIJIFBEC_00062	CDS	1353				hypothetical protein
PIJIFBEC_00063	gene	77				
PIJIFBEC_00063	tRNA	77				tRNA-Arg(acg)
PIJIFBEC_00064	gene	258				
PIJIFBEC_00064	CDS	258				hypothetical protein
PIJIFBEC_00065	gene	768	opuCA			
PIJIFBEC_00065	CDS	768	opuCA	7.6.2.9	COG1125	Carnitine transport ATP-binding protein OpuCA
PIJIFBEC_00066	gene	1602				
PIJIFBEC_00066	CDS	1602				hypothetical protein
PIJIFBEC_00067	gene	1350	gltA			
PIJIFBEC_00067	CDS	1350	gltA	2.3.3.16	COG0372	Citrate synthase
PIJIFBEC_00068	gene	88				
PIJIFBEC_00068	tRNA	88				tRNA-Ser(tga)
PIJIFBEC_00069	gene	471	tadA_1			
PIJIFBEC_00069	CDS	471	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
PIJIFBEC_00070	gene	1131	ispE			
PIJIFBEC_00070	CDS	1131	ispE	2.7.1.148		Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
PIJIFBEC_00071	gene	555	lemA			
PIJIFBEC_00071	CDS	555	lemA		COG1704	Protein LemA
PIJIFBEC_00072	gene	2070	rcsC_1			
PIJIFBEC_00072	CDS	2070	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PIJIFBEC_00073	gene	378				
PIJIFBEC_00073	CDS	378				hypothetical protein
PIJIFBEC_00074	gene	91				
PIJIFBEC_00074	tRNA	91				tRNA-Ser(gct)
PIJIFBEC_00075	gene	2100				
PIJIFBEC_00075	CDS	2100				hypothetical protein
PIJIFBEC_00076	gene	591	sigE_1			
PIJIFBEC_00076	CDS	591	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
PIJIFBEC_00077	gene	1059				
PIJIFBEC_00077	CDS	1059				hypothetical protein
PIJIFBEC_00078	gene	1077				
PIJIFBEC_00078	CDS	1077				IS256 family transposase ISEle1
PIJIFBEC_00079	gene	87				
PIJIFBEC_00079	tRNA	87				tRNA-Leu(cag)
PIJIFBEC_00080	gene	543	ogt_1			
PIJIFBEC_00080	CDS	543	ogt_1	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
PIJIFBEC_00081	gene	543	ogt_2			
PIJIFBEC_00081	CDS	543	ogt_2	2.1.1.63		Methylated-DNA--protein-cysteine methyltransferase
PIJIFBEC_00082	gene	1506	alkA			
PIJIFBEC_00082	CDS	1506	alkA		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
PIJIFBEC_00083	gene	2256	pknD_1			
PIJIFBEC_00083	CDS	2256	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
PIJIFBEC_00084	gene	897				
PIJIFBEC_00084	CDS	897				hypothetical protein
PIJIFBEC_00085	gene	1416	puuP_1			
PIJIFBEC_00085	CDS	1416	puuP_1		COG0531	Putrescine importer PuuP
PIJIFBEC_00086	gene	876	pdxY			
