locus_tag	ftype	length_bp	gene	EC_number	COG	product
EONLNCLH_00001	gene	135				
EONLNCLH_00001	CDS	135				hypothetical protein
EONLNCLH_00002	gene	381				
EONLNCLH_00002	CDS	381				hypothetical protein
EONLNCLH_00003	gene	1041				
EONLNCLH_00003	CDS	1041				hypothetical protein
EONLNCLH_00004	gene	279				
EONLNCLH_00004	CDS	279				hypothetical protein
EONLNCLH_00005	gene	105				
EONLNCLH_00005	CDS	105				hypothetical protein
EONLNCLH_00006	gene	273				
EONLNCLH_00006	CDS	273				hypothetical protein
EONLNCLH_00007	gene	201	thiS			
EONLNCLH_00007	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
EONLNCLH_00008	gene	1758	thiC			
EONLNCLH_00008	CDS	1758	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
EONLNCLH_00009	gene	1968	thiE			
EONLNCLH_00009	CDS	1968	thiE	2.5.1.3		Thiamine-phosphate synthase
EONLNCLH_00010	gene	768	thiG			
EONLNCLH_00010	CDS	768	thiG	2.8.1.10	COG2022	Thiazole synthase
EONLNCLH_00011	gene	1107	thiH			
EONLNCLH_00011	CDS	1107	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
EONLNCLH_00012	gene	702	ttuC			
EONLNCLH_00012	CDS	702	ttuC	2.7.7.80	COG0476	Sulfur carrier protein adenylyltransferase
EONLNCLH_00013	gene	1203				
EONLNCLH_00013	CDS	1203				hypothetical protein
EONLNCLH_00014	gene	978	pyrD_1			
EONLNCLH_00014	CDS	978	pyrD_1	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
EONLNCLH_00015	gene	684				
EONLNCLH_00015	CDS	684			COG0325	Pyridoxal phosphate homeostasis protein
EONLNCLH_00016	gene	525	sigE_1			
EONLNCLH_00016	CDS	525	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
EONLNCLH_00017	gene	1173				
EONLNCLH_00017	CDS	1173				hypothetical protein
EONLNCLH_00018	gene	129				
EONLNCLH_00018	CDS	129				hypothetical protein
EONLNCLH_00019	gene	528				
EONLNCLH_00019	CDS	528				hypothetical protein
EONLNCLH_00020	gene	1068	mftC			
EONLNCLH_00020	CDS	1068	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
EONLNCLH_00021	gene	1245				
EONLNCLH_00021	CDS	1245				hypothetical protein
EONLNCLH_00022	gene	3726				
EONLNCLH_00022	CDS	3726				hypothetical protein
