locus_tag	ftype	length_bp	gene	EC_number	COG	product
IPJMEHDA_00001	gene	1356	dnaA_1			
IPJMEHDA_00001	CDS	1356	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
IPJMEHDA_00002	gene	1104	dnaN			
IPJMEHDA_00002	CDS	1104	dnaN			Beta sliding clamp
IPJMEHDA_00003	gene	210	ybcJ			
IPJMEHDA_00003	CDS	210	ybcJ		COG2501	putative protein YbcJ
IPJMEHDA_00004	gene	1092	recF_1			
IPJMEHDA_00004	CDS	1092	recF_1		COG1195	DNA replication and repair protein RecF
IPJMEHDA_00005	gene	1935	gyrB			
IPJMEHDA_00005	CDS	1935	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
IPJMEHDA_00006	gene	2520	gyrA_1			
IPJMEHDA_00006	CDS	2520	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
IPJMEHDA_00007	gene	783				
IPJMEHDA_00007	CDS	783				hypothetical protein
IPJMEHDA_00008	gene	768				
IPJMEHDA_00008	CDS	768				hypothetical protein
IPJMEHDA_00009	gene	843	ttdA			
IPJMEHDA_00009	CDS	843	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
IPJMEHDA_00010	gene	552	fumB			
IPJMEHDA_00010	CDS	552	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
IPJMEHDA_00011	gene	2223				
IPJMEHDA_00011	CDS	2223				hypothetical protein
IPJMEHDA_00012	gene	90				
IPJMEHDA_00012	tRNA	90				tRNA-Ser(gct)
IPJMEHDA_00013	gene	597				
IPJMEHDA_00013	CDS	597		2.3.1.-	COG0110	Putative acetyltransferase
IPJMEHDA_00014	gene	1529				
IPJMEHDA_00014	rRNA	1529				16S ribosomal RNA
IPJMEHDA_00015	gene	2884				
IPJMEHDA_00015	rRNA	2884				23S ribosomal RNA
IPJMEHDA_00016	gene	76				
IPJMEHDA_00016	tRNA	76				tRNA-Asp(gtc)
IPJMEHDA_00017	gene	76				
IPJMEHDA_00017	tRNA	76				tRNA-Val(tac)
IPJMEHDA_00018	gene	73				
IPJMEHDA_00018	tRNA	73				tRNA-Thr(tgt)
IPJMEHDA_00019	gene	83				
IPJMEHDA_00019	tRNA	83				tRNA-Tyr(gta)
IPJMEHDA_00020	gene	75				
IPJMEHDA_00020	tRNA	75				tRNA-Met(cat)
IPJMEHDA_00021	gene	74				
IPJMEHDA_00021	tRNA	74				tRNA-Phe(gaa)
IPJMEHDA_00022	gene	1041				
IPJMEHDA_00022	CDS	1041				hypothetical protein
IPJMEHDA_00023	gene	1404	speA_1			
IPJMEHDA_00023	CDS	1404	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
IPJMEHDA_00024	gene	603	gmk_1			
IPJMEHDA_00024	CDS	603	gmk_1	2.7.4.8		Guanylate kinase
IPJMEHDA_00025	gene	441				
IPJMEHDA_00025	CDS	441				hypothetical protein
IPJMEHDA_00026	gene	996				
IPJMEHDA_00026	CDS	996				hypothetical protein
IPJMEHDA_00027	gene	915				
IPJMEHDA_00027	CDS	915				hypothetical protein
IPJMEHDA_00028	gene	720	yfiC			
IPJMEHDA_00028	CDS	720	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
IPJMEHDA_00029	gene	879	rsmI			
IPJMEHDA_00029	CDS	879	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
IPJMEHDA_00030	gene	618				
IPJMEHDA_00030	CDS	618				hypothetical protein
IPJMEHDA_00031	gene	2091				
IPJMEHDA_00031	CDS	2091				hypothetical protein
IPJMEHDA_00032	gene	2385				
IPJMEHDA_00032	CDS	2385				hypothetical protein
IPJMEHDA_00033	gene	1341				
IPJMEHDA_00033	CDS	1341				hypothetical protein
IPJMEHDA_00034	gene	159				
IPJMEHDA_00034	CDS	159				hypothetical protein
IPJMEHDA_00035	gene	438				
IPJMEHDA_00035	CDS	438				hypothetical protein
IPJMEHDA_00036	gene	1014	kdgK_1			
IPJMEHDA_00036	CDS	1014	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
IPJMEHDA_00037	gene	1392				
IPJMEHDA_00037	CDS	1392				hypothetical protein
IPJMEHDA_00038	gene	984	cmk_1			
IPJMEHDA_00038	CDS	984	cmk_1	2.7.4.25		Cytidylate kinase
IPJMEHDA_00039	gene	3390	mupA			
IPJMEHDA_00039	CDS	3390	mupA			mupirocin-resistant isoleucine--tRNA ligase MupA
IPJMEHDA_00040	gene	486				
IPJMEHDA_00040	CDS	486				hypothetical protein
IPJMEHDA_00041	gene	1371				
IPJMEHDA_00041	CDS	1371				hypothetical protein
IPJMEHDA_00042	gene	2097				
IPJMEHDA_00042	CDS	2097				hypothetical protein
IPJMEHDA_00043	gene	2475	glgP			
IPJMEHDA_00043	CDS	2475	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
IPJMEHDA_00044	gene	804				
IPJMEHDA_00044	CDS	804				hypothetical protein
IPJMEHDA_00045	gene	180				
IPJMEHDA_00045	CDS	180				hypothetical protein
IPJMEHDA_00046	gene	717				
IPJMEHDA_00046	CDS	717				hypothetical protein
IPJMEHDA_00047	gene	801	tcdA			
IPJMEHDA_00047	CDS	801	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
IPJMEHDA_00048	gene	939	cysK_1			
IPJMEHDA_00048	CDS	939	cysK_1	2.5.1.47		Cysteine synthase
IPJMEHDA_00049	gene	1581	pgi			
IPJMEHDA_00049	CDS	1581	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
IPJMEHDA_00050	gene	546	rbr3A			
IPJMEHDA_00050	CDS	546	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
IPJMEHDA_00051	gene	402	perR_1			
IPJMEHDA_00051	CDS	402	perR_1		COG0735	Transcriptional regulator PerR
IPJMEHDA_00052	gene	1065	murG			
IPJMEHDA_00052	CDS	1065	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IPJMEHDA_00053	gene	702				
IPJMEHDA_00053	CDS	702				hypothetical protein
IPJMEHDA_00054	gene	249				
IPJMEHDA_00054	CDS	249				hypothetical protein
IPJMEHDA_00055	gene	693	mtnN			
IPJMEHDA_00055	CDS	693	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
IPJMEHDA_00056	gene	195				
IPJMEHDA_00056	CDS	195				hypothetical protein
IPJMEHDA_00057	gene	963	hpr			
IPJMEHDA_00057	CDS	963	hpr	1.1.1.81	COG1052	Hydroxypyruvate reductase
IPJMEHDA_00058	gene	273				
IPJMEHDA_00058	CDS	273				hypothetical protein
IPJMEHDA_00059	gene	447	dtd			
IPJMEHDA_00059	CDS	447	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
IPJMEHDA_00060	gene	1230	pfp_1			
IPJMEHDA_00060	CDS	1230	pfp_1	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
IPJMEHDA_00061	gene	456	marR			
IPJMEHDA_00061	CDS	456	marR		COG1846	Multiple antibiotic resistance protein MarR
IPJMEHDA_00062	gene	1746				
IPJMEHDA_00062	CDS	1746			COG1132	putative ABC transporter ATP-binding protein
IPJMEHDA_00063	gene	1899				
IPJMEHDA_00063	CDS	1899			COG1132	putative ABC transporter ATP-binding protein
IPJMEHDA_00064	gene	1224	pfp_2			
IPJMEHDA_00064	CDS	1224	pfp_2	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
IPJMEHDA_00065	gene	648				
IPJMEHDA_00065	CDS	648				hypothetical protein
IPJMEHDA_00066	gene	693				
IPJMEHDA_00066	CDS	693				hypothetical protein
IPJMEHDA_00067	gene	624	flr			
IPJMEHDA_00067	CDS	624	flr			Flavoredoxin
IPJMEHDA_00068	gene	1533				
IPJMEHDA_00068	CDS	1533				hypothetical protein
IPJMEHDA_00069	gene	1296	murAB			
IPJMEHDA_00069	CDS	1296	murAB	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
IPJMEHDA_00070	gene	1509	sasA_1			
IPJMEHDA_00070	CDS	1509	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IPJMEHDA_00071	gene	717	walR_1			
IPJMEHDA_00071	CDS	717	walR_1		COG0745	Transcriptional regulatory protein WalR
IPJMEHDA_00072	gene	678	rluD_1			
IPJMEHDA_00072	CDS	678	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
IPJMEHDA_00073	gene	1071				
IPJMEHDA_00073	CDS	1071				hypothetical protein
IPJMEHDA_00074	gene	1440	proS			
IPJMEHDA_00074	CDS	1440	proS	6.1.1.15	COG0442	Proline--tRNA ligase
IPJMEHDA_00075	gene	1254	cca			
IPJMEHDA_00075	CDS	1254	cca	2.7.7.72		CCA-adding enzyme
IPJMEHDA_00076	gene	1122				
IPJMEHDA_00076	CDS	1122				hypothetical protein
IPJMEHDA_00077	gene	1389				
IPJMEHDA_00077	CDS	1389				hypothetical protein
IPJMEHDA_00078	gene	1191	arnB			
IPJMEHDA_00078	CDS	1191	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
IPJMEHDA_00079	gene	720				
IPJMEHDA_00079	CDS	720				hypothetical protein
IPJMEHDA_00080	gene	1056				
IPJMEHDA_00080	CDS	1056				hypothetical protein
IPJMEHDA_00081	gene	1866	pglF			
IPJMEHDA_00081	CDS	1866	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
IPJMEHDA_00082	gene	1311				
IPJMEHDA_00082	CDS	1311				hypothetical protein
IPJMEHDA_00083	gene	612	rfbC			
IPJMEHDA_00083	CDS	612	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
IPJMEHDA_00084	gene	918	rfbD			
IPJMEHDA_00084	CDS	918	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
IPJMEHDA_00085	gene	1020	rffG			
IPJMEHDA_00085	CDS	1020	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
IPJMEHDA_00086	gene	900	rmlA			
IPJMEHDA_00086	CDS	900	rmlA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase
IPJMEHDA_00087	gene	1245	COQ5_1			
IPJMEHDA_00087	CDS	1245	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
IPJMEHDA_00088	gene	1158				
IPJMEHDA_00088	CDS	1158				hypothetical protein
IPJMEHDA_00089	gene	1293				
IPJMEHDA_00089	CDS	1293				hypothetical protein
IPJMEHDA_00090	gene	1086				
IPJMEHDA_00090	CDS	1086				hypothetical protein
IPJMEHDA_00091	gene	1599	patA_1			
IPJMEHDA_00091	CDS	1599	patA_1	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
IPJMEHDA_00092	gene	792	tagG			
IPJMEHDA_00092	CDS	792	tagG		COG1682	Teichoic acid translocation permease protein TagG
IPJMEHDA_00093	gene	1269	btuD_1			
IPJMEHDA_00093	CDS	1269	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IPJMEHDA_00094	gene	2502				
IPJMEHDA_00094	CDS	2502				hypothetical protein
IPJMEHDA_00095	gene	1995				
IPJMEHDA_00095	CDS	1995				hypothetical protein
IPJMEHDA_00096	gene	1071	algA			
IPJMEHDA_00096	CDS	1071	algA		COG0662	Alginate biosynthesis protein AlgA
IPJMEHDA_00097	gene	813				
IPJMEHDA_00097	CDS	813				hypothetical protein
IPJMEHDA_00098	gene	843				
IPJMEHDA_00098	CDS	843				hypothetical protein
IPJMEHDA_00099	gene	1263				
