locus_tag	ftype	length_bp	gene	EC_number	COG	product
DIMFOKNN_00001	gene	1365	dnaA_1			
DIMFOKNN_00001	CDS	1365	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
DIMFOKNN_00002	gene	1110	dnaN			
DIMFOKNN_00002	CDS	1110	dnaN			Beta sliding clamp
DIMFOKNN_00003	gene	207				
DIMFOKNN_00003	CDS	207				hypothetical protein
DIMFOKNN_00004	gene	1152	recF			
DIMFOKNN_00004	CDS	1152	recF		COG1195	DNA replication and repair protein RecF
DIMFOKNN_00005	gene	2208	gyrB_1			
DIMFOKNN_00005	CDS	2208	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
DIMFOKNN_00006	gene	2601	gyrA_1			
DIMFOKNN_00006	CDS	2601	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
DIMFOKNN_00007	gene	1179	gerN			
DIMFOKNN_00007	CDS	1179	gerN		COG0475	Na(+)/H(+)-K(+) antiporter GerN
DIMFOKNN_00008	gene	750				
DIMFOKNN_00008	CDS	750				hypothetical protein
DIMFOKNN_00009	gene	1428	rcsC_1			
DIMFOKNN_00009	CDS	1428	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DIMFOKNN_00010	gene	702	walR_1			
DIMFOKNN_00010	CDS	702	walR_1		COG0745	Transcriptional regulatory protein WalR
DIMFOKNN_00011	gene	2382	mutS2			
DIMFOKNN_00011	CDS	2382	mutS2	3.1.-.-		Endonuclease MutS2
DIMFOKNN_00012	gene	1359				
DIMFOKNN_00012	CDS	1359				hypothetical protein
DIMFOKNN_00013	gene	948	yhaM			
DIMFOKNN_00013	CDS	948	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
DIMFOKNN_00014	gene	1167	norV			
DIMFOKNN_00014	CDS	1167	norV			Anaerobic nitric oxide reductase flavorubredoxin
DIMFOKNN_00015	gene	1572	rlmCD_1			
DIMFOKNN_00015	CDS	1572	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
DIMFOKNN_00016	gene	690	walR_2			
DIMFOKNN_00016	CDS	690	walR_2		COG0745	Transcriptional regulatory protein WalR
DIMFOKNN_00017	gene	1266	sasA_1			
DIMFOKNN_00017	CDS	1266	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
DIMFOKNN_00018	gene	675	macB_1			
DIMFOKNN_00018	CDS	675	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
DIMFOKNN_00019	gene	2430				
DIMFOKNN_00019	CDS	2430				hypothetical protein
DIMFOKNN_00020	gene	723	mta			
DIMFOKNN_00020	CDS	723	mta		COG0789	HTH-type transcriptional activator mta
DIMFOKNN_00021	gene	351				
DIMFOKNN_00021	CDS	351				hypothetical protein
DIMFOKNN_00022	gene	1032	malR			
DIMFOKNN_00022	CDS	1032	malR		COG1609	HTH-type transcriptional regulator MalR
DIMFOKNN_00023	gene	1803	tvaII_1			
DIMFOKNN_00023	CDS	1803	tvaII_1	3.2.1.135		Neopullulanase 2
DIMFOKNN_00024	gene	1338				
DIMFOKNN_00024	CDS	1338				hypothetical protein
DIMFOKNN_00025	gene	882	lacF_1			
DIMFOKNN_00025	CDS	882	lacF_1			Lactose transport system permease protein LacF
DIMFOKNN_00026	gene	840	dasC			
DIMFOKNN_00026	CDS	840	dasC		COG0395	Diacetylchitobiose uptake system permease protein DasC
DIMFOKNN_00027	gene	429				
DIMFOKNN_00027	CDS	429				hypothetical protein
DIMFOKNN_00028	gene	513				
DIMFOKNN_00028	CDS	513				hypothetical protein
DIMFOKNN_00029	gene	1392	fpgS_1			
DIMFOKNN_00029	CDS	1392	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
DIMFOKNN_00030	gene	852	gshB			
DIMFOKNN_00030	CDS	852	gshB	6.3.2.3		Glutathione synthetase
DIMFOKNN_00031	gene	579	xpt			
DIMFOKNN_00031	CDS	579	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
DIMFOKNN_00032	gene	1272				
DIMFOKNN_00032	CDS	1272				hypothetical protein
DIMFOKNN_00033	gene	1545	mglA_1			
DIMFOKNN_00033	CDS	1545	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
DIMFOKNN_00034	gene	1104				
DIMFOKNN_00034	CDS	1104				hypothetical protein
DIMFOKNN_00035	gene	1002				
DIMFOKNN_00035	CDS	1002				hypothetical protein
DIMFOKNN_00036	gene	1206				
DIMFOKNN_00036	CDS	1206		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
DIMFOKNN_00037	gene	477				
DIMFOKNN_00037	CDS	477				hypothetical protein
DIMFOKNN_00038	gene	1005	dgs			
DIMFOKNN_00038	CDS	1005	dgs	2.4.1.208	COG0438	Processive diacylglycerol alpha-glucosyltransferase
DIMFOKNN_00039	gene	486	cmk_1			
DIMFOKNN_00039	CDS	486	cmk_1	2.7.4.25		Cytidylate kinase
DIMFOKNN_00040	gene	2007	leuA			
DIMFOKNN_00040	CDS	2007	leuA	2.3.3.13		2-isopropylmalate synthase
DIMFOKNN_00041	gene	942				
DIMFOKNN_00041	CDS	942				hypothetical protein
DIMFOKNN_00042	gene	1170	galK			
DIMFOKNN_00042	CDS	1170	galK	2.7.1.6	COG0153	Galactokinase
DIMFOKNN_00043	gene	1503	galT			
DIMFOKNN_00043	CDS	1503	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
DIMFOKNN_00044	gene	1740				
DIMFOKNN_00044	CDS	1740				hypothetical protein
