locus_tag	ftype	length_bp	gene	EC_number	COG	product
IHPEDDAC_00001	gene	1413	dnaA			
IHPEDDAC_00001	CDS	1413	dnaA		COG0593	Chromosomal replication initiator protein DnaA
IHPEDDAC_00002	gene	744	nfrA2_1			
IHPEDDAC_00002	CDS	744	nfrA2_1	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
IHPEDDAC_00003	gene	2538				
IHPEDDAC_00003	CDS	2538				hypothetical protein
IHPEDDAC_00004	gene	2682				
IHPEDDAC_00004	CDS	2682				hypothetical protein
IHPEDDAC_00005	gene	393	folB			
IHPEDDAC_00005	CDS	393	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
IHPEDDAC_00006	gene	522	mgsA_1			
IHPEDDAC_00006	CDS	522	mgsA_1	4.2.3.3	COG1803	Methylglyoxal synthase
IHPEDDAC_00007	gene	1083				
IHPEDDAC_00007	CDS	1083				hypothetical protein
IHPEDDAC_00008	gene	936	lpxL			
IHPEDDAC_00008	CDS	936	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
IHPEDDAC_00009	gene	1320	mtaB			
IHPEDDAC_00009	CDS	1320	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
IHPEDDAC_00010	gene	1674				
IHPEDDAC_00010	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
IHPEDDAC_00011	gene	216				
IHPEDDAC_00011	CDS	216				hypothetical protein
IHPEDDAC_00012	gene	906	iolE			
IHPEDDAC_00012	CDS	906	iolE	4.2.1.44		Inosose dehydratase
IHPEDDAC_00013	gene	864				
IHPEDDAC_00013	CDS	864				hypothetical protein
IHPEDDAC_00014	gene	1488	iolG_1			
IHPEDDAC_00014	CDS	1488	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IHPEDDAC_00015	gene	1113	iolG_2			
IHPEDDAC_00015	CDS	1113	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
IHPEDDAC_00016	gene	1662				
IHPEDDAC_00016	CDS	1662				hypothetical protein
IHPEDDAC_00017	gene	444	rplI			
IHPEDDAC_00017	CDS	444	rplI		COG0359	50S ribosomal protein L9
IHPEDDAC_00018	gene	273				
IHPEDDAC_00018	CDS	273				hypothetical protein
IHPEDDAC_00019	gene	345				
IHPEDDAC_00019	CDS	345				hypothetical protein
IHPEDDAC_00020	gene	447	slyA			
IHPEDDAC_00020	CDS	447	slyA			Transcriptional regulator SlyA
IHPEDDAC_00021	gene	177				
IHPEDDAC_00021	CDS	177				hypothetical protein
IHPEDDAC_00022	gene	702	mprA			
IHPEDDAC_00022	CDS	702	mprA		COG0745	Response regulator MprA
IHPEDDAC_00023	gene	1548	sasA_1			
IHPEDDAC_00023	CDS	1548	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
IHPEDDAC_00024	gene	2157	fusA_1			
IHPEDDAC_00024	CDS	2157	fusA_1		COG0480	Elongation factor G
IHPEDDAC_00025	gene	1131	hemW_1			
IHPEDDAC_00025	CDS	1131	hemW_1		COG0635	Heme chaperone HemW
IHPEDDAC_00026	gene	561				
IHPEDDAC_00026	CDS	561				hypothetical protein
IHPEDDAC_00027	gene	891				
IHPEDDAC_00027	CDS	891				hypothetical protein
IHPEDDAC_00028	gene	2685				
IHPEDDAC_00028	CDS	2685				hypothetical protein
IHPEDDAC_00029	gene	1044				
IHPEDDAC_00029	CDS	1044				hypothetical protein
IHPEDDAC_00030	gene	678	lptB_1			
IHPEDDAC_00030	CDS	678	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
IHPEDDAC_00031	gene	306				
IHPEDDAC_00031	CDS	306				hypothetical protein
IHPEDDAC_00032	gene	288				
IHPEDDAC_00032	CDS	288				hypothetical protein
IHPEDDAC_00033	gene	609	lysO_1			
IHPEDDAC_00033	CDS	609	lysO_1		COG2431	Lysine exporter LysO
IHPEDDAC_00034	gene	1059				
IHPEDDAC_00034	CDS	1059				hypothetical protein
IHPEDDAC_00035	gene	126				
IHPEDDAC_00035	CDS	126				hypothetical protein
IHPEDDAC_00036	gene	693				
