locus_tag	ftype	length_bp	gene	EC_number	COG	product
JBMJENHK_00001	gene	97				
JBMJENHK_00001	rRNA	97				5S ribosomal RNA
JBMJENHK_00002	gene	531				
JBMJENHK_00002	CDS	531				hypothetical protein
JBMJENHK_00003	gene	2721	rcsC_1			
JBMJENHK_00003	CDS	2721	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JBMJENHK_00004	gene	354				
JBMJENHK_00004	CDS	354				hypothetical protein
JBMJENHK_00005	gene	1743	cheB_1			
JBMJENHK_00005	CDS	1743	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
JBMJENHK_00006	gene	2091	glnA_1			
JBMJENHK_00006	CDS	2091	glnA_1	6.3.1.2		Glutamine synthetase
JBMJENHK_00007	gene	375	ebrB			
JBMJENHK_00007	CDS	375	ebrB			Multidrug resistance protein EbrB
JBMJENHK_00008	gene	318	emrE			
JBMJENHK_00008	CDS	318	emrE		COG2076	Multidrug transporter EmrE
JBMJENHK_00009	gene	837				
JBMJENHK_00009	CDS	837				hypothetical protein
JBMJENHK_00010	gene	930	ilvE			
JBMJENHK_00010	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
JBMJENHK_00011	gene	1581	cimA			
JBMJENHK_00011	CDS	1581	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
JBMJENHK_00012	gene	300				
JBMJENHK_00012	CDS	300				hypothetical protein
JBMJENHK_00013	gene	915				
JBMJENHK_00013	CDS	915				hypothetical protein
JBMJENHK_00014	gene	1017				
JBMJENHK_00014	CDS	1017				hypothetical protein
JBMJENHK_00015	gene	744				
JBMJENHK_00015	CDS	744				hypothetical protein
JBMJENHK_00016	gene	561	azoR			
JBMJENHK_00016	CDS	561	azoR	1.7.1.17		FMN-dependent NADH-azoreductase
JBMJENHK_00017	gene	558				
JBMJENHK_00017	CDS	558				hypothetical protein
JBMJENHK_00018	gene	471				
JBMJENHK_00018	CDS	471				hypothetical protein
JBMJENHK_00019	gene	1464				
JBMJENHK_00019	CDS	1464				IS3 family transposase ISBlo11
JBMJENHK_00020	gene	1527				
JBMJENHK_00020	CDS	1527				hypothetical protein
JBMJENHK_00021	gene	897				
JBMJENHK_00021	CDS	897				hypothetical protein
JBMJENHK_00022	gene	903	isdE			
JBMJENHK_00022	CDS	903	isdE			High-affinity heme uptake system protein IsdE
JBMJENHK_00023	gene	993	fpuB			
JBMJENHK_00023	CDS	993	fpuB		COG0609	Petrobactin import system permease protein FpuB
