locus_tag	ftype	length_bp	gene	EC_number	COG	product
LIEKACAB_00001	gene	327				
LIEKACAB_00001	CDS	327				hypothetical protein
LIEKACAB_00002	gene	375				
LIEKACAB_00002	CDS	375				hypothetical protein
LIEKACAB_00003	gene	675				
LIEKACAB_00003	CDS	675				hypothetical protein
LIEKACAB_00004	gene	150				
LIEKACAB_00004	CDS	150				hypothetical protein
LIEKACAB_00005	gene	216				
LIEKACAB_00005	CDS	216				hypothetical protein
LIEKACAB_00006	gene	342				
LIEKACAB_00006	CDS	342				hypothetical protein
LIEKACAB_00007	gene	402				
LIEKACAB_00007	CDS	402				hypothetical protein
LIEKACAB_00008	gene	261				
LIEKACAB_00008	CDS	261				hypothetical protein
LIEKACAB_00009	gene	405				
LIEKACAB_00009	CDS	405				hypothetical protein
LIEKACAB_00010	gene	438				
LIEKACAB_00010	CDS	438				hypothetical protein
LIEKACAB_00011	gene	156				
LIEKACAB_00011	CDS	156				hypothetical protein
LIEKACAB_00012	gene	396				
LIEKACAB_00012	CDS	396				hypothetical protein
LIEKACAB_00013	gene	843				
LIEKACAB_00013	CDS	843				hypothetical protein
LIEKACAB_00014	gene	177				
LIEKACAB_00014	CDS	177				hypothetical protein
LIEKACAB_00015	gene	942				
LIEKACAB_00015	CDS	942				hypothetical protein
LIEKACAB_00016	gene	687				
LIEKACAB_00016	CDS	687				hypothetical protein
LIEKACAB_00017	gene	438				
LIEKACAB_00017	CDS	438				Single-stranded DNA-binding protein
LIEKACAB_00018	gene	183				
LIEKACAB_00018	CDS	183				hypothetical protein
LIEKACAB_00019	gene	150				
LIEKACAB_00019	CDS	150				hypothetical protein
LIEKACAB_00020	gene	405				
LIEKACAB_00020	CDS	405				hypothetical protein
LIEKACAB_00021	gene	213				
LIEKACAB_00021	CDS	213				hypothetical protein
LIEKACAB_00022	gene	129				
LIEKACAB_00022	CDS	129				hypothetical protein
LIEKACAB_00023	gene	1029	iolU_1			
LIEKACAB_00023	CDS	1029	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
LIEKACAB_00024	gene	1218	baiN_1			
LIEKACAB_00024	CDS	1218	baiN_1	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
LIEKACAB_00025	gene	663	cmk_1			
LIEKACAB_00025	CDS	663	cmk_1	2.7.4.25	COG0283	Cytidylate kinase
LIEKACAB_00026	gene	1899	ispH			
LIEKACAB_00026	CDS	1899	ispH	1.17.7.4		4-hydroxy-3-methylbut-2-enyl diphosphate reductase
LIEKACAB_00027	gene	3462	pycA			
LIEKACAB_00027	CDS	3462	pycA	6.4.1.1		Pyruvate carboxylase
LIEKACAB_00028	gene	651	tepA			
LIEKACAB_00028	CDS	651	tepA		COG0740	Translocation-enhancing protein TepA
LIEKACAB_00029	gene	1488	rsxB_1			
LIEKACAB_00029	CDS	1488	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
LIEKACAB_00030	gene	2439	spoIIIE			
LIEKACAB_00030	CDS	2439	spoIIIE		COG1674	DNA translocase SpoIIIE
LIEKACAB_00031	gene	1674	fhs			
LIEKACAB_00031	CDS	1674	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
LIEKACAB_00032	gene	846	folD			
LIEKACAB_00032	CDS	846	folD		COG0190	Bifunctional protein FolD protein
LIEKACAB_00033	gene	1347	rimO			
LIEKACAB_00033	CDS	1347	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
LIEKACAB_00034	gene	543	pgsA			
LIEKACAB_00034	CDS	543	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
LIEKACAB_00035	gene	867	cinA_1			
LIEKACAB_00035	CDS	867	cinA_1		COG1058	Putative competence-damage inducible protein
LIEKACAB_00036	gene	399	cinA_2			
LIEKACAB_00036	CDS	399	cinA_2		COG1058	CinA-like protein
LIEKACAB_00037	gene	1056	recA			
LIEKACAB_00037	CDS	1056	recA			Protein RecA
LIEKACAB_00038	gene	603	recX			
LIEKACAB_00038	CDS	603	recX			Regulatory protein RecX
LIEKACAB_00039	gene	594				
LIEKACAB_00039	CDS	594				hypothetical protein
LIEKACAB_00040	gene	660	walR_1			
LIEKACAB_00040	CDS	660	walR_1		COG0745	Transcriptional regulatory protein WalR
LIEKACAB_00041	gene	861	phoR			
LIEKACAB_00041	CDS	861	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
LIEKACAB_00042	gene	822				
LIEKACAB_00042	CDS	822				hypothetical protein
LIEKACAB_00043	gene	1317	ttcA			
LIEKACAB_00043	CDS	1317	ttcA	2.8.1.-		tRNA-cytidine(32) 2-sulfurtransferase
LIEKACAB_00044	gene	1629	ybiT			
LIEKACAB_00044	CDS	1629	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
LIEKACAB_00045	gene	354				
LIEKACAB_00045	CDS	354				hypothetical protein
LIEKACAB_00046	gene	1341	ffh			
LIEKACAB_00046	CDS	1341	ffh		COG0541	Signal recognition particle protein
LIEKACAB_00047	gene	246	rpsP			
LIEKACAB_00047	CDS	246	rpsP		COG0228	30S ribosomal protein S16
LIEKACAB_00048	gene	228				
LIEKACAB_00048	CDS	228				hypothetical protein
LIEKACAB_00049	gene	471				
LIEKACAB_00049	CDS	471				hypothetical protein
LIEKACAB_00050	gene	1269				
LIEKACAB_00050	CDS	1269			COG1055	putative transporter
LIEKACAB_00051	gene	201				
LIEKACAB_00051	CDS	201				hypothetical protein
LIEKACAB_00052	gene	480	luxS			
LIEKACAB_00052	CDS	480	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
LIEKACAB_00053	gene	1529				
LIEKACAB_00053	rRNA	1529				16S ribosomal RNA
LIEKACAB_00054	gene	2881				
LIEKACAB_00054	rRNA	2881				23S ribosomal RNA
LIEKACAB_00055	gene	1230				
LIEKACAB_00055	CDS	1230				hypothetical protein
LIEKACAB_00056	gene	1494				
LIEKACAB_00056	CDS	1494				hypothetical protein
LIEKACAB_00057	gene	249				
LIEKACAB_00057	CDS	249				hypothetical protein
LIEKACAB_00058	gene	303				
LIEKACAB_00058	CDS	303				hypothetical protein
LIEKACAB_00059	gene	465				
LIEKACAB_00059	CDS	465				hypothetical protein
LIEKACAB_00060	gene	495				
LIEKACAB_00060	CDS	495				hypothetical protein
LIEKACAB_00061	gene	1119				
LIEKACAB_00061	CDS	1119				hypothetical protein
LIEKACAB_00062	gene	390				
LIEKACAB_00062	CDS	390				hypothetical protein
LIEKACAB_00063	gene	1035				
LIEKACAB_00063	CDS	1035				hypothetical protein
LIEKACAB_00064	gene	492				
LIEKACAB_00064	CDS	492				hypothetical protein
LIEKACAB_00065	gene	396				
LIEKACAB_00065	CDS	396				hypothetical protein
LIEKACAB_00066	gene	378				
LIEKACAB_00066	CDS	378				hypothetical protein
LIEKACAB_00067	gene	411				
LIEKACAB_00067	CDS	411				hypothetical protein
LIEKACAB_00068	gene	867				
LIEKACAB_00068	CDS	867				hypothetical protein
LIEKACAB_00069	gene	195				
LIEKACAB_00069	CDS	195				hypothetical protein
LIEKACAB_00070	gene	1410				
LIEKACAB_00070	CDS	1410				hypothetical protein
LIEKACAB_00071	gene	89				
LIEKACAB_00071	tRNA	89				tRNA-Ser(gct)
LIEKACAB_00072	gene	555	fumB			
LIEKACAB_00072	CDS	555	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
LIEKACAB_00073	gene	843	ttdA			
LIEKACAB_00073	CDS	843	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
LIEKACAB_00074	gene	2484	gyrA_1			
LIEKACAB_00074	CDS	2484	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
LIEKACAB_00075	gene	1923	gyrB_1			
LIEKACAB_00075	CDS	1923	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
LIEKACAB_00076	gene	1086	recF_1			
LIEKACAB_00076	CDS	1086	recF_1		COG1195	DNA replication and repair protein RecF
LIEKACAB_00077	gene	207	ybcJ			
LIEKACAB_00077	CDS	207	ybcJ		COG2501	putative protein YbcJ
LIEKACAB_00078	gene	1104	dnaN			
LIEKACAB_00078	CDS	1104	dnaN		COG0592	Beta sliding clamp
LIEKACAB_00079	gene	1344	dnaA			
LIEKACAB_00079	CDS	1344	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LIEKACAB_00080	gene	339	rnpA			
LIEKACAB_00080	CDS	339	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
LIEKACAB_00081	gene	1002	yidC			
LIEKACAB_00081	CDS	1002	yidC			Membrane protein insertase YidC
LIEKACAB_00082	gene	807				
LIEKACAB_00082	CDS	807				hypothetical protein
LIEKACAB_00083	gene	1377	mnmE			
LIEKACAB_00083	CDS	1377	mnmE	3.6.5.-	COG0486	tRNA modification GTPase MnmE
LIEKACAB_00084	gene	1884	mnmG			
