locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEFBNBNI_00001	gene	1335	dnaA			
GEFBNBNI_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
GEFBNBNI_00002	gene	1101	dnaN			
GEFBNBNI_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
GEFBNBNI_00003	gene	1074	recF			
GEFBNBNI_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
GEFBNBNI_00004	gene	2415	gyrB			
GEFBNBNI_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
GEFBNBNI_00005	gene	897	hdfR_1			
GEFBNBNI_00005	CDS	897	hdfR_1			HTH-type transcriptional regulator HdfR
GEFBNBNI_00006	gene	1191	dgoD			
GEFBNBNI_00006	CDS	1191	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
GEFBNBNI_00007	gene	1263	sauU			
GEFBNBNI_00007	CDS	1263	sauU			putative sulfoacetate transporter SauU
GEFBNBNI_00008	gene	813	yidA			
GEFBNBNI_00008	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
GEFBNBNI_00009	gene	1083				
GEFBNBNI_00009	CDS	1083				hypothetical protein
GEFBNBNI_00010	gene	1140				
GEFBNBNI_00010	CDS	1140				hypothetical protein
GEFBNBNI_00011	gene	1227				
GEFBNBNI_00011	CDS	1227				hypothetical protein
GEFBNBNI_00012	gene	333				
GEFBNBNI_00012	CDS	333				hypothetical protein
GEFBNBNI_00013	gene	414	ibpA			
GEFBNBNI_00013	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
GEFBNBNI_00014	gene	429	ibpB_1			
GEFBNBNI_00014	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
GEFBNBNI_00015	gene	1662	aspT_1			
GEFBNBNI_00015	CDS	1662	aspT_1			Aspartate/alanine antiporter
GEFBNBNI_00016	gene	747	mngR_1			
GEFBNBNI_00016	CDS	747	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
GEFBNBNI_00017	gene	1623	malP_1			
GEFBNBNI_00017	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
GEFBNBNI_00018	gene	1323	aglB			
GEFBNBNI_00018	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
GEFBNBNI_00019	gene	348	yidH			
GEFBNBNI_00019	CDS	348	yidH		COG2149	Inner membrane protein YidH
GEFBNBNI_00020	gene	363	yidG			
GEFBNBNI_00020	CDS	363	yidG			Inner membrane protein YidG
GEFBNBNI_00021	gene	501				
GEFBNBNI_00021	CDS	501				hypothetical protein
GEFBNBNI_00022	gene	1329	dsdA			
GEFBNBNI_00022	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
GEFBNBNI_00023	gene	1338	dsdX			
GEFBNBNI_00023	CDS	1338	dsdX			D-serine transporter DsdX
GEFBNBNI_00024	gene	924	dsdC_1			
GEFBNBNI_00024	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
GEFBNBNI_00025	gene	1185	emrD			
GEFBNBNI_00025	CDS	1185	emrD			Multidrug resistance protein D
GEFBNBNI_00026	gene	834				
GEFBNBNI_00026	CDS	834				hypothetical protein
GEFBNBNI_00027	gene	447				
GEFBNBNI_00027	CDS	447				hypothetical protein
GEFBNBNI_00028	gene	90				
GEFBNBNI_00028	CDS	90				hypothetical protein
GEFBNBNI_00029	gene	96				
GEFBNBNI_00029	CDS	96				hypothetical protein
GEFBNBNI_00030	gene	1689	ilvB			
GEFBNBNI_00030	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
GEFBNBNI_00031	gene	288	ilvN			
GEFBNBNI_00031	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
GEFBNBNI_00032	gene	594	uhpA			
GEFBNBNI_00032	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
GEFBNBNI_00033	gene	1503	uhpB			
GEFBNBNI_00033	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
GEFBNBNI_00034	gene	1329	uhpC			
GEFBNBNI_00034	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
GEFBNBNI_00035	gene	1392	uhpT			
GEFBNBNI_00035	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
GEFBNBNI_00036	gene	453				
GEFBNBNI_00036	CDS	453				hypothetical protein
GEFBNBNI_00037	gene	324				
GEFBNBNI_00037	CDS	324				hypothetical protein
GEFBNBNI_00038	gene	360				
GEFBNBNI_00038	CDS	360				hypothetical protein
GEFBNBNI_00039	gene	1194	nepI_1			
GEFBNBNI_00039	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
GEFBNBNI_00040	gene	810	phnX			
GEFBNBNI_00040	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
GEFBNBNI_00041	gene	1104	phnW			
GEFBNBNI_00041	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
GEFBNBNI_00042	gene	720	phnR			
GEFBNBNI_00042	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
GEFBNBNI_00043	gene	1014	phnS			
GEFBNBNI_00043	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
GEFBNBNI_00044	gene	1113	phnT			
GEFBNBNI_00044	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
GEFBNBNI_00045	gene	861	phnU			
GEFBNBNI_00045	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
GEFBNBNI_00046	gene	798	phnV			
GEFBNBNI_00046	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
GEFBNBNI_00047	gene	1380	lamB_1			
GEFBNBNI_00047	CDS	1380	lamB_1		COG4580	Maltoporin
GEFBNBNI_00048	gene	303	chbA_1			
GEFBNBNI_00048	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
GEFBNBNI_00049	gene	1323	licC_1			
GEFBNBNI_00049	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
