locus_tag	ftype	length_bp	gene	EC_number	COG	product
DHGIGHJM_00001	gene	441	mioC			
DHGIGHJM_00001	CDS	441	mioC		COG0716	Protein MioC
DHGIGHJM_00002	gene	459	asnC			
DHGIGHJM_00002	CDS	459	asnC		COG1522	Regulatory protein AsnC
DHGIGHJM_00003	gene	993	asnA			
DHGIGHJM_00003	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
DHGIGHJM_00004	gene	1449	viaA			
DHGIGHJM_00004	CDS	1449	viaA		COG2425	Protein ViaA
DHGIGHJM_00005	gene	1500	ravA			
DHGIGHJM_00005	CDS	1500	ravA	3.6.3.-	COG0714	ATPase RavA
DHGIGHJM_00006	gene	1869	kup			
DHGIGHJM_00006	CDS	1869	kup			Low affinity potassium transport system protein kup
DHGIGHJM_00007	gene	420	rbsD			
DHGIGHJM_00007	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
DHGIGHJM_00008	gene	1506	rbsA_1			
DHGIGHJM_00008	CDS	1506	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
DHGIGHJM_00009	gene	966	rbsC_1			
DHGIGHJM_00009	CDS	966	rbsC_1		COG1172	Ribose import permease protein RbsC
DHGIGHJM_00010	gene	891	rbsB_1			
DHGIGHJM_00010	CDS	891	rbsB_1		COG1879	Ribose import binding protein RbsB
DHGIGHJM_00011	gene	933	rbsK_1			
DHGIGHJM_00011	CDS	933	rbsK_1	2.7.1.15	COG0524	Ribokinase
DHGIGHJM_00012	gene	984	rbsR_1			
DHGIGHJM_00012	CDS	984	rbsR_1		COG1609	Ribose operon repressor
DHGIGHJM_00013	gene	1398	hsrA_1			
DHGIGHJM_00013	CDS	1398	hsrA_1			putative transport protein HsrA
DHGIGHJM_00014	gene	702	nanR			
DHGIGHJM_00014	CDS	702	nanR			HTH-type transcriptional repressor NanR
DHGIGHJM_00015	gene	117				
DHGIGHJM_00015	CDS	117				hypothetical protein
DHGIGHJM_00016	gene	1534				
DHGIGHJM_00016	rRNA	1534				16S ribosomal RNA
DHGIGHJM_00017	gene	76				
DHGIGHJM_00017	tRNA	76				tRNA-Glu(ttc)
DHGIGHJM_00018	gene	2898				
DHGIGHJM_00018	rRNA	2898				23S ribosomal RNA
DHGIGHJM_00019	gene	111				
DHGIGHJM_00019	rRNA	111				5S ribosomal RNA
DHGIGHJM_00020	gene	507	mobB			
DHGIGHJM_00020	CDS	507	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
DHGIGHJM_00021	gene	582	mobA			
DHGIGHJM_00021	CDS	582	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
DHGIGHJM_00022	gene	270	yihD			
DHGIGHJM_00022	CDS	270	yihD		COG3084	Protein YihD
DHGIGHJM_00023	gene	987	srkA			
DHGIGHJM_00023	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
DHGIGHJM_00024	gene	624	dsbA_1			
DHGIGHJM_00024	CDS	624	dsbA_1		COG0526	Thiol:disulfide interchange protein DsbA
DHGIGHJM_00025	gene	900	yihG			
DHGIGHJM_00025	CDS	900	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
DHGIGHJM_00026	gene	2793	polA			
DHGIGHJM_00026	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
DHGIGHJM_00027	gene	633	engB			
DHGIGHJM_00027	CDS	633	engB		COG0218	putative GTP-binding protein EngB
DHGIGHJM_00028	gene	507	yihI			
DHGIGHJM_00028	CDS	507	yihI		COG3078	Der GTPase-activating protein YihI
DHGIGHJM_00029	gene	1374	hemN			
DHGIGHJM_00029	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
DHGIGHJM_00030	gene	111	yshB			
DHGIGHJM_00030	CDS	111	yshB			putative protein YshB
DHGIGHJM_00031	gene	1410	ntrC			
DHGIGHJM_00031	CDS	1410	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
DHGIGHJM_00032	gene	1050	glnL			
DHGIGHJM_00032	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
DHGIGHJM_00033	gene	1410	glnA			
DHGIGHJM_00033	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
DHGIGHJM_00034	gene	1824	typA			
DHGIGHJM_00034	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
DHGIGHJM_00035	gene	600	yihX			
DHGIGHJM_00035	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
DHGIGHJM_00036	gene	861				
DHGIGHJM_00036	CDS	861				hypothetical protein
DHGIGHJM_00037	gene	438	dtd			
DHGIGHJM_00037	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
DHGIGHJM_00038	gene	942				
DHGIGHJM_00038	CDS	942				hypothetical protein
DHGIGHJM_00039	gene	918	nlhH			
DHGIGHJM_00039	CDS	918	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
DHGIGHJM_00040	gene	249				
DHGIGHJM_00040	CDS	249				hypothetical protein
DHGIGHJM_00041	gene	384	vapC_1			
DHGIGHJM_00041	CDS	384	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
DHGIGHJM_00042	gene	930	fdhE			
DHGIGHJM_00042	CDS	930	fdhE		COG3058	Protein FdhE
DHGIGHJM_00043	gene	636	fdoI			
DHGIGHJM_00043	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
DHGIGHJM_00044	gene	903	fdoH			
DHGIGHJM_00044	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
DHGIGHJM_00045	gene	2415	fdoG_1			
DHGIGHJM_00045	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
DHGIGHJM_00046	gene	588	fdoG_2			
DHGIGHJM_00046	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
DHGIGHJM_00047	gene	837	fdhD			
DHGIGHJM_00047	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
DHGIGHJM_00048	gene	213				
DHGIGHJM_00048	CDS	213				hypothetical protein
DHGIGHJM_00049	gene	981	pfp			
DHGIGHJM_00049	CDS	981	pfp	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
DHGIGHJM_00050	gene	315				
DHGIGHJM_00050	CDS	315				hypothetical protein
DHGIGHJM_00051	gene	1368	ulaA_1			
DHGIGHJM_00051	CDS	1368	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
DHGIGHJM_00052	gene	843	fbaA_1			
DHGIGHJM_00052	CDS	843	fbaA_1	4.1.2.13	COG0191	putative fructose-bisphosphate aldolase
DHGIGHJM_00053	gene	270				
DHGIGHJM_00053	CDS	270				hypothetical protein
DHGIGHJM_00054	gene	438	ulaC_1			
DHGIGHJM_00054	CDS	438	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
DHGIGHJM_00055	gene	594				
DHGIGHJM_00055	CDS	594				hypothetical protein
DHGIGHJM_00056	gene	324				
DHGIGHJM_00056	CDS	324				hypothetical protein
DHGIGHJM_00057	gene	690				
DHGIGHJM_00057	CDS	690				hypothetical protein
DHGIGHJM_00058	gene	549	sutR_1			
DHGIGHJM_00058	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
DHGIGHJM_00059	gene	996	rafR			
DHGIGHJM_00059	CDS	996	rafR			HTH-type transcriptional regulator RafR
DHGIGHJM_00060	gene	2124	rafA			
DHGIGHJM_00060	CDS	2124	rafA	3.2.1.22		Alpha-galactosidase
DHGIGHJM_00061	gene	1266	melY			
DHGIGHJM_00061	CDS	1266	melY			Melibiose permease
DHGIGHJM_00062	gene	315	rhaM			
DHGIGHJM_00062	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
DHGIGHJM_00063	gene	1149	adhB			
DHGIGHJM_00063	CDS	1149	adhB	1.1.1.1		Alcohol dehydrogenase 2
DHGIGHJM_00064	gene	1005	lsrD_1			
