locus_tag	ftype	length_bp	gene	EC_number	COG	product
KMFEOHPI_00001	gene	1523				
KMFEOHPI_00001	rRNA	1523				16S ribosomal RNA
KMFEOHPI_00002	gene	77				
KMFEOHPI_00002	tRNA	77				tRNA-Ile(gat)
KMFEOHPI_00003	gene	75				
KMFEOHPI_00003	tRNA	75				tRNA-Ala(tgc)
KMFEOHPI_00004	gene	2868				
KMFEOHPI_00004	rRNA	2868				23S ribosomal RNA
KMFEOHPI_00005	gene	103				
KMFEOHPI_00005	rRNA	103				5S ribosomal RNA
KMFEOHPI_00006	gene	840	cvfB			
KMFEOHPI_00006	CDS	840	cvfB		COG2996	Conserved virulence factor B
KMFEOHPI_00007	gene	1185	glpQ			
KMFEOHPI_00007	CDS	1185	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
KMFEOHPI_00008	gene	813				
KMFEOHPI_00008	CDS	813				hypothetical protein
KMFEOHPI_00009	gene	1605	ptk_1			
KMFEOHPI_00009	CDS	1605	ptk_1	2.7.10.-	COG0489	Tyrosine-protein kinase ptk
KMFEOHPI_00010	gene	1533				
KMFEOHPI_00010	CDS	1533				hypothetical protein
KMFEOHPI_00011	gene	1137	tarF			
KMFEOHPI_00011	CDS	1137	tarF	2.7.8.12		Teichoic acid poly(glycerol phosphate) polymerase
KMFEOHPI_00012	gene	996	arnC_1			
KMFEOHPI_00012	CDS	996	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
KMFEOHPI_00013	gene	993	epsH			
KMFEOHPI_00013	CDS	993	epsH	2.4.-.-	COG0463	Putative glycosyltransferase EpsH
KMFEOHPI_00014	gene	1245				
KMFEOHPI_00014	CDS	1245				hypothetical protein
KMFEOHPI_00015	gene	495				
KMFEOHPI_00015	CDS	495				hypothetical protein
KMFEOHPI_00016	gene	462				
KMFEOHPI_00016	CDS	462				hypothetical protein
KMFEOHPI_00017	gene	1083	mshA_1			
KMFEOHPI_00017	CDS	1083	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
KMFEOHPI_00018	gene	996				
KMFEOHPI_00018	CDS	996				hypothetical protein
KMFEOHPI_00019	gene	975	arnC_2			
KMFEOHPI_00019	CDS	975	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
KMFEOHPI_00020	gene	567	mntP			
KMFEOHPI_00020	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
KMFEOHPI_00021	gene	525	albA			
KMFEOHPI_00021	CDS	525	albA	1.3.3.13		Albonoursin synthase
KMFEOHPI_00022	gene	954	rgtE			
KMFEOHPI_00022	CDS	954	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
KMFEOHPI_00023	gene	531				
KMFEOHPI_00023	CDS	531				hypothetical protein
KMFEOHPI_00024	gene	75				
KMFEOHPI_00024	tRNA	75				tRNA-Thr(tgt)
KMFEOHPI_00025	gene	1407	purF_1			
KMFEOHPI_00025	CDS	1407	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
KMFEOHPI_00026	gene	1311	pepT			
KMFEOHPI_00026	CDS	1311	pepT	3.4.11.4	COG2195	Peptidase T
KMFEOHPI_00027	gene	1086	gcvT			
KMFEOHPI_00027	CDS	1086	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
KMFEOHPI_00028	gene	951				
KMFEOHPI_00028	CDS	951				hypothetical protein
KMFEOHPI_00029	gene	498	yncA			
KMFEOHPI_00029	CDS	498	yncA	2.3.1.-	COG1247	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
KMFEOHPI_00030	gene	438				
KMFEOHPI_00030	CDS	438				hypothetical protein
KMFEOHPI_00031	gene	420				
KMFEOHPI_00031	CDS	420				hypothetical protein
KMFEOHPI_00032	gene	375				
KMFEOHPI_00032	CDS	375				hypothetical protein
KMFEOHPI_00033	gene	1314	thrC			
KMFEOHPI_00033	CDS	1314	thrC	4.2.3.1	COG0498	Threonine synthase
KMFEOHPI_00034	gene	1203	apgM			
KMFEOHPI_00034	CDS	1203	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
KMFEOHPI_00035	gene	2439	thrA			
KMFEOHPI_00035	CDS	2439	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
KMFEOHPI_00036	gene	3105				
KMFEOHPI_00036	CDS	3105				TonB-dependent receptor P3
KMFEOHPI_00037	gene	1500				
KMFEOHPI_00037	CDS	1500				hypothetical protein
KMFEOHPI_00038	gene	234				
KMFEOHPI_00038	CDS	234				hypothetical protein
KMFEOHPI_00039	gene	921				
KMFEOHPI_00039	CDS	921				hypothetical protein
KMFEOHPI_00040	gene	1998	fbp			
KMFEOHPI_00040	CDS	1998	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
KMFEOHPI_00041	gene	1338	norM			
KMFEOHPI_00041	CDS	1338	norM		COG0534	Multidrug resistance protein NorM
KMFEOHPI_00042	gene	762				
KMFEOHPI_00042	CDS	762		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
KMFEOHPI_00043	gene	678				
