locus_tag	ftype	length_bp	gene	EC_number	COG	product
INIMFDON_00001	gene	1386	dnaA_1			
INIMFDON_00001	CDS	1386	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
INIMFDON_00002	gene	1110	dnaN			
INIMFDON_00002	CDS	1110	dnaN			Beta sliding clamp
INIMFDON_00003	gene	210	ybcJ			
INIMFDON_00003	CDS	210	ybcJ		COG2501	putative protein YbcJ
INIMFDON_00004	gene	1092	recF_1			
INIMFDON_00004	CDS	1092	recF_1		COG1195	DNA replication and repair protein RecF
INIMFDON_00005	gene	1935	gyrB			
INIMFDON_00005	CDS	1935	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
INIMFDON_00006	gene	2487	gyrA_1			
INIMFDON_00006	CDS	2487	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
INIMFDON_00007	gene	462				
INIMFDON_00007	CDS	462				hypothetical protein
INIMFDON_00008	gene	354				
INIMFDON_00008	CDS	354				hypothetical protein
INIMFDON_00009	gene	219				
INIMFDON_00009	CDS	219				hypothetical protein
INIMFDON_00010	gene	1542				
INIMFDON_00010	CDS	1542				hypothetical protein
INIMFDON_00011	gene	843	ttdA			
INIMFDON_00011	CDS	843	ttdA	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
INIMFDON_00012	gene	552	fumB			
INIMFDON_00012	CDS	552	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
INIMFDON_00013	gene	717				
INIMFDON_00013	CDS	717				hypothetical protein
INIMFDON_00014	gene	324				
INIMFDON_00014	CDS	324				hypothetical protein
INIMFDON_00015	gene	264				
INIMFDON_00015	CDS	264				hypothetical protein
INIMFDON_00016	gene	90				
INIMFDON_00016	tRNA	90				tRNA-Ser(gct)
INIMFDON_00017	gene	1532				
INIMFDON_00017	rRNA	1532				16S ribosomal RNA
INIMFDON_00018	gene	112				
INIMFDON_00018	rRNA	112				5S ribosomal RNA
INIMFDON_00019	gene	74				
INIMFDON_00019	tRNA	74				tRNA-Ile(gat)
INIMFDON_00020	gene	74				
INIMFDON_00020	tRNA	74				tRNA-Ala(tgc)
INIMFDON_00021	gene	2889				
INIMFDON_00021	rRNA	2889				23S ribosomal RNA
INIMFDON_00022	gene	74				
INIMFDON_00022	tRNA	74				tRNA-Asp(gtc)
INIMFDON_00023	gene	74				
INIMFDON_00023	tRNA	74				tRNA-Val(tac)
INIMFDON_00024	gene	83				
INIMFDON_00024	tRNA	83				tRNA-Tyr(gta)
INIMFDON_00025	gene	73				
