locus_tag	ftype	length_bp	gene	EC_number	COG	product
MJEHAPKH_00001	gene	3372				
MJEHAPKH_00001	CDS	3372				hypothetical protein
MJEHAPKH_00002	gene	2562				
MJEHAPKH_00002	CDS	2562				hypothetical protein
MJEHAPKH_00003	gene	528	rimM			
MJEHAPKH_00003	CDS	528	rimM			Ribosome maturation factor RimM
MJEHAPKH_00004	gene	579				
MJEHAPKH_00004	CDS	579				hypothetical protein
MJEHAPKH_00005	gene	954				
MJEHAPKH_00005	CDS	954				hypothetical protein
MJEHAPKH_00006	gene	1275				
MJEHAPKH_00006	CDS	1275				hypothetical protein
MJEHAPKH_00007	gene	201				
MJEHAPKH_00007	CDS	201				hypothetical protein
MJEHAPKH_00008	gene	1380				
MJEHAPKH_00008	CDS	1380				hypothetical protein
MJEHAPKH_00009	gene	3600				
MJEHAPKH_00009	CDS	3600				TonB-dependent receptor P26
MJEHAPKH_00010	gene	1164				
MJEHAPKH_00010	CDS	1164				hypothetical protein
MJEHAPKH_00011	gene	558	sigL_1			
MJEHAPKH_00011	CDS	558	sigL_1		COG1595	ECF RNA polymerase sigma factor SigL
MJEHAPKH_00012	gene	2292				
MJEHAPKH_00012	CDS	2292				hypothetical protein
MJEHAPKH_00013	gene	375				
MJEHAPKH_00013	CDS	375				hypothetical protein
MJEHAPKH_00014	gene	651				
MJEHAPKH_00014	CDS	651				hypothetical protein
MJEHAPKH_00015	gene	744				
MJEHAPKH_00015	CDS	744				hypothetical protein
MJEHAPKH_00016	gene	228				
MJEHAPKH_00016	CDS	228				hypothetical protein
MJEHAPKH_00017	gene	2124	FCS1			
MJEHAPKH_00017	CDS	2124	FCS1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
MJEHAPKH_00018	gene	1020	fbp			
MJEHAPKH_00018	CDS	1020	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
MJEHAPKH_00019	gene	1746				
MJEHAPKH_00019	CDS	1746				hypothetical protein
MJEHAPKH_00020	gene	945				
MJEHAPKH_00020	CDS	945				hypothetical protein
MJEHAPKH_00021	gene	1266	lysC_1			
MJEHAPKH_00021	CDS	1266	lysC_1	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
MJEHAPKH_00022	gene	708	arnC_1			
MJEHAPKH_00022	CDS	708	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MJEHAPKH_00023	gene	1710				
MJEHAPKH_00023	CDS	1710				hypothetical protein
MJEHAPKH_00024	gene	3429	ileS			
MJEHAPKH_00024	CDS	3429	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MJEHAPKH_00025	gene	381	dksA			
MJEHAPKH_00025	CDS	381	dksA			RNA polymerase-binding transcription factor DksA
MJEHAPKH_00026	gene	612	lspA			
MJEHAPKH_00026	CDS	612	lspA	3.4.23.36		Lipoprotein signal peptidase
MJEHAPKH_00027	gene	2037	dsbD_1			
MJEHAPKH_00027	CDS	2037	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
MJEHAPKH_00028	gene	2385	topA			
MJEHAPKH_00028	CDS	2385	topA	5.6.2.1		DNA topoisomerase 1
MJEHAPKH_00029	gene	2124	surA_1			
MJEHAPKH_00029	CDS	2124	surA_1	5.2.1.8		Chaperone SurA
MJEHAPKH_00030	gene	579	wbpD			
MJEHAPKH_00030	CDS	579	wbpD	2.3.1.201	COG0110	UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase
MJEHAPKH_00031	gene	1128	desV			
MJEHAPKH_00031	CDS	1128	desV	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
MJEHAPKH_00032	gene	1287				
MJEHAPKH_00032	CDS	1287				hypothetical protein
MJEHAPKH_00033	gene	981				
MJEHAPKH_00033	CDS	981				hypothetical protein
MJEHAPKH_00034	gene	1929	asnB			
MJEHAPKH_00034	CDS	1929	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
MJEHAPKH_00035	gene	1041	arnC_2			
MJEHAPKH_00035	CDS	1041	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MJEHAPKH_00036	gene	1077	wbpI_1			
MJEHAPKH_00036	CDS	1077	wbpI_1	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
MJEHAPKH_00037	gene	1164				
MJEHAPKH_00037	CDS	1164				hypothetical protein
MJEHAPKH_00038	gene	1452				
MJEHAPKH_00038	CDS	1452				hypothetical protein
MJEHAPKH_00039	gene	1530				
MJEHAPKH_00039	CDS	1530				hypothetical protein
MJEHAPKH_00040	gene	1128	mshA_1			
MJEHAPKH_00040	CDS	1128	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
MJEHAPKH_00041	gene	2475				
MJEHAPKH_00041	CDS	2475				hypothetical protein
MJEHAPKH_00042	gene	1362				
MJEHAPKH_00042	CDS	1362				hypothetical protein
MJEHAPKH_00043	gene	795				
MJEHAPKH_00043	CDS	795				hypothetical protein
MJEHAPKH_00044	gene	1257				
MJEHAPKH_00044	CDS	1257				hypothetical protein
MJEHAPKH_00045	gene	1440	mleN_1			
MJEHAPKH_00045	CDS	1440	mleN_1		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
MJEHAPKH_00046	gene	1368				
MJEHAPKH_00046	CDS	1368				hypothetical protein
MJEHAPKH_00047	gene	564	frr			
MJEHAPKH_00047	CDS	564	frr		COG0233	Ribosome-recycling factor
MJEHAPKH_00048	gene	489				
MJEHAPKH_00048	CDS	489				hypothetical protein
MJEHAPKH_00049	gene	759	kpsU			
MJEHAPKH_00049	CDS	759	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
MJEHAPKH_00050	gene	2541				
MJEHAPKH_00050	CDS	2541				hypothetical protein
MJEHAPKH_00051	gene	354				
MJEHAPKH_00051	CDS	354				hypothetical protein
MJEHAPKH_00052	gene	348				
MJEHAPKH_00052	CDS	348				hypothetical protein
MJEHAPKH_00053	gene	4248				
MJEHAPKH_00053	CDS	4248				hypothetical protein
MJEHAPKH_00054	gene	1155				
MJEHAPKH_00054	CDS	1155				hypothetical protein
MJEHAPKH_00055	gene	2220	cirA_1			
