locus_tag	ftype	length_bp	gene	EC_number	COG	product
OHBMCACP_00001	gene	678	ung			
OHBMCACP_00001	CDS	678	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
OHBMCACP_00002	gene	321				
OHBMCACP_00002	CDS	321				hypothetical protein
OHBMCACP_00003	gene	564				
OHBMCACP_00003	CDS	564				hypothetical protein
OHBMCACP_00004	gene	189				
OHBMCACP_00004	CDS	189				hypothetical protein
OHBMCACP_00005	gene	390				
OHBMCACP_00005	CDS	390				hypothetical protein
OHBMCACP_00006	gene	459				
OHBMCACP_00006	CDS	459				hypothetical protein
OHBMCACP_00007	gene	468				
OHBMCACP_00007	CDS	468				IS200/IS605 family transposase IS200S
OHBMCACP_00008	gene	588				
OHBMCACP_00008	CDS	588				hypothetical protein
OHBMCACP_00009	gene	1020				
OHBMCACP_00009	CDS	1020				hypothetical protein
OHBMCACP_00010	gene	855	cdaA			
OHBMCACP_00010	CDS	855	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
OHBMCACP_00011	gene	1257				
OHBMCACP_00011	CDS	1257				hypothetical protein
OHBMCACP_00012	gene	1599				
OHBMCACP_00012	CDS	1599				hypothetical protein
OHBMCACP_00013	gene	909	pta_1			
OHBMCACP_00013	CDS	909	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
OHBMCACP_00014	gene	1068	buk2			
OHBMCACP_00014	CDS	1068	buk2	2.7.2.7	COG3426	Butyrate kinase 2
OHBMCACP_00015	gene	303				
OHBMCACP_00015	CDS	303				hypothetical protein
OHBMCACP_00016	gene	1344	glmM			
OHBMCACP_00016	CDS	1344	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
OHBMCACP_00017	gene	513	ilvH			
OHBMCACP_00017	CDS	513	ilvH	2.2.1.6	COG0440	Acetolactate synthase small subunit
OHBMCACP_00018	gene	1593	cimA			
OHBMCACP_00018	CDS	1593	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
OHBMCACP_00019	gene	1260	dmdA			
OHBMCACP_00019	CDS	1260	dmdA	4.2.1.85		2,3-dimethylmalate dehydratase large subunit
OHBMCACP_00020	gene	492	DmdB			
OHBMCACP_00020	CDS	492	DmdB	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
OHBMCACP_00021	gene	1071	leuB			
OHBMCACP_00021	CDS	1071	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
OHBMCACP_00022	gene	1659	ilvD			
OHBMCACP_00022	CDS	1659	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
OHBMCACP_00023	gene	1686	ilvB1			
OHBMCACP_00023	CDS	1686	ilvB1	2.2.1.6	COG0028	Acetolactate synthase large subunit IlvB1
OHBMCACP_00024	gene	1005	ilvC			
OHBMCACP_00024	CDS	1005	ilvC	1.1.1.382		Ketol-acid reductoisomerase (NAD(+))
OHBMCACP_00025	gene	921				
OHBMCACP_00025	CDS	921				hypothetical protein
OHBMCACP_00026	gene	315				
OHBMCACP_00026	CDS	315				hypothetical protein
OHBMCACP_00027	gene	141				
OHBMCACP_00027	CDS	141				hypothetical protein
OHBMCACP_00028	gene	1308	pbuG_1			
OHBMCACP_00028	CDS	1308	pbuG_1		COG2252	Guanine/hypoxanthine permease PbuG
OHBMCACP_00029	gene	1662	gluQ			
OHBMCACP_00029	CDS	1662	gluQ	6.1.1.-		Glutamyl-Q tRNA(Asp) synthetase
OHBMCACP_00030	gene	183				
OHBMCACP_00030	CDS	183				hypothetical protein
OHBMCACP_00031	gene	231				
OHBMCACP_00031	CDS	231				hypothetical protein
OHBMCACP_00032	gene	1662	glnS			
OHBMCACP_00032	CDS	1662	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
OHBMCACP_00033	gene	315				
