locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIFAMIHC_00001	gene	327				
AIFAMIHC_00001	CDS	327			COG0662	Oxalate-binding protein
AIFAMIHC_00002	gene	1224	dapL_1			
AIFAMIHC_00002	CDS	1224	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
AIFAMIHC_00003	gene	1440	gatB			
AIFAMIHC_00003	CDS	1440	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
AIFAMIHC_00004	gene	1473	gatA			
AIFAMIHC_00004	CDS	1473	gatA	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A
AIFAMIHC_00005	gene	294	gatC			
AIFAMIHC_00005	CDS	294	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
AIFAMIHC_00006	gene	1332	aspS2			
AIFAMIHC_00006	CDS	1332	aspS2	6.1.1.23	COG0017	Aspartate--tRNA(Asp/Asn) ligase
AIFAMIHC_00007	gene	555				
AIFAMIHC_00007	CDS	555				hypothetical protein
AIFAMIHC_00008	gene	1323	glnA_1			
AIFAMIHC_00008	CDS	1323	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
AIFAMIHC_00009	gene	1488	gltB_1			
AIFAMIHC_00009	CDS	1488	gltB_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
AIFAMIHC_00010	gene	4545	gltB_2			
AIFAMIHC_00010	CDS	4545	gltB_2	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
AIFAMIHC_00011	gene	1629	pyrG			
AIFAMIHC_00011	CDS	1629	pyrG	6.3.4.2		CTP synthase
AIFAMIHC_00012	gene	225				
AIFAMIHC_00012	CDS	225				hypothetical protein
AIFAMIHC_00013	gene	1395	purF_1			
AIFAMIHC_00013	CDS	1395	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
AIFAMIHC_00014	gene	2103	glnA_2			
AIFAMIHC_00014	CDS	2103	glnA_2	6.3.1.2		Glutamine synthetase
AIFAMIHC_00015	gene	102				
AIFAMIHC_00015	CDS	102				hypothetical protein
AIFAMIHC_00016	gene	1725				
AIFAMIHC_00016	CDS	1725				hypothetical protein
AIFAMIHC_00017	gene	651				
AIFAMIHC_00017	CDS	651				hypothetical protein
AIFAMIHC_00018	gene	105				
AIFAMIHC_00018	CDS	105				hypothetical protein
AIFAMIHC_00019	gene	513	niaR			
AIFAMIHC_00019	CDS	513	niaR		COG1827	putative transcription repressor NiaR
AIFAMIHC_00020	gene	96				
AIFAMIHC_00020	CDS	96				hypothetical protein
AIFAMIHC_00021	gene	855	nadC			
AIFAMIHC_00021	CDS	855	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
AIFAMIHC_00022	gene	1260	nadB			
AIFAMIHC_00022	CDS	1260	nadB	1.4.3.16	COG0029	L-aspartate oxidase
AIFAMIHC_00023	gene	906	nadA			
AIFAMIHC_00023	CDS	906	nadA	2.5.1.72	COG0379	Quinolinate synthase A
AIFAMIHC_00024	gene	921				
AIFAMIHC_00024	CDS	921				hypothetical protein
AIFAMIHC_00025	gene	2109				
AIFAMIHC_00025	CDS	2109				hypothetical protein
AIFAMIHC_00026	gene	834	iolI			
AIFAMIHC_00026	CDS	834	iolI	5.3.99.11	COG1082	Inosose isomerase
AIFAMIHC_00027	gene	1005	iolG_1			
AIFAMIHC_00027	CDS	1005	iolG_1	1.1.1.18	COG0673	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
AIFAMIHC_00028	gene	1284				
AIFAMIHC_00028	CDS	1284		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
AIFAMIHC_00029	gene	294				
AIFAMIHC_00029	CDS	294				hypothetical protein
AIFAMIHC_00030	gene	1422				
AIFAMIHC_00030	CDS	1422				hypothetical protein
AIFAMIHC_00031	gene	474				
AIFAMIHC_00031	CDS	474				hypothetical protein
AIFAMIHC_00032	gene	234				
AIFAMIHC_00032	CDS	234				hypothetical protein
AIFAMIHC_00033	gene	396				
AIFAMIHC_00033	CDS	396				hypothetical protein
AIFAMIHC_00034	gene	2124				
AIFAMIHC_00034	CDS	2124				hypothetical protein
AIFAMIHC_00035	gene	534				
AIFAMIHC_00035	CDS	534				hypothetical protein
AIFAMIHC_00036	gene	1071				
AIFAMIHC_00036	CDS	1071				hypothetical protein
AIFAMIHC_00037	gene	405				
AIFAMIHC_00037	CDS	405				hypothetical protein
AIFAMIHC_00038	gene	267				
AIFAMIHC_00038	CDS	267				hypothetical protein
AIFAMIHC_00039	gene	1899				
AIFAMIHC_00039	CDS	1899				hypothetical protein
AIFAMIHC_00040	gene	708				
AIFAMIHC_00040	CDS	708				hypothetical protein
AIFAMIHC_00041	gene	2031				
AIFAMIHC_00041	CDS	2031				hypothetical protein
AIFAMIHC_00042	gene	399				
AIFAMIHC_00042	CDS	399				hypothetical protein
AIFAMIHC_00043	gene	360	xkdM			
AIFAMIHC_00043	CDS	360	xkdM			Phage-like element PBSX protein XkdM
AIFAMIHC_00044	gene	1074				
AIFAMIHC_00044	CDS	1074				hypothetical protein
AIFAMIHC_00045	gene	435				
AIFAMIHC_00045	CDS	435				hypothetical protein
AIFAMIHC_00046	gene	492				
AIFAMIHC_00046	CDS	492				hypothetical protein
AIFAMIHC_00047	gene	345				
AIFAMIHC_00047	CDS	345				hypothetical protein
AIFAMIHC_00048	gene	297				
AIFAMIHC_00048	CDS	297				hypothetical protein
AIFAMIHC_00049	gene	1218				
AIFAMIHC_00049	CDS	1218				hypothetical protein
AIFAMIHC_00050	gene	420				
AIFAMIHC_00050	CDS	420				hypothetical protein
AIFAMIHC_00051	gene	1182				
AIFAMIHC_00051	CDS	1182				hypothetical protein
AIFAMIHC_00052	gene	1692				
AIFAMIHC_00052	CDS	1692				hypothetical protein
AIFAMIHC_00053	gene	549				
AIFAMIHC_00053	CDS	549				hypothetical protein
AIFAMIHC_00054	gene	384				
AIFAMIHC_00054	CDS	384				hypothetical protein
AIFAMIHC_00055	gene	71				
AIFAMIHC_00055	tRNA	71				tRNA-Arg(cct)
AIFAMIHC_00056	gene	74				
AIFAMIHC_00056	tRNA	74				tRNA-Met(cat)
AIFAMIHC_00057	gene	129				
AIFAMIHC_00057	CDS	129				hypothetical protein
AIFAMIHC_00058	gene	552				
AIFAMIHC_00058	CDS	552				hypothetical protein
AIFAMIHC_00059	gene	312	xre			
AIFAMIHC_00059	CDS	312	xre		COG1396	HTH-type transcriptional regulator Xre
AIFAMIHC_00060	gene	315				
AIFAMIHC_00060	CDS	315				hypothetical protein
AIFAMIHC_00061	gene	432				
AIFAMIHC_00061	CDS	432				hypothetical protein
AIFAMIHC_00062	gene	201				
AIFAMIHC_00062	CDS	201				hypothetical protein
AIFAMIHC_00063	gene	276				
AIFAMIHC_00063	CDS	276				hypothetical protein
AIFAMIHC_00064	gene	276				
AIFAMIHC_00064	CDS	276				hypothetical protein
AIFAMIHC_00065	gene	456				
AIFAMIHC_00065	CDS	456				hypothetical protein
AIFAMIHC_00066	gene	1410				
AIFAMIHC_00066	CDS	1410				hypothetical protein
AIFAMIHC_00067	gene	321				
