locus_tag	ftype	length_bp	gene	EC_number	COG	product
JPKAKLGD_00001	gene	1413	dnaA			
JPKAKLGD_00001	CDS	1413	dnaA		COG0593	Chromosomal replication initiator protein DnaA
JPKAKLGD_00002	gene	900				
JPKAKLGD_00002	CDS	900				hypothetical protein
JPKAKLGD_00003	gene	528				
JPKAKLGD_00003	CDS	528				hypothetical protein
JPKAKLGD_00004	gene	213				
JPKAKLGD_00004	CDS	213				hypothetical protein
JPKAKLGD_00005	gene	462	bcp			
JPKAKLGD_00005	CDS	462	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
JPKAKLGD_00006	gene	576				
JPKAKLGD_00006	CDS	576				hypothetical protein
JPKAKLGD_00007	gene	1014	recA			
JPKAKLGD_00007	CDS	1014	recA			Protein RecA
JPKAKLGD_00008	gene	2217	relA_1			
JPKAKLGD_00008	CDS	2217	relA_1	2.7.6.5	COG0317	GTP pyrophosphokinase
JPKAKLGD_00009	gene	471				
JPKAKLGD_00009	CDS	471				hypothetical protein
JPKAKLGD_00010	gene	249				
JPKAKLGD_00010	CDS	249				hypothetical protein
JPKAKLGD_00011	gene	387				
JPKAKLGD_00011	CDS	387			COG0537	putative HIT-like protein
JPKAKLGD_00012	gene	477				
JPKAKLGD_00012	CDS	477				hypothetical protein
JPKAKLGD_00013	gene	744				
JPKAKLGD_00013	CDS	744				hypothetical protein
JPKAKLGD_00014	gene	852	znuA			
JPKAKLGD_00014	CDS	852	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
JPKAKLGD_00015	gene	771	mntB			
JPKAKLGD_00015	CDS	771	mntB		COG1121	Manganese transport system ATP-binding protein MntB
JPKAKLGD_00016	gene	1233	yoaB_1			
JPKAKLGD_00016	CDS	1233	yoaB_1		COG0477	Putative transporter YoaB
JPKAKLGD_00017	gene	291				
JPKAKLGD_00017	CDS	291				hypothetical protein
JPKAKLGD_00018	gene	972				
JPKAKLGD_00018	CDS	972				hypothetical protein
JPKAKLGD_00019	gene	870				
JPKAKLGD_00019	CDS	870				hypothetical protein
JPKAKLGD_00020	gene	114				
JPKAKLGD_00020	CDS	114				hypothetical protein
JPKAKLGD_00021	gene	2883				
JPKAKLGD_00021	CDS	2883				hypothetical protein
JPKAKLGD_00022	gene	270				
JPKAKLGD_00022	CDS	270				hypothetical protein
JPKAKLGD_00023	gene	1782	argS			
JPKAKLGD_00023	CDS	1782	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
JPKAKLGD_00024	gene	1278				
JPKAKLGD_00024	CDS	1278				hypothetical protein
JPKAKLGD_00025	gene	1023	dusB			
JPKAKLGD_00025	CDS	1023	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
JPKAKLGD_00026	gene	486	mgsA			
JPKAKLGD_00026	CDS	486	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
JPKAKLGD_00027	gene	405				
JPKAKLGD_00027	CDS	405				hypothetical protein
JPKAKLGD_00028	gene	438				
JPKAKLGD_00028	CDS	438				hypothetical protein
JPKAKLGD_00029	gene	915	mscS			
JPKAKLGD_00029	CDS	915	mscS		COG0668	Small-conductance mechanosensitive channel
JPKAKLGD_00030	gene	1269				
JPKAKLGD_00030	CDS	1269		3.1.3.3	COG0560	Phosphoserine phosphatase
JPKAKLGD_00031	gene	762				
JPKAKLGD_00031	CDS	762				hypothetical protein
JPKAKLGD_00032	gene	882				
JPKAKLGD_00032	CDS	882				hypothetical protein
JPKAKLGD_00033	gene	1014	cgtA			
JPKAKLGD_00033	CDS	1014	cgtA	3.6.5.-		GTPase Obg/CgtA
JPKAKLGD_00034	gene	981				
JPKAKLGD_00034	CDS	981				hypothetical protein
JPKAKLGD_00035	gene	1296				
JPKAKLGD_00035	CDS	1296				hypothetical protein
JPKAKLGD_00036	gene	969				
JPKAKLGD_00036	CDS	969				hypothetical protein
JPKAKLGD_00037	gene	756	btsR_1			
JPKAKLGD_00037	CDS	756	btsR_1		COG3279	Transcriptional regulatory protein BtsR
JPKAKLGD_00038	gene	666	lptB_1			
JPKAKLGD_00038	CDS	666	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
JPKAKLGD_00039	gene	321				
JPKAKLGD_00039	CDS	321				hypothetical protein
JPKAKLGD_00040	gene	1107	ald			
JPKAKLGD_00040	CDS	1107	ald	1.4.1.1	COG0686	Alanine dehydrogenase
JPKAKLGD_00041	gene	2427				
JPKAKLGD_00041	CDS	2427				hypothetical protein
JPKAKLGD_00042	gene	2472				
JPKAKLGD_00042	CDS	2472				hypothetical protein
JPKAKLGD_00043	gene	546				
JPKAKLGD_00043	CDS	546				hypothetical protein
JPKAKLGD_00044	gene	1452	pepD_1			
JPKAKLGD_00044	CDS	1452	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
JPKAKLGD_00045	gene	513	ispF			
JPKAKLGD_00045	CDS	513	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
JPKAKLGD_00046	gene	801				
JPKAKLGD_00046	CDS	801				hypothetical protein
JPKAKLGD_00047	gene	543				
JPKAKLGD_00047	CDS	543				hypothetical protein
JPKAKLGD_00048	gene	2820	uvrA_1			
JPKAKLGD_00048	CDS	2820	uvrA_1		COG0178	UvrABC system protein A
JPKAKLGD_00049	gene	765	yafV			
JPKAKLGD_00049	CDS	765	yafV	3.5.1.3		Omega-amidase YafV
JPKAKLGD_00050	gene	1827	cocE			
JPKAKLGD_00050	CDS	1827	cocE	3.1.1.84		Cocaine esterase
JPKAKLGD_00051	gene	840				
JPKAKLGD_00051	CDS	840				hypothetical protein
JPKAKLGD_00052	gene	765				
JPKAKLGD_00052	CDS	765		2.1.1.-		putative S-adenosylmethionine-dependent methyltransferase/MSMEI_2290
JPKAKLGD_00053	gene	222				
JPKAKLGD_00053	CDS	222				hypothetical protein
JPKAKLGD_00054	gene	552	yvqK			
JPKAKLGD_00054	CDS	552	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
JPKAKLGD_00055	gene	513				
JPKAKLGD_00055	CDS	513				hypothetical protein
JPKAKLGD_00056	gene	1278	baiN			
JPKAKLGD_00056	CDS	1278	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
JPKAKLGD_00057	gene	936	nusB			
JPKAKLGD_00057	CDS	936	nusB			Transcription antitermination protein NusB
JPKAKLGD_00058	gene	423				
JPKAKLGD_00058	CDS	423				hypothetical protein
JPKAKLGD_00059	gene	321				
JPKAKLGD_00059	CDS	321				hypothetical protein
JPKAKLGD_00060	gene	249				
JPKAKLGD_00060	CDS	249				hypothetical protein
JPKAKLGD_00061	gene	252				
JPKAKLGD_00061	CDS	252				hypothetical protein
JPKAKLGD_00062	gene	183				
JPKAKLGD_00062	CDS	183				hypothetical protein
JPKAKLGD_00063	gene	72				
JPKAKLGD_00063	tRNA	72				tRNA-Gln(ttg)
JPKAKLGD_00064	gene	1338	nhaD			
JPKAKLGD_00064	CDS	1338	nhaD		COG1055	Na(+)/H(+) antiporter NhaD
JPKAKLGD_00065	gene	384				
JPKAKLGD_00065	CDS	384				hypothetical protein
JPKAKLGD_00066	gene	576				
JPKAKLGD_00066	CDS	576				hypothetical protein
JPKAKLGD_00067	gene	1440				
JPKAKLGD_00067	CDS	1440				hypothetical protein
JPKAKLGD_00068	gene	651				
JPKAKLGD_00068	CDS	651				hypothetical protein
JPKAKLGD_00069	gene	1326	ffh			
JPKAKLGD_00069	CDS	1326	ffh		COG0541	Signal recognition particle protein
JPKAKLGD_00070	gene	3402				
JPKAKLGD_00070	CDS	3402				hypothetical protein
JPKAKLGD_00071	gene	1245				
JPKAKLGD_00071	CDS	1245				hypothetical protein
JPKAKLGD_00072	gene	630	fbiB_1			
JPKAKLGD_00072	CDS	630	fbiB_1	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
JPKAKLGD_00073	gene	882	era			
JPKAKLGD_00073	CDS	882	era		COG1159	GTPase Era
JPKAKLGD_00074	gene	2010	cpoB_1			
JPKAKLGD_00074	CDS	2010	cpoB_1			Cell division coordinator CpoB
JPKAKLGD_00075	gene	1389				
JPKAKLGD_00075	CDS	1389				hypothetical protein
JPKAKLGD_00076	gene	1137	mshA_1			
JPKAKLGD_00076	CDS	1137	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JPKAKLGD_00077	gene	537	bfr			
JPKAKLGD_00077	CDS	537	bfr	1.16.3.1	COG2193	Bacterioferritin
JPKAKLGD_00078	gene	729				
JPKAKLGD_00078	CDS	729				hypothetical protein
JPKAKLGD_00079	gene	90				
JPKAKLGD_00079	CDS	90				hypothetical protein
JPKAKLGD_00080	gene	171				
JPKAKLGD_00080	CDS	171				hypothetical protein
JPKAKLGD_00081	gene	690				
JPKAKLGD_00081	CDS	690				hypothetical protein
JPKAKLGD_00082	gene	225				
JPKAKLGD_00082	CDS	225				hypothetical protein
JPKAKLGD_00083	gene	2829				
JPKAKLGD_00083	CDS	2829				hypothetical protein
JPKAKLGD_00084	gene	2058	mdoB_1			
JPKAKLGD_00084	CDS	2058	mdoB_1	2.7.8.20		Phosphoglycerol transferase I
JPKAKLGD_00085	gene	1029				
JPKAKLGD_00085	CDS	1029				hypothetical protein
JPKAKLGD_00086	gene	2760				
JPKAKLGD_00086	CDS	2760				hypothetical protein
JPKAKLGD_00087	gene	1032				
JPKAKLGD_00087	CDS	1032				hypothetical protein
JPKAKLGD_00088	gene	1230				
JPKAKLGD_00088	CDS	1230				hypothetical protein
JPKAKLGD_00089	gene	2781				
JPKAKLGD_00089	CDS	2781				hypothetical protein
JPKAKLGD_00090	gene	465				
JPKAKLGD_00090	CDS	465				hypothetical protein
JPKAKLGD_00091	gene	960	rgtE			
JPKAKLGD_00091	CDS	960	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
JPKAKLGD_00092	gene	570				
JPKAKLGD_00092	CDS	570				hypothetical protein
JPKAKLGD_00093	gene	603	yciO_1			
JPKAKLGD_00093	CDS	603	yciO_1		COG0009	putative protein YciO
JPKAKLGD_00094	gene	1014	mltG			
JPKAKLGD_00094	CDS	1014	mltG	4.2.2.-		Endolytic murein transglycosylase
JPKAKLGD_00095	gene	543				
JPKAKLGD_00095	CDS	543				hypothetical protein
JPKAKLGD_00096	gene	291				
JPKAKLGD_00096	CDS	291				hypothetical protein
JPKAKLGD_00097	gene	1710				
JPKAKLGD_00097	CDS	1710				hypothetical protein
JPKAKLGD_00098	gene	2985	cpoB_2			
JPKAKLGD_00098	CDS	2985	cpoB_2			Cell division coordinator CpoB
JPKAKLGD_00099	gene	183				
JPKAKLGD_00099	CDS	183				hypothetical protein
JPKAKLGD_00100	gene	1317	pleC			
JPKAKLGD_00100	CDS	1317	pleC	2.7.13.3		Non-motile and phage-resistance protein
JPKAKLGD_00101	gene	408				
JPKAKLGD_00101	CDS	408				hypothetical protein
JPKAKLGD_00102	gene	1239	tolC_1			
JPKAKLGD_00102	CDS	1239	tolC_1		COG1538	Outer membrane protein TolC
JPKAKLGD_00103	gene	3033	mexB			
JPKAKLGD_00103	CDS	3033	mexB		COG0841	Multidrug resistance protein MexB
JPKAKLGD_00104	gene	1068	mdtA_1			
JPKAKLGD_00104	CDS	1068	mdtA_1			Multidrug resistance protein MdtA
JPKAKLGD_00105	gene	1107				
JPKAKLGD_00105	CDS	1107				hypothetical protein
JPKAKLGD_00106	gene	705	tmk			
JPKAKLGD_00106	CDS	705	tmk	2.7.4.9	COG0125	Thymidylate kinase
JPKAKLGD_00107	gene	1221	sufS			
JPKAKLGD_00107	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
JPKAKLGD_00108	gene	822	sufD			
JPKAKLGD_00108	CDS	822	sufD		COG0719	FeS cluster assembly protein SufD
JPKAKLGD_00109	gene	753	sufC			
JPKAKLGD_00109	CDS	753	sufC		COG0396	putative ATP-dependent transporter SufC
JPKAKLGD_00110	gene	1446	sufB			
JPKAKLGD_00110	CDS	1446	sufB		COG0719	FeS cluster assembly protein SufB
JPKAKLGD_00111	gene	89				
JPKAKLGD_00111	tRNA	89				tRNA-Ser(gct)
JPKAKLGD_00112	gene	318				
JPKAKLGD_00112	CDS	318				hypothetical protein
JPKAKLGD_00113	gene	411				
