locus_tag	ftype	length_bp	gene	EC_number	COG	product
OMCHCLCJ_00001	gene	75				
OMCHCLCJ_00001	tRNA	75				tRNA-Glu(ctc)
OMCHCLCJ_00002	gene	107				
OMCHCLCJ_00002	rRNA	107				5S ribosomal RNA
OMCHCLCJ_00003	gene	540				
OMCHCLCJ_00003	CDS	540				hypothetical protein
OMCHCLCJ_00004	gene	1206				
OMCHCLCJ_00004	CDS	1206				hypothetical protein
OMCHCLCJ_00005	gene	618				
OMCHCLCJ_00005	CDS	618				hypothetical protein
OMCHCLCJ_00006	gene	624	hrb_1			
OMCHCLCJ_00006	CDS	624	hrb_1		COG1773	High molecular weight rubredoxin
OMCHCLCJ_00007	gene	876	rhtA			
OMCHCLCJ_00007	CDS	876	rhtA		COG5006	Threonine/homoserine exporter RhtA
OMCHCLCJ_00008	gene	717	sfsA			
OMCHCLCJ_00008	CDS	717	sfsA		COG1489	Sugar fermentation stimulation protein A
OMCHCLCJ_00009	gene	603	recR			
OMCHCLCJ_00009	CDS	603	recR		COG0353	Recombination protein RecR
OMCHCLCJ_00010	gene	156				
OMCHCLCJ_00010	CDS	156				hypothetical protein
OMCHCLCJ_00011	gene	645	rpe			
OMCHCLCJ_00011	CDS	645	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
OMCHCLCJ_00012	gene	1221	tdcB_1			
OMCHCLCJ_00012	CDS	1221	tdcB_1	4.3.1.19	COG1171	L-threonine ammonia-lyase
OMCHCLCJ_00013	gene	705				
OMCHCLCJ_00013	CDS	705				hypothetical protein
OMCHCLCJ_00014	gene	177				
OMCHCLCJ_00014	CDS	177				hypothetical protein
OMCHCLCJ_00015	gene	225				
OMCHCLCJ_00015	CDS	225				hypothetical protein
OMCHCLCJ_00016	gene	1206				
OMCHCLCJ_00016	CDS	1206				TelA-like protein
OMCHCLCJ_00017	gene	1035				
OMCHCLCJ_00017	CDS	1035				hypothetical protein
OMCHCLCJ_00018	gene	642				
OMCHCLCJ_00018	CDS	642				Single-stranded DNA-binding protein
OMCHCLCJ_00019	gene	696	livF_1			
OMCHCLCJ_00019	CDS	696	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
OMCHCLCJ_00020	gene	849	lptB_1			
OMCHCLCJ_00020	CDS	849	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OMCHCLCJ_00021	gene	1152				
OMCHCLCJ_00021	CDS	1152				hypothetical protein
OMCHCLCJ_00022	gene	930	livH_1			
OMCHCLCJ_00022	CDS	930	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
OMCHCLCJ_00023	gene	1224				
OMCHCLCJ_00023	CDS	1224				hypothetical protein
OMCHCLCJ_00024	gene	777				
OMCHCLCJ_00024	CDS	777				hypothetical protein
OMCHCLCJ_00025	gene	471				
OMCHCLCJ_00025	CDS	471				hypothetical protein
OMCHCLCJ_00026	gene	1176	argE			
OMCHCLCJ_00026	CDS	1176	argE	3.5.1.16	COG0624	Acetylornithine deacetylase
OMCHCLCJ_00027	gene	1260	trpB			
OMCHCLCJ_00027	CDS	1260	trpB	4.2.1.20		Tryptophan synthase beta chain
OMCHCLCJ_00028	gene	1155	dapE			
OMCHCLCJ_00028	CDS	1155	dapE	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
