locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDFDFGCA_00001	gene	1173	malY			
IDFDFGCA_00001	CDS	1173	malY		COG1168	Protein MalY
IDFDFGCA_00002	gene	1593	malX			
IDFDFGCA_00002	CDS	1593	malX		COG1263	PTS system maltose-specific EIICB component
IDFDFGCA_00003	gene	1029	malI			
IDFDFGCA_00003	CDS	1029	malI		COG1609	Maltose regulon regulatory protein MalI
IDFDFGCA_00004	gene	1509	ydgA			
IDFDFGCA_00004	CDS	1509	ydgA		COG5339	Protein YdgA
IDFDFGCA_00005	gene	1176	manA			
IDFDFGCA_00005	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
IDFDFGCA_00006	gene	1647	fumA_1			
IDFDFGCA_00006	CDS	1647	fumA_1	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
IDFDFGCA_00007	gene	1404	fumC			
IDFDFGCA_00007	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
IDFDFGCA_00008	gene	930	tus			
IDFDFGCA_00008	CDS	930	tus			DNA replication terminus site-binding protein
IDFDFGCA_00009	gene	1302	rstB			
IDFDFGCA_00009	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
IDFDFGCA_00010	gene	519				
IDFDFGCA_00010	CDS	519				hypothetical protein
IDFDFGCA_00011	gene	345				
IDFDFGCA_00011	CDS	345				hypothetical protein
IDFDFGCA_00012	gene	792				
IDFDFGCA_00012	CDS	792				hypothetical protein
IDFDFGCA_00013	gene	843				
IDFDFGCA_00013	CDS	843				hypothetical protein
IDFDFGCA_00014	gene	1029	hoxN			
IDFDFGCA_00014	CDS	1029	hoxN			High-affinity nickel transport protein
IDFDFGCA_00015	gene	1341	tcyP_1			
IDFDFGCA_00015	CDS	1341	tcyP_1		COG1823	L-cystine uptake protein TcyP
IDFDFGCA_00016	gene	771	rstA			
IDFDFGCA_00016	CDS	771	rstA		COG0745	Transcriptional regulatory protein RstA
IDFDFGCA_00017	gene	336	ydgC			
