locus_tag	ftype	length_bp	gene	EC_number	COG	product
DCNDGGNC_00001	gene	504				
DCNDGGNC_00001	CDS	504				hypothetical protein
DCNDGGNC_00002	gene	711				
DCNDGGNC_00002	CDS	711				hypothetical protein
DCNDGGNC_00003	gene	288				
DCNDGGNC_00003	CDS	288				IS3 family transposase ISBlo9
DCNDGGNC_00004	gene	636				
DCNDGGNC_00004	CDS	636				hypothetical protein
DCNDGGNC_00005	gene	438				
DCNDGGNC_00005	CDS	438				hypothetical protein
DCNDGGNC_00006	gene	86				
DCNDGGNC_00006	tRNA	86				tRNA-Ser(gga)
DCNDGGNC_00007	gene	144				
DCNDGGNC_00007	CDS	144				hypothetical protein
DCNDGGNC_00008	gene	651				
DCNDGGNC_00008	CDS	651				hypothetical protein
DCNDGGNC_00009	gene	1050	pdxI			
DCNDGGNC_00009	CDS	1050	pdxI	1.1.1.65		Pyridoxine 4-dehydrogenase
DCNDGGNC_00010	gene	288				
DCNDGGNC_00010	CDS	288				hypothetical protein
DCNDGGNC_00011	gene	531				
DCNDGGNC_00011	CDS	531				hypothetical protein
DCNDGGNC_00012	gene	1884				
DCNDGGNC_00012	CDS	1884			COG1132	putative ABC transporter ATP-binding protein
DCNDGGNC_00013	gene	1962				
DCNDGGNC_00013	CDS	1962			COG1132	putative ABC transporter ATP-binding protein
DCNDGGNC_00014	gene	5850				
DCNDGGNC_00014	CDS	5850				hypothetical protein
DCNDGGNC_00015	gene	552				
DCNDGGNC_00015	CDS	552				hypothetical protein
DCNDGGNC_00016	gene	1614	pepD_1			
DCNDGGNC_00016	CDS	1614	pepD_1	3.4.-.-	COG4690	Dipeptidase
DCNDGGNC_00017	gene	1518	fhs			
DCNDGGNC_00017	CDS	1518	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
DCNDGGNC_00018	gene	348				
DCNDGGNC_00018	CDS	348				hypothetical protein
DCNDGGNC_00019	gene	534				
DCNDGGNC_00019	CDS	534				hypothetical protein
DCNDGGNC_00020	gene	1431				
DCNDGGNC_00020	CDS	1431				hypothetical protein
DCNDGGNC_00021	gene	660				
DCNDGGNC_00021	CDS	660			COG0406	putative protein
DCNDGGNC_00022	gene	924				
DCNDGGNC_00022	CDS	924				hypothetical protein
DCNDGGNC_00023	gene	786	ribX			
DCNDGGNC_00023	CDS	786	ribX			Riboflavin transport system permease protein RibX
DCNDGGNC_00024	gene	1068				
DCNDGGNC_00024	CDS	1068				hypothetical protein
DCNDGGNC_00025	gene	660				
DCNDGGNC_00025	CDS	660		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
DCNDGGNC_00026	gene	96				
DCNDGGNC_00026	CDS	96				hypothetical protein
DCNDGGNC_00027	gene	1539	gltX			
DCNDGGNC_00027	CDS	1539	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
DCNDGGNC_00028	gene	531				
DCNDGGNC_00028	CDS	531				hypothetical protein
DCNDGGNC_00029	gene	396				
DCNDGGNC_00029	CDS	396				hypothetical protein
DCNDGGNC_00030	gene	74				
DCNDGGNC_00030	tRNA	74				tRNA-Glu(ctc)
DCNDGGNC_00031	gene	73				
DCNDGGNC_00031	tRNA	73				tRNA-Gln(ctg)
DCNDGGNC_00032	gene	1290				
DCNDGGNC_00032	CDS	1290				hypothetical protein
DCNDGGNC_00033	gene	822				
DCNDGGNC_00033	CDS	822				hypothetical protein
DCNDGGNC_00034	gene	1404	leuC			
DCNDGGNC_00034	CDS	1404	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
DCNDGGNC_00035	gene	693	leuD			
DCNDGGNC_00035	CDS	693	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
DCNDGGNC_00036	gene	4020				
DCNDGGNC_00036	CDS	4020				hypothetical protein
DCNDGGNC_00037	gene	381				
DCNDGGNC_00037	CDS	381				hypothetical protein
DCNDGGNC_00038	gene	174				
DCNDGGNC_00038	CDS	174				hypothetical protein
DCNDGGNC_00039	gene	1107				
DCNDGGNC_00039	CDS	1107				hypothetical protein
DCNDGGNC_00040	gene	1254	pyrD_1			
DCNDGGNC_00040	CDS	1254	pyrD_1	1.3.-.-		Dihydroorotate dehydrogenase
DCNDGGNC_00041	gene	1326	murAA			
DCNDGGNC_00041	CDS	1326	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
DCNDGGNC_00042	gene	1344				
DCNDGGNC_00042	CDS	1344				hypothetical protein
DCNDGGNC_00043	gene	711				
DCNDGGNC_00043	CDS	711				hypothetical protein
DCNDGGNC_00044	gene	924				
DCNDGGNC_00044	CDS	924				hypothetical protein
DCNDGGNC_00045	gene	432	rplK			
DCNDGGNC_00045	CDS	432	rplK		COG0080	50S ribosomal protein L11
DCNDGGNC_00046	gene	693	rplA			
DCNDGGNC_00046	CDS	693	rplA		COG0081	50S ribosomal protein L1
DCNDGGNC_00047	gene	990				
DCNDGGNC_00047	CDS	990				hypothetical protein
DCNDGGNC_00048	gene	1074				
DCNDGGNC_00048	CDS	1074				hypothetical protein
DCNDGGNC_00049	gene	1014				
DCNDGGNC_00049	CDS	1014				hypothetical protein
DCNDGGNC_00050	gene	987				
DCNDGGNC_00050	CDS	987			COG3118	putative protein
DCNDGGNC_00051	gene	690				
DCNDGGNC_00051	CDS	690				hypothetical protein
DCNDGGNC_00052	gene	76				
DCNDGGNC_00052	tRNA	76				tRNA-Arg(ccg)
DCNDGGNC_00053	gene	174				
DCNDGGNC_00053	CDS	174				hypothetical protein
DCNDGGNC_00054	gene	1017	cytR_1			
DCNDGGNC_00054	CDS	1017	cytR_1		COG1609	HTH-type transcriptional repressor CytR
DCNDGGNC_00055	gene	141				
DCNDGGNC_00055	CDS	141				hypothetical protein
DCNDGGNC_00056	gene	462				
DCNDGGNC_00056	CDS	462				hypothetical protein
DCNDGGNC_00057	gene	153				
DCNDGGNC_00057	CDS	153				hypothetical protein
DCNDGGNC_00058	gene	765				
DCNDGGNC_00058	CDS	765				hypothetical protein
DCNDGGNC_00059	gene	540				
DCNDGGNC_00059	CDS	540				hypothetical protein
DCNDGGNC_00060	gene	2253	lnpA_1			
DCNDGGNC_00060	CDS	2253	lnpA_1	2.4.1.211		1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
DCNDGGNC_00061	gene	390	yabJ			
DCNDGGNC_00061	CDS	390	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DCNDGGNC_00062	gene	1080				
DCNDGGNC_00062	CDS	1080				hypothetical protein
DCNDGGNC_00063	gene	1842	argS			
DCNDGGNC_00063	CDS	1842	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
DCNDGGNC_00064	gene	1629	lysA			
DCNDGGNC_00064	CDS	1629	lysA	4.1.1.20		Diaminopimelate decarboxylase
DCNDGGNC_00065	gene	507	ptsG			
DCNDGGNC_00065	CDS	507	ptsG	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
DCNDGGNC_00066	gene	1551	nagE			
DCNDGGNC_00066	CDS	1551	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
DCNDGGNC_00067	gene	1314	hom			
DCNDGGNC_00067	CDS	1314	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
DCNDGGNC_00068	gene	999	thrB			
DCNDGGNC_00068	CDS	999	thrB	2.7.1.39	COG0083	Homoserine kinase
DCNDGGNC_00069	gene	1437				
DCNDGGNC_00069	CDS	1437		3.6.1.9		dTTP/UTP pyrophosphatase
DCNDGGNC_00070	gene	381				
DCNDGGNC_00070	CDS	381				hypothetical protein
DCNDGGNC_00071	gene	363				
DCNDGGNC_00071	CDS	363				hypothetical protein
DCNDGGNC_00072	gene	1038	btuD_1			
DCNDGGNC_00072	CDS	1038	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DCNDGGNC_00073	gene	1455				
DCNDGGNC_00073	CDS	1455				hypothetical protein
DCNDGGNC_00074	gene	981				
DCNDGGNC_00074	CDS	981				hypothetical protein
DCNDGGNC_00075	gene	1251	dapE_1			
DCNDGGNC_00075	CDS	1251	dapE_1	3.5.1.18	COG0624	Putative succinyl-diaminopimelate desuccinylase DapE
DCNDGGNC_00076	gene	162				
DCNDGGNC_00076	CDS	162				hypothetical protein
DCNDGGNC_00077	gene	2904	rne			
DCNDGGNC_00077	CDS	2904	rne	3.1.26.12		Ribonuclease E
DCNDGGNC_00078	gene	309	rplU			
DCNDGGNC_00078	CDS	309	rplU		COG0261	50S ribosomal protein L21
DCNDGGNC_00079	gene	252	rpmA			
DCNDGGNC_00079	CDS	252	rpmA		COG0211	50S ribosomal protein L27
DCNDGGNC_00080	gene	1104				
DCNDGGNC_00080	CDS	1104				hypothetical protein
