locus_tag	ftype	length_bp	gene	EC_number	COG	product
LPPPABJL_00001	gene	1050	yesR_1			
LPPPABJL_00001	CDS	1050	yesR_1	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
LPPPABJL_00002	gene	846	dasC_1			
LPPPABJL_00002	CDS	846	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
LPPPABJL_00003	gene	894	araP_1			
LPPPABJL_00003	CDS	894	araP_1		COG1175	L-arabinose transport system permease protein AraP
LPPPABJL_00004	gene	1374	yesO_1			
LPPPABJL_00004	CDS	1374	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
LPPPABJL_00005	gene	1815				
LPPPABJL_00005	CDS	1815				hypothetical protein
LPPPABJL_00006	gene	1557	rssB_1			
LPPPABJL_00006	CDS	1557	rssB_1			Regulator of RpoS
LPPPABJL_00007	gene	1257				
LPPPABJL_00007	CDS	1257				hypothetical protein
LPPPABJL_00008	gene	726	ycdX_1			
LPPPABJL_00008	CDS	726	ycdX_1	3.1.3.-	COG1387	putative phosphatase YcdX
LPPPABJL_00009	gene	240				
LPPPABJL_00009	CDS	240				hypothetical protein
LPPPABJL_00010	gene	975	dusB_1			
LPPPABJL_00010	CDS	975	dusB_1	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
LPPPABJL_00011	gene	357				
LPPPABJL_00011	CDS	357				hypothetical protein
LPPPABJL_00012	gene	1008				
LPPPABJL_00012	CDS	1008			COG1609	HTH-type transcriptional regulator
LPPPABJL_00013	gene	1482	uxaA_1			
LPPPABJL_00013	CDS	1482	uxaA_1	4.2.1.7	COG2721	Altronate dehydratase
LPPPABJL_00014	gene	1494	uxaB			
LPPPABJL_00014	CDS	1494	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
LPPPABJL_00015	gene	1785				
LPPPABJL_00015	CDS	1785		4.2.2.-		Broad-specificity ulvan lyase
LPPPABJL_00016	gene	2010	hepC_1			
LPPPABJL_00016	CDS	2010	hepC_1	4.2.2.8		Heparin-sulfate lyase
LPPPABJL_00017	gene	1350				
LPPPABJL_00017	CDS	1350				hypothetical protein
LPPPABJL_00018	gene	1866				
LPPPABJL_00018	CDS	1866				hypothetical protein
LPPPABJL_00019	gene	1608	cheB_1			
LPPPABJL_00019	CDS	1608	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
LPPPABJL_00020	gene	1254	ppaX			
