locus_tag	ftype	length_bp	gene	EC_number	COG	product
KPDLDLLF_00001	gene	2460	thrA			
KPDLDLLF_00001	CDS	2460	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
KPDLDLLF_00002	gene	930	thrB			
KPDLDLLF_00002	CDS	930	thrB	2.7.1.39		Homoserine kinase
KPDLDLLF_00003	gene	1293	thrC			
KPDLDLLF_00003	CDS	1293	thrC	4.2.3.1	COG0498	Threonine synthase
KPDLDLLF_00004	gene	8331				
KPDLDLLF_00004	CDS	8331				hypothetical protein
KPDLDLLF_00005	gene	786	yaaA			
KPDLDLLF_00005	CDS	786	yaaA		COG3022	Peroxide stress resistance protein YaaA
KPDLDLLF_00006	gene	183				
KPDLDLLF_00006	CDS	183				hypothetical protein
KPDLDLLF_00007	gene	954	talB			
KPDLDLLF_00007	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
KPDLDLLF_00008	gene	984	esiB			
KPDLDLLF_00008	CDS	984	esiB			Secretory immunoglobulin A-binding protein EsiB
KPDLDLLF_00009	gene	588	mog			
KPDLDLLF_00009	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
KPDLDLLF_00010	gene	1926	dnaK_1			
KPDLDLLF_00010	CDS	1926	dnaK_1		COG0443	Chaperone protein DnaK
KPDLDLLF_00011	gene	1137	dnaJ_1			
KPDLDLLF_00011	CDS	1137	dnaJ_1		COG0484	Chaperone protein DnaJ
KPDLDLLF_00012	gene	1179	nhaA			
KPDLDLLF_00012	CDS	1179	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
KPDLDLLF_00013	gene	897	nhaR			
KPDLDLLF_00013	CDS	897	nhaR		COG0583	Transcriptional activator protein NhaR
KPDLDLLF_00014	gene	261	rpsT			
KPDLDLLF_00014	CDS	261	rpsT		COG0268	30S ribosomal protein S20
KPDLDLLF_00015	gene	942	ribF			
KPDLDLLF_00015	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
KPDLDLLF_00016	gene	2811	ileS			
KPDLDLLF_00016	CDS	2811	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
KPDLDLLF_00017	gene	516	lspA			
KPDLDLLF_00017	CDS	516	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
KPDLDLLF_00018	gene	471	fkpB			
KPDLDLLF_00018	CDS	471	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
KPDLDLLF_00019	gene	954	ispH			
KPDLDLLF_00019	CDS	954	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
KPDLDLLF_00020	gene	822	dapB			
KPDLDLLF_00020	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
KPDLDLLF_00021	gene	1164	carA			
KPDLDLLF_00021	CDS	1164	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
KPDLDLLF_00022	gene	3228	carB_1			
KPDLDLLF_00022	CDS	3228	carB_1	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
KPDLDLLF_00023	gene	7077				
KPDLDLLF_00023	CDS	7077				hypothetical protein
KPDLDLLF_00024	gene	831	dkgA			
KPDLDLLF_00024	CDS	831	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
KPDLDLLF_00025	gene	1212	yqhD			
KPDLDLLF_00025	CDS	1212	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
KPDLDLLF_00026	gene	783				
KPDLDLLF_00026	CDS	783				hypothetical protein
KPDLDLLF_00027	gene	672	yghB			
KPDLDLLF_00027	CDS	672	yghB		COG0586	Inner membrane protein YghB
KPDLDLLF_00028	gene	1194	metC_1			
KPDLDLLF_00028	CDS	1194	metC_1	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
KPDLDLLF_00029	gene	1011	tolQ_1			
KPDLDLLF_00029	CDS	1011	tolQ_1			Tol-Pal system protein TolQ
KPDLDLLF_00030	gene	429	exbD			
KPDLDLLF_00030	CDS	429	exbD		COG0848	Biopolymer transport protein ExbD
KPDLDLLF_00031	gene	1125	hybO			
KPDLDLLF_00031	CDS	1125	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
KPDLDLLF_00032	gene	1014	fdoH_1			
KPDLDLLF_00032	CDS	1014	fdoH_1		COG0437	Formate dehydrogenase-O iron-sulfur subunit
KPDLDLLF_00033	gene	1182	hybB			
KPDLDLLF_00033	CDS	1182	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
KPDLDLLF_00034	gene	1704	hybC			
KPDLDLLF_00034	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
KPDLDLLF_00035	gene	489	hybD			
KPDLDLLF_00035	CDS	489	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
KPDLDLLF_00036	gene	495	hybE			
KPDLDLLF_00036	CDS	495	hybE			Hydrogenase-2 operon protein HybE
KPDLDLLF_00037	gene	1197	ureG_1			
KPDLDLLF_00037	CDS	1197	ureG_1			Urease accessory protein UreG
KPDLDLLF_00038	gene	267	hybG			
KPDLDLLF_00038	CDS	267	hybG		COG0298	Hydrogenase maturation factor HybG
KPDLDLLF_00039	gene	1137	hypD			
KPDLDLLF_00039	CDS	1137	hypD		COG0409	Hydrogenase maturation factor HypD
KPDLDLLF_00040	gene	1020	hypE			
KPDLDLLF_00040	CDS	1020	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
KPDLDLLF_00041	gene	1227				
KPDLDLLF_00041	CDS	1227				hypothetical protein
KPDLDLLF_00042	gene	243	yedF			
KPDLDLLF_00042	CDS	243	yedF		COG0425	Putative sulfur carrier protein YedF
KPDLDLLF_00043	gene	909	rdgC			
KPDLDLLF_00043	CDS	909	rdgC		COG2974	Recombination-associated protein RdgC
KPDLDLLF_00044	gene	1206				
KPDLDLLF_00044	CDS	1206				hypothetical protein
KPDLDLLF_00045	gene	1956	cpdB			
KPDLDLLF_00045	CDS	1956	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
KPDLDLLF_00046	gene	777				
KPDLDLLF_00046	CDS	777				hypothetical protein
KPDLDLLF_00047	gene	1623	yhcR			
KPDLDLLF_00047	CDS	1623	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
KPDLDLLF_00048	gene	600				
KPDLDLLF_00048	CDS	600				hypothetical protein
KPDLDLLF_00049	gene	3726				
KPDLDLLF_00049	CDS	3726				hypothetical protein
KPDLDLLF_00050	gene	1233	sbcD			
KPDLDLLF_00050	CDS	1233	sbcD		COG0420	Nuclease SbcCD subunit D
KPDLDLLF_00051	gene	690	phoB			
KPDLDLLF_00051	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
KPDLDLLF_00052	gene	1293	phoR			
KPDLDLLF_00052	CDS	1293	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
KPDLDLLF_00053	gene	1338	brnQ_1			
KPDLDLLF_00053	CDS	1338	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
KPDLDLLF_00054	gene	1287				
KPDLDLLF_00054	CDS	1287				hypothetical protein
KPDLDLLF_00055	gene	294				
