locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIFBNOJG_00001	gene	168				
KIFBNOJG_00001	CDS	168				hypothetical protein
KIFBNOJG_00002	gene	303				
KIFBNOJG_00002	CDS	303				hypothetical protein
KIFBNOJG_00003	gene	237				
KIFBNOJG_00003	CDS	237				hypothetical protein
KIFBNOJG_00004	gene	753				
KIFBNOJG_00004	CDS	753				hypothetical protein
KIFBNOJG_00005	gene	450				
KIFBNOJG_00005	CDS	450				hypothetical protein
KIFBNOJG_00006	gene	1176				
KIFBNOJG_00006	CDS	1176				hypothetical protein
KIFBNOJG_00007	gene	666				
KIFBNOJG_00007	CDS	666				hypothetical protein
KIFBNOJG_00008	gene	702				
KIFBNOJG_00008	CDS	702				hypothetical protein
KIFBNOJG_00009	gene	591				
KIFBNOJG_00009	CDS	591				hypothetical protein
KIFBNOJG_00010	gene	1104				
KIFBNOJG_00010	CDS	1104				hypothetical protein
KIFBNOJG_00011	gene	1566				
KIFBNOJG_00011	CDS	1566				hypothetical protein
KIFBNOJG_00012	gene	870				
KIFBNOJG_00012	CDS	870				hypothetical protein
KIFBNOJG_00013	gene	120				
KIFBNOJG_00013	CDS	120				hypothetical protein
KIFBNOJG_00014	gene	303				
KIFBNOJG_00014	CDS	303				hypothetical protein
KIFBNOJG_00015	gene	417				
KIFBNOJG_00015	CDS	417				hypothetical protein
KIFBNOJG_00016	gene	924				
KIFBNOJG_00016	CDS	924				hypothetical protein
KIFBNOJG_00017	gene	477	ndk			
KIFBNOJG_00017	CDS	477	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
KIFBNOJG_00018	gene	74				
KIFBNOJG_00018	tRNA	74				tRNA-Lys(ctt)
KIFBNOJG_00019	gene	76				
KIFBNOJG_00019	tRNA	76				tRNA-Lys(ctt)
KIFBNOJG_00020	gene	1251				
KIFBNOJG_00020	CDS	1251				hypothetical protein
KIFBNOJG_00021	gene	966				
KIFBNOJG_00021	CDS	966				hypothetical protein
KIFBNOJG_00022	gene	144				
KIFBNOJG_00022	CDS	144				hypothetical protein
KIFBNOJG_00023	gene	864				
KIFBNOJG_00023	CDS	864				hypothetical protein
KIFBNOJG_00024	gene	1686				
KIFBNOJG_00024	CDS	1686				hypothetical protein
KIFBNOJG_00025	gene	111				
KIFBNOJG_00025	CDS	111				hypothetical protein
KIFBNOJG_00026	gene	252				
KIFBNOJG_00026	CDS	252				hypothetical protein
KIFBNOJG_00027	gene	1041				
KIFBNOJG_00027	CDS	1041				hypothetical protein
KIFBNOJG_00028	gene	954				
KIFBNOJG_00028	CDS	954				hypothetical protein
KIFBNOJG_00029	gene	954				
KIFBNOJG_00029	CDS	954				IS110 family transposase ISGka2
KIFBNOJG_00030	gene	228				
KIFBNOJG_00030	CDS	228				hypothetical protein
KIFBNOJG_00031	gene	1641				
KIFBNOJG_00031	CDS	1641				hypothetical protein
KIFBNOJG_00032	gene	993				
KIFBNOJG_00032	CDS	993				hypothetical protein
KIFBNOJG_00033	gene	1086				
KIFBNOJG_00033	CDS	1086				hypothetical protein
KIFBNOJG_00034	gene	462	alaS_1			
KIFBNOJG_00034	CDS	462	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
KIFBNOJG_00035	gene	888				
KIFBNOJG_00035	CDS	888				hypothetical protein
KIFBNOJG_00036	gene	774				
KIFBNOJG_00036	CDS	774				hypothetical protein
KIFBNOJG_00037	gene	1110				
KIFBNOJG_00037	CDS	1110				hypothetical protein
KIFBNOJG_00038	gene	1395				
KIFBNOJG_00038	CDS	1395				hypothetical protein
KIFBNOJG_00039	gene	492				
KIFBNOJG_00039	CDS	492				IS982 family transposase ISPrsp2
KIFBNOJG_00040	gene	243				
KIFBNOJG_00040	CDS	243				IS982 family transposase ISPrsp2
KIFBNOJG_00041	gene	630				
KIFBNOJG_00041	CDS	630				hypothetical protein
KIFBNOJG_00042	gene	630				
KIFBNOJG_00042	CDS	630				hypothetical protein
KIFBNOJG_00043	gene	3333	recB			
KIFBNOJG_00043	CDS	3333	recB	3.1.11.5		RecBCD enzyme subunit RecB
KIFBNOJG_00044	gene	2931				
KIFBNOJG_00044	CDS	2931				hypothetical protein
KIFBNOJG_00045	gene	519				
KIFBNOJG_00045	CDS	519				hypothetical protein
KIFBNOJG_00046	gene	795	atsA			
KIFBNOJG_00046	CDS	795	atsA	3.1.6.1	COG3119	Arylsulfatase
KIFBNOJG_00047	gene	1182	lacZ_1			
KIFBNOJG_00047	CDS	1182	lacZ_1	3.2.1.23		Beta-galactosidase
KIFBNOJG_00048	gene	1362	lacZ_2			
