locus_tag	ftype	length_bp	gene	EC_number	COG	product
NPHOPJHC_00001	gene	1531				
NPHOPJHC_00001	rRNA	1531				16S ribosomal RNA
NPHOPJHC_00002	gene	77				
NPHOPJHC_00002	tRNA	77				tRNA-Ile(gat)
NPHOPJHC_00003	gene	2878				
NPHOPJHC_00003	rRNA	2878				23S ribosomal RNA
NPHOPJHC_00004	gene	110				
NPHOPJHC_00004	rRNA	110				5S ribosomal RNA
NPHOPJHC_00005	gene	1059	hcxB			
NPHOPJHC_00005	CDS	1059	hcxB	1.1.1.-	COG2055	Hydroxycarboxylate dehydrogenase B
NPHOPJHC_00006	gene	76				
NPHOPJHC_00006	tRNA	76				tRNA-Asn(gtt)
NPHOPJHC_00007	gene	76				
NPHOPJHC_00007	tRNA	76				tRNA-Asn(gtt)
NPHOPJHC_00008	gene	2022	uvrB			
NPHOPJHC_00008	CDS	2022	uvrB		COG0556	UvrABC system protein B
NPHOPJHC_00009	gene	540				
NPHOPJHC_00009	CDS	540		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
NPHOPJHC_00010	gene	486	iscR			
NPHOPJHC_00010	CDS	486	iscR		COG1959	HTH-type transcriptional regulator IscR
NPHOPJHC_00011	gene	1212	iscS			
NPHOPJHC_00011	CDS	1212	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
NPHOPJHC_00012	gene	408	iscU			
NPHOPJHC_00012	CDS	408	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
NPHOPJHC_00013	gene	324	iscA			
NPHOPJHC_00013	CDS	324	iscA		COG0316	Iron-binding protein IscA
NPHOPJHC_00014	gene	495	hscB			
NPHOPJHC_00014	CDS	495	hscB		COG1076	Co-chaperone protein HscB 
NPHOPJHC_00015	gene	1887	hscA			
NPHOPJHC_00015	CDS	1887	hscA		COG0443	Chaperone protein HscA
NPHOPJHC_00016	gene	333	fdx			
NPHOPJHC_00016	CDS	333	fdx		COG0633	2Fe-2S ferredoxin
NPHOPJHC_00017	gene	201	iscX			
NPHOPJHC_00017	CDS	201	iscX		COG2975	Protein IscX
NPHOPJHC_00018	gene	1761	cpdA_1			
NPHOPJHC_00018	CDS	1761	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
NPHOPJHC_00019	gene	912				
NPHOPJHC_00019	CDS	912				hypothetical protein
NPHOPJHC_00020	gene	1530	lysS_1			
NPHOPJHC_00020	CDS	1530	lysS_1	6.1.1.6		Lysine--tRNA ligase
NPHOPJHC_00021	gene	1287	prfB			
NPHOPJHC_00021	CDS	1287	prfB		COG1186	Peptide chain release factor RF2
NPHOPJHC_00022	gene	1692	recJ			
NPHOPJHC_00022	CDS	1692	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
NPHOPJHC_00023	gene	1098				
NPHOPJHC_00023	CDS	1098				hypothetical protein
NPHOPJHC_00024	gene	1257	lolE			
NPHOPJHC_00024	CDS	1257	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
NPHOPJHC_00025	gene	714	lolD_1			
NPHOPJHC_00025	CDS	714	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NPHOPJHC_00026	gene	885	dtd3_1			
NPHOPJHC_00026	CDS	885	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
NPHOPJHC_00027	gene	597				
NPHOPJHC_00027	CDS	597				hypothetical protein
NPHOPJHC_00028	gene	1374				
NPHOPJHC_00028	CDS	1374				hypothetical protein
NPHOPJHC_00029	gene	1776				
NPHOPJHC_00029	CDS	1776				hypothetical protein
NPHOPJHC_00030	gene	2565				
NPHOPJHC_00030	CDS	2565				hypothetical protein
NPHOPJHC_00031	gene	2175	relA			
NPHOPJHC_00031	CDS	2175	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
NPHOPJHC_00032	gene	77				
NPHOPJHC_00032	tRNA	77				tRNA-Val(gac)
NPHOPJHC_00033	gene	77				
NPHOPJHC_00033	tRNA	77				tRNA-Val(gac)
NPHOPJHC_00034	gene	1911	thrS			
NPHOPJHC_00034	CDS	1911	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
NPHOPJHC_00035	gene	408	infC			
NPHOPJHC_00035	CDS	408	infC		COG0290	Translation initiation factor IF-3
NPHOPJHC_00036	gene	198	rpmI			
NPHOPJHC_00036	CDS	198	rpmI			50S ribosomal protein L35
NPHOPJHC_00037	gene	351	rplT			
NPHOPJHC_00037	CDS	351	rplT		COG0292	50S ribosomal protein L20
NPHOPJHC_00038	gene	1017	pheS			
NPHOPJHC_00038	CDS	1017	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
NPHOPJHC_00039	gene	2421	pheT			
NPHOPJHC_00039	CDS	2421	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
NPHOPJHC_00040	gene	345	ihfA			
NPHOPJHC_00040	CDS	345	ihfA			Integration host factor subunit alpha
NPHOPJHC_00041	gene	77				
NPHOPJHC_00041	tRNA	77				tRNA-Pro(ggg)
NPHOPJHC_00042	gene	1359	intA_1			
NPHOPJHC_00042	CDS	1359	intA_1		COG0582	Prophage integrase IntA
NPHOPJHC_00043	gene	363				
NPHOPJHC_00043	CDS	363				hypothetical protein
NPHOPJHC_00044	gene	525				
NPHOPJHC_00044	CDS	525				hypothetical protein
NPHOPJHC_00045	gene	261				
NPHOPJHC_00045	CDS	261				hypothetical protein
NPHOPJHC_00046	gene	243				
NPHOPJHC_00046	CDS	243				hypothetical protein
NPHOPJHC_00047	gene	408				
NPHOPJHC_00047	CDS	408				hypothetical protein
NPHOPJHC_00048	gene	759				
NPHOPJHC_00048	CDS	759				hypothetical protein
NPHOPJHC_00049	gene	258				
NPHOPJHC_00049	CDS	258				hypothetical protein
NPHOPJHC_00050	gene	276				
NPHOPJHC_00050	CDS	276				hypothetical protein
NPHOPJHC_00051	gene	162				
NPHOPJHC_00051	CDS	162				hypothetical protein
NPHOPJHC_00052	gene	819				
NPHOPJHC_00052	CDS	819				hypothetical protein
NPHOPJHC_00053	gene	219				
NPHOPJHC_00053	CDS	219				hypothetical protein
NPHOPJHC_00054	gene	297				
NPHOPJHC_00054	CDS	297				hypothetical protein
NPHOPJHC_00055	gene	219				
NPHOPJHC_00055	CDS	219				hypothetical protein
NPHOPJHC_00056	gene	342				
NPHOPJHC_00056	CDS	342				hypothetical protein
NPHOPJHC_00057	gene	681				
NPHOPJHC_00057	CDS	681			COG2932	putative HTH-type transcriptional regulator
NPHOPJHC_00058	gene	216				
NPHOPJHC_00058	CDS	216				hypothetical protein
NPHOPJHC_00059	gene	1059				
NPHOPJHC_00059	CDS	1059				hypothetical protein
NPHOPJHC_00060	gene	147				
NPHOPJHC_00060	CDS	147				hypothetical protein
NPHOPJHC_00061	gene	564				
NPHOPJHC_00061	CDS	564				Insertion sequence IS5376 putative ATP-binding protein
NPHOPJHC_00062	gene	282				
NPHOPJHC_00062	CDS	282				hypothetical protein
NPHOPJHC_00063	gene	381				
NPHOPJHC_00063	CDS	381				hypothetical protein
NPHOPJHC_00064	gene	393				
NPHOPJHC_00064	CDS	393				hypothetical protein
NPHOPJHC_00065	gene	498				
