locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLODKJPP_00001	gene	2946				
DLODKJPP_00001	CDS	2946				TonB-dependent receptor P3
DLODKJPP_00002	gene	855				
DLODKJPP_00002	CDS	855				hypothetical protein
DLODKJPP_00003	gene	687				
DLODKJPP_00003	CDS	687				hypothetical protein
DLODKJPP_00004	gene	348				
DLODKJPP_00004	CDS	348				hypothetical protein
DLODKJPP_00005	gene	600				
DLODKJPP_00005	CDS	600				hypothetical protein
DLODKJPP_00006	gene	3006				
DLODKJPP_00006	CDS	3006				hypothetical protein
DLODKJPP_00007	gene	1503				
DLODKJPP_00007	CDS	1503				hypothetical protein
DLODKJPP_00008	gene	2940	susC_1			
DLODKJPP_00008	CDS	2940	susC_1			TonB-dependent receptor SusC
DLODKJPP_00009	gene	1596				
DLODKJPP_00009	CDS	1596				SusD-like protein P2
DLODKJPP_00010	gene	885				
DLODKJPP_00010	CDS	885				hypothetical protein
DLODKJPP_00011	gene	645				
DLODKJPP_00011	CDS	645				hypothetical protein
DLODKJPP_00012	gene	693	yjjG			
DLODKJPP_00012	CDS	693	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
DLODKJPP_00013	gene	879				
DLODKJPP_00013	CDS	879				hypothetical protein
DLODKJPP_00014	gene	675	rsmI_1			
DLODKJPP_00014	CDS	675	rsmI_1	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
DLODKJPP_00015	gene	633				
DLODKJPP_00015	CDS	633				hypothetical protein
DLODKJPP_00016	gene	606	tdk			
DLODKJPP_00016	CDS	606	tdk	2.7.1.21	COG1435	Thymidine kinase
DLODKJPP_00017	gene	1131				
DLODKJPP_00017	CDS	1131				hypothetical protein
DLODKJPP_00018	gene	74				
DLODKJPP_00018	tRNA	74				tRNA-Lys(ttt)
DLODKJPP_00019	gene	336				
DLODKJPP_00019	CDS	336				hypothetical protein
DLODKJPP_00020	gene	363				
DLODKJPP_00020	CDS	363				hypothetical protein
DLODKJPP_00021	gene	678				
DLODKJPP_00021	CDS	678				hypothetical protein
DLODKJPP_00022	gene	1860				
DLODKJPP_00022	CDS	1860				hypothetical protein
DLODKJPP_00023	gene	1599				
DLODKJPP_00023	CDS	1599				hypothetical protein
DLODKJPP_00024	gene	1236				
DLODKJPP_00024	CDS	1236				hypothetical protein
DLODKJPP_00025	gene	822				
DLODKJPP_00025	CDS	822				hypothetical protein
DLODKJPP_00026	gene	1071				
DLODKJPP_00026	CDS	1071				hypothetical protein
DLODKJPP_00027	gene	426				
DLODKJPP_00027	CDS	426				hypothetical protein
DLODKJPP_00028	gene	558				
DLODKJPP_00028	CDS	558				hypothetical protein
DLODKJPP_00029	gene	954				
DLODKJPP_00029	CDS	954				hypothetical protein
DLODKJPP_00030	gene	1596				
DLODKJPP_00030	CDS	1596				hypothetical protein
DLODKJPP_00031	gene	3348				
DLODKJPP_00031	CDS	3348				hypothetical protein
DLODKJPP_00032	gene	318				
DLODKJPP_00032	CDS	318				hypothetical protein
DLODKJPP_00033	gene	399				
DLODKJPP_00033	CDS	399				hypothetical protein
DLODKJPP_00034	gene	789				
DLODKJPP_00034	CDS	789				hypothetical protein
DLODKJPP_00035	gene	2196				
DLODKJPP_00035	CDS	2196				hypothetical protein
DLODKJPP_00036	gene	1902				
DLODKJPP_00036	CDS	1902				hypothetical protein
DLODKJPP_00037	gene	1059				
DLODKJPP_00037	CDS	1059				hypothetical protein
DLODKJPP_00038	gene	1353	mepA_1			
DLODKJPP_00038	CDS	1353	mepA_1			Multidrug export protein MepA
DLODKJPP_00039	gene	858				
DLODKJPP_00039	CDS	858				hypothetical protein
DLODKJPP_00040	gene	219				
DLODKJPP_00040	CDS	219				hypothetical protein
DLODKJPP_00041	gene	1005				
DLODKJPP_00041	CDS	1005				hypothetical protein
DLODKJPP_00042	gene	1026				
DLODKJPP_00042	CDS	1026			COG1073	putative protein
DLODKJPP_00043	gene	1056	rsgA_1			
DLODKJPP_00043	CDS	1056	rsgA_1	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
DLODKJPP_00044	gene	780	COQ5_1			
DLODKJPP_00044	CDS	780	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
DLODKJPP_00045	gene	981				
DLODKJPP_00045	CDS	981				hypothetical protein
DLODKJPP_00046	gene	132				
DLODKJPP_00046	CDS	132				hypothetical protein
DLODKJPP_00047	gene	219				
DLODKJPP_00047	CDS	219				hypothetical protein
DLODKJPP_00048	gene	2724	rcsC_1			
DLODKJPP_00048	CDS	2724	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DLODKJPP_00049	gene	840				
DLODKJPP_00049	CDS	840				hypothetical protein
DLODKJPP_00050	gene	993				
DLODKJPP_00050	CDS	993				hypothetical protein
DLODKJPP_00051	gene	840				
DLODKJPP_00051	CDS	840				hypothetical protein
DLODKJPP_00052	gene	624				
DLODKJPP_00052	CDS	624				hypothetical protein
DLODKJPP_00053	gene	621	vat			
DLODKJPP_00053	CDS	621	vat	2.3.1.-		Virginiamycin A acetyltransferase
DLODKJPP_00054	gene	1761				
DLODKJPP_00054	CDS	1761		3.1.6.-		Ulvan-active sulfatase
DLODKJPP_00055	gene	1965				
DLODKJPP_00055	CDS	1965				hypothetical protein
DLODKJPP_00056	gene	1398				
DLODKJPP_00056	CDS	1398				hypothetical protein
DLODKJPP_00057	gene	1404				
DLODKJPP_00057	CDS	1404				hypothetical protein
DLODKJPP_00058	gene	363				
DLODKJPP_00058	CDS	363				hypothetical protein
DLODKJPP_00059	gene	1833	glaB_1			
DLODKJPP_00059	CDS	1833	glaB_1	3.2.1.-		Alpha-1,3-galactosidase B
DLODKJPP_00060	gene	1485				
DLODKJPP_00060	CDS	1485		3.1.6.-		Ulvan-active sulfatase
DLODKJPP_00061	gene	1617				
DLODKJPP_00061	CDS	1617		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
DLODKJPP_00062	gene	1830	glaB_2			
