locus_tag	ftype	length_bp	gene	EC_number	COG	product
APPHPMAF_00001	gene	91				
APPHPMAF_00001	tRNA	91				tRNA-Ser(gga)
APPHPMAF_00002	gene	88				
APPHPMAF_00002	tRNA	88				tRNA-Ser(tga)
APPHPMAF_00003	gene	759	dnaJ_1			
APPHPMAF_00003	CDS	759	dnaJ_1			Chaperone protein DnaJ
APPHPMAF_00004	gene	819				
APPHPMAF_00004	CDS	819				hypothetical protein
APPHPMAF_00005	gene	900	rsiV			
APPHPMAF_00005	CDS	900	rsiV			Anti-sigma-V factor RsiV
APPHPMAF_00006	gene	495	sigV			
APPHPMAF_00006	CDS	495	sigV		COG1595	RNA polymerase sigma factor SigV
APPHPMAF_00007	gene	951				
APPHPMAF_00007	CDS	951				hypothetical protein
APPHPMAF_00008	gene	1596				
APPHPMAF_00008	CDS	1596				hypothetical protein
APPHPMAF_00009	gene	1359	alsT_1			
APPHPMAF_00009	CDS	1359	alsT_1		COG1115	Amino-acid carrier protein AlsT
APPHPMAF_00010	gene	957	ydjH			
APPHPMAF_00010	CDS	957	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
APPHPMAF_00011	gene	1347				
APPHPMAF_00011	CDS	1347				hypothetical protein
APPHPMAF_00012	gene	342				
APPHPMAF_00012	CDS	342				hypothetical protein
APPHPMAF_00013	gene	1362	mepA_1			
APPHPMAF_00013	CDS	1362	mepA_1		COG0534	Multidrug export protein MepA
APPHPMAF_00014	gene	720	ispD			
APPHPMAF_00014	CDS	720	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
APPHPMAF_00015	gene	1029	tsaD			
APPHPMAF_00015	CDS	1029	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
APPHPMAF_00016	gene	918	rbn_1			
APPHPMAF_00016	CDS	918	rbn_1	3.1.-.-	COG1234	Ribonuclease BN
APPHPMAF_00017	gene	258				
APPHPMAF_00017	CDS	258				hypothetical protein
APPHPMAF_00018	gene	441	rimI			
APPHPMAF_00018	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
APPHPMAF_00019	gene	765	tsaB			
APPHPMAF_00019	CDS	765	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
APPHPMAF_00020	gene	426	tsaE			
