locus_tag	ftype	length_bp	gene	EC_number	COG	product
MDMKOKAO_00001	gene	1173	rarA_1			
MDMKOKAO_00001	CDS	1173	rarA_1		COG2256	Replication-associated recombination protein A
MDMKOKAO_00002	gene	171				
MDMKOKAO_00002	CDS	171				hypothetical protein
MDMKOKAO_00003	gene	1005				
MDMKOKAO_00003	CDS	1005				hypothetical protein
MDMKOKAO_00004	gene	297				
MDMKOKAO_00004	CDS	297				hypothetical protein
MDMKOKAO_00005	gene	1770				
MDMKOKAO_00005	CDS	1770				TonB-dependent receptor P26
MDMKOKAO_00006	gene	1194	btuB_1			
MDMKOKAO_00006	CDS	1194	btuB_1			Vitamin B12 transporter BtuB
MDMKOKAO_00007	gene	3174	susC_1			
MDMKOKAO_00007	CDS	3174	susC_1			TonB-dependent receptor SusC
MDMKOKAO_00008	gene	1530				
MDMKOKAO_00008	CDS	1530				hypothetical protein
MDMKOKAO_00009	gene	1179	xerC_1			
MDMKOKAO_00009	CDS	1179	xerC_1			Tyrosine recombinase XerC
MDMKOKAO_00010	gene	531				
MDMKOKAO_00010	CDS	531				hypothetical protein
MDMKOKAO_00011	gene	1473				
MDMKOKAO_00011	CDS	1473				hypothetical protein
MDMKOKAO_00012	gene	3174				
MDMKOKAO_00012	CDS	3174				TonB-dependent receptor P3
MDMKOKAO_00013	gene	2967				
MDMKOKAO_00013	CDS	2967				TonB-dependent receptor P26
MDMKOKAO_00014	gene	1545				
MDMKOKAO_00014	CDS	1545				hypothetical protein
MDMKOKAO_00015	gene	1458	modF_1			
MDMKOKAO_00015	CDS	1458	modF_1		COG1119	ABC transporter ATP-binding protein ModF
MDMKOKAO_00016	gene	1488				
MDMKOKAO_00016	CDS	1488				hypothetical protein
MDMKOKAO_00017	gene	3246	susC_2			
MDMKOKAO_00017	CDS	3246	susC_2			TonB-dependent receptor SusC
MDMKOKAO_00018	gene	669				
MDMKOKAO_00018	CDS	669				hypothetical protein
MDMKOKAO_00019	gene	768	argB_1			
MDMKOKAO_00019	CDS	768	argB_1	2.7.2.8	COG0548	Acetylglutamate kinase
MDMKOKAO_00020	gene	74				
MDMKOKAO_00020	tRNA	74				tRNA-Gly(ccc)
MDMKOKAO_00021	gene	1254				
MDMKOKAO_00021	CDS	1254				hypothetical protein
MDMKOKAO_00022	gene	1590	pafA			
MDMKOKAO_00022	CDS	1590	pafA	3.1.3.1		Alkaline phosphatase PafA
MDMKOKAO_00023	gene	3381	secA_1			
MDMKOKAO_00023	CDS	3381	secA_1			Protein translocase subunit SecA
MDMKOKAO_00024	gene	1095	ald_1			
MDMKOKAO_00024	CDS	1095	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
MDMKOKAO_00025	gene	744				
MDMKOKAO_00025	CDS	744				hypothetical protein
MDMKOKAO_00026	gene	1329				
MDMKOKAO_00026	CDS	1329		3.4.24.-	COG0750	Putative zinc metalloprotease
MDMKOKAO_00027	gene	1152	dxr			
MDMKOKAO_00027	CDS	1152	dxr	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
MDMKOKAO_00028	gene	864				
MDMKOKAO_00028	CDS	864				hypothetical protein
MDMKOKAO_00029	gene	522	rimM			
MDMKOKAO_00029	CDS	522	rimM			Ribosome maturation factor RimM
MDMKOKAO_00030	gene	1305	murA			
MDMKOKAO_00030	CDS	1305	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
MDMKOKAO_00031	gene	606				
MDMKOKAO_00031	CDS	606				hypothetical protein
MDMKOKAO_00032	gene	504	yncA			
MDMKOKAO_00032	CDS	504	yncA	2.3.1.-	COG1247	L-methionine sulfoximine/L-methionine sulfone acetyltransferase
MDMKOKAO_00033	gene	1815	lacZ_1			
MDMKOKAO_00033	CDS	1815	lacZ_1	3.2.1.23		Beta-galactosidase
MDMKOKAO_00034	gene	147				
MDMKOKAO_00034	CDS	147				hypothetical protein
MDMKOKAO_00035	gene	384				
MDMKOKAO_00035	CDS	384				hypothetical protein
MDMKOKAO_00036	gene	453				
MDMKOKAO_00036	CDS	453				hypothetical protein
MDMKOKAO_00037	gene	1770				
MDMKOKAO_00037	CDS	1770				hypothetical protein
MDMKOKAO_00038	gene	228				
MDMKOKAO_00038	CDS	228				hypothetical protein
MDMKOKAO_00039	gene	852				
MDMKOKAO_00039	CDS	852				hypothetical protein
MDMKOKAO_00040	gene	663	rsmG			
MDMKOKAO_00040	CDS	663	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
MDMKOKAO_00041	gene	639	gloC			
MDMKOKAO_00041	CDS	639	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
MDMKOKAO_00042	gene	2853	gcvP			
MDMKOKAO_00042	CDS	2853	gcvP	1.4.4.2		Glycine dehydrogenase (decarboxylating)
MDMKOKAO_00043	gene	1125				
MDMKOKAO_00043	CDS	1125				hypothetical protein
MDMKOKAO_00044	gene	1386	dtpB_1			
MDMKOKAO_00044	CDS	1386	dtpB_1			Dipeptide and tripeptide permease B
MDMKOKAO_00045	gene	906	carD			
MDMKOKAO_00045	CDS	906	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
MDMKOKAO_00046	gene	1020	carE			
MDMKOKAO_00046	CDS	1020	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
MDMKOKAO_00047	gene	1710	caiA			
MDMKOKAO_00047	CDS	1710	caiA	1.3.8.13		Crotonobetainyl-CoA reductase
MDMKOKAO_00048	gene	1308	dinF			
MDMKOKAO_00048	CDS	1308	dinF		COG0534	DNA damage-inducible protein F
MDMKOKAO_00049	gene	840				
MDMKOKAO_00049	CDS	840				hypothetical protein
MDMKOKAO_00050	gene	525				
MDMKOKAO_00050	CDS	525				hypothetical protein
MDMKOKAO_00051	gene	2343				
MDMKOKAO_00051	CDS	2343				hypothetical protein
MDMKOKAO_00052	gene	681	yknY_1			
MDMKOKAO_00052	CDS	681	yknY_1	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
MDMKOKAO_00053	gene	501	tpx			
MDMKOKAO_00053	CDS	501	tpx	1.11.1.15	COG2077	Thiol peroxidase
MDMKOKAO_00054	gene	1272				
MDMKOKAO_00054	CDS	1272				hypothetical protein
MDMKOKAO_00055	gene	1584				
MDMKOKAO_00055	CDS	1584				hypothetical protein
MDMKOKAO_00056	gene	300				
MDMKOKAO_00056	CDS	300				Thioredoxin-like protein
MDMKOKAO_00057	gene	75				
MDMKOKAO_00057	tRNA	75				tRNA-Arg(tct)
MDMKOKAO_00058	gene	2361	bamA_1			
MDMKOKAO_00058	CDS	2361	bamA_1			Outer membrane protein assembly factor BamA
MDMKOKAO_00059	gene	768	rlmB			
MDMKOKAO_00059	CDS	768	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
MDMKOKAO_00060	gene	282				
MDMKOKAO_00060	CDS	282				hypothetical protein
MDMKOKAO_00061	gene	759				
MDMKOKAO_00061	CDS	759				hypothetical protein
MDMKOKAO_00062	gene	618	lspA			
MDMKOKAO_00062	CDS	618	lspA	3.4.23.36		Lipoprotein signal peptidase
MDMKOKAO_00063	gene	381	dksA			
MDMKOKAO_00063	CDS	381	dksA			RNA polymerase-binding transcription factor DksA
MDMKOKAO_00064	gene	3423	ileS			
MDMKOKAO_00064	CDS	3423	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MDMKOKAO_00065	gene	2208	agaA_1			
MDMKOKAO_00065	CDS	2208	agaA_1	3.2.1.22		Alpha-galactosidase AgaA
MDMKOKAO_00066	gene	1068				
MDMKOKAO_00066	CDS	1068				hypothetical protein
MDMKOKAO_00067	gene	471				
MDMKOKAO_00067	CDS	471				hypothetical protein
MDMKOKAO_00068	gene	198				
MDMKOKAO_00068	CDS	198				hypothetical protein
MDMKOKAO_00069	gene	450				
MDMKOKAO_00069	CDS	450				hypothetical protein
MDMKOKAO_00070	gene	573				
MDMKOKAO_00070	CDS	573				hypothetical protein
MDMKOKAO_00071	gene	1263	ugd_1			
MDMKOKAO_00071	CDS	1263	ugd_1	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
MDMKOKAO_00072	gene	1140	rfbB_1			
MDMKOKAO_00072	CDS	1140	rfbB_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
MDMKOKAO_00073	gene	912	rmlD_1			
MDMKOKAO_00073	CDS	912	rmlD_1	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
MDMKOKAO_00074	gene	582	rfbC_1			
MDMKOKAO_00074	CDS	582	rfbC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
MDMKOKAO_00075	gene	906	rffH_1			
MDMKOKAO_00075	CDS	906	rffH_1	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
MDMKOKAO_00076	gene	864				
MDMKOKAO_00076	CDS	864				hypothetical protein
MDMKOKAO_00077	gene	1437	murJ_1			
MDMKOKAO_00077	CDS	1437	murJ_1			lipid II flippase MurJ
MDMKOKAO_00078	gene	1278				
MDMKOKAO_00078	CDS	1278				hypothetical protein
MDMKOKAO_00079	gene	972				
MDMKOKAO_00079	CDS	972				hypothetical protein
MDMKOKAO_00080	gene	897	wfgD			
MDMKOKAO_00080	CDS	897	wfgD	2.4.1.305		UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD
MDMKOKAO_00081	gene	588	pglC_1			
MDMKOKAO_00081	CDS	588	pglC_1	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
MDMKOKAO_00082	gene	882	fcf1			
MDMKOKAO_00082	CDS	882	fcf1	1.1.1.266		dTDP-4-dehydro-6-deoxyglucose reductase
MDMKOKAO_00083	gene	1107	carB_1			
MDMKOKAO_00083	CDS	1107	carB_1			Carbamoyl-phosphate synthase large chain
MDMKOKAO_00084	gene	1200	arnB_1			
MDMKOKAO_00084	CDS	1200	arnB_1	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
MDMKOKAO_00085	gene	2448	ptk			
MDMKOKAO_00085	CDS	2448	ptk	2.7.10.-	COG0489	Tyrosine-protein kinase ptk
MDMKOKAO_00086	gene	798				
MDMKOKAO_00086	CDS	798				hypothetical protein
MDMKOKAO_00087	gene	429				
MDMKOKAO_00087	CDS	429				hypothetical protein
MDMKOKAO_00088	gene	1950				
MDMKOKAO_00088	CDS	1950				hypothetical protein
MDMKOKAO_00089	gene	438				
MDMKOKAO_00089	CDS	438				hypothetical protein
MDMKOKAO_00090	gene	663				
MDMKOKAO_00090	CDS	663				hypothetical protein
MDMKOKAO_00091	gene	933	xerC_2			
MDMKOKAO_00091	CDS	933	xerC_2			Tyrosine recombinase XerC
MDMKOKAO_00092	gene	246				
MDMKOKAO_00092	CDS	246				hypothetical protein
MDMKOKAO_00093	gene	3195				
MDMKOKAO_00093	CDS	3195				TonB-dependent receptor P3
MDMKOKAO_00094	gene	1512	susD_1			
MDMKOKAO_00094	CDS	1512	susD_1			Starch-binding protein SusD
MDMKOKAO_00095	gene	1557				
MDMKOKAO_00095	CDS	1557				hypothetical protein
MDMKOKAO_00096	gene	3693	metH			
MDMKOKAO_00096	CDS	3693	metH	2.1.1.13	COG0646	Methionine synthase
MDMKOKAO_00097	gene	960				
MDMKOKAO_00097	CDS	960				hypothetical protein
MDMKOKAO_00098	gene	462	smpB			
MDMKOKAO_00098	CDS	462	smpB		COG0691	SsrA-binding protein
MDMKOKAO_00099	gene	567				
MDMKOKAO_00099	CDS	567				hypothetical protein
MDMKOKAO_00100	gene	690				
MDMKOKAO_00100	CDS	690				hypothetical protein
MDMKOKAO_00101	gene	762				
MDMKOKAO_00101	CDS	762				hypothetical protein
MDMKOKAO_00102	gene	774				
MDMKOKAO_00102	CDS	774				hypothetical protein
MDMKOKAO_00103	gene	1269				
MDMKOKAO_00103	CDS	1269				hypothetical protein
MDMKOKAO_00104	gene	528	algU_1			
MDMKOKAO_00104	CDS	528	algU_1		COG1595	RNA polymerase sigma-H factor
MDMKOKAO_00105	gene	351				
MDMKOKAO_00105	CDS	351				hypothetical protein
MDMKOKAO_00106	gene	2238	btuB_2			
MDMKOKAO_00106	CDS	2238	btuB_2			Vitamin B12 transporter BtuB
MDMKOKAO_00107	gene	429				
MDMKOKAO_00107	CDS	429				hypothetical protein
MDMKOKAO_00108	gene	1488				
MDMKOKAO_00108	CDS	1488				hypothetical protein
MDMKOKAO_00109	gene	777				
MDMKOKAO_00109	CDS	777				hypothetical protein
MDMKOKAO_00110	gene	954	trxB			
MDMKOKAO_00110	CDS	954	trxB	1.8.1.9	COG0492	Thioredoxin reductase
MDMKOKAO_00111	gene	675				
MDMKOKAO_00111	CDS	675				hypothetical protein
MDMKOKAO_00112	gene	2520	spoIIIE			
MDMKOKAO_00112	CDS	2520	spoIIIE		COG1674	DNA translocase SpoIIIE
MDMKOKAO_00113	gene	1521	napF_1			
MDMKOKAO_00113	CDS	1521	napF_1			Ferredoxin-type protein NapF
MDMKOKAO_00114	gene	1386				
MDMKOKAO_00114	CDS	1386				hypothetical protein
MDMKOKAO_00115	gene	549				
MDMKOKAO_00115	CDS	549				hypothetical protein
MDMKOKAO_00116	gene	582	rnd			
MDMKOKAO_00116	CDS	582	rnd	3.1.13.5		Ribonuclease D
MDMKOKAO_00117	gene	1185	rlmI			
MDMKOKAO_00117	CDS	1185	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
MDMKOKAO_00118	gene	381				
MDMKOKAO_00118	CDS	381				hypothetical protein
MDMKOKAO_00119	gene	294				
MDMKOKAO_00119	CDS	294				hypothetical protein
MDMKOKAO_00120	gene	1626				
MDMKOKAO_00120	CDS	1626				hypothetical protein
MDMKOKAO_00121	gene	2778	susC_3			
MDMKOKAO_00121	CDS	2778	susC_3			TonB-dependent receptor SusC
MDMKOKAO_00122	gene	942	mdh_1			
MDMKOKAO_00122	CDS	942	mdh_1	1.1.1.37		Malate dehydrogenase
MDMKOKAO_00123	gene	465				
MDMKOKAO_00123	CDS	465				hypothetical protein
MDMKOKAO_00124	gene	768	lpxA_1			
MDMKOKAO_00124	CDS	768	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
MDMKOKAO_00125	gene	1392	oprM_1			
MDMKOKAO_00125	CDS	1392	oprM_1		COG1538	Outer membrane protein OprM
MDMKOKAO_00126	gene	3222	bepE_1			
MDMKOKAO_00126	CDS	3222	bepE_1			Efflux pump membrane transporter BepE
MDMKOKAO_00127	gene	1212	mdtE			
MDMKOKAO_00127	CDS	1212	mdtE			Multidrug resistance protein MdtE
MDMKOKAO_00128	gene	627				
MDMKOKAO_00128	CDS	627				hypothetical protein
MDMKOKAO_00129	gene	1062	purR			
MDMKOKAO_00129	CDS	1062	purR			HTH-type transcriptional repressor PurR
MDMKOKAO_00130	gene	813	uxuB			
MDMKOKAO_00130	CDS	813	uxuB	1.-.-.-	COG1028	putative oxidoreductase UxuB
MDMKOKAO_00131	gene	1179	uxuA			
MDMKOKAO_00131	CDS	1179	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
