locus_tag	ftype	length_bp	gene	EC_number	COG	product
GEODIPCO_00001	gene	1347				
GEODIPCO_00001	CDS	1347				IS1380 family transposase ISBf12
GEODIPCO_00002	gene	768				
GEODIPCO_00002	CDS	768				hypothetical protein
GEODIPCO_00003	gene	537				
GEODIPCO_00003	CDS	537				hypothetical protein
GEODIPCO_00004	gene	909				
GEODIPCO_00004	CDS	909				IS1595 family transposase ISBbi1
GEODIPCO_00005	gene	1134	xerC_1			
GEODIPCO_00005	CDS	1134	xerC_1			Tyrosine recombinase XerC
GEODIPCO_00006	gene	219				
GEODIPCO_00006	CDS	219				hypothetical protein
GEODIPCO_00007	gene	1026				
GEODIPCO_00007	CDS	1026				hypothetical protein
GEODIPCO_00008	gene	681				
GEODIPCO_00008	CDS	681				hypothetical protein
GEODIPCO_00009	gene	1284				
GEODIPCO_00009	CDS	1284				hypothetical protein
GEODIPCO_00010	gene	288				
GEODIPCO_00010	CDS	288				hypothetical protein
GEODIPCO_00011	gene	294				
GEODIPCO_00011	CDS	294				hypothetical protein
GEODIPCO_00012	gene	903				
GEODIPCO_00012	CDS	903				hypothetical protein
GEODIPCO_00013	gene	1053				
GEODIPCO_00013	CDS	1053				hypothetical protein
GEODIPCO_00014	gene	639				
GEODIPCO_00014	CDS	639				hypothetical protein
GEODIPCO_00015	gene	2637	valS			
GEODIPCO_00015	CDS	2637	valS	6.1.1.9	COG0525	Valine--tRNA ligase
GEODIPCO_00016	gene	1896	rcsC_1			
GEODIPCO_00016	CDS	1896	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GEODIPCO_00017	gene	576	rpoE_1			
GEODIPCO_00017	CDS	576	rpoE_1			ECF RNA polymerase sigma-E factor
GEODIPCO_00018	gene	1023				
GEODIPCO_00018	CDS	1023				hypothetical protein
GEODIPCO_00019	gene	3255	susC_1			
GEODIPCO_00019	CDS	3255	susC_1			TonB-dependent receptor SusC
GEODIPCO_00020	gene	1752				
GEODIPCO_00020	CDS	1752				hypothetical protein
GEODIPCO_00021	gene	1269				
GEODIPCO_00021	CDS	1269				hypothetical protein
GEODIPCO_00022	gene	2013				
GEODIPCO_00022	CDS	2013				hypothetical protein
GEODIPCO_00023	gene	447				
GEODIPCO_00023	CDS	447				hypothetical protein
GEODIPCO_00024	gene	1107				
GEODIPCO_00024	CDS	1107				hypothetical protein
GEODIPCO_00025	gene	3318	secA			
GEODIPCO_00025	CDS	3318	secA			Protein translocase subunit SecA
GEODIPCO_00026	gene	1575	pafA			
