locus_tag	ftype	length_bp	gene	EC_number	COG	product
LECFKFNK_00001	gene	921	nadA			
LECFKFNK_00001	CDS	921	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LECFKFNK_00002	gene	537	spsB			
LECFKFNK_00002	CDS	537	spsB	3.4.21.89	COG0681	Signal peptidase IB
LECFKFNK_00003	gene	1815	glmS			
LECFKFNK_00003	CDS	1815	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
LECFKFNK_00004	gene	75				
LECFKFNK_00004	tRNA	75				tRNA-Pro(cgg)
LECFKFNK_00005	gene	732	fabG_1			
LECFKFNK_00005	CDS	732	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
LECFKFNK_00006	gene	264				
LECFKFNK_00006	CDS	264				hypothetical protein
LECFKFNK_00007	gene	2160	glgX_1			
LECFKFNK_00007	CDS	2160	glgX_1	3.2.1.196		Glycogen debranching enzyme
LECFKFNK_00008	gene	1146				
LECFKFNK_00008	CDS	1146				hypothetical protein
LECFKFNK_00009	gene	807	COQ3_1			
LECFKFNK_00009	CDS	807	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
LECFKFNK_00010	gene	1194	undec1A			
LECFKFNK_00010	CDS	1194	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
LECFKFNK_00011	gene	966				
LECFKFNK_00011	CDS	966				hypothetical protein
LECFKFNK_00012	gene	438				
LECFKFNK_00012	CDS	438				hypothetical protein
LECFKFNK_00013	gene	822				
LECFKFNK_00013	CDS	822				hypothetical protein
LECFKFNK_00014	gene	681				
LECFKFNK_00014	CDS	681				hypothetical protein
LECFKFNK_00015	gene	642				
LECFKFNK_00015	CDS	642				hypothetical protein
LECFKFNK_00016	gene	1185				
LECFKFNK_00016	CDS	1185				hypothetical protein
LECFKFNK_00017	gene	1452				
LECFKFNK_00017	CDS	1452				hypothetical protein
LECFKFNK_00018	gene	369	blaI_1			
LECFKFNK_00018	CDS	369	blaI_1		COG3682	Penicillinase repressor
LECFKFNK_00019	gene	1059	carE			
LECFKFNK_00019	CDS	1059	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
LECFKFNK_00020	gene	783	carD			
LECFKFNK_00020	CDS	783	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
LECFKFNK_00021	gene	1155	bcd			
LECFKFNK_00021	CDS	1155	bcd	1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
LECFKFNK_00022	gene	873	hbd			
