locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMFCLPAD_00001	gene	75				
NMFCLPAD_00001	tRNA	75				tRNA-Met(cat)
NMFCLPAD_00002	gene	1899				
NMFCLPAD_00002	CDS	1899				hypothetical protein
NMFCLPAD_00003	gene	1212	ribBA			
NMFCLPAD_00003	CDS	1212	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
NMFCLPAD_00004	gene	1227				
NMFCLPAD_00004	CDS	1227		2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
NMFCLPAD_00005	gene	837	tolQ_1			
NMFCLPAD_00005	CDS	837	tolQ_1			Tol-Pal system protein TolQ
NMFCLPAD_00006	gene	645	tolR			
NMFCLPAD_00006	CDS	645	tolR			Tol-Pal system protein TolR
NMFCLPAD_00007	gene	648				
NMFCLPAD_00007	CDS	648				hypothetical protein
NMFCLPAD_00008	gene	849				
NMFCLPAD_00008	CDS	849				hypothetical protein
NMFCLPAD_00009	gene	915				
NMFCLPAD_00009	CDS	915				hypothetical protein
NMFCLPAD_00010	gene	1422				
NMFCLPAD_00010	CDS	1422				hypothetical protein
NMFCLPAD_00011	gene	168				
NMFCLPAD_00011	CDS	168				Ferredoxin
NMFCLPAD_00012	gene	747				
NMFCLPAD_00012	CDS	747				hypothetical protein
NMFCLPAD_00013	gene	2139				
NMFCLPAD_00013	CDS	2139				hypothetical protein
NMFCLPAD_00014	gene	2424				
NMFCLPAD_00014	CDS	2424				hypothetical protein
NMFCLPAD_00015	gene	2961				
NMFCLPAD_00015	CDS	2961				hypothetical protein
NMFCLPAD_00016	gene	1332	xynD			
NMFCLPAD_00016	CDS	1332	xynD	3.2.1.55		Arabinoxylan arabinofuranohydrolase
NMFCLPAD_00017	gene	180				
NMFCLPAD_00017	CDS	180				hypothetical protein
NMFCLPAD_00018	gene	1572				
NMFCLPAD_00018	CDS	1572				hypothetical protein
NMFCLPAD_00019	gene	1563				
NMFCLPAD_00019	CDS	1563				hypothetical protein
NMFCLPAD_00020	gene	2607	xyl3A			
NMFCLPAD_00020	CDS	2607	xyl3A	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
NMFCLPAD_00021	gene	1563				
NMFCLPAD_00021	CDS	1563				hypothetical protein
