locus_tag	ftype	length_bp	gene	EC_number	COG	product
OLKADLJK_00001	gene	957	paoB			
OLKADLJK_00001	CDS	957	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
OLKADLJK_00002	gene	600	paoA			
OLKADLJK_00002	CDS	600	paoA	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
OLKADLJK_00003	gene	948	glsA1			
OLKADLJK_00003	CDS	948	glsA1	3.5.1.2	COG2066	Glutaminase 1
OLKADLJK_00004	gene	1401	gadA			
OLKADLJK_00004	CDS	1401	gadA	4.1.1.15	COG0076	Glutamate decarboxylase alpha
OLKADLJK_00005	gene	1203	argE_1			
OLKADLJK_00005	CDS	1203	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
OLKADLJK_00006	gene	675				
OLKADLJK_00006	CDS	675				hypothetical protein
OLKADLJK_00007	gene	435				
OLKADLJK_00007	CDS	435				hypothetical protein
OLKADLJK_00008	gene	1260	czcO			
OLKADLJK_00008	CDS	1260	czcO	1.-.-.-	COG2072	putative oxidoreductase CzcO
OLKADLJK_00009	gene	921	hdfR_1			
OLKADLJK_00009	CDS	921	hdfR_1			HTH-type transcriptional regulator HdfR
OLKADLJK_00010	gene	1521	btuD_1			
OLKADLJK_00010	CDS	1521	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OLKADLJK_00011	gene	873	ectD			
OLKADLJK_00011	CDS	873	ectD	1.14.11.55		Ectoine dioxygenase
OLKADLJK_00012	gene	831	fliY_1			
OLKADLJK_00012	CDS	831	fliY_1		COG0834	L-cystine-binding protein FliY
OLKADLJK_00013	gene	732	novR			
OLKADLJK_00013	CDS	732	novR	4.1.-.-		Decarboxylase NovR
OLKADLJK_00014	gene	759	nlpD_1			
OLKADLJK_00014	CDS	759	nlpD_1		COG0739	Murein hydrolase activator NlpD
OLKADLJK_00015	gene	74				
OLKADLJK_00015	tRNA	74				tRNA-Gly(ccc)
OLKADLJK_00016	gene	1170	intS			
OLKADLJK_00016	CDS	1170	intS		COG0582	Prophage integrase IntS
OLKADLJK_00017	gene	1761	recB_1			
OLKADLJK_00017	CDS	1761	recB_1	3.1.11.5		RecBCD enzyme subunit RecB
OLKADLJK_00018	gene	1911	recF_1			
OLKADLJK_00018	CDS	1911	recF_1			DNA replication and repair protein RecF
OLKADLJK_00019	gene	351				
OLKADLJK_00019	CDS	351				hypothetical protein
OLKADLJK_00020	gene	414				
OLKADLJK_00020	CDS	414				hypothetical protein
OLKADLJK_00021	gene	303				
