locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJNNFKGO_00001	gene	1263	rsxB_1			
JJNNFKGO_00001	CDS	1263	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JJNNFKGO_00002	gene	1032	pimA			
JJNNFKGO_00002	CDS	1032	pimA	2.4.1.345	COG0438	Phosphatidyl-myo-inositol mannosyltransferase
JJNNFKGO_00003	gene	564	cysE			
JJNNFKGO_00003	CDS	564	cysE	2.3.1.30	COG1045	Serine acetyltransferase
JJNNFKGO_00004	gene	1023				
JJNNFKGO_00004	CDS	1023				hypothetical protein
JJNNFKGO_00005	gene	1029				
JJNNFKGO_00005	CDS	1029				hypothetical protein
JJNNFKGO_00006	gene	1167				
JJNNFKGO_00006	CDS	1167				hypothetical protein
JJNNFKGO_00007	gene	780				
JJNNFKGO_00007	CDS	780				hypothetical protein
JJNNFKGO_00008	gene	552	dapH_1			
JJNNFKGO_00008	CDS	552	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
JJNNFKGO_00009	gene	990				
JJNNFKGO_00009	CDS	990				hypothetical protein
JJNNFKGO_00010	gene	990	arnC_1			
JJNNFKGO_00010	CDS	990	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JJNNFKGO_00011	gene	1083	arnC_2			
JJNNFKGO_00011	CDS	1083	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JJNNFKGO_00012	gene	1095				
JJNNFKGO_00012	CDS	1095				hypothetical protein
JJNNFKGO_00013	gene	1164	rsxB_2			
JJNNFKGO_00013	CDS	1164	rsxB_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JJNNFKGO_00014	gene	393				
JJNNFKGO_00014	CDS	393				hypothetical protein
JJNNFKGO_00015	gene	705				
JJNNFKGO_00015	CDS	705				hypothetical protein
JJNNFKGO_00016	gene	1545				
JJNNFKGO_00016	CDS	1545				hypothetical protein
JJNNFKGO_00017	gene	519	rfaH_1			
JJNNFKGO_00017	CDS	519	rfaH_1			Transcription antitermination protein RfaH
JJNNFKGO_00018	gene	2376				
JJNNFKGO_00018	CDS	2376				hypothetical protein
JJNNFKGO_00019	gene	249				
JJNNFKGO_00019	CDS	249				hypothetical protein
JJNNFKGO_00020	gene	453				
JJNNFKGO_00020	CDS	453				hypothetical protein
JJNNFKGO_00021	gene	450				
JJNNFKGO_00021	CDS	450				hypothetical protein
JJNNFKGO_00022	gene	2406				
JJNNFKGO_00022	CDS	2406				hypothetical protein
JJNNFKGO_00023	gene	789				
JJNNFKGO_00023	CDS	789				hypothetical protein
JJNNFKGO_00024	gene	186				
JJNNFKGO_00024	CDS	186				hypothetical protein
JJNNFKGO_00025	gene	1404	wcaJ			
JJNNFKGO_00025	CDS	1404	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
JJNNFKGO_00026	gene	1140	xerC_1			
JJNNFKGO_00026	CDS	1140	xerC_1			Tyrosine recombinase XerC
JJNNFKGO_00027	gene	594	pinR			
JJNNFKGO_00027	CDS	594	pinR	3.1.22.-	COG1961	Serine recombinase PinR
JJNNFKGO_00028	gene	582				
JJNNFKGO_00028	CDS	582				hypothetical protein
JJNNFKGO_00029	gene	501	tpx			
JJNNFKGO_00029	CDS	501	tpx	1.11.1.15	COG2077	Thiol peroxidase
JJNNFKGO_00030	gene	618				
JJNNFKGO_00030	CDS	618				hypothetical protein
JJNNFKGO_00031	gene	642				
JJNNFKGO_00031	CDS	642				hypothetical protein
JJNNFKGO_00032	gene	1437	bepA_1			
JJNNFKGO_00032	CDS	1437	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
JJNNFKGO_00033	gene	1740	glnS			
JJNNFKGO_00033	CDS	1740	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
JJNNFKGO_00034	gene	852	pstS			
JJNNFKGO_00034	CDS	852	pstS		COG0226	Phosphate-binding protein PstS
JJNNFKGO_00035	gene	1197				
JJNNFKGO_00035	CDS	1197				hypothetical protein
JJNNFKGO_00036	gene	876	pstA			
JJNNFKGO_00036	CDS	876	pstA		COG0581	Phosphate transport system permease protein PstA
JJNNFKGO_00037	gene	762	pstB3			
JJNNFKGO_00037	CDS	762	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
JJNNFKGO_00038	gene	690	phoU			
JJNNFKGO_00038	CDS	690	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
JJNNFKGO_00039	gene	90				
JJNNFKGO_00039	CDS	90				hypothetical protein
JJNNFKGO_00040	gene	603	ribE			
JJNNFKGO_00040	CDS	603	ribE	2.5.1.9	COG0307	Riboflavin synthase
JJNNFKGO_00041	gene	540				
JJNNFKGO_00041	CDS	540				hypothetical protein
JJNNFKGO_00042	gene	1320				
JJNNFKGO_00042	CDS	1320				hypothetical protein
JJNNFKGO_00043	gene	1203				
JJNNFKGO_00043	CDS	1203				hypothetical protein
JJNNFKGO_00044	gene	1152				
JJNNFKGO_00044	CDS	1152		5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
JJNNFKGO_00045	gene	1335				
JJNNFKGO_00045	CDS	1335				hypothetical protein
JJNNFKGO_00046	gene	1548				
JJNNFKGO_00046	CDS	1548				hypothetical protein
JJNNFKGO_00047	gene	861	sigA			
JJNNFKGO_00047	CDS	861	sigA			RNA polymerase sigma factor SigA
JJNNFKGO_00048	gene	402				
JJNNFKGO_00048	CDS	402				hypothetical protein
JJNNFKGO_00049	gene	1182				
JJNNFKGO_00049	CDS	1182				hypothetical protein
JJNNFKGO_00050	gene	837				
JJNNFKGO_00050	CDS	837				hypothetical protein
JJNNFKGO_00051	gene	438				
JJNNFKGO_00051	CDS	438				hypothetical protein
JJNNFKGO_00052	gene	1299	sasA_1			
JJNNFKGO_00052	CDS	1299	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JJNNFKGO_00053	gene	678	phoP			
JJNNFKGO_00053	CDS	678	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
