locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLOPHDNK_00001	gene	96				
LLOPHDNK_00001	rRNA	96				5S ribosomal RNA
LLOPHDNK_00002	gene	76				
LLOPHDNK_00002	tRNA	76				tRNA-Lys(ttt)
LLOPHDNK_00003	gene	75				
LLOPHDNK_00003	tRNA	75				tRNA-Gly(gcc)
LLOPHDNK_00004	gene	74				
LLOPHDNK_00004	tRNA	74				tRNA-Gly(tcc)
LLOPHDNK_00005	gene	76				
LLOPHDNK_00005	tRNA	76				tRNA-His(gtg)
LLOPHDNK_00006	gene	699	sfsA_1			
LLOPHDNK_00006	CDS	699	sfsA_1		COG1489	Sugar fermentation stimulation protein A
LLOPHDNK_00007	gene	759	hgdC_1			
LLOPHDNK_00007	CDS	759	hgdC_1	3.6.1.3	COG1924	(R)-2-hydroxyglutaryl-CoA dehydratase activating ATPase
LLOPHDNK_00008	gene	342				
LLOPHDNK_00008	CDS	342				hypothetical protein
LLOPHDNK_00009	gene	1089				
LLOPHDNK_00009	CDS	1089				hypothetical protein
LLOPHDNK_00010	gene	177				
LLOPHDNK_00010	CDS	177				hypothetical protein
LLOPHDNK_00011	gene	186				
LLOPHDNK_00011	CDS	186				hypothetical protein
LLOPHDNK_00012	gene	1077				
LLOPHDNK_00012	CDS	1077		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
LLOPHDNK_00013	gene	912				
LLOPHDNK_00013	CDS	912		1.1.1.81	COG0111	Hydroxypyruvate reductase
LLOPHDNK_00014	gene	1245				
LLOPHDNK_00014	CDS	1245				hypothetical protein
LLOPHDNK_00015	gene	759	tcdA			
LLOPHDNK_00015	CDS	759	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
LLOPHDNK_00016	gene	1356				
LLOPHDNK_00016	CDS	1356		3.4.13.-		Putative dipeptidase
LLOPHDNK_00017	gene	1185	fucP			
LLOPHDNK_00017	CDS	1185	fucP		COG0738	L-fucose-proton symporter
LLOPHDNK_00018	gene	945				
LLOPHDNK_00018	CDS	945				hypothetical protein
LLOPHDNK_00019	gene	996	fusA_1			
LLOPHDNK_00019	CDS	996	fusA_1		COG0480	Elongation factor G
LLOPHDNK_00020	gene	978	hpr			
LLOPHDNK_00020	CDS	978	hpr	1.1.1.81	COG1052	Hydroxypyruvate reductase
LLOPHDNK_00021	gene	1197	alaS_1			
LLOPHDNK_00021	CDS	1197	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
LLOPHDNK_00022	gene	714	ecsA_1			
LLOPHDNK_00022	CDS	714	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
LLOPHDNK_00023	gene	1647				
LLOPHDNK_00023	CDS	1647				hypothetical protein
LLOPHDNK_00024	gene	387	ytrA_1			
LLOPHDNK_00024	CDS	387	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
LLOPHDNK_00025	gene	1131				
LLOPHDNK_00025	CDS	1131				hypothetical protein
LLOPHDNK_00026	gene	540				
LLOPHDNK_00026	CDS	540				hypothetical protein
LLOPHDNK_00027	gene	486				
LLOPHDNK_00027	CDS	486				hypothetical protein
LLOPHDNK_00028	gene	633				
LLOPHDNK_00028	CDS	633				hypothetical protein
LLOPHDNK_00029	gene	468				
LLOPHDNK_00029	CDS	468				hypothetical protein
LLOPHDNK_00030	gene	426				
LLOPHDNK_00030	CDS	426				hypothetical protein
LLOPHDNK_00031	gene	681	yeiL			
LLOPHDNK_00031	CDS	681	yeiL		COG0664	Regulatory protein YeiL
LLOPHDNK_00032	gene	975	rsgA_1			
LLOPHDNK_00032	CDS	975	rsgA_1	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
LLOPHDNK_00033	gene	807				
LLOPHDNK_00033	CDS	807				hypothetical protein
LLOPHDNK_00034	gene	1674	expZ_1			
LLOPHDNK_00034	CDS	1674	expZ_1		COG0488	Nucleotide-binding protein ExpZ
LLOPHDNK_00035	gene	2379	pheT_1			
LLOPHDNK_00035	CDS	2379	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
LLOPHDNK_00036	gene	1020	pheS_1			
LLOPHDNK_00036	CDS	1020	pheS_1	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
LLOPHDNK_00037	gene	792	aviRb			
LLOPHDNK_00037	CDS	792	aviRb	2.1.1.208		23S rRNA (uridine(2479)-2'-O)-methyltransferase
LLOPHDNK_00038	gene	660	ktrA_1			
LLOPHDNK_00038	CDS	660	ktrA_1		COG0569	Ktr system potassium uptake protein A
LLOPHDNK_00039	gene	1368	ntpJ			
LLOPHDNK_00039	CDS	1368	ntpJ			Potassium/sodium uptake protein NtpJ
LLOPHDNK_00040	gene	354	rplT_1			
LLOPHDNK_00040	CDS	354	rplT_1		COG0292	50S ribosomal protein L20
LLOPHDNK_00041	gene	198	rpmI_1			
LLOPHDNK_00041	CDS	198	rpmI_1		COG0291	50S ribosomal protein L35
LLOPHDNK_00042	gene	528	infC_1			
LLOPHDNK_00042	CDS	528	infC_1			Translation initiation factor IF-3
LLOPHDNK_00043	gene	927				
LLOPHDNK_00043	CDS	927				hypothetical protein
LLOPHDNK_00044	gene	714				
LLOPHDNK_00044	CDS	714				hypothetical protein
LLOPHDNK_00045	gene	74				
LLOPHDNK_00045	tRNA	74				tRNA-Cys(gca)
LLOPHDNK_00046	gene	75				
LLOPHDNK_00046	tRNA	75				tRNA-Gly(gcc)
LLOPHDNK_00047	gene	76				
LLOPHDNK_00047	tRNA	76				tRNA-Phe(gaa)
LLOPHDNK_00048	gene	77				
LLOPHDNK_00048	tRNA	77				tRNA-Asp(gtc)
LLOPHDNK_00049	gene	76				
LLOPHDNK_00049	tRNA	76				tRNA-Val(tac)
LLOPHDNK_00050	gene	882	hslO_1			
LLOPHDNK_00050	CDS	882	hslO_1		COG1281	33 kDa chaperonin
LLOPHDNK_00051	gene	747	COQ5_1			
LLOPHDNK_00051	CDS	747	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
LLOPHDNK_00052	gene	243				
LLOPHDNK_00052	CDS	243				hypothetical protein
LLOPHDNK_00053	gene	126				
LLOPHDNK_00053	CDS	126				hypothetical protein
LLOPHDNK_00054	gene	1779	oppA_1			
LLOPHDNK_00054	CDS	1779	oppA_1		COG4166	Oligopeptide-binding protein OppA
LLOPHDNK_00055	gene	108				
LLOPHDNK_00055	CDS	108				hypothetical protein
LLOPHDNK_00056	gene	1686	oppA_2			
LLOPHDNK_00056	CDS	1686	oppA_2		COG4166	Oligopeptide-binding protein OppA
LLOPHDNK_00057	gene	156				
LLOPHDNK_00057	CDS	156				hypothetical protein
LLOPHDNK_00058	gene	969	oppF_1			
LLOPHDNK_00058	CDS	969	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
