locus_tag	ftype	length_bp	gene	EC_number	COG	product
MDOLMKNC_00001	gene	75				
MDOLMKNC_00001	tRNA	75				tRNA-Ala(tgc)
MDOLMKNC_00002	gene	98				
MDOLMKNC_00002	rRNA	98				5S ribosomal RNA
MDOLMKNC_00003	gene	453				
MDOLMKNC_00003	CDS	453				hypothetical protein
MDOLMKNC_00004	gene	1125				
MDOLMKNC_00004	CDS	1125				hypothetical protein
MDOLMKNC_00005	gene	1176				
MDOLMKNC_00005	CDS	1176				IS110 family transposase ISFnu3
MDOLMKNC_00006	gene	309				
MDOLMKNC_00006	CDS	309				hypothetical protein
MDOLMKNC_00007	gene	237				
MDOLMKNC_00007	CDS	237				hypothetical protein
MDOLMKNC_00008	gene	237				
MDOLMKNC_00008	CDS	237				hypothetical protein
MDOLMKNC_00009	gene	582				
MDOLMKNC_00009	CDS	582				hypothetical protein
MDOLMKNC_00010	gene	393				
MDOLMKNC_00010	CDS	393				IS110 family transposase ISCth6
MDOLMKNC_00011	gene	135				
MDOLMKNC_00011	CDS	135				hypothetical protein
MDOLMKNC_00012	gene	603				
MDOLMKNC_00012	CDS	603				hypothetical protein
MDOLMKNC_00013	gene	312				
MDOLMKNC_00013	CDS	312				hypothetical protein
MDOLMKNC_00014	gene	327				
MDOLMKNC_00014	CDS	327				hypothetical protein
MDOLMKNC_00015	gene	1227				
MDOLMKNC_00015	CDS	1227				IS110 family transposase ISCth6
MDOLMKNC_00016	gene	1443				
MDOLMKNC_00016	CDS	1443				hypothetical protein
MDOLMKNC_00017	gene	960	xerC_1			
MDOLMKNC_00017	CDS	960	xerC_1		COG4974	Tyrosine recombinase XerC
MDOLMKNC_00018	gene	76				
MDOLMKNC_00018	tRNA	76				tRNA-Arg(acg)
MDOLMKNC_00019	gene	88				
MDOLMKNC_00019	tRNA	88				tRNA-Leu(taa)
MDOLMKNC_00020	gene	75				
MDOLMKNC_00020	tRNA	75				tRNA-Val(tac)
MDOLMKNC_00021	gene	76				
MDOLMKNC_00021	tRNA	76				tRNA-Asp(gtc)
MDOLMKNC_00022	gene	75				
MDOLMKNC_00022	tRNA	75				tRNA-Met(cat)
MDOLMKNC_00023	gene	73				
MDOLMKNC_00023	tRNA	73				tRNA-Thr(tgt)
MDOLMKNC_00024	gene	74				
MDOLMKNC_00024	tRNA	74				tRNA-Glu(ttc)
MDOLMKNC_00025	gene	74				
MDOLMKNC_00025	tRNA	74				tRNA-Asn(gtt)
MDOLMKNC_00026	gene	873	ispE_1			
MDOLMKNC_00026	CDS	873	ispE_1	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
MDOLMKNC_00027	gene	2472				
MDOLMKNC_00027	CDS	2472				hypothetical protein
MDOLMKNC_00028	gene	684				
MDOLMKNC_00028	CDS	684				hypothetical protein
MDOLMKNC_00029	gene	282				
MDOLMKNC_00029	CDS	282				hypothetical protein
MDOLMKNC_00030	gene	354				
MDOLMKNC_00030	CDS	354				hypothetical protein
MDOLMKNC_00031	gene	882				
MDOLMKNC_00031	CDS	882				hypothetical protein
MDOLMKNC_00032	gene	408				
MDOLMKNC_00032	CDS	408				hypothetical protein
MDOLMKNC_00033	gene	783				
MDOLMKNC_00033	CDS	783				hypothetical protein
MDOLMKNC_00034	gene	1122				
MDOLMKNC_00034	CDS	1122				hypothetical protein
MDOLMKNC_00035	gene	1455				
MDOLMKNC_00035	CDS	1455				hypothetical protein
MDOLMKNC_00036	gene	378				
MDOLMKNC_00036	CDS	378				hypothetical protein
MDOLMKNC_00037	gene	702				
MDOLMKNC_00037	CDS	702				hypothetical protein
MDOLMKNC_00038	gene	1272				
MDOLMKNC_00038	rRNA	1272				23S ribosomal RNA (partial)
MDOLMKNC_00039	gene	1098	ychF			
MDOLMKNC_00039	CDS	1098	ychF		COG0012	Ribosome-binding ATPase YchF
MDOLMKNC_00040	gene	879	lgt_1			
MDOLMKNC_00040	CDS	879	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
MDOLMKNC_00041	gene	153				
MDOLMKNC_00041	CDS	153				hypothetical protein
MDOLMKNC_00042	gene	426	mraZ			
