locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCKKDFPI_00001	gene	249				
NCKKDFPI_00001	CDS	249				hypothetical protein
NCKKDFPI_00002	gene	210				
NCKKDFPI_00002	CDS	210				hypothetical protein
NCKKDFPI_00003	gene	798				
NCKKDFPI_00003	CDS	798				hypothetical protein
NCKKDFPI_00004	gene	303				
NCKKDFPI_00004	CDS	303				hypothetical protein
NCKKDFPI_00005	gene	207				
NCKKDFPI_00005	CDS	207				hypothetical protein
NCKKDFPI_00006	gene	330				
NCKKDFPI_00006	CDS	330				hypothetical protein
NCKKDFPI_00007	gene	222				
NCKKDFPI_00007	CDS	222				hypothetical protein
NCKKDFPI_00008	gene	909				
NCKKDFPI_00008	CDS	909				hypothetical protein
NCKKDFPI_00009	gene	198				
NCKKDFPI_00009	CDS	198				hypothetical protein
NCKKDFPI_00010	gene	495	albA			
NCKKDFPI_00010	CDS	495	albA	1.3.3.13		Albonoursin synthase
NCKKDFPI_00011	gene	405	hdfR_1			
NCKKDFPI_00011	CDS	405	hdfR_1			HTH-type transcriptional regulator HdfR
NCKKDFPI_00012	gene	1095				
NCKKDFPI_00012	CDS	1095				hypothetical protein
NCKKDFPI_00013	gene	483				
NCKKDFPI_00013	CDS	483				hypothetical protein
NCKKDFPI_00014	gene	1527				
NCKKDFPI_00014	CDS	1527				hypothetical protein
NCKKDFPI_00015	gene	2112	cheB_1			
NCKKDFPI_00015	CDS	2112	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
NCKKDFPI_00016	gene	1584	pgi			
NCKKDFPI_00016	CDS	1584	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NCKKDFPI_00017	gene	501	idi			
NCKKDFPI_00017	CDS	501	idi	5.3.3.2		Isopentenyl-diphosphate Delta-isomerase
NCKKDFPI_00018	gene	603	thrH			
NCKKDFPI_00018	CDS	603	thrH	3.1.3.3	COG0560	Phosphoserine phosphatase ThrH
NCKKDFPI_00019	gene	510	slyA_1			
NCKKDFPI_00019	CDS	510	slyA_1			Transcriptional regulator SlyA
NCKKDFPI_00020	gene	1734				
NCKKDFPI_00020	CDS	1734			COG1132	putative ABC transporter ATP-binding protein
NCKKDFPI_00021	gene	1884				
NCKKDFPI_00021	CDS	1884			COG1132	putative ABC transporter ATP-binding protein
NCKKDFPI_00022	gene	285				
NCKKDFPI_00022	CDS	285				hypothetical protein
NCKKDFPI_00023	gene	627				
NCKKDFPI_00023	CDS	627				hypothetical protein
NCKKDFPI_00024	gene	4434				
NCKKDFPI_00024	CDS	4434				hypothetical protein
NCKKDFPI_00025	gene	1536				
NCKKDFPI_00025	CDS	1536				hypothetical protein
NCKKDFPI_00026	gene	822				
NCKKDFPI_00026	CDS	822				hypothetical protein
NCKKDFPI_00027	gene	834				
NCKKDFPI_00027	CDS	834				hypothetical protein
NCKKDFPI_00028	gene	1533				
NCKKDFPI_00028	CDS	1533				hypothetical protein
NCKKDFPI_00029	gene	1020				
NCKKDFPI_00029	CDS	1020				hypothetical protein
NCKKDFPI_00030	gene	474	teaA			
NCKKDFPI_00030	CDS	474	teaA		COG1638	Ectoine-binding periplasmic protein TeaA
NCKKDFPI_00031	gene	1404				
NCKKDFPI_00031	CDS	1404				hypothetical protein
NCKKDFPI_00032	gene	489				
NCKKDFPI_00032	CDS	489				hypothetical protein
NCKKDFPI_00033	gene	417				
NCKKDFPI_00033	CDS	417				hypothetical protein
NCKKDFPI_00034	gene	495	uehB			
NCKKDFPI_00034	CDS	495	uehB		COG3090	Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB
NCKKDFPI_00035	gene	357				
NCKKDFPI_00035	CDS	357				hypothetical protein
NCKKDFPI_00036	gene	1224	dctA			
